Best Score, SEED, HMIN, HMAX, T, TMAX, MMAX, alpha, beta, gamma, LAMBDA
8.16608, 1070124, 3, 4, 461, 1326, 3570, 1.38096, 0.968868, 0.913376, 14
8.32386, 1070125, 4, 5, 1653, 2946, 3770, 1.29532, 0.082906, 0.424901, 12
8.36366, 1070126, 3, 4, 529, 983, 1550, 3.22694, 0.94305, 0.967326, 2
8.18397, 1070127, 4, 5, 2528, 4244, 6938, 3.8457, 0.227889, 0.016106, 12
8.19743, 1070128, 3, 7, 12224, 28508, 49876, 3.9839, 0.270507, 0.80572, 19
8.3326, 1070129, 3, 7, 5386, 7431, 17102, 3.40678, 0.304834, 0.605361, 17
8.28076, 1070130, 4, 4, 779, 1122, 1351, 3.22085, 0.430216, 0.794857, 9
8.35243, 1070131, 3, 6, 6199, 17936, 50221, 1.28335, 0.928584, 0.179016, 9
8.52692, 1070132, 4, 4, 457, 1019, 1321, 1.6509, 0.0421207, 0.610806, 18
8.2323, 1070133, 4, 7, 5411, 10946, 30659, 3.70011, 0.205548, 0.35354, 2
8.32515, 1070134, 4, 6, 4189, 11264, 11682, 3.37826, 0.538608, 0.865283, 16
8.26447, 1070135, 4, 4, 634, 1106, 1402, 3.52652, 0.15678, 0.633015, 19
8.32231, 1070136, 3, 5, 1859, 4570, 9525, 3.18693, 0.449536, 0.00915758, 14
8.36965, 1070137, 3, 3, 207, 308, 906, 3.07331, 0.0941875, 0.190386, 15
8.40796, 1070138, 5, 5, 791, 853, 2058, 1.15532, 0.506093, 0.482035, 13
8.18777, 1070139, 5, 7, 8451, 13101, 22674, 2.17723, 0.272822, 0.19637, 5
8.22477, 1070140, 4, 6, 5262, 15595, 28887, 3.61657, 0.286406, 0.102313, 14
8.20925, 1070141, 3, 5, 1814, 4521, 4964, 3.13038, 0.636963, 0.638413, 13
8.29743, 1070142, 3, 5, 2827, 5953, 9749, 1.08007, 0.0638884, 0.463742, 17
8.25071, 1070143, 7, 7, 3926, 9352, 16966, 1.57523, 0.164229, 0.842458, 10
8.1661, 1070144, 3, 6, 3649, 9636, 28005, 1.74015, 0.258403, 0.496503, 4
8.30956, 1070145, 4, 6, 3437, 5513, 10464, 3.16055, 0.198541, 0.459954, 19
8.31259, 1070146, 3, 3, 111, 278, 423, 2.04019, 0.245434, 0.7718, 4
8.26156, 1070147, 7, 7, 3329, 5309, 6419, 2.47774, 0.292882, 0.870125, 5
8.27473, 1070148, 3, 5, 1617, 4826, 9737, 2.32048, 0.867134, 0.312501, 16
8.35256, 1070149, 5, 6, 2898, 6041, 17013, 2.56391, 0.824298, 0.390705, 16
8.14774, 1070150, 3, 6, 3646, 4882, 14026, 3.38538, 0.0534426, 0.0576727, 13
