Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,55.1724 ,55.1724 ,0.00017
update best ,1 ,116 ,116 ,1 ,116 ,8.31426 ,8.31426 ,0.23772
local optima ,1 ,117 ,117 ,1 ,116 ,8.31426 ,8.31426 ,0.237804
new initTour ,1 ,117 ,117 ,2 ,0 ,57.7714 ,8.31426 ,0.237889
local optima ,1 ,228 ,228 ,2 ,111 ,8.33412 ,8.31426 ,0.496509
new initTour ,1 ,228 ,228 ,3 ,0 ,51.1273 ,8.31426 ,0.496604
local optima ,1 ,343 ,343 ,3 ,115 ,8.42143 ,8.31426 ,0.702293
new initTour ,1 ,343 ,343 ,4 ,0 ,56.5776 ,8.31426 ,0.702359
local optima ,1 ,455 ,455 ,4 ,112 ,8.39071 ,8.31426 ,0.960504
new initTour ,1 ,455 ,455 ,5 ,0 ,57.4606 ,8.31426 ,0.960578
local optima ,1 ,568 ,568 ,5 ,113 ,8.65857 ,8.31426 ,1.18576
new initTour ,1 ,568 ,568 ,6 ,0 ,60.9299 ,8.31426 ,1.18582
local optima ,1 ,676 ,676 ,6 ,108 ,8.4005 ,8.31426 ,1.4662
new initTour ,1 ,676 ,676 ,7 ,0 ,56.647 ,8.31426 ,1.46627
local optima ,1 ,800 ,800 ,7 ,124 ,8.669 ,8.31426 ,1.70499
new initTour ,1 ,800 ,800 ,8 ,0 ,55.7303 ,8.31426 ,1.70505
local optima ,1 ,914 ,914 ,8 ,114 ,8.79372 ,8.31426 ,1.93871
new initTour ,1 ,914 ,914 ,9 ,0 ,56.2937 ,8.31426 ,1.93879
local optima ,1 ,1038 ,1038 ,9 ,124 ,8.45064 ,8.31426 ,2.20039
new initTour ,1 ,1038 ,1038 ,10 ,0 ,54.7756 ,8.31426 ,2.20046
local optima ,1 ,1144 ,1144 ,10 ,106 ,8.89679 ,8.31426 ,2.43587
new initTour ,1 ,1144 ,1144 ,11 ,0 ,53.55 ,8.31426 ,2.43594
local optima ,1 ,1248 ,1248 ,11 ,104 ,8.36821 ,8.31426 ,2.64679
new initTour ,1 ,1248 ,1248 ,12 ,0 ,55.2052 ,8.31426 ,2.64686
local optima ,1 ,1352 ,1352 ,12 ,104 ,8.50423 ,8.31426 ,2.88055
new initTour ,1 ,1352 ,1352 ,13 ,0 ,53.5992 ,8.31426 ,2.88063
local optima ,1 ,1466 ,1466 ,13 ,114 ,8.50204 ,8.31426 ,3.09198
new initTour ,1 ,1466 ,1466 ,14 ,0 ,57.9921 ,8.31426 ,3.09205
local optima ,1 ,1585 ,1585 ,14 ,119 ,8.57615 ,8.31426 ,3.36275
new initTour ,1 ,1585 ,1585 ,15 ,0 ,54.9057 ,8.31426 ,3.36282
epi end ,1 ,1601 ,1601 ,15 ,16 ,40.3134 ,8.31426 ,3.44861
epi begin ,2 ,1 ,1601 ,15 ,16 ,40.3134 ,8.31426 ,10.7999
local optima ,2 ,236 ,1836 ,15 ,251 ,8.36484 ,8.31426 ,11.1647
new initTour ,2 ,236 ,1836 ,16 ,0 ,52.9577 ,8.31426 ,11.1648
update best ,2 ,466 ,2066 ,16 ,231 ,8.12379 ,8.12379 ,11.6962
local optima ,2 ,467 ,2067 ,16 ,231 ,8.12379 ,8.12379 ,11.6964
new initTour ,2 ,467 ,2067 ,17 ,0 ,54.7915 ,8.12379 ,11.6966
local optima ,2 ,701 ,2301 ,17 ,234 ,8.20184 ,8.12379 ,12.1531
new initTour ,2 ,701 ,2301 ,18 ,0 ,51.7484 ,8.12379 ,12.1532
local optima ,2 ,919 ,2519 ,18 ,218 ,8.27434 ,8.12379 ,12.6471
new initTour ,2 ,919 ,2519 ,19 ,0 ,54.6171 ,8.12379 ,12.6471
local optima ,2 ,1188 ,2788 ,19 ,269 ,8.78179 ,8.12379 ,13.3454
new initTour ,2 ,1188 ,2788 ,20 ,0 ,58.5436 ,8.12379 ,13.3454
local optima ,2 ,1457 ,3057 ,20 ,269 ,8.34207 ,8.12379 ,14.0093
new initTour ,2 ,1457 ,3057 ,21 ,0 ,58.019 ,8.12379 ,14.0093
epi end ,2 ,1601 ,3201 ,21 ,144 ,19.4676 ,8.12379 ,14.5937
epi begin ,3 ,1 ,3201 ,21 ,144 ,19.4676 ,8.12379 ,19.0293
local optima ,3 ,114 ,3314 ,21 ,257 ,8.19794 ,8.12379 ,19.0911
new initTour ,3 ,114 ,3314 ,22 ,0 ,54.8462 ,8.12379 ,19.0913
local optima ,3 ,418 ,3618 ,22 ,304 ,8.37183 ,8.12379 ,19.9892
new initTour ,3 ,418 ,3618 ,23 ,0 ,55.9759 ,8.12379 ,19.9893
local optima ,3 ,690 ,3890 ,23 ,272 ,8.63948 ,8.12379 ,20.614
new initTour ,3 ,690 ,3890 ,24 ,0 ,51.5072 ,8.12379 ,20.614
local optima ,3 ,969 ,4169 ,24 ,279 ,8.33175 ,8.12379 ,21.3453
new initTour ,3 ,969 ,4169 ,25 ,0 ,55.6669 ,8.12379 ,21.3453
local optima ,3 ,1243 ,4443 ,25 ,274 ,8.65285 ,8.12379 ,22.076
new initTour ,3 ,1243 ,4443 ,26 ,0 ,54.3255 ,8.12379 ,22.076
local optima ,3 ,1473 ,4673 ,26 ,230 ,8.65878 ,8.12379 ,22.6581
new initTour ,3 ,1473 ,4673 ,27 ,0 ,57.6722 ,8.12379 ,22.6582
epi end ,3 ,1601 ,4801 ,27 ,128 ,19.0755 ,8.12379 ,23.2136
epi begin ,4 ,1 ,4801 ,27 ,128 ,19.0755 ,8.12379 ,27.0905
local optima ,4 ,112 ,4912 ,27 ,239 ,8.5342 ,8.12379 ,27.1536
new initTour ,4 ,112 ,4912 ,28 ,0 ,56.6525 ,8.12379 ,27.1537
local optima ,4 ,322 ,5122 ,28 ,210 ,8.67847 ,8.12379 ,27.6726
new initTour ,4 ,322 ,5122 ,29 ,0 ,55.7578 ,8.12379 ,27.6727
local optima ,4 ,530 ,5330 ,29 ,208 ,8.72732 ,8.12379 ,28.2944
new initTour ,4 ,530 ,5330 ,30 ,0 ,59.8905 ,8.12379 ,28.2945
local optima ,4 ,781 ,5581 ,30 ,251 ,9.04962 ,8.12379 ,28.9822
new initTour ,4 ,781 ,5581 ,31 ,0 ,57.5699 ,8.12379 ,28.9823
local optima ,4 ,1013 ,5813 ,31 ,232 ,8.77599 ,8.12379 ,29.5078
new initTour ,4 ,1013 ,5813 ,32 ,0 ,54.6221 ,8.12379 ,29.5079
local optima ,4 ,1247 ,6047 ,32 ,234 ,8.26982 ,8.12379 ,30.031
new initTour ,4 ,1247 ,6047 ,33 ,0 ,53.8725 ,8.12379 ,30.0311
local optima ,4 ,1493 ,6293 ,33 ,246 ,8.57967 ,8.12379 ,30.6553
new initTour ,4 ,1493 ,6293 ,34 ,0 ,53.0668 ,8.12379 ,30.6554
epi end ,4 ,1601 ,6401 ,34 ,108 ,21.446 ,8.12379 ,31.0882
epi begin ,5 ,1 ,6401 ,34 ,108 ,21.446 ,8.12379 ,35.4053
local optima ,5 ,120 ,6520 ,34 ,227 ,8.46134 ,8.12379 ,35.4783
new initTour ,5 ,120 ,6520 ,35 ,0 ,57.1818 ,8.12379 ,35.4784
local optima ,5 ,343 ,6743 ,35 ,223 ,8.56363 ,8.12379 ,36.122
new initTour ,5 ,343 ,6743 ,36 ,0 ,60.5944 ,8.12379 ,36.122
local optima ,5 ,563 ,6963 ,36 ,220 ,8.40647 ,8.12379 ,36.732
new initTour ,5 ,563 ,6963 ,37 ,0 ,55.2887 ,8.12379 ,36.7321
local optima ,5 ,825 ,7225 ,37 ,262 ,8.40231 ,8.12379 ,37.3817
new initTour ,5 ,825 ,7225 ,38 ,0 ,53.386 ,8.12379 ,37.3818
local optima ,5 ,1054 ,7454 ,38 ,229 ,8.61448 ,8.12379 ,37.9411
new initTour ,5 ,1054 ,7454 ,39 ,0 ,57.4513 ,8.12379 ,37.9411
local optima ,5 ,1308 ,7708 ,39 ,254 ,8.54397 ,8.12379 ,38.6084
new initTour ,5 ,1308 ,7708 ,40 ,0 ,61.0925 ,8.12379 ,38.6085
local optima ,5 ,1550 ,7950 ,40 ,242 ,8.56115 ,8.12379 ,39.3173
new initTour ,5 ,1550 ,7950 ,41 ,0 ,54.5005 ,8.12379 ,39.3173
epi end ,5 ,1601 ,8001 ,41 ,51 ,32.472 ,8.12379 ,39.6612
epi begin ,6 ,1 ,8001 ,41 ,51 ,32.472 ,8.12379 ,44.1939
local optima ,6 ,203 ,8203 ,41 ,253 ,8.46569 ,8.12379 ,44.4221
new initTour ,6 ,203 ,8203 ,42 ,0 ,56.0032 ,8.12379 ,44.4222
local optima ,6 ,470 ,8470 ,42 ,267 ,8.33134 ,8.12379 ,45.0703
new initTour ,6 ,470 ,8470 ,43 ,0 ,56.0878 ,8.12379 ,45.0703
local optima ,6 ,714 ,8714 ,43 ,244 ,9.08229 ,8.12379 ,45.5971
new initTour ,6 ,714 ,8714 ,44 ,0 ,56.5567 ,8.12379 ,45.5972
local optima ,6 ,1001 ,9001 ,44 ,287 ,8.40594 ,8.12379 ,46.3637
new initTour ,6 ,1001 ,9001 ,45 ,0 ,53.4467 ,8.12379 ,46.3638
local optima ,6 ,1275 ,9275 ,45 ,274 ,8.39057 ,8.12379 ,47.1672
new initTour ,6 ,1275 ,9275 ,46 ,0 ,59.0914 ,8.12379 ,47.1673
local optima ,6 ,1543 ,9543 ,46 ,268 ,8.32789 ,8.12379 ,48.081
new initTour ,6 ,1543 ,9543 ,47 ,0 ,55.2889 ,8.12379 ,48.081
epi end ,6 ,1601 ,9601 ,47 ,58 ,33.9911 ,8.12379 ,48.4689
