tourCount, initScore, optScore, bestScore, sec
1 ,55.1724 ,8.26934 ,8.26934 ,0.056704
2 ,57.7714 ,8.39665 ,8.26934 ,0.120545
3 ,51.1273 ,8.92581 ,8.26934 ,0.173953
4 ,56.5776 ,8.44375 ,8.26934 ,0.235257
5 ,57.4606 ,8.63996 ,8.26934 ,0.30088
6 ,60.9299 ,8.54519 ,8.26934 ,0.377587
7 ,56.647 ,8.6216 ,8.26934 ,0.442239
8 ,55.7303 ,8.65346 ,8.26934 ,0.500746
9 ,56.2937 ,8.41442 ,8.26934 ,0.564316
10 ,54.7756 ,8.55441 ,8.26934 ,0.626715
11 ,53.55 ,8.33835 ,8.26934 ,0.681309
12 ,55.2052 ,8.42418 ,8.26934 ,0.743152
13 ,53.5992 ,8.80096 ,8.26934 ,0.807065
14 ,57.9921 ,8.40003 ,8.26934 ,0.879382
15 ,54.9057 ,8.62018 ,8.26934 ,0.944117
16 ,52.9577 ,8.33582 ,8.26934 ,1.00055
17 ,54.7915 ,8.42104 ,8.26934 ,1.05288
18 ,51.7484 ,8.32428 ,8.26934 ,1.10588
19 ,54.6171 ,8.46465 ,8.26934 ,1.1692
20 ,58.5436 ,8.56218 ,8.26934 ,1.23942
21 ,58.019 ,9.21949 ,8.26934 ,1.30867
22 ,54.8462 ,8.57278 ,8.26934 ,1.36885
23 ,55.9759 ,8.29069 ,8.26934 ,1.4356
24 ,51.5072 ,8.21619 ,8.21619 ,1.48961
25 ,55.6669 ,8.36271 ,8.21619 ,1.55144
26 ,54.3255 ,8.32347 ,8.21619 ,1.61056
27 ,57.6722 ,8.90318 ,8.21619 ,1.66655
28 ,56.6525 ,8.74812 ,8.21619 ,1.72019
29 ,55.7578 ,8.94647 ,8.21619 ,1.78416
30 ,59.8905 ,8.57124 ,8.21619 ,1.8518
31 ,57.5699 ,8.52927 ,8.21619 ,1.92417
32 ,54.6221 ,8.56721 ,8.21619 ,1.98674
33 ,53.8725 ,8.62224 ,8.21619 ,2.04599
34 ,53.0668 ,8.83202 ,8.21619 ,2.10199
35 ,57.1818 ,8.13768 ,8.13768 ,2.17178
36 ,60.5944 ,8.09539 ,8.09539 ,2.2367
37 ,55.2887 ,8.95636 ,8.09539 ,2.29059
