Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,55.1724 ,55.1724 ,0.000169
update best ,1 ,111 ,111 ,1 ,111 ,8.63225 ,8.63225 ,0.235278
local optima ,1 ,112 ,112 ,1 ,111 ,8.63225 ,8.63225 ,0.235346
new initTour ,1 ,112 ,112 ,2 ,0 ,57.7714 ,8.63225 ,0.235409
update best ,1 ,218 ,218 ,2 ,107 ,8.6146 ,8.6146 ,0.498092
local optima ,1 ,219 ,219 ,2 ,107 ,8.6146 ,8.6146 ,0.498155
new initTour ,1 ,219 ,219 ,3 ,0 ,51.1273 ,8.6146 ,0.498217
local optima ,1 ,330 ,330 ,3 ,111 ,8.78231 ,8.6146 ,0.70356
new initTour ,1 ,330 ,330 ,4 ,0 ,56.5776 ,8.6146 ,0.703622
local optima ,1 ,437 ,437 ,4 ,107 ,8.83389 ,8.6146 ,0.956847
new initTour ,1 ,437 ,437 ,5 ,0 ,57.4606 ,8.6146 ,0.956912
update best ,1 ,547 ,547 ,5 ,111 ,8.08638 ,8.08638 ,1.19266
local optima ,1 ,548 ,548 ,5 ,111 ,8.08638 ,8.08638 ,1.19271
new initTour ,1 ,548 ,548 ,6 ,0 ,60.9299 ,8.08638 ,1.19278
local optima ,1 ,669 ,669 ,6 ,121 ,8.44932 ,8.08638 ,1.49164
new initTour ,1 ,669 ,669 ,7 ,0 ,56.647 ,8.08638 ,1.49169
local optima ,1 ,773 ,773 ,7 ,104 ,9.05217 ,8.08638 ,1.7343
new initTour ,1 ,773 ,773 ,8 ,0 ,55.7303 ,8.08638 ,1.73437
epi end ,1 ,801 ,801 ,8 ,28 ,26.5579 ,8.08638 ,1.92025
epi begin ,2 ,1 ,801 ,8 ,28 ,26.5579 ,8.08638 ,3.44851
local optima ,2 ,213 ,1013 ,8 ,240 ,8.7426 ,8.08638 ,3.67828
new initTour ,2 ,213 ,1013 ,9 ,0 ,56.2937 ,8.08638 ,3.67835
local optima ,2 ,682 ,1482 ,9 ,469 ,8.99838 ,8.08638 ,5.14297
new initTour ,2 ,682 ,1482 ,10 ,0 ,54.7756 ,8.08638 ,5.14303
epi end ,2 ,801 ,1601 ,10 ,119 ,28.9677 ,8.08638 ,5.87845
epi begin ,3 ,1 ,1601 ,10 ,119 ,28.9677 ,8.08638 ,7.2507
local optima ,3 ,261 ,1861 ,10 ,379 ,8.81754 ,8.08638 ,7.53713
new initTour ,3 ,261 ,1861 ,11 ,0 ,53.55 ,8.08638 ,7.53719
local optima ,3 ,627 ,2227 ,11 ,366 ,8.27852 ,8.08638 ,8.48576
new initTour ,3 ,627 ,2227 ,12 ,0 ,55.2052 ,8.08638 ,8.48583
epi end ,3 ,801 ,2401 ,12 ,174 ,21.8647 ,8.08638 ,9.37929
