Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,55.1724 ,55.1724 ,0.000216
update best ,1 ,116 ,116 ,1 ,116 ,8.31426 ,8.31426 ,0.237877
local optima ,1 ,117 ,117 ,1 ,116 ,8.31426 ,8.31426 ,0.237955
new initTour ,1 ,117 ,117 ,2 ,0 ,57.7714 ,8.31426 ,0.23803
local optima ,1 ,228 ,228 ,2 ,111 ,8.33412 ,8.31426 ,0.500281
new initTour ,1 ,228 ,228 ,3 ,0 ,51.1273 ,8.31426 ,0.500373
local optima ,1 ,343 ,343 ,3 ,115 ,8.42143 ,8.31426 ,0.707215
new initTour ,1 ,343 ,343 ,4 ,0 ,56.5776 ,8.31426 ,0.707291
local optima ,1 ,455 ,455 ,4 ,112 ,8.39071 ,8.31426 ,0.975129
new initTour ,1 ,455 ,455 ,5 ,0 ,57.4606 ,8.31426 ,0.975216
local optima ,1 ,568 ,568 ,5 ,113 ,8.65857 ,8.31426 ,1.20103
new initTour ,1 ,568 ,568 ,6 ,0 ,60.9299 ,8.31426 ,1.2011
local optima ,1 ,676 ,676 ,6 ,108 ,8.4005 ,8.31426 ,1.48596
new initTour ,1 ,676 ,676 ,7 ,0 ,56.647 ,8.31426 ,1.48603
local optima ,1 ,800 ,800 ,7 ,124 ,8.669 ,8.31426 ,1.72837
new initTour ,1 ,800 ,800 ,8 ,0 ,55.7303 ,8.31426 ,1.72843
local optima ,1 ,914 ,914 ,8 ,114 ,8.79372 ,8.31426 ,1.95421
new initTour ,1 ,914 ,914 ,9 ,0 ,56.2937 ,8.31426 ,1.95431
local optima ,1 ,1038 ,1038 ,9 ,124 ,8.45064 ,8.31426 ,2.22567
new initTour ,1 ,1038 ,1038 ,10 ,0 ,54.7756 ,8.31426 ,2.22574
local optima ,1 ,1144 ,1144 ,10 ,106 ,8.89679 ,8.31426 ,2.45737
new initTour ,1 ,1144 ,1144 ,11 ,0 ,53.55 ,8.31426 ,2.45746
local optima ,1 ,1248 ,1248 ,11 ,104 ,8.36821 ,8.31426 ,2.66412
new initTour ,1 ,1248 ,1248 ,12 ,0 ,55.2052 ,8.31426 ,2.66419
