tourCount, initScore, optScore, bestScore, sec
1 ,55.1724 ,8.49531 ,8.49531 ,0.054613
2 ,57.7714 ,8.56592 ,8.49531 ,0.12231
3 ,51.1273 ,8.35763 ,8.35763 ,0.177203
4 ,56.5776 ,8.34992 ,8.34992 ,0.240396
5 ,57.4606 ,8.92705 ,8.34992 ,0.307843
6 ,60.9299 ,8.35538 ,8.34992 ,0.391244
7 ,56.647 ,8.62061 ,8.34992 ,0.46049
8 ,55.7303 ,8.73469 ,8.34992 ,0.520677
9 ,56.2937 ,8.41048 ,8.34992 ,0.581199
10 ,54.7756 ,8.37742 ,8.34992 ,0.639668
11 ,53.55 ,8.83038 ,8.34992 ,0.692264
12 ,55.2052 ,8.21844 ,8.21844 ,0.753848
13 ,53.5992 ,8.73562 ,8.21844 ,0.804387
14 ,57.9921 ,8.75813 ,8.21844 ,0.873926
15 ,54.9057 ,8.68658 ,8.21844 ,0.93558
16 ,52.9577 ,8.34544 ,8.21844 ,0.990197
17 ,54.7915 ,8.15676 ,8.15676 ,1.04644
18 ,51.7484 ,8.62257 ,8.15676 ,1.09529
19 ,54.6171 ,8.20109 ,8.15676 ,1.1588
20 ,58.5436 ,8.5911 ,8.15676 ,1.22955
21 ,58.019 ,8.57197 ,8.15676 ,1.2944
22 ,54.8462 ,8.56779 ,8.15676 ,1.35637
23 ,55.9759 ,8.2895 ,8.15676 ,1.42426
24 ,51.5072 ,8.57919 ,8.15676 ,1.47497
25 ,55.6669 ,8.30086 ,8.15676 ,1.53596
26 ,54.3255 ,8.5641 ,8.15676 ,1.59408
27 ,57.6722 ,8.14474 ,8.14474 ,1.66653
28 ,56.6525 ,8.24171 ,8.14474 ,1.72853
29 ,55.7578 ,8.31699 ,8.14474 ,1.79536
30 ,59.8905 ,8.8943 ,8.14474 ,1.87073
31 ,57.5699 ,8.66554 ,8.14474 ,1.94855
32 ,54.6221 ,8.58943 ,8.14474 ,2.00888
33 ,53.8725 ,8.70109 ,8.14474 ,2.06277
34 ,53.0668 ,9.02544 ,8.14474 ,2.11639
35 ,57.1818 ,8.45921 ,8.14474 ,2.18459
36 ,60.5944 ,8.82161 ,8.14474 ,2.2598
37 ,55.2887 ,8.98176 ,8.14474 ,2.31494
38 ,53.386 ,8.25544 ,8.14474 ,2.37225
39 ,57.4513 ,8.45923 ,8.14474 ,2.43723
40 ,61.0925 ,8.25523 ,8.14474 ,2.51393
41 ,54.5005 ,8.58806 ,8.14474 ,2.56675
42 ,56.0032 ,8.48295 ,8.14474 ,2.62534
43 ,56.0878 ,8.3475 ,8.14474 ,2.69079
44 ,56.5567 ,8.38887 ,8.14474 ,2.75511
45 ,53.4467 ,8.14458 ,8.14458 ,2.81237
46 ,59.0914 ,8.48352 ,8.14458 ,2.87495
47 ,55.2889 ,8.68361 ,8.14458 ,2.93739
48 ,51.8896 ,8.34292 ,8.14458 ,2.99187
49 ,56.1308 ,8.34732 ,8.14458 ,3.0507
50 ,52.9597 ,8.63911 ,8.14458 ,3.11007
51 ,57.5846 ,8.77376 ,8.14458 ,3.17988
52 ,55.8095 ,8.72883 ,8.14458 ,3.2381
53 ,57.6803 ,8.34619 ,8.14458 ,3.30916
54 ,58.0435 ,8.34033 ,8.14458 ,3.36678
55 ,55.8979 ,8.37432 ,8.14458 ,3.42927
56 ,56.5849 ,8.17549 ,8.14458 ,3.49594
57 ,54.295 ,8.67773 ,8.14458 ,3.56192
58 ,58.8617 ,8.73972 ,8.14458 ,3.6376
59 ,54.0091 ,8.97382 ,8.14458 ,3.70002
60 ,59.2147 ,8.60781 ,8.14458 ,3.76899
61 ,55.3881 ,8.45081 ,8.14458 ,3.8272
62 ,58.0857 ,8.67126 ,8.14458 ,3.89994
63 ,51.9564 ,8.37523 ,8.14458 ,3.95807
64 ,54.9222 ,8.51999 ,8.14458 ,4.02227
65 ,56.9317 ,8.59609 ,8.14458 ,4.08742
66 ,54.4544 ,8.2897 ,8.14458 ,4.14985
67 ,53.2949 ,8.51519 ,8.14458 ,4.20239
68 ,55.0934 ,8.49183 ,8.14458 ,4.26742
69 ,54.8666 ,8.61604 ,8.14458 ,4.32938
70 ,58.2572 ,8.51741 ,8.14458 ,4.40077
71 ,57.9224 ,8.3432 ,8.14458 ,4.47433
72 ,55.2273 ,8.75117 ,8.14458 ,4.53499
73 ,54.9368 ,8.40404 ,8.14458 ,4.59929
74 ,52.3755 ,8.21918 ,8.14458 ,4.65605
75 ,54.866 ,8.67769 ,8.14458 ,4.71618
76 ,57.9641 ,9.05534 ,8.14458 ,4.78468
77 ,53.2798 ,8.63532 ,8.14458 ,4.84242
78 ,55.6106 ,8.4964 ,8.14458 ,4.90059
79 ,56.6236 ,8.45324 ,8.14458 ,4.96717
80 ,55.4634 ,8.31229 ,8.14458 ,5.02969
81 ,57.2983 ,8.70003 ,8.14458 ,5.09236
82 ,56.1671 ,8.81154 ,8.14458 ,5.15021
83 ,55.1396 ,8.40843 ,8.14458 ,5.20533
84 ,52.4448 ,8.43511 ,8.14458 ,5.25964
85 ,53.5594 ,8.23774 ,8.14458 ,5.31402
86 ,51.6754 ,8.38309 ,8.14458 ,5.35981
87 ,54.6749 ,8.75478 ,8.14458 ,5.42253
88 ,57.0396 ,8.59531 ,8.14458 ,5.49012
89 ,52.1671 ,8.70266 ,8.14458 ,5.54375
90 ,55.3738 ,8.78155 ,8.14458 ,5.60435
91 ,54.4991 ,8.47604 ,8.14458 ,5.65598
92 ,52.9381 ,8.94006 ,8.14458 ,5.70603
93 ,57.0114 ,8.69785 ,8.14458 ,5.76881
94 ,55.0938 ,8.67352 ,8.14458 ,5.8169
95 ,57.7411 ,8.378 ,8.14458 ,5.88332
96 ,54.4616 ,8.75969 ,8.14458 ,5.9397
97 ,57.1475 ,8.70267 ,8.14458 ,6.00379
98 ,56.4509 ,8.66095 ,8.14458 ,6.06961
99 ,57.9615 ,8.61846 ,8.14458 ,6.13309
100 ,59.2351 ,8.63665 ,8.14458 ,6.20346
101 ,52.9417 ,8.99279 ,8.14458 ,6.25736
102 ,57.0998 ,8.84966 ,8.14458 ,6.32476
103 ,54.0741 ,8.65618 ,8.14458 ,6.38694
104 ,61.8826 ,8.36725 ,8.14458 ,6.45749
105 ,55.0035 ,8.5981 ,8.14458 ,6.50847
106 ,57.1362 ,8.22509 ,8.14458 ,6.57011
107 ,51.871 ,8.49544 ,8.14458 ,6.62187
108 ,57.299 ,8.32574 ,8.14458 ,6.68717
109 ,53.9021 ,8.36542 ,8.14458 ,6.74851
110 ,56.5475 ,8.57198 ,8.14458 ,6.81609
111 ,55.9054 ,8.54493 ,8.14458 ,6.87751
112 ,57.0605 ,8.38633 ,8.14458 ,6.94209
113 ,56.6499 ,8.35205 ,8.14458 ,7.01265
114 ,55.9381 ,8.66691 ,8.14458 ,7.06251
115 ,57.707 ,8.60411 ,8.14458 ,7.1295
116 ,56.8861 ,8.68981 ,8.14458 ,7.19481
117 ,53.257 ,8.58927 ,8.14458 ,7.24155
118 ,54.8371 ,9.06947 ,8.14458 ,7.30095
119 ,56.5917 ,8.3675 ,8.14458 ,7.36735
120 ,58.221 ,8.82397 ,8.14458 ,7.4376
121 ,56.78 ,9.39067 ,8.14458 ,7.49409
122 ,56.074 ,8.68093 ,8.14458 ,7.56209
123 ,55.2751 ,8.74047 ,8.14458 ,7.61219
124 ,54.9797 ,8.39821 ,8.14458 ,7.67006
125 ,58.5491 ,8.54421 ,8.14458 ,7.73527
126 ,56.8739 ,8.58737 ,8.14458 ,7.79699
127 ,56.1102 ,8.56717 ,8.14458 ,7.86531
128 ,55.5942 ,8.51701 ,8.14458 ,7.92416
129 ,55.3401 ,8.64365 ,8.14458 ,7.98701
130 ,52.7754 ,8.42125 ,8.14458 ,8.04053
131 ,56.6666 ,8.64251 ,8.14458 ,8.1036
132 ,52.2589 ,8.40956 ,8.14458 ,8.1588
133 ,54.2628 ,8.04266 ,8.04266 ,8.21792
134 ,52.8004 ,8.63438 ,8.04266 ,8.27373
135 ,53.0033 ,8.9184 ,8.04266 ,8.32644
136 ,53.7652 ,8.63714 ,8.04266 ,8.38547
137 ,50.3704 ,8.7837 ,8.04266 ,8.43392
138 ,51.4601 ,8.70249 ,8.04266 ,8.48989
139 ,58.1385 ,8.69887 ,8.04266 ,8.55323
140 ,56.0192 ,8.581 ,8.04266 ,8.61375
141 ,48.5469 ,8.35467 ,8.04266 ,8.65555
142 ,53.5318 ,8.16812 ,8.04266 ,8.70922
143 ,55.0943 ,8.71051 ,8.04266 ,8.76973
144 ,49.3891 ,8.59222 ,8.04266 ,8.81107
145 ,56.9445 ,8.43463 ,8.04266 ,8.87635
146 ,57.7336 ,8.6027 ,8.04266 ,8.94125
147 ,55.9354 ,8.61051 ,8.04266 ,9.00599
148 ,56.3777 ,8.31954 ,8.04266 ,9.06426
149 ,55.722 ,8.70392 ,8.04266 ,9.12783
150 ,52.5565 ,8.37467 ,8.04266 ,9.17996
151 ,56.1401 ,8.65714 ,8.04266 ,9.24176
152 ,53.7081 ,8.30133 ,8.04266 ,9.2956
153 ,55.7649 ,8.55546 ,8.04266 ,9.36715
154 ,56.0791 ,8.43926 ,8.04266 ,9.4347
155 ,55.9425 ,8.68414 ,8.04266 ,9.49468
156 ,55.0268 ,8.72008 ,8.04266 ,9.54944
157 ,59.8951 ,8.71806 ,8.04266 ,9.61754
158 ,58.8444 ,8.85309 ,8.04266 ,9.68551
159 ,56.7226 ,8.28261 ,8.04266 ,9.74086
160 ,55.7102 ,8.65119 ,8.04266 ,9.80741
161 ,54.9982 ,8.48758 ,8.04266 ,9.86511
162 ,54.9212 ,8.45538 ,8.04266 ,9.92451
163 ,53.8796 ,8.82773 ,8.04266 ,9.98139
164 ,56.0397 ,8.3708 ,8.04266 ,10.037
165 ,54.3636 ,8.22172 ,8.04266 ,10.0937
166 ,58.908 ,8.52754 ,8.04266 ,10.1648
167 ,56.3407 ,8.87744 ,8.04266 ,10.2178
168 ,53.0865 ,8.46848 ,8.04266 ,10.2706
169 ,58.3616 ,8.47608 ,8.04266 ,10.3349
170 ,57.165 ,8.59278 ,8.04266 ,10.4051
171 ,58.6679 ,8.3648 ,8.04266 ,10.4739
172 ,55.9022 ,8.69494 ,8.04266 ,10.5319
173 ,58.8319 ,8.66421 ,8.04266 ,10.6034
174 ,57.232 ,8.88852 ,8.04266 ,10.665
175 ,54.3119 ,8.9709 ,8.04266 ,10.7245
176 ,56.3996 ,8.19694 ,8.04266 ,10.7877
177 ,59.1531 ,9.15835 ,8.04266 ,10.8589
178 ,58.8911 ,8.4345 ,8.04266 ,10.9343
179 ,58.5083 ,8.50025 ,8.04266 ,11.0068
180 ,55.0629 ,8.70601 ,8.04266 ,11.0673
181 ,58.1435 ,8.56664 ,8.04266 ,11.1355
182 ,55.1484 ,8.55178 ,8.04266 ,11.1948
183 ,50.8593 ,8.69838 ,8.04266 ,11.2432
184 ,57.9524 ,8.33836 ,8.04266 ,11.31
185 ,56.7458 ,8.68852 ,8.04266 ,11.3802
186 ,57.1915 ,8.60273 ,8.04266 ,11.4418
187 ,57.5404 ,8.6875 ,8.04266 ,11.5038
188 ,54.961 ,8.89721 ,8.04266 ,11.5563
189 ,53.1757 ,8.9621 ,8.04266 ,11.6113
190 ,53.7946 ,8.64086 ,8.04266 ,11.6686
191 ,55.9586 ,8.58914 ,8.04266 ,11.7276
192 ,56.2127 ,8.66175 ,8.04266 ,11.7909
