tourCount, initScore, optScore, bestScore, sec
1 ,49.8626 ,7.8184 ,7.8184 ,0.758526
2 ,47.4805 ,7.56364 ,7.56364 ,1.4443
3 ,46.2831 ,7.49969 ,7.49969 ,2.08562
4 ,47.5277 ,7.66583 ,7.49969 ,2.74733
5 ,48.2379 ,7.7912 ,7.49969 ,3.45534
6 ,48.972 ,7.62069 ,7.49969 ,4.13699
7 ,49.9528 ,7.90735 ,7.49969 ,4.82334
8 ,47.248 ,7.59257 ,7.49969 ,5.51079
9 ,46.7905 ,7.56411 ,7.49969 ,6.18385
10 ,48.5557 ,7.49705 ,7.49705 ,6.87448
11 ,48.0115 ,7.60205 ,7.49705 ,7.54246
12 ,48.1053 ,7.63884 ,7.49705 ,8.24789
13 ,47.685 ,7.66198 ,7.49705 ,8.99989
14 ,47.7145 ,7.60298 ,7.49705 ,9.66441
15 ,45.191 ,7.62099 ,7.49705 ,10.2811
16 ,47.2625 ,7.83918 ,7.49705 ,10.9345
17 ,49.699 ,7.59531 ,7.49705 ,11.7007
18 ,46.6894 ,7.62295 ,7.49705 ,12.3161
19 ,46.9132 ,7.64592 ,7.49705 ,12.9699
20 ,46.6421 ,7.58925 ,7.49705 ,13.6429
21 ,47.9787 ,7.61723 ,7.49705 ,14.3627
22 ,45.8107 ,7.52144 ,7.49705 ,14.9604
23 ,49.3998 ,7.71113 ,7.49705 ,15.7296
24 ,46.9534 ,7.65534 ,7.49705 ,16.3549
25 ,49.1263 ,7.65016 ,7.49705 ,17.0776
26 ,48.2439 ,7.72845 ,7.49705 ,17.7912
27 ,48.7553 ,7.5472 ,7.49705 ,18.509
28 ,46.2392 ,7.7483 ,7.49705 ,19.1752
29 ,47.5424 ,7.64792 ,7.49705 ,19.896
30 ,45.2837 ,7.73424 ,7.49705 ,20.5137
31 ,48.0549 ,7.65649 ,7.49705 ,21.1662
32 ,47.7912 ,7.84216 ,7.49705 ,21.9035
33 ,46.1592 ,8.0149 ,7.49705 ,22.5029
34 ,48.2666 ,7.41248 ,7.41248 ,23.1942
35 ,49.2327 ,7.56412 ,7.41248 ,23.9439
36 ,46.0154 ,7.56622 ,7.41248 ,24.5544
37 ,47.0575 ,7.52976 ,7.41248 ,25.2159
38 ,49.952 ,7.81177 ,7.41248 ,25.9614
39 ,45.5968 ,7.66214 ,7.41248 ,26.6128
40 ,49.6298 ,7.86744 ,7.41248 ,27.3659
41 ,48.3542 ,7.73856 ,7.41248 ,28.0363
42 ,48.1718 ,7.69999 ,7.41248 ,28.7294
43 ,49.5751 ,7.53151 ,7.41248 ,29.4795
44 ,49.0401 ,7.68544 ,7.41248 ,30.2261
45 ,47.7447 ,7.61803 ,7.41248 ,30.9222
46 ,46.7911 ,7.6164 ,7.41248 ,31.5904
47 ,46.8626 ,7.61239 ,7.41248 ,32.2385
48 ,50.6232 ,7.52429 ,7.41248 ,33.0045
49 ,50.3651 ,7.70962 ,7.41248 ,33.7959
50 ,47.8624 ,7.66913 ,7.41248 ,34.4974
51 ,45.7808 ,7.69343 ,7.41248 ,35.154
52 ,49.5539 ,7.51509 ,7.41248 ,35.8959
53 ,48.4608 ,7.59124 ,7.41248 ,36.6412
54 ,47.1842 ,7.64892 ,7.41248 ,37.2898
55 ,48.3437 ,7.67178 ,7.41248 ,38.0064
56 ,47.1514 ,7.61031 ,7.41248 ,38.6485
57 ,49.3294 ,7.80289 ,7.41248 ,39.3777
58 ,46.4618 ,7.61617 ,7.41248 ,40.0186
59 ,49.6413 ,7.43653 ,7.41248 ,40.7133
60 ,47.4495 ,7.73306 ,7.41248 ,41.3684
61 ,47.3465 ,7.73129 ,7.41248 ,42.0748
62 ,47.1907 ,7.4889 ,7.41248 ,42.7361
63 ,48.3202 ,7.75709 ,7.41248 ,43.4525
64 ,46.6143 ,7.60524 ,7.41248 ,44.1013
65 ,49.6453 ,7.47189 ,7.41248 ,44.865
66 ,47.4491 ,7.66858 ,7.41248 ,45.5502
67 ,49.8891 ,7.57492 ,7.41248 ,46.2876
68 ,48.4689 ,7.64691 ,7.41248 ,47.0115
69 ,47.0036 ,7.57692 ,7.41248 ,47.7139
70 ,47.4169 ,7.60168 ,7.41248 ,48.3964
71 ,45.6612 ,7.51779 ,7.41248 ,49.0723
72 ,49.6756 ,7.6219 ,7.41248 ,49.8806
73 ,49.481 ,7.8369 ,7.41248 ,50.5964
74 ,48.3065 ,7.68155 ,7.41248 ,51.3197
75 ,47.6577 ,7.62722 ,7.41248 ,51.964
76 ,48.1737 ,7.76044 ,7.41248 ,52.6443
77 ,45.6439 ,7.57745 ,7.41248 ,53.2201
78 ,47.4501 ,7.66572 ,7.41248 ,53.9084
79 ,48.9184 ,7.83498 ,7.41248 ,54.6697
80 ,49.5817 ,7.69826 ,7.41248 ,55.3513
81 ,48.6299 ,7.61458 ,7.41248 ,56.1034
82 ,49.6521 ,7.7947 ,7.41248 ,56.8237
83 ,47.8629 ,7.61351 ,7.41248 ,57.5296
84 ,48.5422 ,7.61848 ,7.41248 ,58.2334
85 ,49.2345 ,7.7256 ,7.41248 ,58.9369
86 ,47.7946 ,7.59518 ,7.41248 ,59.6023
87 ,47.4302 ,7.87304 ,7.41248 ,60.3069
88 ,47.3474 ,7.57207 ,7.41248 ,60.9644
89 ,48.5715 ,7.74737 ,7.41248 ,61.6671
90 ,45.835 ,7.78268 ,7.41248 ,62.283
91 ,47.4559 ,7.61707 ,7.41248 ,62.9733
92 ,48.0606 ,7.57285 ,7.41248 ,63.6516
93 ,46.1566 ,7.42699 ,7.41248 ,64.2756
94 ,47.3332 ,7.54164 ,7.41248 ,64.8924
95 ,48.4663 ,7.47729 ,7.41248 ,65.6106
96 ,46.3737 ,7.763 ,7.41248 ,66.3114
97 ,48.1063 ,7.74 ,7.41248 ,67.0236
98 ,48.6756 ,7.63684 ,7.41248 ,67.7455
99 ,48.6784 ,7.48535 ,7.41248 ,68.4349
100 ,49.0096 ,7.53909 ,7.41248 ,69.1408
101 ,49.3692 ,7.49514 ,7.41248 ,69.9056
102 ,47.3166 ,7.66027 ,7.41248 ,70.5943
103 ,48.4065 ,7.79115 ,7.41248 ,71.2914
104 ,48.3527 ,7.63343 ,7.41248 ,72.0086
105 ,45.6438 ,7.63739 ,7.41248 ,72.6555
106 ,49.2839 ,7.74034 ,7.41248 ,73.4328
107 ,49.4877 ,7.79082 ,7.41248 ,74.1621
108 ,46.4912 ,7.6452 ,7.41248 ,74.8073
109 ,47.5791 ,7.65551 ,7.41248 ,75.4798
110 ,49.1577 ,7.53447 ,7.41248 ,76.2212
111 ,49.0632 ,7.60215 ,7.41248 ,77.0232
112 ,47.0072 ,7.7013 ,7.41248 ,77.6936
113 ,49.1522 ,7.43987 ,7.41248 ,78.4015
114 ,47.0544 ,7.79224 ,7.41248 ,79.0645
115 ,48.1674 ,7.72577 ,7.41248 ,79.7541
116 ,48.0198 ,7.52316 ,7.41248 ,80.4697
117 ,49.1328 ,7.67458 ,7.41248 ,81.184
118 ,48.2706 ,7.78373 ,7.41248 ,81.8358
119 ,45.388 ,7.4555 ,7.41248 ,82.4188
120 ,49.5937 ,7.62703 ,7.41248 ,83.1654
121 ,47.9696 ,7.73006 ,7.41248 ,83.8364
122 ,48.8144 ,7.75445 ,7.41248 ,84.5058
