Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,50.7322 ,50.7322 ,0.00015
update best ,1 ,227 ,227 ,1 ,227 ,7.76263 ,7.76263 ,2.59132
local optima ,1 ,228 ,228 ,1 ,227 ,7.76263 ,7.76263 ,2.59145
new initTour ,1 ,228 ,228 ,2 ,0 ,45.9468 ,7.76263 ,2.59157
update best ,1 ,442 ,442 ,2 ,215 ,7.59262 ,7.59262 ,4.56194
local optima ,1 ,443 ,443 ,2 ,215 ,7.59262 ,7.59262 ,4.56209
new initTour ,1 ,443 ,443 ,3 ,0 ,46.4732 ,7.59262 ,4.56226
local optima ,1 ,671 ,671 ,3 ,228 ,7.62939 ,7.59262 ,6.74101
new initTour ,1 ,671 ,671 ,4 ,0 ,49.3006 ,7.59262 ,6.74114
local optima ,1 ,902 ,902 ,4 ,231 ,7.73377 ,7.59262 ,9.14322
new initTour ,1 ,902 ,902 ,5 ,0 ,47.0921 ,7.59262 ,9.14335
update best ,1 ,1118 ,1118 ,5 ,217 ,7.56373 ,7.56373 ,11.3285
local optima ,1 ,1119 ,1119 ,5 ,217 ,7.56373 ,7.56373 ,11.3287
new initTour ,1 ,1119 ,1119 ,6 ,0 ,48.1877 ,7.56373 ,11.3288
local optima ,1 ,1337 ,1337 ,6 ,218 ,7.64304 ,7.56373 ,13.4992
new initTour ,1 ,1337 ,1337 ,7 ,0 ,48.185 ,7.56373 ,13.4994
local optima ,1 ,1565 ,1565 ,7 ,228 ,7.76889 ,7.56373 ,15.7717
new initTour ,1 ,1565 ,1565 ,8 ,0 ,49.343 ,7.56373 ,15.7718
local optima ,1 ,1791 ,1791 ,8 ,226 ,7.91415 ,7.56373 ,18.0576
new initTour ,1 ,1791 ,1791 ,9 ,0 ,49.8761 ,7.56373 ,18.0578
local optima ,1 ,2020 ,2020 ,9 ,229 ,7.66846 ,7.56373 ,20.4384
new initTour ,1 ,2020 ,2020 ,10 ,0 ,48.4741 ,7.56373 ,20.4386
local optima ,1 ,2242 ,2242 ,10 ,222 ,7.59552 ,7.56373 ,22.7442
new initTour ,1 ,2242 ,2242 ,11 ,0 ,50.1772 ,7.56373 ,22.7443
local optima ,1 ,2468 ,2468 ,11 ,226 ,7.78882 ,7.56373 ,25.2605
new initTour ,1 ,2468 ,2468 ,12 ,0 ,48.0669 ,7.56373 ,25.2606
local optima ,1 ,2687 ,2687 ,12 ,219 ,7.68463 ,7.56373 ,27.4138
new initTour ,1 ,2687 ,2687 ,13 ,0 ,47.4364 ,7.56373 ,27.4139
update best ,1 ,2897 ,2897 ,13 ,211 ,7.56003 ,7.56003 ,29.4836
local optima ,1 ,2898 ,2898 ,13 ,211 ,7.56003 ,7.56003 ,29.4838
new initTour ,1 ,2898 ,2898 ,14 ,0 ,47.8085 ,7.56003 ,29.4839
local optima ,1 ,3123 ,3123 ,14 ,225 ,7.60261 ,7.56003 ,31.7386
new initTour ,1 ,3123 ,3123 ,15 ,0 ,45.3573 ,7.56003 ,31.7387
update best ,1 ,3348 ,3348 ,15 ,226 ,7.44778 ,7.44778 ,33.6688
local optima ,1 ,3349 ,3349 ,15 ,226 ,7.44778 ,7.44778 ,33.6689
new initTour ,1 ,3349 ,3349 ,16 ,0 ,48.4518 ,7.44778 ,33.669
local optima ,1 ,3575 ,3575 ,16 ,226 ,7.57785 ,7.44778 ,35.9268
