Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,46.8973 ,46.8973 ,0.000158
update best ,1 ,200 ,200 ,1 ,200 ,7.78753 ,7.78753 ,2.35337
epi end ,1 ,201 ,201 ,1 ,200 ,7.78753 ,7.78753 ,2.35337
update best ,2 ,18 ,218 ,1 ,218 ,7.72271 ,7.72271 ,3.0585
local optima ,2 ,19 ,219 ,1 ,218 ,7.72271 ,7.72271 ,3.05862
new initTour ,2 ,19 ,219 ,2 ,0 ,47.1443 ,7.72271 ,3.05874
epi end ,2 ,201 ,401 ,2 ,182 ,34.4041 ,7.72271 ,10.7516
epi begin ,3 ,1 ,401 ,2 ,182 ,34.4041 ,7.72271 ,12.7727
epi end ,3 ,201 ,601 ,2 ,382 ,25.9478 ,7.72271 ,17.0514
epi begin ,4 ,1 ,601 ,2 ,382 ,25.9478 ,7.72271 ,18.9094
epi end ,4 ,201 ,801 ,2 ,582 ,20.9561 ,7.72271 ,21.5697
epi begin ,5 ,1 ,801 ,2 ,582 ,20.9561 ,7.72271 ,23.6011
epi end ,5 ,201 ,1001 ,2 ,782 ,16.3755 ,7.72271 ,25.0544
epi begin ,6 ,1 ,1001 ,2 ,782 ,16.3755 ,7.72271 ,26.1877
epi end ,6 ,201 ,1201 ,2 ,982 ,12.1996 ,7.72271 ,27.0364
epi begin ,7 ,1 ,1201 ,2 ,982 ,12.1996 ,7.72271 ,27.7981
epi end ,7 ,201 ,1401 ,2 ,1182 ,8.0403 ,7.72271 ,28.0565
epi begin ,8 ,1 ,1401 ,2 ,1182 ,8.0403 ,7.72271 ,28.4556
update best ,8 ,39 ,1439 ,2 ,1221 ,7.56998 ,7.56998 ,28.4682
local optima ,8 ,40 ,1440 ,2 ,1221 ,7.56998 ,7.56998 ,28.4683
new initTour ,8 ,40 ,1440 ,3 ,0 ,47.0761 ,7.56998 ,28.4684
epi end ,8 ,201 ,1601 ,3 ,161 ,38.0205 ,7.56998 ,35.7724
epi begin ,9 ,1 ,1601 ,3 ,161 ,38.0205 ,7.56998 ,36.9411
epi end ,9 ,201 ,1801 ,3 ,361 ,26.7866 ,7.56998 ,41.6181
epi begin ,10 ,1 ,1801 ,3 ,361 ,26.7866 ,7.56998 ,43.4321
epi end ,10 ,201 ,2001 ,3 ,561 ,19.9891 ,7.56998 ,45.8289
epi begin ,11 ,1 ,2001 ,3 ,561 ,19.9891 ,7.56998 ,47.7412
epi end ,11 ,201 ,2201 ,3 ,761 ,15.2111 ,7.56998 ,49.1028
epi begin ,12 ,1 ,2201 ,3 ,761 ,15.2111 ,7.56998 ,50.2534
epi end ,12 ,201 ,2401 ,3 ,961 ,10.7502 ,7.56998 ,50.8253
epi begin ,13 ,1 ,2401 ,3 ,961 ,10.7502 ,7.56998 ,51.4622
local optima ,13 ,190 ,2590 ,3 ,1150 ,7.8186 ,7.56998 ,51.6394
new initTour ,13 ,190 ,2590 ,4 ,0 ,46.5074 ,7.56998 ,51.6395
epi end ,13 ,201 ,2601 ,4 ,11 ,43.9199 ,7.56998 ,52.2654
epi begin ,14 ,1 ,2601 ,4 ,11 ,43.9199 ,7.56998 ,52.6714
learn ends ,14 ,178 ,2778 ,4 ,188 ,34.0711 ,7.56998 ,60.0339
