tourCount, initScore, optScore, bestScore, sec
1 ,49.8626 ,7.76655 ,7.76655 ,0.671738
2 ,47.4805 ,7.55668 ,7.55668 ,1.27734
3 ,46.2831 ,7.62558 ,7.55668 ,1.86284
4 ,47.5277 ,7.63127 ,7.55668 ,2.43544
5 ,48.2379 ,7.53592 ,7.53592 ,3.04115
6 ,48.972 ,7.64586 ,7.53592 ,3.675
7 ,49.9528 ,7.55941 ,7.53592 ,4.33096
8 ,47.248 ,7.58703 ,7.53592 ,4.94909
9 ,46.7905 ,7.56957 ,7.53592 ,5.50957
10 ,48.5557 ,7.75825 ,7.53592 ,6.10762
11 ,48.0115 ,7.6045 ,7.53592 ,6.75684
12 ,48.1053 ,7.76515 ,7.53592 ,7.38878
13 ,47.685 ,7.62158 ,7.53592 ,8.06886
14 ,47.7145 ,7.63624 ,7.53592 ,8.6722
15 ,45.191 ,7.57747 ,7.53592 ,9.23152
16 ,47.2625 ,7.53871 ,7.53592 ,9.81895
17 ,49.699 ,7.66493 ,7.53592 ,10.4794
18 ,46.6894 ,7.60596 ,7.53592 ,11.0843
19 ,46.9132 ,7.692 ,7.53592 ,11.6308
20 ,46.6421 ,7.7309 ,7.53592 ,12.1888
21 ,47.9787 ,7.58643 ,7.53592 ,12.8458
22 ,45.8107 ,7.6396 ,7.53592 ,13.3863
23 ,49.3998 ,7.53581 ,7.53581 ,14.0766
24 ,46.9534 ,7.75796 ,7.53581 ,14.6284
25 ,49.1263 ,7.66853 ,7.53581 ,15.2904
26 ,48.2439 ,7.63951 ,7.53581 ,15.9607
27 ,48.7553 ,7.51626 ,7.51626 ,16.5915
28 ,46.2392 ,7.45445 ,7.45445 ,17.1679
29 ,47.5424 ,7.55605 ,7.45445 ,17.8216
30 ,45.2837 ,7.64609 ,7.45445 ,18.3924
31 ,48.0549 ,7.61977 ,7.45445 ,18.9603
32 ,47.7912 ,7.6259 ,7.45445 ,19.6201
33 ,46.1592 ,7.44107 ,7.44107 ,20.1714
34 ,48.2666 ,7.58187 ,7.44107 ,20.8015
35 ,49.2327 ,7.59295 ,7.44107 ,21.5042
36 ,46.0154 ,7.61188 ,7.44107 ,22.0486
37 ,47.0575 ,7.61816 ,7.44107 ,22.6438
38 ,49.952 ,7.53363 ,7.44107 ,23.3058
39 ,45.5968 ,7.61347 ,7.44107 ,23.8844
40 ,49.6298 ,7.72986 ,7.44107 ,24.5272
41 ,48.3542 ,7.67582 ,7.44107 ,25.1262
42 ,48.1718 ,7.7224 ,7.44107 ,25.7873
43 ,49.5751 ,7.584 ,7.44107 ,26.4212
44 ,49.0401 ,7.58262 ,7.44107 ,27.0685
45 ,47.7447 ,7.67448 ,7.44107 ,27.7101
46 ,46.7911 ,7.57288 ,7.44107 ,28.2885
47 ,46.8626 ,7.4604 ,7.44107 ,28.8682
48 ,50.6232 ,7.82382 ,7.44107 ,29.5545
49 ,50.3651 ,7.67552 ,7.44107 ,30.2613
50 ,47.8624 ,7.66523 ,7.44107 ,30.8943
51 ,45.7808 ,7.75008 ,7.44107 ,31.485
52 ,49.5539 ,7.61519 ,7.44107 ,32.143
53 ,48.4608 ,7.53815 ,7.44107 ,32.7856
54 ,47.1842 ,7.77596 ,7.44107 ,33.3486
55 ,48.3437 ,7.63589 ,7.44107 ,33.9983
56 ,47.1514 ,7.57896 ,7.44107 ,34.5807
57 ,49.3294 ,7.56917 ,7.44107 ,35.2554
58 ,46.4618 ,7.60441 ,7.44107 ,35.828
59 ,49.6413 ,7.66414 ,7.44107 ,36.4377
60 ,47.4495 ,7.46939 ,7.44107 ,37.0091
61 ,47.3465 ,7.6082 ,7.44107 ,37.6059
62 ,47.1907 ,7.71284 ,7.44107 ,38.2194
63 ,48.3202 ,7.88924 ,7.44107 ,38.8314
64 ,46.6143 ,7.70073 ,7.44107 ,39.4197
65 ,49.6453 ,7.60284 ,7.44107 ,40.1273
66 ,47.4491 ,7.66202 ,7.44107 ,40.7723
67 ,49.8891 ,7.54824 ,7.44107 ,41.4839
68 ,48.4689 ,7.7378 ,7.44107 ,42.1455
69 ,47.0036 ,7.63913 ,7.44107 ,42.7773
70 ,47.4169 ,7.53108 ,7.44107 ,43.3881
71 ,45.6612 ,7.58136 ,7.44107 ,44.0044
72 ,49.6756 ,7.73535 ,7.44107 ,44.7399
73 ,49.481 ,7.72434 ,7.44107 ,45.3883
74 ,48.3065 ,7.82799 ,7.44107 ,46.0379
75 ,47.6577 ,7.5195 ,7.44107 ,46.6421
76 ,48.1737 ,7.54494 ,7.44107 ,47.2503
77 ,45.6439 ,7.74921 ,7.44107 ,47.7689
78 ,47.4501 ,7.79845 ,7.44107 ,48.3844
79 ,48.9184 ,7.64558 ,7.44107 ,49.0731
80 ,49.5817 ,7.64742 ,7.44107 ,49.6742
81 ,48.6299 ,7.55961 ,7.44107 ,50.3646
82 ,49.6521 ,7.88193 ,7.44107 ,51.0318
83 ,47.8629 ,7.51047 ,7.44107 ,51.6871
84 ,48.5422 ,7.48167 ,7.44107 ,52.3252
