Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,55.2289 ,55.2289 ,0.000125
update best ,1 ,111 ,111 ,1 ,111 ,8.53903 ,8.53903 ,0.330587
local optima ,1 ,112 ,112 ,1 ,111 ,8.53903 ,8.53903 ,0.330677
new initTour ,1 ,112 ,112 ,2 ,0 ,59.0004 ,8.53903 ,0.330789
update best ,1 ,216 ,216 ,2 ,105 ,8.46435 ,8.46435 ,0.71103
local optima ,1 ,217 ,217 ,2 ,105 ,8.46435 ,8.46435 ,0.711097
new initTour ,1 ,217 ,217 ,3 ,0 ,54.7285 ,8.46435 ,0.711166
update best ,1 ,318 ,318 ,3 ,102 ,8.20952 ,8.20952 ,1.0074
local optima ,1 ,319 ,319 ,3 ,102 ,8.20952 ,8.20952 ,1.00747
new initTour ,1 ,319 ,319 ,4 ,0 ,57.0133 ,8.20952 ,1.00754
local optima ,1 ,423 ,423 ,4 ,104 ,8.84792 ,8.20952 ,1.35617
new initTour ,1 ,423 ,423 ,5 ,0 ,54.7824 ,8.20952 ,1.35624
local optima ,1 ,529 ,529 ,5 ,106 ,8.5869 ,8.20952 ,1.68207
new initTour ,1 ,529 ,529 ,6 ,0 ,58.5081 ,8.20952 ,1.68214
local optima ,1 ,630 ,630 ,6 ,101 ,8.78594 ,8.20952 ,2.0656
new initTour ,1 ,630 ,630 ,7 ,0 ,53.0817 ,8.20952 ,2.06568
local optima ,1 ,734 ,734 ,7 ,104 ,8.48556 ,8.20952 ,2.36802
new initTour ,1 ,734 ,734 ,8 ,0 ,55.6394 ,8.20952 ,2.36809
local optima ,1 ,840 ,840 ,8 ,106 ,8.64135 ,8.20952 ,2.70566
new initTour ,1 ,840 ,840 ,9 ,0 ,55.3259 ,8.20952 ,2.70573
local optima ,1 ,941 ,941 ,9 ,101 ,8.49917 ,8.20952 ,3.01166
new initTour ,1 ,941 ,941 ,10 ,0 ,53.8493 ,8.20952 ,3.01172
local optima ,1 ,1045 ,1045 ,10 ,104 ,8.81854 ,8.20952 ,3.32601
new initTour ,1 ,1045 ,1045 ,11 ,0 ,57.0233 ,8.20952 ,3.32608
local optima ,1 ,1151 ,1151 ,11 ,106 ,8.85594 ,8.20952 ,3.6789
new initTour ,1 ,1151 ,1151 ,12 ,0 ,55.6061 ,8.20952 ,3.67897
local optima ,1 ,1257 ,1257 ,12 ,106 ,8.75773 ,8.20952 ,4.02621
new initTour ,1 ,1257 ,1257 ,13 ,0 ,57.4154 ,8.20952 ,4.02628
local optima ,1 ,1360 ,1360 ,13 ,103 ,8.52698 ,8.20952 ,4.36349
new initTour ,1 ,1360 ,1360 ,14 ,0 ,54.959 ,8.20952 ,4.36356
local optima ,1 ,1469 ,1469 ,14 ,109 ,8.36055 ,8.20952 ,4.68502
new initTour ,1 ,1469 ,1469 ,15 ,0 ,54.6009 ,8.20952 ,4.68509
local optima ,1 ,1583 ,1583 ,15 ,114 ,8.30633 ,8.20952 ,5.03048
new initTour ,1 ,1583 ,1583 ,16 ,0 ,59.8775 ,8.20952 ,5.03055
epi end ,1 ,1601 ,1601 ,16 ,18 ,35.2116 ,8.20952 ,5.29837
epi begin ,2 ,1 ,1601 ,16 ,18 ,35.2116 ,8.20952 ,12.5347
local optima ,2 ,441 ,2041 ,16 ,458 ,8.65625 ,8.20952 ,13.6544
new initTour ,2 ,441 ,2041 ,17 ,0 ,54.4382 ,8.20952 ,13.6545
local optima ,2 ,1087 ,2687 ,17 ,646 ,8.66549 ,8.20952 ,17.1664
new initTour ,2 ,1087 ,2687 ,18 ,0 ,60.2536 ,8.20952 ,17.1665
epi end ,2 ,1601 ,3201 ,18 ,514 ,17.8552 ,8.20952 ,21.3228
epi begin ,3 ,1 ,3201 ,18 ,514 ,17.8552 ,8.20952 ,30.7335
local optima ,3 ,172 ,3372 ,18 ,685 ,8.96513 ,8.20952 ,30.8597
new initTour ,3 ,172 ,3372 ,19 ,0 ,51.4289 ,8.20952 ,30.8598
local optima ,3 ,822 ,4022 ,19 ,650 ,8.89027 ,8.20952 ,34.0212
new initTour ,3 ,822 ,4022 ,20 ,0 ,53.3445 ,8.20952 ,34.0212
local optima ,3 ,1446 ,4646 ,20 ,624 ,8.76987 ,8.20952 ,37.2693
new initTour ,3 ,1446 ,4646 ,21 ,0 ,59.6283 ,8.20952 ,37.2694
epi end ,3 ,1601 ,4801 ,21 ,155 ,38.8014 ,8.20952 ,39.2706
epi begin ,4 ,1 ,4801 ,21 ,155 ,38.8014 ,8.20952 ,46.2863
local optima ,4 ,380 ,5180 ,21 ,534 ,8.87842 ,8.20952 ,47.3229
new initTour ,4 ,380 ,5180 ,22 ,0 ,55.3412 ,8.20952 ,47.323
local optima ,4 ,942 ,5742 ,22 ,562 ,8.45014 ,8.20952 ,49.8622
new initTour ,4 ,942 ,5742 ,23 ,0 ,51.8144 ,8.20952 ,49.8623
update best ,4 ,1567 ,6367 ,23 ,626 ,8.09922 ,8.09922 ,52.8217
local optima ,4 ,1568 ,6368 ,23 ,626 ,8.09922 ,8.09922 ,52.8218
new initTour ,4 ,1568 ,6368 ,24 ,0 ,55.7372 ,8.09922 ,52.8219
epi end ,4 ,1601 ,6401 ,24 ,33 ,50.9009 ,8.09922 ,53.3838
epi begin ,5 ,1 ,6401 ,24 ,33 ,50.9009 ,8.09922 ,59.3666
learn ends ,5 ,60 ,6460 ,24 ,92 ,37.7423 ,8.09922 ,60.0018
