tourCount, initScore, optScore, bestScore, sec
1 ,52.9977 ,8.38451 ,8.38451 ,0.059965
2 ,55.0357 ,8.64004 ,8.38451 ,0.128984
3 ,57.01 ,8.52658 ,8.38451 ,0.202041
4 ,54.5399 ,8.88004 ,8.38451 ,0.269354
5 ,58.8076 ,8.46856 ,8.38451 ,0.346339
6 ,53.7142 ,8.76896 ,8.38451 ,0.408286
7 ,58.1893 ,8.8135 ,8.38451 ,0.485263
8 ,58.4539 ,8.81272 ,8.38451 ,0.560454
9 ,56.8324 ,8.26408 ,8.26408 ,0.628588
10 ,53.7689 ,8.29707 ,8.26408 ,0.691852
11 ,56.4153 ,8.97102 ,8.26408 ,0.762177
12 ,52.3536 ,8.41922 ,8.26408 ,0.821425
13 ,58.6042 ,8.50156 ,8.26408 ,0.893841
14 ,55.101 ,8.80629 ,8.26408 ,0.963602
15 ,58.0413 ,8.34744 ,8.26408 ,1.04124
16 ,57.162 ,8.3394 ,8.26408 ,1.11043
17 ,55.8715 ,8.85261 ,8.26408 ,1.1792
18 ,52.5812 ,8.48874 ,8.26408 ,1.2377
19 ,55.3884 ,8.66452 ,8.26408 ,1.30467
20 ,52.9756 ,8.65101 ,8.26408 ,1.36386
21 ,52.571 ,8.57158 ,8.26408 ,1.43106
22 ,57.0044 ,8.53068 ,8.26408 ,1.50802
23 ,55.8428 ,8.56022 ,8.26408 ,1.58204
24 ,55.2634 ,8.62925 ,8.26408 ,1.65164
25 ,54.7208 ,8.5027 ,8.26408 ,1.72221
26 ,56.367 ,8.34935 ,8.26408 ,1.79006
27 ,58.5627 ,8.47817 ,8.26408 ,1.86399
28 ,58.5941 ,8.55531 ,8.26408 ,1.94526
29 ,56.6993 ,8.55059 ,8.26408 ,2.02095
30 ,57.6382 ,8.9146 ,8.26408 ,2.09536
31 ,56.9298 ,8.75852 ,8.26408 ,2.16812
32 ,54.6646 ,8.68118 ,8.26408 ,2.22967
33 ,60.6386 ,8.62255 ,8.26408 ,2.31162
34 ,53.0687 ,8.25595 ,8.25595 ,2.37519
35 ,54.7333 ,8.22944 ,8.22944 ,2.44011
36 ,54.4232 ,8.42636 ,8.22944 ,2.50257
37 ,54.9534 ,8.64555 ,8.22944 ,2.56448
38 ,58.653 ,8.62034 ,8.22944 ,2.64467
39 ,62.6502 ,8.58015 ,8.22944 ,2.73525
40 ,61.1674 ,8.67753 ,8.22944 ,2.81963
41 ,56.012 ,8.38176 ,8.22944 ,2.88991
42 ,55.5308 ,8.58588 ,8.22944 ,2.95299
43 ,57.7718 ,8.64757 ,8.22944 ,3.02569
44 ,50.8674 ,8.33429 ,8.22944 ,3.08275
45 ,51.0462 ,8.77351 ,8.22944 ,3.13474
46 ,51.8991 ,8.71296 ,8.22944 ,3.19143
47 ,52.6914 ,9.0178 ,8.22944 ,3.24903
48 ,57.2482 ,8.22902 ,8.22902 ,3.31568
49 ,55.5074 ,8.09735 ,8.09735 ,3.37722
50 ,53.3321 ,8.47022 ,8.09735 ,3.43501
51 ,52.0769 ,8.82942 ,8.09735 ,3.49498
52 ,56.1556 ,8.20119 ,8.09735 ,3.56389
53 ,57.4525 ,8.29045 ,8.09735 ,3.63615
54 ,59.8845 ,8.72915 ,8.09735 ,3.71173
55 ,54.096 ,8.62559 ,8.09735 ,3.77177
56 ,58.7926 ,8.84325 ,8.09735 ,3.84943
57 ,55.2401 ,8.46495 ,8.09735 ,3.91381
58 ,56.3372 ,8.75092 ,8.09735 ,3.98238
59 ,55.8956 ,8.88803 ,8.09735 ,4.05324
60 ,57.7957 ,8.35767 ,8.09735 ,4.12242
61 ,51.1883 ,8.72462 ,8.09735 ,4.17379
62 ,56.8846 ,8.14962 ,8.09735 ,4.24479
63 ,56.0334 ,8.5799 ,8.09735 ,4.31381
64 ,56.7585 ,8.5983 ,8.09735 ,4.39436
65 ,55.5595 ,8.54731 ,8.09735 ,4.46013
66 ,52.3342 ,9.39745 ,8.09735 ,4.51782
67 ,57.6417 ,8.88406 ,8.09735 ,4.58832
68 ,55.3922 ,8.95902 ,8.09735 ,4.65093
69 ,57.1719 ,8.60809 ,8.09735 ,4.72729
70 ,57.3284 ,8.946 ,8.09735 ,4.7899
71 ,57.2995 ,8.5151 ,8.09735 ,4.86148
72 ,56.0744 ,8.79149 ,8.09735 ,4.92916
73 ,56.3909 ,8.42561 ,8.09735 ,5.00108
74 ,53.2092 ,8.52556 ,8.09735 ,5.06334
75 ,57.6717 ,8.32853 ,8.09735 ,5.13865
76 ,57.348 ,8.56295 ,8.09735 ,5.20854
77 ,52.2487 ,8.84093 ,8.09735 ,5.26531
78 ,54.7884 ,8.50714 ,8.09735 ,5.32699
79 ,58.1615 ,8.55156 ,8.09735 ,5.39333
80 ,52.516 ,8.40484 ,8.09735 ,5.45344
81 ,54.9549 ,8.55534 ,8.09735 ,5.51567
82 ,58.516 ,8.63674 ,8.09735 ,5.5865
83 ,57.3864 ,8.33239 ,8.09735 ,5.65632
84 ,58.8346 ,8.56066 ,8.09735 ,5.73425
85 ,51.8532 ,8.71147 ,8.09735 ,5.78946
86 ,61.2596 ,8.62789 ,8.09735 ,5.87261
87 ,56.4232 ,8.60753 ,8.09735 ,5.93673
88 ,53.5825 ,8.55869 ,8.09735 ,5.99748
89 ,57.6223 ,8.4258 ,8.09735 ,6.06807
90 ,54.6595 ,8.61201 ,8.09735 ,6.13178
91 ,55.1474 ,8.52238 ,8.09735 ,6.20128
92 ,55.26 ,8.60658 ,8.09735 ,6.27186
93 ,59.1392 ,8.74279 ,8.09735 ,6.35023
94 ,58.0751 ,8.66351 ,8.09735 ,6.42363
95 ,57.0515 ,8.50362 ,8.09735 ,6.49343
96 ,54.311 ,8.99327 ,8.09735 ,6.5519
97 ,58.7744 ,8.68568 ,8.09735 ,6.62711
98 ,59.3383 ,8.57685 ,8.09735 ,6.70674
99 ,51.7937 ,8.3971 ,8.09735 ,6.76443
100 ,49.8456 ,8.74775 ,8.09735 ,6.81943
101 ,59.4863 ,8.63731 ,8.09735 ,6.89861
102 ,56.7046 ,8.62007 ,8.09735 ,6.96833
103 ,52.6117 ,8.79481 ,8.09735 ,7.02665
104 ,56.3973 ,8.73955 ,8.09735 ,7.0983
105 ,56.5914 ,8.69534 ,8.09735 ,7.16011
106 ,55.8434 ,8.40354 ,8.09735 ,7.22864
107 ,57.6032 ,8.49737 ,8.09735 ,7.30337
108 ,55.9414 ,8.54255 ,8.09735 ,7.37242
109 ,54.7451 ,8.41844 ,8.09735 ,7.43291
110 ,54.8027 ,8.83038 ,8.09735 ,7.49439
