Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,55.1724 ,55.1724 ,0.000181
update best ,1 ,111 ,111 ,1 ,111 ,8.63225 ,8.63225 ,0.246831
local optima ,1 ,112 ,112 ,1 ,111 ,8.63225 ,8.63225 ,0.246901
new initTour ,1 ,112 ,112 ,2 ,0 ,57.7714 ,8.63225 ,0.246968
update best ,1 ,218 ,218 ,2 ,107 ,8.6146 ,8.6146 ,0.530707
local optima ,1 ,219 ,219 ,2 ,107 ,8.6146 ,8.6146 ,0.530816
new initTour ,1 ,219 ,219 ,3 ,0 ,51.1273 ,8.6146 ,0.530912
local optima ,1 ,330 ,330 ,3 ,111 ,8.78231 ,8.6146 ,0.752804
new initTour ,1 ,330 ,330 ,4 ,0 ,56.5776 ,8.6146 ,0.75287
local optima ,1 ,437 ,437 ,4 ,107 ,8.83389 ,8.6146 ,1.02268
new initTour ,1 ,437 ,437 ,5 ,0 ,57.4606 ,8.6146 ,1.02276
update best ,1 ,547 ,547 ,5 ,111 ,8.08638 ,8.08638 ,1.28337
local optima ,1 ,548 ,548 ,5 ,111 ,8.08638 ,8.08638 ,1.28345
new initTour ,1 ,548 ,548 ,6 ,0 ,60.9299 ,8.08638 ,1.28354
local optima ,1 ,669 ,669 ,6 ,121 ,8.44932 ,8.08638 ,1.61127
new initTour ,1 ,669 ,669 ,7 ,0 ,56.647 ,8.08638 ,1.61134
local optima ,1 ,773 ,773 ,7 ,104 ,9.05217 ,8.08638 ,1.88232
new initTour ,1 ,773 ,773 ,8 ,0 ,55.7303 ,8.08638 ,1.88239
local optima ,1 ,889 ,889 ,8 ,116 ,8.58168 ,8.08638 ,2.15542
new initTour ,1 ,889 ,889 ,9 ,0 ,56.2937 ,8.08638 ,2.15549
local optima ,1 ,992 ,992 ,9 ,103 ,8.73117 ,8.08638 ,2.42369
new initTour ,1 ,992 ,992 ,10 ,0 ,54.7756 ,8.08638 ,2.42376
local optima ,1 ,1107 ,1107 ,10 ,115 ,8.64324 ,8.08638 ,2.67659
new initTour ,1 ,1107 ,1107 ,11 ,0 ,53.55 ,8.08638 ,2.67665
local optima ,1 ,1207 ,1207 ,11 ,100 ,8.37185 ,8.08638 ,2.89243
new initTour ,1 ,1207 ,1207 ,12 ,0 ,55.2052 ,8.08638 ,2.89249
local optima ,1 ,1311 ,1311 ,12 ,104 ,8.66439 ,8.08638 ,3.15433
new initTour ,1 ,1311 ,1311 ,13 ,0 ,53.5992 ,8.08638 ,3.15442
local optima ,1 ,1416 ,1416 ,13 ,105 ,8.44657 ,8.08638 ,3.41151
new initTour ,1 ,1416 ,1416 ,14 ,0 ,57.9921 ,8.08638 ,3.41161
local optima ,1 ,1519 ,1519 ,14 ,103 ,8.77955 ,8.08638 ,3.72037
new initTour ,1 ,1519 ,1519 ,15 ,0 ,54.9057 ,8.08638 ,3.72045
local optima ,1 ,1631 ,1631 ,15 ,112 ,9.05175 ,8.08638 ,4.00656
new initTour ,1 ,1631 ,1631 ,16 ,0 ,52.9577 ,8.08638 ,4.00664
local optima ,1 ,1733 ,1733 ,16 ,102 ,8.80978 ,8.08638 ,4.24856
new initTour ,1 ,1733 ,1733 ,17 ,0 ,54.7915 ,8.08638 ,4.24865
local optima ,1 ,1832 ,1832 ,17 ,99 ,8.64907 ,8.08638 ,4.47187
new initTour ,1 ,1832 ,1832 ,18 ,0 ,51.7484 ,8.08638 ,4.47194
local optima ,1 ,1932 ,1932 ,18 ,100 ,8.59203 ,8.08638 ,4.68561
new initTour ,1 ,1932 ,1932 ,19 ,0 ,54.6171 ,8.08638 ,4.68567
local optima ,1 ,2038 ,2038 ,19 ,106 ,8.46822 ,8.08638 ,4.94501
new initTour ,1 ,2038 ,2038 ,20 ,0 ,58.5436 ,8.08638 ,4.94508
local optima ,1 ,2148 ,2148 ,20 ,110 ,8.29686 ,8.08638 ,5.24771
new initTour ,1 ,2148 ,2148 ,21 ,0 ,58.019 ,8.08638 ,5.24778
local optima ,1 ,2254 ,2254 ,21 ,106 ,8.38476 ,8.08638 ,5.56694
new initTour ,1 ,2254 ,2254 ,22 ,0 ,54.8462 ,8.08638 ,5.56703
local optima ,1 ,2350 ,2350 ,22 ,96 ,8.98065 ,8.08638 ,5.81676
new initTour ,1 ,2350 ,2350 ,23 ,0 ,55.9759 ,8.08638 ,5.81682
local optima ,1 ,2448 ,2448 ,23 ,98 ,8.47715 ,8.08638 ,6.07263
new initTour ,1 ,2448 ,2448 ,24 ,0 ,51.5072 ,8.08638 ,6.0727
local optima ,1 ,2545 ,2545 ,24 ,97 ,8.61357 ,8.08638 ,6.28822
new initTour ,1 ,2545 ,2545 ,25 ,0 ,55.6669 ,8.08638 ,6.2883
local optima ,1 ,2648 ,2648 ,25 ,103 ,8.58139 ,8.08638 ,6.54666
new initTour ,1 ,2648 ,2648 ,26 ,0 ,54.3255 ,8.08638 ,6.54673
local optima ,1 ,2752 ,2752 ,26 ,104 ,8.31444 ,8.08638 ,6.79651
new initTour ,1 ,2752 ,2752 ,27 ,0 ,57.6722 ,8.08638 ,6.79658
local optima ,1 ,2861 ,2861 ,27 ,109 ,8.47929 ,8.08638 ,7.08604
new initTour ,1 ,2861 ,2861 ,28 ,0 ,56.6525 ,8.08638 ,7.08611
local optima ,1 ,2966 ,2966 ,28 ,105 ,8.28944 ,8.08638 ,7.33178
new initTour ,1 ,2966 ,2966 ,29 ,0 ,55.7578 ,8.08638 ,7.33185
local optima ,1 ,3074 ,3074 ,29 ,108 ,8.46348 ,8.08638 ,7.60279
new initTour ,1 ,3074 ,3074 ,30 ,0 ,59.8905 ,8.08638 ,7.60285
local optima ,1 ,3180 ,3180 ,30 ,106 ,8.67171 ,8.08638 ,7.91227
new initTour ,1 ,3180 ,3180 ,31 ,0 ,57.5699 ,8.08638 ,7.91237
local optima ,1 ,3287 ,3287 ,31 ,107 ,8.39914 ,8.08638 ,8.21237
new initTour ,1 ,3287 ,3287 ,32 ,0 ,54.6221 ,8.08638 ,8.21246
local optima ,1 ,3393 ,3393 ,32 ,106 ,8.71269 ,8.08638 ,8.47172
new initTour ,1 ,3393 ,3393 ,33 ,0 ,53.8725 ,8.08638 ,8.47179
local optima ,1 ,3502 ,3502 ,33 ,109 ,8.25106 ,8.08638 ,8.71654
new initTour ,1 ,3502 ,3502 ,34 ,0 ,53.0668 ,8.08638 ,8.71664
local optima ,1 ,3602 ,3602 ,34 ,100 ,8.54923 ,8.08638 ,8.94657
new initTour ,1 ,3602 ,3602 ,35 ,0 ,57.1818 ,8.08638 ,8.94664
local optima ,1 ,3704 ,3704 ,35 ,102 ,8.3751 ,8.08638 ,9.20884
new initTour ,1 ,3704 ,3704 ,36 ,0 ,60.5944 ,8.08638 ,9.20891
local optima ,1 ,3816 ,3816 ,36 ,112 ,8.40419 ,8.08638 ,9.52405
new initTour ,1 ,3816 ,3816 ,37 ,0 ,55.2887 ,8.08638 ,9.52412
local optima ,1 ,3915 ,3915 ,37 ,99 ,8.85756 ,8.08638 ,9.7731
new initTour ,1 ,3915 ,3915 ,38 ,0 ,53.386 ,8.08638 ,9.77317
local optima ,1 ,4014 ,4014 ,38 ,99 ,9.18374 ,8.08638 ,10.0052
new initTour ,1 ,4014 ,4014 ,39 ,0 ,57.4513 ,8.08638 ,10.0052
local optima ,1 ,4113 ,4113 ,39 ,99 ,9.02705 ,8.08638 ,10.2935
