tourCount, initScore, optScore, bestScore, sec
1 ,55.1724 ,8.68282 ,8.68282 ,0.063013
2 ,57.7714 ,8.58585 ,8.58585 ,0.135462
3 ,51.1273 ,8.75093 ,8.58585 ,0.194396
4 ,56.5776 ,8.63812 ,8.58585 ,0.265779
5 ,57.4606 ,8.52838 ,8.52838 ,0.335499
6 ,60.9299 ,8.71543 ,8.52838 ,0.420704
7 ,56.647 ,8.91293 ,8.52838 ,0.491076
8 ,55.7303 ,8.74217 ,8.52838 ,0.556984
9 ,56.2937 ,8.55053 ,8.52838 ,0.625507
10 ,54.7756 ,8.56323 ,8.52838 ,0.694264
11 ,53.55 ,8.63271 ,8.52838 ,0.758666
12 ,55.2052 ,8.70083 ,8.52838 ,0.8283
13 ,53.5992 ,8.71759 ,8.52838 ,0.893235
14 ,57.9921 ,8.45639 ,8.45639 ,0.973324
15 ,54.9057 ,8.60904 ,8.45639 ,1.04348
16 ,52.9577 ,8.39577 ,8.39577 ,1.10604
17 ,54.7915 ,8.5609 ,8.39577 ,1.16755
18 ,51.7484 ,8.62463 ,8.39577 ,1.22548
19 ,54.6171 ,8.39853 ,8.39577 ,1.29166
20 ,58.5436 ,8.56917 ,8.39577 ,1.36644
21 ,58.019 ,8.5368 ,8.39577 ,1.44165
22 ,54.8462 ,8.68018 ,8.39577 ,1.51302
23 ,55.9759 ,8.43748 ,8.39577 ,1.58182
24 ,51.5072 ,8.50281 ,8.39577 ,1.64104
25 ,55.6669 ,8.52839 ,8.39577 ,1.70814
26 ,54.3255 ,8.74931 ,8.39577 ,1.76493
27 ,57.6722 ,8.4181 ,8.39577 ,1.83385
28 ,56.6525 ,8.49333 ,8.39577 ,1.89984
29 ,55.7578 ,8.60448 ,8.39577 ,1.97186
30 ,59.8905 ,8.45017 ,8.39577 ,2.05307
31 ,57.5699 ,8.53902 ,8.39577 ,2.12384
32 ,54.6221 ,8.53407 ,8.39577 ,2.19277
33 ,53.8725 ,8.63202 ,8.39577 ,2.25572
34 ,53.0668 ,8.297 ,8.297 ,2.31318
35 ,57.1818 ,8.7954 ,8.297 ,2.37978
36 ,60.5944 ,8.49782 ,8.297 ,2.45617
37 ,55.2887 ,8.46857 ,8.297 ,2.52142
38 ,53.386 ,8.82095 ,8.297 ,2.5843
39 ,57.4513 ,8.45111 ,8.297 ,2.65759
40 ,61.0925 ,8.47177 ,8.297 ,2.743
41 ,54.5005 ,8.75038 ,8.297 ,2.80675
42 ,56.0032 ,8.41672 ,8.297 ,2.87685
43 ,56.0878 ,8.31647 ,8.297 ,2.94443
44 ,56.5567 ,8.62736 ,8.297 ,3.00806
45 ,53.4467 ,8.61687 ,8.297 ,3.07098
46 ,59.0914 ,8.73174 ,8.297 ,3.15079
47 ,55.2889 ,8.43758 ,8.297 ,3.21582
48 ,51.8896 ,8.65365 ,8.297 ,3.27293
49 ,56.1308 ,8.23743 ,8.23743 ,3.34135
50 ,52.9597 ,8.45195 ,8.23743 ,3.41059
51 ,57.5846 ,8.70491 ,8.23743 ,3.4929
52 ,55.8095 ,8.78788 ,8.23743 ,3.56576
53 ,57.6803 ,8.5664 ,8.23743 ,3.63419
54 ,58.0435 ,8.802 ,8.23743 ,3.70929
55 ,55.8979 ,8.71016 ,8.23743 ,3.77622
56 ,56.5849 ,8.39408 ,8.23743 ,3.85125
57 ,54.295 ,8.46503 ,8.23743 ,3.91443
58 ,58.8617 ,8.29104 ,8.23743 ,3.99273
59 ,54.0091 ,8.66991 ,8.23743 ,4.05476
60 ,59.2147 ,8.45071 ,8.23743 ,4.14953
61 ,55.3881 ,8.65796 ,8.23743 ,4.21667
62 ,58.0857 ,8.79425 ,8.23743 ,4.29905
63 ,51.9564 ,8.57382 ,8.23743 ,4.35773
64 ,54.9222 ,8.75414 ,8.23743 ,4.42762
65 ,56.9317 ,8.54927 ,8.23743 ,4.50604
66 ,54.4544 ,8.72876 ,8.23743 ,4.57835
67 ,53.2949 ,8.63454 ,8.23743 ,4.65611
68 ,55.0934 ,8.85141 ,8.23743 ,4.7322
69 ,54.8666 ,8.48842 ,8.23743 ,4.81039
70 ,58.2572 ,8.633 ,8.23743 ,4.88579
71 ,57.9224 ,8.54512 ,8.23743 ,4.96585
72 ,55.2273 ,8.54779 ,8.23743 ,5.03593
73 ,54.9368 ,8.1287 ,8.1287 ,5.10577
74 ,52.3755 ,8.44099 ,8.1287 ,5.17107
75 ,54.866 ,8.5635 ,8.1287 ,5.24383
76 ,57.9641 ,8.2029 ,8.1287 ,5.31898
77 ,53.2798 ,8.59132 ,8.1287 ,5.38217
78 ,55.6106 ,8.36475 ,8.1287 ,5.45569
79 ,56.6236 ,8.55134 ,8.1287 ,5.53166
80 ,55.4634 ,8.37393 ,8.1287 ,5.60667
