tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,84 ,23.5195 ,5.51522 ,5.51522 ,0.001045
2 ,67 ,24.2849 ,5.64498 ,5.51522 ,0.001818
3 ,72 ,22.3804 ,5.4708 ,5.4708 ,0.00266
4 ,75 ,24.8994 ,5.4664 ,5.4664 ,0.003546
5 ,73 ,22.2887 ,5.63703 ,5.4664 ,0.004521
6 ,75 ,23.4315 ,5.56476 ,5.4664 ,0.005367
7 ,70 ,23.6739 ,5.61943 ,5.4664 ,0.006178
8 ,82 ,22.0777 ,5.55802 ,5.4664 ,0.007104
9 ,95 ,25.18 ,5.55248 ,5.4664 ,0.008166
10 ,77 ,25.7142 ,5.51213 ,5.4664 ,0.009055
11 ,77 ,20.031 ,5.4743 ,5.4664 ,0.009937
12 ,78 ,24.5874 ,5.60836 ,5.4664 ,0.010865
13 ,77 ,23.9271 ,5.76719 ,5.4664 ,0.011742
14 ,87 ,25.7706 ,5.4987 ,5.4664 ,0.012737
15 ,85 ,19.4059 ,5.69897 ,5.4664 ,0.013711
16 ,80 ,22.8289 ,5.60358 ,5.4664 ,0.014643
17 ,84 ,22.9139 ,5.66861 ,5.4664 ,0.015608
18 ,90 ,25.3237 ,5.55876 ,5.4664 ,0.01665
19 ,59 ,22.4876 ,5.5132 ,5.4664 ,0.017332
20 ,72 ,23.7657 ,5.49297 ,5.4664 ,0.018159
21 ,86 ,23.0608 ,5.52584 ,5.4664 ,0.019139
22 ,88 ,24.8551 ,5.57523 ,5.4664 ,0.020144
23 ,96 ,25.6199 ,5.45837 ,5.45837 ,0.021233
24 ,92 ,26.0832 ,5.6599 ,5.45837 ,0.022265
25 ,69 ,22.0213 ,5.58797 ,5.45837 ,0.023055
26 ,70 ,24.9052 ,5.54018 ,5.45837 ,0.023864
27 ,81 ,23.9462 ,5.60644 ,5.45837 ,0.02477
28 ,84 ,23.4466 ,5.5322 ,5.45837 ,0.025723
29 ,72 ,23.6159 ,5.53909 ,5.45837 ,0.02688
30 ,85 ,25.2996 ,5.48919 ,5.45837 ,0.027901
31 ,73 ,21.7447 ,5.53414 ,5.45837 ,0.028755
32 ,80 ,26.1285 ,5.45689 ,5.45689 ,0.029666
33 ,82 ,21.2846 ,5.62785 ,5.45689 ,0.030611
34 ,68 ,25.7641 ,5.57761 ,5.45689 ,0.031389
35 ,84 ,20.0613 ,5.7799 ,5.45689 ,0.032368
36 ,65 ,20.1274 ,5.52427 ,5.45689 ,0.033152
37 ,60 ,22.2087 ,5.76556 ,5.45689 ,0.033869
38 ,85 ,21.8039 ,5.60097 ,5.45689 ,0.035002
39 ,87 ,24.8844 ,5.47129 ,5.45689 ,0.036487
40 ,89 ,22.2225 ,5.47579 ,5.45689 ,0.037722
41 ,75 ,21.7334 ,5.51532 ,5.45689 ,0.038623
42 ,67 ,25.0878 ,5.66823 ,5.45689 ,0.03943
43 ,60 ,25.0085 ,5.44992 ,5.44992 ,0.04015
44 ,77 ,22.9892 ,5.61646 ,5.44992 ,0.041057
45 ,65 ,18.7009 ,5.53287 ,5.44992 ,0.041825
46 ,84 ,25.0152 ,5.48943 ,5.44992 ,0.042799
47 ,95 ,25.0301 ,5.65861 ,5.44992 ,0.044012
48 ,86 ,22.3271 ,5.5061 ,5.44992 ,0.044988
49 ,70 ,22.7557 ,5.48897 ,5.44992 ,0.045786
50 ,92 ,21.3917 ,5.566 ,5.44992 ,0.046855
51 ,73 ,24.2599 ,5.52264 ,5.44992 ,0.047686
52 ,96 ,27.2655 ,5.45775 ,5.44992 ,0.048777
