tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,40 ,23.5195 ,5.48092 ,5.48092 ,0.007729
2 ,42 ,24.2849 ,5.44882 ,5.44882 ,0.015823
3 ,41 ,22.3804 ,5.56578 ,5.44882 ,0.022474
4 ,43 ,24.8994 ,5.63407 ,5.44882 ,0.031767
5 ,46 ,22.2887 ,5.64319 ,5.44882 ,0.03997
6 ,42 ,23.4315 ,5.56293 ,5.44882 ,0.048069
7 ,41 ,23.6739 ,5.58077 ,5.44882 ,0.056359
8 ,42 ,22.0777 ,5.68496 ,5.44882 ,0.064621
9 ,45 ,25.18 ,5.65235 ,5.44882 ,0.074113
10 ,39 ,25.7142 ,5.75315 ,5.44882 ,0.0836
11 ,40 ,20.031 ,5.60601 ,5.44882 ,0.089484
12 ,44 ,24.5874 ,5.4611 ,5.44882 ,0.098456
13 ,38 ,23.9271 ,5.67149 ,5.44882 ,0.105602
14 ,46 ,25.7706 ,5.57917 ,5.44882 ,0.113997
15 ,42 ,19.4059 ,5.58505 ,5.44882 ,0.120283
16 ,40 ,22.8289 ,5.66783 ,5.44882 ,0.127777
17 ,43 ,22.9139 ,5.5952 ,5.44882 ,0.136106
18 ,45 ,25.3237 ,5.56772 ,5.44882 ,0.146341
19 ,36 ,22.4876 ,5.62477 ,5.44882 ,0.152849
20 ,47 ,23.7657 ,5.38485 ,5.38485 ,0.160586
21 ,44 ,23.0608 ,5.6721 ,5.38485 ,0.168442
22 ,38 ,24.8551 ,5.7322 ,5.38485 ,0.177851
23 ,42 ,25.6199 ,5.49842 ,5.38485 ,0.18756
24 ,49 ,26.0832 ,5.67308 ,5.38485 ,0.19849
25 ,41 ,22.0213 ,5.68512 ,5.38485 ,0.205304
26 ,44 ,24.9052 ,5.56866 ,5.38485 ,0.214094
27 ,46 ,23.9462 ,5.66397 ,5.38485 ,0.221937
28 ,44 ,23.4466 ,5.63444 ,5.38485 ,0.229119
29 ,34 ,23.6159 ,5.63976 ,5.38485 ,0.237047
30 ,43 ,25.2996 ,5.65695 ,5.38485 ,0.247197
31 ,38 ,21.7447 ,5.62752 ,5.38485 ,0.25409
32 ,37 ,26.1285 ,5.64377 ,5.38485 ,0.2631
33 ,49 ,21.2846 ,5.5097 ,5.38485 ,0.270824
34 ,39 ,25.7641 ,5.59452 ,5.38485 ,0.279777
35 ,40 ,20.0613 ,5.82397 ,5.38485 ,0.286198
36 ,37 ,20.1274 ,5.58216 ,5.38485 ,0.291947
37 ,37 ,22.2087 ,5.66299 ,5.38485 ,0.298743
38 ,42 ,21.8039 ,5.51736 ,5.38485 ,0.306166
39 ,44 ,24.8844 ,5.53673 ,5.38485 ,0.315273
40 ,44 ,22.2225 ,5.65705 ,5.38485 ,0.32323
41 ,45 ,21.7334 ,5.65356 ,5.38485 ,0.330321
42 ,42 ,25.0878 ,5.59937 ,5.38485 ,0.338541
43 ,47 ,25.0085 ,5.46402 ,5.38485 ,0.34806
44 ,40 ,22.9892 ,5.60673 ,5.38485 ,0.356337
