Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,24.9335 ,24.9335 ,7.8e-05
update best ,1 ,44 ,44 ,1 ,44 ,5.51268 ,5.51268 ,0.038572
local optima ,1 ,45 ,45 ,1 ,44 ,5.51268 ,5.51268 ,0.038618
new initTour ,1 ,45 ,45 ,2 ,0 ,22.2792 ,5.51268 ,0.038658
local optima ,1 ,86 ,86 ,2 ,41 ,5.56245 ,5.51268 ,0.065251
new initTour ,1 ,86 ,86 ,3 ,0 ,25.4351 ,5.51268 ,0.065292
update best ,1 ,132 ,132 ,3 ,47 ,5.47343 ,5.47343 ,0.102808
local optima ,1 ,133 ,133 ,3 ,47 ,5.47343 ,5.47343 ,0.102852
new initTour ,1 ,133 ,133 ,4 ,0 ,24.2226 ,5.47343 ,0.102887
local optima ,1 ,182 ,182 ,4 ,49 ,5.74321 ,5.47343 ,0.137943
new initTour ,1 ,182 ,182 ,5 ,0 ,22.511 ,5.47343 ,0.137977
local optima ,1 ,219 ,219 ,5 ,37 ,6.04011 ,5.47343 ,0.162286
new initTour ,1 ,219 ,219 ,6 ,0 ,23.4817 ,5.47343 ,0.16232
local optima ,1 ,263 ,263 ,6 ,44 ,5.58694 ,5.47343 ,0.188392
new initTour ,1 ,263 ,263 ,7 ,0 ,24.6928 ,5.47343 ,0.188425
local optima ,1 ,309 ,309 ,7 ,46 ,5.50033 ,5.47343 ,0.221826
new initTour ,1 ,309 ,309 ,8 ,0 ,23.2742 ,5.47343 ,0.22186
local optima ,1 ,358 ,358 ,8 ,49 ,5.7271 ,5.47343 ,0.255874
new initTour ,1 ,358 ,358 ,9 ,0 ,23.7264 ,5.47343 ,0.255907
local optima ,1 ,403 ,403 ,9 ,45 ,5.56911 ,5.47343 ,0.283148
new initTour ,1 ,403 ,403 ,10 ,0 ,24.0657 ,5.47343 ,0.28318
local optima ,1 ,449 ,449 ,10 ,46 ,5.69346 ,5.47343 ,0.315184
new initTour ,1 ,449 ,449 ,11 ,0 ,22.2257 ,5.47343 ,0.315222
local optima ,1 ,489 ,489 ,11 ,40 ,5.73486 ,5.47343 ,0.342413
new initTour ,1 ,489 ,489 ,12 ,0 ,24.2492 ,5.47343 ,0.342447
local optima ,1 ,530 ,530 ,12 ,41 ,5.48751 ,5.47343 ,0.375053
new initTour ,1 ,530 ,530 ,13 ,0 ,22.3954 ,5.47343 ,0.375086
local optima ,1 ,569 ,569 ,13 ,39 ,5.74646 ,5.47343 ,0.403972
new initTour ,1 ,569 ,569 ,14 ,0 ,23.1514 ,5.47343 ,0.404007
local optima ,1 ,612 ,612 ,14 ,43 ,5.58562 ,5.47343 ,0.435108
new initTour ,1 ,612 ,612 ,15 ,0 ,24.3176 ,5.47343 ,0.435143
local optima ,1 ,651 ,651 ,15 ,39 ,5.533 ,5.47343 ,0.462794
new initTour ,1 ,651 ,651 ,16 ,0 ,21.4559 ,5.47343 ,0.462828
local optima ,1 ,695 ,695 ,16 ,44 ,5.54595 ,5.47343 ,0.488427
new initTour ,1 ,695 ,695 ,17 ,0 ,23.4513 ,5.47343 ,0.488459
local optima ,1 ,736 ,736 ,17 ,41 ,5.6676 ,5.47343 ,0.515609
new initTour ,1 ,736 ,736 ,18 ,0 ,25.3054 ,5.47343 ,0.515641
local optima ,1 ,778 ,778 ,18 ,42 ,5.74237 ,5.47343 ,0.550467
new initTour ,1 ,778 ,778 ,19 ,0 ,22.5238 ,5.47343 ,0.5505
local optima ,1 ,818 ,818 ,19 ,40 ,5.53639 ,5.47343 ,0.578631
new initTour ,1 ,818 ,818 ,20 ,0 ,25.8058 ,5.47343 ,0.578663
local optima ,1 ,862 ,862 ,20 ,44 ,5.77686 ,5.47343 ,0.614547
new initTour ,1 ,862 ,862 ,21 ,0 ,21.2873 ,5.47343 ,0.614579
local optima ,1 ,903 ,903 ,21 ,41 ,5.75528 ,5.47343 ,0.638972
new initTour ,1 ,903 ,903 ,22 ,0 ,23.6803 ,5.47343 ,0.639007
local optima ,1 ,948 ,948 ,22 ,45 ,5.49088 ,5.47343 ,0.671645
new initTour ,1 ,948 ,948 ,23 ,0 ,24.9093 ,5.47343 ,0.671698
local optima ,1 ,990 ,990 ,23 ,42 ,5.69846 ,5.47343 ,0.703658
new initTour ,1 ,990 ,990 ,24 ,0 ,21.247 ,5.47343 ,0.703691
local optima ,1 ,1034 ,1034 ,24 ,44 ,5.62082 ,5.47343 ,0.731469
new initTour ,1 ,1034 ,1034 ,25 ,0 ,20.9325 ,5.47343 ,0.731502
local optima ,1 ,1072 ,1072 ,25 ,38 ,5.7702 ,5.47343 ,0.756618
new initTour ,1 ,1072 ,1072 ,26 ,0 ,22.1371 ,5.47343 ,0.756651
local optima ,1 ,1112 ,1112 ,26 ,40 ,5.73654 ,5.47343 ,0.784624
new initTour ,1 ,1112 ,1112 ,27 ,0 ,25.2285 ,5.47343 ,0.784656
update best ,1 ,1158 ,1158 ,27 ,47 ,5.42355 ,5.42355 ,0.819847
local optima ,1 ,1159 ,1159 ,27 ,47 ,5.42355 ,5.42355 ,0.819896
new initTour ,1 ,1159 ,1159 ,28 ,0 ,23.1057 ,5.42355 ,0.819972
local optima ,1 ,1197 ,1197 ,28 ,38 ,5.70507 ,5.42355 ,0.846609
new initTour ,1 ,1197 ,1197 ,29 ,0 ,24.6679 ,5.42355 ,0.846642
local optima ,1 ,1240 ,1240 ,29 ,43 ,5.64093 ,5.42355 ,0.879388
new initTour ,1 ,1240 ,1240 ,30 ,0 ,23.5794 ,5.42355 ,0.879422
local optima ,1 ,1283 ,1283 ,30 ,43 ,5.68771 ,5.42355 ,0.907681
new initTour ,1 ,1283 ,1283 ,31 ,0 ,23.0293 ,5.42355 ,0.907716
local optima ,1 ,1321 ,1321 ,31 ,38 ,5.62691 ,5.42355 ,0.934781
new initTour ,1 ,1321 ,1321 ,32 ,0 ,24.145 ,5.42355 ,0.934826
local optima ,1 ,1359 ,1359 ,32 ,38 ,5.52991 ,5.42355 ,0.962709
new initTour ,1 ,1359 ,1359 ,33 ,0 ,22.0539 ,5.42355 ,0.962742
update best ,1 ,1401 ,1401 ,33 ,43 ,5.39605 ,5.39605 ,0.991745
local optima ,1 ,1402 ,1402 ,33 ,43 ,5.39605 ,5.39605 ,0.99179
