tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,41 ,23.1955 ,5.66032 ,5.66032 ,0.008099
2 ,41 ,24.1353 ,5.84662 ,5.66032 ,0.015825
3 ,38 ,24.5164 ,5.67402 ,5.66032 ,0.023358
4 ,45 ,24.9319 ,5.60191 ,5.60191 ,0.033277
5 ,41 ,23.9336 ,5.71247 ,5.60191 ,0.042572
6 ,47 ,24.7082 ,5.47417 ,5.47417 ,0.051284
7 ,49 ,24.274 ,5.47496 ,5.47417 ,0.05906
8 ,43 ,24.243 ,5.58302 ,5.47417 ,0.067868
9 ,43 ,23.5382 ,5.5221 ,5.47417 ,0.076073
10 ,41 ,21.4875 ,5.77645 ,5.47417 ,0.082249
11 ,41 ,24.888 ,5.64783 ,5.47417 ,0.090079
12 ,44 ,25.6721 ,5.56209 ,5.47417 ,0.098455
13 ,41 ,24.7003 ,5.54047 ,5.47417 ,0.106601
14 ,46 ,23.6568 ,5.62631 ,5.47417 ,0.113656
15 ,43 ,24.1812 ,5.67673 ,5.47417 ,0.121387
16 ,43 ,21.8646 ,5.51126 ,5.47417 ,0.128195
17 ,41 ,20.615 ,5.65613 ,5.47417 ,0.134594
18 ,40 ,22.1105 ,5.61684 ,5.47417 ,0.141915
19 ,43 ,24.029 ,5.68584 ,5.47417 ,0.149865
20 ,43 ,22.6035 ,5.51606 ,5.47417 ,0.157119
21 ,40 ,25.8745 ,5.56129 ,5.47417 ,0.165067
22 ,43 ,22.3967 ,5.67522 ,5.47417 ,0.172192
23 ,43 ,22.6099 ,5.59606 ,5.47417 ,0.179093
24 ,47 ,21.3363 ,5.51706 ,5.47417 ,0.185279
25 ,42 ,22.3022 ,5.54643 ,5.47417 ,0.191324
26 ,44 ,21.9581 ,5.71339 ,5.47417 ,0.197223
27 ,43 ,21.6874 ,5.5372 ,5.47417 ,0.203827
28 ,44 ,24.7039 ,5.69934 ,5.47417 ,0.210743
29 ,40 ,23.5583 ,5.80729 ,5.47417 ,0.21701
30 ,39 ,21.5513 ,5.72065 ,5.47417 ,0.22238
31 ,43 ,25.27 ,5.47501 ,5.47417 ,0.230901
32 ,44 ,24.6342 ,5.6508 ,5.47417 ,0.239992
33 ,45 ,24.3741 ,5.44813 ,5.44813 ,0.247963
34 ,45 ,23.95 ,5.46604 ,5.44813 ,0.255545
35 ,45 ,23.2025 ,5.57371 ,5.44813 ,0.262418
36 ,43 ,22.6242 ,5.59329 ,5.44813 ,0.270279
37 ,43 ,25.0308 ,5.57072 ,5.44813 ,0.279272
