tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,50 ,22.7577 ,5.49094 ,5.49094 ,0.013855
2 ,54 ,20.8861 ,5.60103 ,5.49094 ,0.024816
3 ,51 ,20.6342 ,5.68648 ,5.49094 ,0.036327
4 ,44 ,21.1798 ,6.18149 ,5.49094 ,0.048944
5 ,51 ,22.2901 ,5.6087 ,5.49094 ,0.06098
6 ,49 ,20.5127 ,5.73036 ,5.49094 ,0.070732
7 ,51 ,21.3087 ,5.64887 ,5.49094 ,0.080201
8 ,52 ,21.1919 ,5.49759 ,5.49094 ,0.091569
9 ,48 ,22.0273 ,5.74768 ,5.49094 ,0.103885
10 ,47 ,22.0048 ,5.95772 ,5.49094 ,0.115501
11 ,45 ,19.7494 ,5.70013 ,5.49094 ,0.125124
12 ,45 ,22.0246 ,5.63151 ,5.49094 ,0.136499
13 ,54 ,19.7551 ,5.57214 ,5.49094 ,0.146489
14 ,47 ,21.0797 ,5.7155 ,5.49094 ,0.157312
15 ,49 ,19.1493 ,5.66368 ,5.49094 ,0.165908
16 ,41 ,20.863 ,5.84981 ,5.49094 ,0.177151
17 ,45 ,20.3292 ,5.69874 ,5.49094 ,0.187955
18 ,48 ,21.4363 ,5.65085 ,5.49094 ,0.197841
19 ,49 ,21.6145 ,5.67766 ,5.49094 ,0.210257
20 ,50 ,20.0003 ,5.53491 ,5.49094 ,0.219861
21 ,53 ,21.8239 ,5.63394 ,5.49094 ,0.232704
22 ,53 ,21.108 ,5.85313 ,5.49094 ,0.242966
23 ,49 ,20.6575 ,5.61968 ,5.49094 ,0.253021
24 ,49 ,20.7978 ,5.69196 ,5.49094 ,0.263311
25 ,54 ,21.7771 ,5.93241 ,5.49094 ,0.27385
26 ,47 ,21.5121 ,5.48543 ,5.48543 ,0.285486
27 ,47 ,19.9899 ,5.73161 ,5.48543 ,0.296215
28 ,44 ,20.3872 ,5.73863 ,5.48543 ,0.306179
29 ,51 ,20.7076 ,5.67566 ,5.48543 ,0.317495
30 ,45 ,21.2703 ,5.83722 ,5.48543 ,0.329564
31 ,44 ,20.9813 ,5.71782 ,5.48543 ,0.341746
32 ,49 ,20.2521 ,5.71486 ,5.48543 ,0.351533
33 ,49 ,21.6933 ,5.76372 ,5.48543 ,0.363667
34 ,43 ,20.8916 ,5.8667 ,5.48543 ,0.375156
35 ,50 ,19.6599 ,5.69131 ,5.48543 ,0.384408
36 ,52 ,20.94 ,5.77302 ,5.48543 ,0.394636
37 ,51 ,20.0381 ,5.61649 ,5.48543 ,0.404344
38 ,44 ,22.0459 ,5.79517 ,5.48543 ,0.416516
39 ,45 ,20.057 ,5.69936 ,5.48543 ,0.425704
40 ,50 ,20.9239 ,5.74063 ,5.48543 ,0.436687
