Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,19.9026 ,19.9026 ,7.4e-05
update best ,1 ,47 ,47 ,1 ,47 ,5.5423 ,5.5423 ,0.036023
local optima ,1 ,48 ,48 ,1 ,47 ,5.5423 ,5.5423 ,0.036117
new initTour ,1 ,48 ,48 ,2 ,0 ,21.1915 ,5.5423 ,0.036218
update best ,1 ,101 ,101 ,2 ,54 ,5.53706 ,5.53706 ,0.072887
local optima ,1 ,102 ,102 ,2 ,54 ,5.53706 ,5.53706 ,0.072941
new initTour ,1 ,102 ,102 ,3 ,0 ,20.1817 ,5.53706 ,0.072977
local optima ,1 ,148 ,148 ,3 ,46 ,5.84168 ,5.53706 ,0.113231
new initTour ,1 ,148 ,148 ,4 ,0 ,20.1645 ,5.53706 ,0.113271
local optima ,1 ,197 ,197 ,4 ,49 ,5.78534 ,5.53706 ,0.149504
new initTour ,1 ,197 ,197 ,5 ,0 ,19.1891 ,5.53706 ,0.149541
local optima ,1 ,242 ,242 ,5 ,45 ,5.71157 ,5.53706 ,0.178431
new initTour ,1 ,242 ,242 ,6 ,0 ,19.6564 ,5.53706 ,0.178466
local optima ,1 ,291 ,291 ,6 ,49 ,5.66411 ,5.53706 ,0.213865
new initTour ,1 ,291 ,291 ,7 ,0 ,19.95 ,5.53706 ,0.2139
local optima ,1 ,335 ,335 ,7 ,44 ,5.78721 ,5.53706 ,0.253431
new initTour ,1 ,335 ,335 ,8 ,0 ,21.0136 ,5.53706 ,0.253467
local optima ,1 ,384 ,384 ,8 ,49 ,5.66619 ,5.53706 ,0.297134
new initTour ,1 ,384 ,384 ,9 ,0 ,19.8394 ,5.53706 ,0.29717
local optima ,1 ,435 ,435 ,9 ,51 ,5.61371 ,5.53706 ,0.333117
new initTour ,1 ,435 ,435 ,10 ,0 ,18.5088 ,5.53706 ,0.333153
local optima ,1 ,477 ,477 ,10 ,42 ,6.02371 ,5.53706 ,0.364106
new initTour ,1 ,477 ,477 ,11 ,0 ,19.4226 ,5.53706 ,0.364143
local optima ,1 ,523 ,523 ,11 ,46 ,5.97751 ,5.53706 ,0.3997
new initTour ,1 ,523 ,523 ,12 ,0 ,20.4028 ,5.53706 ,0.399735
local optima ,1 ,578 ,578 ,12 ,55 ,5.79624 ,5.53706 ,0.440056
new initTour ,1 ,578 ,578 ,13 ,0 ,19.0153 ,5.53706 ,0.440091
local optima ,1 ,623 ,623 ,13 ,45 ,5.60237 ,5.53706 ,0.471798
new initTour ,1 ,623 ,623 ,14 ,0 ,19.1321 ,5.53706 ,0.471834
local optima ,1 ,672 ,672 ,14 ,49 ,5.7673 ,5.53706 ,0.507575
new initTour ,1 ,672 ,672 ,15 ,0 ,22.817 ,5.53706 ,0.507611
local optima ,1 ,723 ,723 ,15 ,51 ,5.89155 ,5.53706 ,0.557957
new initTour ,1 ,723 ,723 ,16 ,0 ,21.6502 ,5.53706 ,0.557992
local optima ,1 ,772 ,772 ,16 ,49 ,5.828 ,5.53706 ,0.603645
new initTour ,1 ,772 ,772 ,17 ,0 ,20.227 ,5.53706 ,0.603681
local optima ,1 ,816 ,816 ,17 ,44 ,5.78755 ,5.53706 ,0.642554
new initTour ,1 ,816 ,816 ,18 ,0 ,20.4999 ,5.53706 ,0.642589
local optima ,1 ,861 ,861 ,18 ,45 ,5.66432 ,5.53706 ,0.688508
new initTour ,1 ,861 ,861 ,19 ,0 ,20.2585 ,5.53706 ,0.688544
local optima ,1 ,906 ,906 ,19 ,45 ,5.74953 ,5.53706 ,0.725748
new initTour ,1 ,906 ,906 ,20 ,0 ,20.9321 ,5.53706 ,0.725783
local optima ,1 ,958 ,958 ,20 ,52 ,5.61433 ,5.53706 ,0.767561
new initTour ,1 ,958 ,958 ,21 ,0 ,20.6855 ,5.53706 ,0.767596
local optima ,1 ,1005 ,1005 ,21 ,47 ,5.584 ,5.53706 ,0.807914
new initTour ,1 ,1005 ,1005 ,22 ,0 ,20.6504 ,5.53706 ,0.80795
local optima ,1 ,1050 ,1050 ,22 ,45 ,5.59417 ,5.53706 ,0.845168
new initTour ,1 ,1050 ,1050 ,23 ,0 ,22.1618 ,5.53706 ,0.845203
local optima ,1 ,1097 ,1097 ,23 ,47 ,6.55853 ,5.53706 ,0.889892
