tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,82 ,19.9026 ,5.8305 ,5.8305 ,0.001115
2 ,78 ,21.1915 ,5.7853 ,5.7853 ,0.002069
3 ,79 ,20.1817 ,5.68166 ,5.68166 ,0.003026
4 ,90 ,20.1645 ,5.81944 ,5.68166 ,0.004117
5 ,104 ,19.1891 ,5.68713 ,5.68166 ,0.00538
6 ,86 ,19.6564 ,5.64229 ,5.64229 ,0.006406
7 ,90 ,19.95 ,5.80818 ,5.64229 ,0.007544
8 ,84 ,21.0136 ,5.84888 ,5.64229 ,0.008546
9 ,95 ,19.8394 ,5.66306 ,5.64229 ,0.009737
10 ,106 ,18.5088 ,5.55368 ,5.55368 ,0.011038
11 ,87 ,19.4226 ,5.82082 ,5.55368 ,0.012103
12 ,80 ,20.4028 ,5.63462 ,5.55368 ,0.013074
13 ,82 ,19.0153 ,5.68961 ,5.55368 ,0.014177
14 ,86 ,19.1321 ,5.81042 ,5.55368 ,0.015247
15 ,82 ,22.817 ,5.73414 ,5.55368 ,0.016239
16 ,78 ,21.6502 ,5.73186 ,5.55368 ,0.017182
17 ,109 ,20.227 ,5.8749 ,5.55368 ,0.018495
18 ,98 ,20.4999 ,5.6561 ,5.55368 ,0.019653
19 ,84 ,20.2585 ,5.64648 ,5.55368 ,0.020664
20 ,97 ,20.9321 ,5.96309 ,5.55368 ,0.021826
21 ,85 ,20.6855 ,5.77071 ,5.55368 ,0.022847
22 ,78 ,20.6504 ,5.72315 ,5.55368 ,0.023795
23 ,86 ,22.1618 ,5.55956 ,5.55368 ,0.025026
24 ,85 ,20.8039 ,5.57745 ,5.55368 ,0.026053
25 ,84 ,19.5327 ,5.83058 ,5.55368 ,0.027068
26 ,90 ,20.5045 ,5.81364 ,5.55368 ,0.028177
27 ,91 ,21.728 ,5.78872 ,5.55368 ,0.029295
28 ,105 ,21.7708 ,5.73845 ,5.55368 ,0.03057
29 ,96 ,20.6064 ,5.6446 ,5.55368 ,0.031721
30 ,86 ,18.8374 ,5.71701 ,5.55368 ,0.032775
31 ,84 ,20.3999 ,5.72144 ,5.55368 ,0.033784
32 ,88 ,21.388 ,5.51466 ,5.51466 ,0.034824
33 ,101 ,19.238 ,5.54305 ,5.51466 ,0.036343
34 ,87 ,19.6399 ,5.58568 ,5.51466 ,0.038061
35 ,83 ,21.5216 ,5.7038 ,5.51466 ,0.039131
36 ,93 ,19.8133 ,5.57477 ,5.51466 ,0.040303
37 ,105 ,20.5834 ,5.80946 ,5.51466 ,0.041595
38 ,101 ,21.3263 ,5.78216 ,5.51466 ,0.042848
39 ,77 ,20.1679 ,5.79224 ,5.51466 ,0.044074
40 ,87 ,20.3296 ,5.624 ,5.51466 ,0.045361
41 ,99 ,21.243 ,5.67198 ,5.51466 ,0.046551
42 ,97 ,21.1681 ,5.62268 ,5.51466 ,0.047722
43 ,98 ,20.8713 ,5.55246 ,5.51466 ,0.048929
44 ,113 ,21.6748 ,5.86628 ,5.51466 ,0.05031
45 ,89 ,19.6465 ,5.77454 ,5.51466 ,0.051408
46 ,92 ,20.889 ,5.55741 ,5.51466 ,0.052527
47 ,94 ,21.2352 ,5.60434 ,5.51466 ,0.053687
48 ,84 ,20.5786 ,5.75716 ,5.51466 ,0.054819
49 ,98 ,21.0254 ,5.80629 ,5.51466 ,0.056126
50 ,91 ,18.8908 ,5.80335 ,5.51466 ,0.057451
51 ,91 ,21.4993 ,5.72843 ,5.51466 ,0.058585
52 ,87 ,21.5909 ,5.67445 ,5.51466 ,0.059698
53 ,86 ,21.1534 ,5.5985 ,5.51466 ,0.060768
54 ,89 ,20.4992 ,5.53402 ,5.51466 ,0.061872
55 ,83 ,19.0958 ,5.65568 ,5.51466 ,0.062908
56 ,70 ,21.1076 ,5.63841 ,5.51466 ,0.063815
57 ,83 ,20.0076 ,5.76127 ,5.51466 ,0.064848
