tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,45 ,19.9026 ,5.55643 ,5.55643 ,0.009658
2 ,50 ,21.1915 ,5.5332 ,5.5332 ,0.018998
3 ,45 ,20.1817 ,5.86613 ,5.5332 ,0.029922
4 ,46 ,20.1645 ,5.71071 ,5.5332 ,0.042094
5 ,45 ,19.1891 ,5.72472 ,5.5332 ,0.050548
6 ,44 ,19.6564 ,5.6326 ,5.5332 ,0.059777
7 ,48 ,19.95 ,5.69415 ,5.5332 ,0.071014
8 ,41 ,21.0136 ,5.7281 ,5.5332 ,0.082569
9 ,45 ,19.8394 ,5.77111 ,5.5332 ,0.092628
10 ,38 ,18.5088 ,6.03918 ,5.5332 ,0.100612
11 ,44 ,19.4226 ,5.96621 ,5.5332 ,0.109814
12 ,42 ,20.4028 ,5.90926 ,5.5332 ,0.120047
13 ,41 ,19.0153 ,5.68519 ,5.5332 ,0.127975
14 ,50 ,19.1321 ,5.76963 ,5.5332 ,0.13755
15 ,46 ,22.817 ,5.67565 ,5.5332 ,0.15121
16 ,48 ,21.6502 ,6.05957 ,5.5332 ,0.162767
17 ,42 ,20.227 ,5.80411 ,5.5332 ,0.173009
18 ,46 ,20.4999 ,5.75235 ,5.5332 ,0.184656
19 ,48 ,20.2585 ,5.69709 ,5.5332 ,0.194327
20 ,49 ,20.9321 ,5.61699 ,5.5332 ,0.204767
21 ,48 ,20.6855 ,5.66673 ,5.5332 ,0.215249
22 ,52 ,20.6504 ,5.62929 ,5.5332 ,0.225346
23 ,52 ,22.1618 ,5.78563 ,5.5332 ,0.237093
24 ,50 ,20.8039 ,5.80347 ,5.5332 ,0.246974
25 ,41 ,19.5327 ,5.90783 ,5.5332 ,0.256553
26 ,47 ,20.5045 ,5.80391 ,5.5332 ,0.26725
27 ,45 ,21.728 ,5.71999 ,5.5332 ,0.27851
28 ,47 ,21.7708 ,5.89677 ,5.5332 ,0.29145
29 ,50 ,20.6064 ,5.69471 ,5.5332 ,0.302419
30 ,44 ,18.8374 ,5.78333 ,5.5332 ,0.311391
31 ,50 ,20.3999 ,5.91198 ,5.5332 ,0.322257
32 ,44 ,21.388 ,5.87147 ,5.5332 ,0.334418
33 ,44 ,19.238 ,5.91947 ,5.5332 ,0.343927
34 ,46 ,19.6399 ,5.93301 ,5.5332 ,0.352761
35 ,42 ,21.5216 ,5.64907 ,5.5332 ,0.36437
36 ,49 ,19.8133 ,5.70584 ,5.5332 ,0.375034
37 ,44 ,20.5834 ,5.74689 ,5.5332 ,0.386245
38 ,52 ,21.3263 ,5.64495 ,5.5332 ,0.398006
39 ,44 ,20.1679 ,5.5639 ,5.5332 ,0.407582
40 ,47 ,20.3296 ,5.68289 ,5.5332 ,0.419333
41 ,46 ,21.243 ,5.80103 ,5.5332 ,0.430061
42 ,54 ,21.1681 ,5.7565 ,5.5332 ,0.442939
43 ,45 ,20.8713 ,5.80637 ,5.5332 ,0.454556
44 ,42 ,21.6748 ,6.0946 ,5.5332 ,0.466059
45 ,50 ,19.6465 ,5.77466 ,5.5332 ,0.47522
46 ,43 ,20.889 ,5.70043 ,5.5332 ,0.486788
47 ,47 ,21.2352 ,5.76137 ,5.5332 ,0.498114
48 ,45 ,20.5786 ,6.01673 ,5.5332 ,0.50781
49 ,48 ,21.0254 ,5.88771 ,5.5332 ,0.519885
50 ,44 ,18.8908 ,5.7874 ,5.5332 ,0.528828
51 ,51 ,21.4993 ,5.54267 ,5.5332 ,0.539528
52 ,50 ,21.5909 ,5.66977 ,5.5332 ,0.551305
53 ,50 ,21.1534 ,5.6847 ,5.5332 ,0.562945
54 ,42 ,20.4992 ,5.99106 ,5.5332 ,0.573062
55 ,45 ,19.0958 ,5.64273 ,5.5332 ,0.583211
56 ,46 ,21.1076 ,5.66498 ,5.5332 ,0.594077
57 ,45 ,20.0076 ,6.15076 ,5.5332 ,0.60358
58 ,42 ,21.3707 ,5.66645 ,5.5332 ,0.614785
59 ,44 ,18.8742 ,5.55321 ,5.5332 ,0.62382
60 ,48 ,22.5851 ,5.71008 ,5.5332 ,0.637248
61 ,48 ,19.259 ,5.66553 ,5.5332 ,0.647715
62 ,48 ,22.0997 ,5.6427 ,5.5332 ,0.660603
63 ,45 ,20.1837 ,6.11227 ,5.5332 ,0.67019
64 ,48 ,19.7765 ,5.64614 ,5.5332 ,0.67991
65 ,48 ,20.575 ,5.94743 ,5.5332 ,0.690291
66 ,47 ,17.6515 ,5.82071 ,5.5332 ,0.698587
67 ,50 ,18.7391 ,5.54839 ,5.5332 ,0.707793
68 ,48 ,18.5946 ,5.69158 ,5.5332 ,0.71753
69 ,47 ,20.1597 ,5.87635 ,5.5332 ,0.72903
70 ,44 ,21.0135 ,5.79479 ,5.5332 ,0.738857
71 ,48 ,19.6661 ,5.7591 ,5.5332 ,0.747855
72 ,52 ,20.462 ,5.67124 ,5.5332 ,0.759851
73 ,55 ,21.5052 ,5.51743 ,5.51743 ,0.771061
74 ,50 ,21.7802 ,5.59176 ,5.51743 ,0.783543
75 ,49 ,20.2306 ,5.71091 ,5.51743 ,0.793816
76 ,47 ,19.5319 ,6.01961 ,5.51743 ,0.803786
77 ,48 ,21.3591 ,5.75018 ,5.51743 ,0.816691
78 ,48 ,20.7263 ,5.61174 ,5.51743 ,0.82803
79 ,45 ,20.2255 ,5.8428 ,5.51743 ,0.838567
80 ,48 ,21.4436 ,5.73832 ,5.51743 ,0.849654
81 ,45 ,20.0517 ,5.79207 ,5.51743 ,0.859501
82 ,53 ,21.8202 ,5.56195 ,5.51743 ,0.871328
83 ,47 ,20.6823 ,6.04492 ,5.51743 ,0.88235
84 ,36 ,21.0076 ,6.06244 ,5.51743 ,0.893089
85 ,43 ,21.2968 ,5.68426 ,5.51743 ,0.904721
86 ,46 ,19.6191 ,5.51757 ,5.51743 ,0.914568
87 ,39 ,18.4275 ,5.75515 ,5.51743 ,0.922549
88 ,49 ,20.1999 ,5.65327 ,5.51743 ,0.934048
89 ,50 ,20.0265 ,5.62128 ,5.51743 ,0.944406
90 ,42 ,20.6455 ,5.69077 ,5.51743 ,0.955003
91 ,50 ,20.4497 ,5.86695 ,5.51743 ,0.965307
92 ,51 ,20.9151 ,5.52314 ,5.51743 ,0.977346
93 ,49 ,19.496 ,5.70228 ,5.51743 ,0.987124
94 ,48 ,21.9015 ,5.6768 ,5.51743 ,0.9981
95 ,53 ,21.9294 ,5.7253 ,5.51743 ,1.01002
96 ,52 ,20.281 ,5.54839 ,5.51743 ,1.02095
97 ,47 ,18.3224 ,5.6871 ,5.51743 ,1.03041
98 ,45 ,21.3549 ,5.71216 ,5.51743 ,1.04222
99 ,56 ,21.2811 ,5.57204 ,5.51743 ,1.05579
100 ,44 ,19.2585 ,5.63342 ,5.51743 ,1.06505
101 ,47 ,20.3668 ,5.59017 ,5.51743 ,1.07649
102 ,42 ,18.7611 ,5.66199 ,5.51743 ,1.0854
103 ,47 ,21.1148 ,5.56594 ,5.51743 ,1.09869
104 ,50 ,21.6099 ,5.71437 ,5.51743 ,1.11039
105 ,42 ,19.4692 ,5.71475 ,5.51743 ,1.11875
106 ,45 ,22.0579 ,5.67451 ,5.51743 ,1.13007
107 ,49 ,21.5635 ,5.71907 ,5.51743 ,1.14108
108 ,53 ,21.3557 ,5.61066 ,5.51743 ,1.15362
109 ,47 ,21.5414 ,5.64638 ,5.51743 ,1.16463
110 ,50 ,22.1282 ,5.7292 ,5.51743 ,1.17764
111 ,46 ,21.1244 ,5.79807 ,5.51743 ,1.18952
112 ,39 ,18.7562 ,5.82229 ,5.51743 ,1.19697
113 ,48 ,20.067 ,5.70706 ,5.51743 ,1.20731
114 ,47 ,21.6749 ,5.65035 ,5.51743 ,1.22023
115 ,49 ,19.1042 ,5.52803 ,5.51743 ,1.22993
116 ,47 ,19.9015 ,5.63342 ,5.51743 ,1.24053
