tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,12 ,7.7066 ,3.64688 ,3.64688 ,0.000108
2 ,15 ,6.84728 ,3.54784 ,3.54784 ,0.000221
3 ,19 ,7.5206 ,3.54784 ,3.54784 ,0.000354
4 ,17 ,7.80384 ,3.64688 ,3.54784 ,0.000473
5 ,19 ,7.37235 ,3.54784 ,3.54784 ,0.000603
6 ,12 ,6.86465 ,3.64688 ,3.54784 ,0.000693
7 ,13 ,7.91784 ,3.54784 ,3.54784 ,0.000792
8 ,23 ,8.03499 ,3.54784 ,3.54784 ,0.000941
9 ,16 ,7.89741 ,3.54784 ,3.54784 ,0.001052
10 ,15 ,8.07405 ,3.64688 ,3.54784 ,0.001161
11 ,11 ,7.06391 ,3.54784 ,3.54784 ,0.001244
12 ,10 ,6.71045 ,3.54784 ,3.54784 ,0.001321
13 ,11 ,6.92809 ,3.64688 ,3.54784 ,0.001404
14 ,16 ,6.85268 ,3.54784 ,3.54784 ,0.001514
15 ,15 ,6.85365 ,3.54784 ,3.54784 ,0.001619
16 ,18 ,7.81436 ,3.64688 ,3.54784 ,0.001744
17 ,15 ,8.71489 ,3.64688 ,3.54784 ,0.001852
18 ,18 ,8.00607 ,3.54784 ,3.54784 ,0.001975
19 ,8 ,5.88886 ,3.54784 ,3.54784 ,0.002041
20 ,21 ,7.19475 ,3.54784 ,3.54784 ,0.002183
21 ,13 ,7.50099 ,3.54784 ,3.54784 ,0.00228
22 ,16 ,7.91256 ,3.64688 ,3.54784 ,0.002393
23 ,14 ,7.08926 ,3.54784 ,3.54784 ,0.002495
24 ,17 ,8.37033 ,3.64688 ,3.54784 ,0.002609
25 ,14 ,6.53128 ,3.64688 ,3.54784 ,0.00271
26 ,14 ,7.8873 ,3.54784 ,3.54784 ,0.002811
27 ,16 ,7.63034 ,3.64688 ,3.54784 ,0.002922
28 ,14 ,7.51978 ,3.54784 ,3.54784 ,0.003021
29 ,18 ,7.3495 ,3.64688 ,3.54784 ,0.003146
30 ,16 ,7.18952 ,3.64688 ,3.54784 ,0.003256
31 ,11 ,7.28431 ,3.54784 ,3.54784 ,0.003339
32 ,13 ,5.84639 ,3.64688 ,3.54784 ,0.003438
33 ,19 ,5.95387 ,3.54784 ,3.54784 ,0.003566
34 ,18 ,7.44974 ,3.64688 ,3.54784 ,0.003694
35 ,16 ,6.01598 ,3.54784 ,3.54784 ,0.003803
36 ,18 ,6.50491 ,3.64688 ,3.54784 ,0.003927
37 ,14 ,7.62531 ,3.64688 ,3.54784 ,0.004025
38 ,12 ,7.62752 ,3.54784 ,3.54784 ,0.004113
39 ,13 ,7.98355 ,3.64688 ,3.54784 ,0.004206
40 ,11 ,7.35774 ,3.64688 ,3.54784 ,0.004287
41 ,17 ,7.41755 ,3.64688 ,3.54784 ,0.004404
42 ,15 ,6.33346 ,3.54784 ,3.54784 ,0.00451
43 ,14 ,7.06906 ,3.54784 ,3.54784 ,0.004612
44 ,14 ,7.74047 ,3.54784 ,3.54784 ,0.004725
45 ,18 ,7.06259 ,3.64688 ,3.54784 ,0.004843
46 ,17 ,7.96265 ,3.64688 ,3.54784 ,0.004957
47 ,8 ,6.12056 ,3.64688 ,3.54784 ,0.005021
