tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,11 ,7.7066 ,3.54784 ,3.54784 ,0.000294
2 ,10 ,6.84728 ,3.54784 ,3.54784 ,0.000507
3 ,13 ,7.5206 ,3.54784 ,3.54784 ,0.000908
4 ,11 ,7.80384 ,3.54784 ,3.54784 ,0.001214
5 ,9 ,7.37235 ,3.54784 ,3.54784 ,0.001412
6 ,9 ,6.86465 ,3.64688 ,3.54784 ,0.001625
7 ,9 ,7.91784 ,3.54784 ,3.54784 ,0.001885
8 ,10 ,8.03499 ,3.54784 ,3.54784 ,0.002185
9 ,10 ,7.89741 ,3.54784 ,3.54784 ,0.002481
10 ,9 ,8.07405 ,3.54784 ,3.54784 ,0.002753
11 ,7 ,7.06391 ,3.54784 ,3.54784 ,0.002915
12 ,8 ,6.71045 ,3.54784 ,3.54784 ,0.003098
13 ,10 ,6.92809 ,3.64688 ,3.54784 ,0.003328
14 ,10 ,6.85268 ,3.54784 ,3.54784 ,0.003579
15 ,8 ,6.85365 ,3.54784 ,3.54784 ,0.00382
16 ,8 ,7.81436 ,3.54784 ,3.54784 ,0.004051
17 ,11 ,8.71489 ,3.54784 ,3.54784 ,0.004391
18 ,10 ,8.00607 ,3.54784 ,3.54784 ,0.004669
19 ,9 ,5.88886 ,3.54784 ,3.54784 ,0.004819
20 ,9 ,7.19475 ,3.54784 ,3.54784 ,0.005036
21 ,11 ,7.50099 ,3.54784 ,3.54784 ,0.005283
22 ,8 ,7.91256 ,3.64688 ,3.54784 ,0.005532
23 ,8 ,7.08926 ,3.54784 ,3.54784 ,0.005713
24 ,10 ,8.37033 ,3.64688 ,3.54784 ,0.006
25 ,7 ,6.53128 ,3.54784 ,3.54784 ,0.006152
26 ,11 ,7.8873 ,3.54784 ,3.54784 ,0.006429
27 ,9 ,7.63034 ,3.54784 ,3.54784 ,0.006636
28 ,12 ,7.51978 ,3.64688 ,3.54784 ,0.006901
29 ,7 ,7.3495 ,3.64688 ,3.54784 ,0.007083
30 ,9 ,7.18952 ,3.64688 ,3.54784 ,0.007295
31 ,7 ,7.28431 ,3.54784 ,3.54784 ,0.007481
32 ,8 ,5.84639 ,3.54784 ,3.54784 ,0.007626
33 ,8 ,5.95387 ,3.54784 ,3.54784 ,0.007771
34 ,9 ,7.44974 ,3.54784 ,3.54784 ,0.008023
35 ,7 ,6.01598 ,3.54784 ,3.54784 ,0.008158
36 ,12 ,6.50491 ,3.54784 ,3.54784 ,0.008375
