Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,7.23601 ,7.23601 ,4e-05
update best ,1 ,10 ,10 ,1 ,10 ,3.54784 ,3.54784 ,0.001439
local optima ,1 ,11 ,11 ,1 ,10 ,3.54784 ,3.54784 ,0.001472
new initTour ,1 ,11 ,11 ,2 ,0 ,7.2004 ,3.54784 ,0.001488
local optima ,1 ,21 ,21 ,2 ,10 ,3.54784 ,3.54784 ,0.003068
new initTour ,1 ,21 ,21 ,3 ,0 ,6.92116 ,3.54784 ,0.003083
local optima ,1 ,29 ,29 ,3 ,8 ,3.54784 ,3.54784 ,0.004336
new initTour ,1 ,29 ,29 ,4 ,0 ,8.12875 ,3.54784 ,0.00435
local optima ,1 ,39 ,39 ,4 ,10 ,3.54784 ,3.54784 ,0.006196
new initTour ,1 ,39 ,39 ,5 ,0 ,8.34999 ,3.54784 ,0.006218
local optima ,1 ,54 ,54 ,5 ,15 ,3.64688 ,3.54784 ,0.008383
new initTour ,1 ,54 ,54 ,6 ,0 ,6.89902 ,3.54784 ,0.008397
local optima ,1 ,63 ,63 ,6 ,9 ,3.54784 ,3.54784 ,0.009617
new initTour ,1 ,63 ,63 ,7 ,0 ,6.04758 ,3.54784 ,0.00963
local optima ,1 ,71 ,71 ,7 ,8 ,3.54784 ,3.54784 ,0.010794
new initTour ,1 ,71 ,71 ,8 ,0 ,7.53337 ,3.54784 ,0.01081
local optima ,1 ,83 ,83 ,8 ,12 ,3.54784 ,3.54784 ,0.012796
new initTour ,1 ,83 ,83 ,9 ,0 ,8.04732 ,3.54784 ,0.012813
local optima ,1 ,94 ,94 ,9 ,11 ,3.54784 ,3.54784 ,0.014705
new initTour ,1 ,94 ,94 ,10 ,0 ,7.9163 ,3.54784 ,0.014721
local optima ,1 ,103 ,103 ,10 ,9 ,3.54784 ,3.54784 ,0.016216
new initTour ,1 ,103 ,103 ,11 ,0 ,6.7159 ,3.54784 ,0.01623
local optima ,1 ,111 ,111 ,11 ,8 ,3.64688 ,3.54784 ,0.017532
new initTour ,1 ,111 ,111 ,12 ,0 ,7.71741 ,3.54784 ,0.017546
local optima ,1 ,120 ,120 ,12 ,9 ,3.54784 ,3.54784 ,0.018861
new initTour ,1 ,120 ,120 ,13 ,0 ,6.62557 ,3.54784 ,0.018876
local optima ,1 ,128 ,128 ,13 ,8 ,3.54784 ,3.54784 ,0.020077
new initTour ,1 ,128 ,128 ,14 ,0 ,7.70199 ,3.54784 ,0.020092
local optima ,1 ,137 ,137 ,14 ,9 ,3.64688 ,3.54784 ,0.021581
new initTour ,1 ,137 ,137 ,15 ,0 ,6.21305 ,3.54784 ,0.021596
local optima ,1 ,147 ,147 ,15 ,10 ,3.64688 ,3.54784 ,0.022926
new initTour ,1 ,147 ,147 ,16 ,0 ,6.49677 ,3.54784 ,0.02294
local optima ,1 ,153 ,153 ,16 ,6 ,3.64688 ,3.54784 ,0.023877
new initTour ,1 ,153 ,153 ,17 ,0 ,6.53284 ,3.54784 ,0.023896
local optima ,1 ,161 ,161 ,17 ,8 ,3.64688 ,3.54784 ,0.024984
new initTour ,1 ,161 ,161 ,18 ,0 ,6.75959 ,3.54784 ,0.024998
local optima ,1 ,172 ,172 ,18 ,11 ,3.64688 ,3.54784 ,0.026641
new initTour ,1 ,172 ,172 ,19 ,0 ,6.67409 ,3.54784 ,0.026657
local optima ,1 ,182 ,182 ,19 ,10 ,3.54784 ,3.54784 ,0.028116
new initTour ,1 ,182 ,182 ,20 ,0 ,5.92217 ,3.54784 ,0.02813
local optima ,1 ,190 ,190 ,20 ,8 ,3.54784 ,3.54784 ,0.029179
new initTour ,1 ,190 ,190 ,21 ,0 ,8.02217 ,3.54784 ,0.029194
local optima ,1 ,200 ,200 ,21 ,10 ,3.54784 ,3.54784 ,0.030596
new initTour ,1 ,200 ,200 ,22 ,0 ,7.30828 ,3.54784 ,0.030609
local optima ,1 ,210 ,210 ,22 ,10 ,3.54784 ,3.54784 ,0.032116
new initTour ,1 ,210 ,210 ,23 ,0 ,6.60538 ,3.54784 ,0.032129
local optima ,1 ,218 ,218 ,23 ,8 ,3.54784 ,3.54784 ,0.033116
new initTour ,1 ,218 ,218 ,24 ,0 ,7.70532 ,3.54784 ,0.033129
local optima ,1 ,228 ,228 ,24 ,10 ,3.54784 ,3.54784 ,0.034743
new initTour ,1 ,228 ,228 ,25 ,0 ,8.85556 ,3.54784 ,0.034757
local optima ,1 ,240 ,240 ,25 ,12 ,3.54784 ,3.54784 ,0.037824
new initTour ,1 ,240 ,240 ,26 ,0 ,8.27412 ,3.54784 ,0.03785
local optima ,1 ,252 ,252 ,26 ,12 ,3.64688 ,3.54784 ,0.039998
new initTour ,1 ,252 ,252 ,27 ,0 ,7.36687 ,3.54784 ,0.04002
local optima ,1 ,262 ,262 ,27 ,10 ,3.64688 ,3.54784 ,0.041427
new initTour ,1 ,262 ,262 ,28 ,0 ,5.84858 ,3.54784 ,0.041442
update best ,1 ,270 ,270 ,28 ,9 ,3.54784 ,3.54784 ,0.042566
local optima ,1 ,271 ,271 ,28 ,9 ,3.54784 ,3.54784 ,0.042601
new initTour ,1 ,271 ,271 ,29 ,0 ,6.37888 ,3.54784 ,0.042616
local optima ,1 ,280 ,280 ,29 ,9 ,3.54784 ,3.54784 ,0.043802
new initTour ,1 ,280 ,280 ,30 ,0 ,7.06807 ,3.54784 ,0.043816
local optima ,1 ,290 ,290 ,30 ,10 ,3.64688 ,3.54784 ,0.045322
new initTour ,1 ,290 ,290 ,31 ,0 ,7.41419 ,3.54784 ,0.045337
local optima ,1 ,299 ,299 ,31 ,9 ,3.64688 ,3.54784 ,0.046694
new initTour ,1 ,299 ,299 ,32 ,0 ,7.31294 ,3.54784 ,0.046711
local optima ,1 ,310 ,310 ,32 ,11 ,3.54784 ,3.54784 ,0.048439
new initTour ,1 ,310 ,310 ,33 ,0 ,7.94916 ,3.54784 ,0.048453
local optima ,1 ,320 ,320 ,33 ,10 ,3.54784 ,3.54784 ,0.050049
new initTour ,1 ,320 ,320 ,34 ,0 ,7.00847 ,3.54784 ,0.050064
local optima ,1 ,331 ,331 ,34 ,11 ,3.54784 ,3.54784 ,0.051691
new initTour ,1 ,331 ,331 ,35 ,0 ,8.16357 ,3.54784 ,0.051705
local optima ,1 ,344 ,344 ,35 ,13 ,3.64688 ,3.54784 ,0.053889
new initTour ,1 ,344 ,344 ,36 ,0 ,8.54897 ,3.54784 ,0.053902
local optima ,1 ,356 ,356 ,36 ,12 ,3.64688 ,3.54784 ,0.056342
new initTour ,1 ,356 ,356 ,37 ,0 ,6.27054 ,3.54784 ,0.05637
