tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,9 ,7.23601 ,3.54784 ,3.54784 ,0.000354
2 ,11 ,7.2004 ,3.54784 ,3.54784 ,0.000582
3 ,8 ,6.92116 ,3.54784 ,3.54784 ,0.00076
4 ,10 ,8.12875 ,3.64688 ,3.54784 ,0.00102
5 ,11 ,8.34999 ,3.54784 ,3.54784 ,0.001324
6 ,7 ,6.89902 ,3.54784 ,3.54784 ,0.001462
7 ,8 ,6.04758 ,3.54784 ,3.54784 ,0.001621
8 ,10 ,7.53337 ,3.54784 ,3.54784 ,0.001887
9 ,11 ,8.04732 ,3.54784 ,3.54784 ,0.002157
10 ,9 ,7.9163 ,3.54784 ,3.54784 ,0.00237
11 ,8 ,6.7159 ,3.64688 ,3.54784 ,0.002515
12 ,9 ,7.71741 ,3.54784 ,3.54784 ,0.002704
13 ,9 ,6.62557 ,3.54784 ,3.54784 ,0.002879
14 ,9 ,7.70199 ,3.54784 ,3.54784 ,0.003103
15 ,9 ,6.21305 ,3.64688 ,3.54784 ,0.003277
16 ,8 ,6.49677 ,3.54784 ,3.54784 ,0.003426
17 ,8 ,6.53284 ,3.64688 ,3.54784 ,0.003582
18 ,10 ,6.75959 ,3.54784 ,3.54784 ,0.00377
19 ,10 ,6.67409 ,3.54784 ,3.54784 ,0.003991
20 ,11 ,5.92217 ,3.64688 ,3.54784 ,0.004152
21 ,9 ,8.02217 ,3.54784 ,3.54784 ,0.00438
22 ,13 ,7.30828 ,3.54784 ,3.54784 ,0.004675
23 ,8 ,6.60538 ,3.54784 ,3.54784 ,0.004796
24 ,10 ,7.70532 ,3.64688 ,3.54784 ,0.005051
25 ,12 ,8.85556 ,3.54784 ,3.54784 ,0.00537
26 ,10 ,8.27412 ,3.64688 ,3.54784 ,0.005661
27 ,10 ,7.36687 ,3.54784 ,3.54784 ,0.00588
28 ,7 ,5.84858 ,3.54784 ,3.54784 ,0.006017
29 ,9 ,6.37888 ,3.54784 ,3.54784 ,0.006217
30 ,9 ,7.06807 ,3.54784 ,3.54784 ,0.006375
31 ,8 ,7.41419 ,3.54784 ,3.54784 ,0.006629
32 ,11 ,7.31294 ,3.54784 ,3.54784 ,0.007109
33 ,10 ,7.94916 ,3.54784 ,3.54784 ,0.007368
34 ,11 ,7.00847 ,3.54784 ,3.54784 ,0.007612
35 ,13 ,8.16357 ,3.64688 ,3.54784 ,0.008068
36 ,12 ,8.54897 ,3.64688 ,3.54784 ,0.008384
37 ,6 ,6.27054 ,3.54784 ,3.54784 ,0.008494
38 ,11 ,7.33211 ,3.54784 ,3.54784 ,0.008732
39 ,6 ,6.38384 ,3.64688 ,3.54784 ,0.00885
40 ,10 ,7.05905 ,3.54784 ,3.54784 ,0.009042
