tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,44 ,27.4375 ,7.56373 ,7.56373 ,0.009389
2 ,42 ,27.9348 ,7.13197 ,7.13197 ,0.018714
3 ,44 ,25.9446 ,7.6922 ,7.13197 ,0.026806
4 ,45 ,27.7641 ,7.55229 ,7.13197 ,0.03762
5 ,43 ,26.6755 ,7.45211 ,7.13197 ,0.045445
6 ,41 ,26.5747 ,7.47742 ,7.13197 ,0.053833
7 ,44 ,29.4324 ,7.76697 ,7.13197 ,0.064687
8 ,40 ,25.6032 ,7.47514 ,7.13197 ,0.072255
9 ,46 ,28.743 ,7.61828 ,7.13197 ,0.082086
10 ,51 ,29.2315 ,7.23036 ,7.13197 ,0.093848
11 ,35 ,28.5269 ,7.48564 ,7.13197 ,0.103151
12 ,44 ,29.0671 ,7.68115 ,7.13197 ,0.113034
13 ,50 ,28.3482 ,7.38223 ,7.13197 ,0.122976
14 ,43 ,27.7211 ,7.53993 ,7.13197 ,0.131002
15 ,40 ,27.9425 ,7.23314 ,7.13197 ,0.138991
16 ,45 ,27.3053 ,7.47004 ,7.13197 ,0.147701
17 ,44 ,28.1426 ,7.40585 ,7.13197 ,0.156686
18 ,47 ,28.5389 ,7.54801 ,7.13197 ,0.165792
19 ,51 ,27.8971 ,7.37555 ,7.13197 ,0.176885
20 ,43 ,27.9016 ,7.31816 ,7.13197 ,0.186294
21 ,49 ,26.1123 ,7.32149 ,7.13197 ,0.195152
22 ,42 ,26.5697 ,7.61894 ,7.13197 ,0.203445
23 ,42 ,27.8821 ,7.58232 ,7.13197 ,0.211845
24 ,48 ,27.2547 ,7.68264 ,7.13197 ,0.221124
25 ,39 ,28.2474 ,7.59763 ,7.13197 ,0.230608
26 ,47 ,29.5927 ,7.54189 ,7.13197 ,0.24044
27 ,40 ,29.0626 ,7.73616 ,7.13197 ,0.250489
28 ,44 ,28.0359 ,7.51648 ,7.13197 ,0.259627
29 ,43 ,27.4048 ,7.64573 ,7.13197 ,0.268606
30 ,45 ,29.1312 ,7.37259 ,7.13197 ,0.278903
31 ,45 ,28.508 ,7.57871 ,7.13197 ,0.288455
32 ,48 ,28.0772 ,7.35405 ,7.13197 ,0.298689
33 ,43 ,26.1892 ,7.59031 ,7.13197 ,0.3072
34 ,42 ,29.1776 ,7.62474 ,7.13197 ,0.316783
35 ,35 ,27.546 ,7.72919 ,7.13197 ,0.324603
36 ,37 ,27.9173 ,7.47181 ,7.13197 ,0.333527
37 ,43 ,25.7121 ,7.5285 ,7.13197 ,0.340564
38 ,48 ,28.2442 ,7.6049 ,7.13197 ,0.349342
39 ,42 ,28.9917 ,7.40219 ,7.13197 ,0.358006
40 ,46 ,28.5214 ,7.45539 ,7.13197 ,0.367641
41 ,47 ,25.746 ,7.36372 ,7.13197 ,0.375571
42 ,44 ,25.4153 ,7.47564 ,7.13197 ,0.382499
43 ,53 ,25.6729 ,7.29042 ,7.13197 ,0.390004
44 ,44 ,26.6063 ,7.63719 ,7.13197 ,0.398267
45 ,42 ,26.2461 ,7.57193 ,7.13197 ,0.406627
46 ,40 ,27.7905 ,7.59534 ,7.13197 ,0.415692
47 ,42 ,26.1658 ,7.50908 ,7.13197 ,0.424444
48 ,38 ,25.5662 ,7.32445 ,7.13197 ,0.431565
49 ,40 ,26.9612 ,7.82802 ,7.13197 ,0.440365
50 ,41 ,27.4984 ,7.67019 ,7.13197 ,0.448356
51 ,44 ,23.3344 ,7.34758 ,7.13197 ,0.454228
52 ,41 ,27.0206 ,7.65331 ,7.13197 ,0.462003
53 ,48 ,29.5365 ,7.51629 ,7.13197 ,0.473977
54 ,44 ,26.3102 ,7.41494 ,7.13197 ,0.4824
55 ,42 ,27.3248 ,7.52101 ,7.13197 ,0.490401
56 ,44 ,27.2736 ,7.50679 ,7.13197 ,0.4989
57 ,48 ,28.2363 ,7.4101 ,7.13197 ,0.508654
58 ,43 ,27.2334 ,7.61512 ,7.13197 ,0.516597
59 ,42 ,26.6953 ,7.41064 ,7.13197 ,0.524747
60 ,43 ,27.2519 ,7.42601 ,7.13197 ,0.533469
61 ,40 ,27.1284 ,7.61586 ,7.13197 ,0.542822
62 ,40 ,26.3854 ,7.35771 ,7.13197 ,0.550587
63 ,38 ,28.2621 ,7.48221 ,7.13197 ,0.558539
64 ,47 ,28.1302 ,7.71074 ,7.13197 ,0.56777
65 ,42 ,28.4814 ,7.38971 ,7.13197 ,0.577462
66 ,42 ,26.5499 ,7.50556 ,7.13197 ,0.585796
67 ,41 ,28.8833 ,7.67806 ,7.13197 ,0.595423
68 ,46 ,26.8917 ,7.97887 ,7.13197 ,0.603978
69 ,50 ,28.2146 ,7.19868 ,7.13197 ,0.613141
70 ,43 ,28.5995 ,7.58913 ,7.13197 ,0.622556
71 ,45 ,27.9844 ,7.29404 ,7.13197 ,0.631366
72 ,42 ,28.3994 ,7.46556 ,7.13197 ,0.639956
73 ,42 ,27.1701 ,7.48068 ,7.13197 ,0.648396
74 ,43 ,26.2128 ,7.56467 ,7.13197 ,0.656221
75 ,45 ,26.1327 ,7.43673 ,7.13197 ,0.664326
76 ,47 ,27.755 ,7.66379 ,7.13197 ,0.674992
77 ,42 ,29.339 ,7.44036 ,7.13197 ,0.685356
78 ,46 ,27.0637 ,7.49776 ,7.13197 ,0.693866
79 ,44 ,25.3168 ,7.66151 ,7.13197 ,0.701354
80 ,38 ,26.3359 ,7.56701 ,7.13197 ,0.708854
81 ,42 ,25.879 ,7.39825 ,7.13197 ,0.71568
82 ,42 ,27.6249 ,7.43386 ,7.13197 ,0.725743
83 ,47 ,27.6129 ,7.52745 ,7.13197 ,0.73412
84 ,43 ,26.1229 ,7.5968 ,7.13197 ,0.741913
85 ,44 ,30.3828 ,7.2514 ,7.13197 ,0.7534
86 ,48 ,28.7696 ,7.52975 ,7.13197 ,0.76303
87 ,47 ,28.4288 ,7.48443 ,7.13197 ,0.772302
88 ,46 ,26.014 ,7.75711 ,7.13197 ,0.780524
89 ,44 ,27.6615 ,7.48554 ,7.13197 ,0.789141
90 ,50 ,30.4764 ,7.37897 ,7.13197 ,0.801621
91 ,46 ,26.8633 ,7.4314 ,7.13197 ,0.810267
92 ,46 ,25.1145 ,7.50727 ,7.13197 ,0.817425
93 ,52 ,30.9344 ,7.38921 ,7.13197 ,0.829964
94 ,43 ,25.2676 ,7.57662 ,7.13197 ,0.837687
95 ,44 ,27.5534 ,7.47576 ,7.13197 ,0.846568
96 ,41 ,28.7588 ,7.66627 ,7.13197 ,0.854877
97 ,46 ,27.9811 ,7.6624 ,7.13197 ,0.863995
98 ,41 ,26.9606 ,7.71384 ,7.13197 ,0.873347
99 ,37 ,26.301 ,7.59773 ,7.13197 ,0.881191
100 ,45 ,27.8192 ,7.64445 ,7.13197 ,0.89048
101 ,46 ,26.6373 ,7.52138 ,7.13197 ,0.899056
102 ,44 ,27.7514 ,7.59032 ,7.13197 ,0.908322
103 ,47 ,27.1913 ,7.55846 ,7.13197 ,0.917208
104 ,47 ,26.9459 ,7.23896 ,7.13197 ,0.926037
105 ,51 ,27.129 ,7.34885 ,7.13197 ,0.934752
106 ,45 ,27.5735 ,7.68237 ,7.13197 ,0.942968
107 ,47 ,27.1726 ,7.44436 ,7.13197 ,0.951774
108 ,46 ,27.4944 ,7.36282 ,7.13197 ,0.960515
109 ,47 ,26.9126 ,7.46737 ,7.13197 ,0.970072
110 ,42 ,29.3238 ,7.57998 ,7.13197 ,0.979626
111 ,42 ,27.6897 ,7.32661 ,7.13197 ,0.987078
112 ,44 ,26.9678 ,7.36433 ,7.13197 ,0.995026
113 ,42 ,24.902 ,7.56311 ,7.13197 ,1.00256
114 ,39 ,27.0701 ,7.64193 ,7.13197 ,1.01103
115 ,40 ,27.2012 ,7.43607 ,7.13197 ,1.01963
116 ,44 ,24.2542 ,7.3595 ,7.13197 ,1.02578
117 ,49 ,27.8732 ,7.35316 ,7.13197 ,1.03599
118 ,47 ,28.7514 ,7.43398 ,7.13197 ,1.04525
119 ,38 ,23.232 ,7.35878 ,7.13197 ,1.05165
120 ,47 ,28.1474 ,7.15606 ,7.13197 ,1.06151
121 ,47 ,27.6182 ,7.90926 ,7.13197 ,1.07108
122 ,43 ,27.4485 ,7.78364 ,7.13197 ,1.07891
123 ,48 ,28.3524 ,7.43699 ,7.13197 ,1.08861
124 ,45 ,26.3123 ,7.24807 ,7.13197 ,1.09643
125 ,42 ,27.043 ,7.39348 ,7.13197 ,1.10475
126 ,48 ,27.7979 ,7.28934 ,7.13197 ,1.11383
127 ,39 ,24.2439 ,7.50131 ,7.13197 ,1.1203
128 ,51 ,25.5376 ,7.3151 ,7.13197 ,1.12874
129 ,39 ,24.7326 ,7.37229 ,7.13197 ,1.13535
130 ,48 ,30.665 ,7.64062 ,7.13197 ,1.14711
131 ,46 ,28.9741 ,7.80435 ,7.13197 ,1.15801
132 ,48 ,24.7723 ,7.58431 ,7.13197 ,1.16421
133 ,44 ,27.7988 ,7.51206 ,7.13197 ,1.1734
134 ,50 ,26.1219 ,7.36795 ,7.13197 ,1.18245
135 ,46 ,28.8775 ,7.45283 ,7.13197 ,1.19229
