Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,27.3149 ,27.3149 ,5.9e-05
update best ,1 ,47 ,47 ,1 ,47 ,7.75517 ,7.75517 ,0.033429
local optima ,1 ,48 ,48 ,1 ,47 ,7.75517 ,7.75517 ,0.033476
new initTour ,1 ,48 ,48 ,2 ,0 ,27.8758 ,7.75517 ,0.033512
update best ,1 ,94 ,94 ,2 ,47 ,7.3793 ,7.3793 ,0.070335
local optima ,1 ,95 ,95 ,2 ,47 ,7.3793 ,7.3793 ,0.070379
new initTour ,1 ,95 ,95 ,3 ,0 ,28.4546 ,7.3793 ,0.070415
local optima ,1 ,137 ,137 ,3 ,42 ,7.46535 ,7.3793 ,0.108403
new initTour ,1 ,137 ,137 ,4 ,0 ,25.3411 ,7.3793 ,0.108438
local optima ,1 ,185 ,185 ,4 ,48 ,7.56502 ,7.3793 ,0.139029
new initTour ,1 ,185 ,185 ,5 ,0 ,26.4874 ,7.3793 ,0.139064
local optima ,1 ,225 ,225 ,5 ,40 ,7.43069 ,7.3793 ,0.172108
new initTour ,1 ,225 ,225 ,6 ,0 ,26.3789 ,7.3793 ,0.172144
update best ,1 ,265 ,265 ,6 ,41 ,7.2938 ,7.2938 ,0.205176
local optima ,1 ,266 ,266 ,6 ,41 ,7.2938 ,7.2938 ,0.205221
new initTour ,1 ,266 ,266 ,7 ,0 ,28.377 ,7.2938 ,0.205255
local optima ,1 ,314 ,314 ,7 ,48 ,7.32605 ,7.2938 ,0.243079
new initTour ,1 ,314 ,314 ,8 ,0 ,25.9922 ,7.2938 ,0.243116
local optima ,1 ,352 ,352 ,8 ,38 ,7.83957 ,7.2938 ,0.27297
new initTour ,1 ,352 ,352 ,9 ,0 ,28.9939 ,7.2938 ,0.273005
local optima ,1 ,403 ,403 ,9 ,51 ,7.40436 ,7.2938 ,0.313587
new initTour ,1 ,403 ,403 ,10 ,0 ,27.559 ,7.2938 ,0.313622
local optima ,1 ,445 ,445 ,10 ,42 ,7.59238 ,7.2938 ,0.347201
new initTour ,1 ,445 ,445 ,11 ,0 ,28.1318 ,7.2938 ,0.347235
local optima ,1 ,493 ,493 ,11 ,48 ,7.42153 ,7.2938 ,0.384546
new initTour ,1 ,493 ,493 ,12 ,0 ,27.5054 ,7.2938 ,0.384584
local optima ,1 ,536 ,536 ,12 ,43 ,7.54625 ,7.2938 ,0.419728
new initTour ,1 ,536 ,536 ,13 ,0 ,28.2497 ,7.2938 ,0.419762
