tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,41 ,27.3149 ,7.67512 ,7.67512 ,0.00907
2 ,43 ,27.8758 ,7.55797 ,7.55797 ,0.018235
3 ,46 ,28.4546 ,7.34937 ,7.34937 ,0.028216
4 ,43 ,25.3411 ,7.51564 ,7.34937 ,0.037649
5 ,40 ,26.4874 ,7.38612 ,7.34937 ,0.046604
6 ,40 ,26.3789 ,7.35294 ,7.34937 ,0.055451
7 ,48 ,28.377 ,7.32605 ,7.32605 ,0.065595
8 ,38 ,25.9922 ,7.83957 ,7.32605 ,0.074146
9 ,42 ,28.9939 ,7.51297 ,7.32605 ,0.084571
10 ,47 ,27.559 ,7.58363 ,7.32605 ,0.09439
11 ,46 ,28.1318 ,7.37482 ,7.32605 ,0.104288
12 ,39 ,27.5054 ,7.73616 ,7.32605 ,0.113436
13 ,43 ,28.2497 ,7.48237 ,7.32605 ,0.123956
14 ,39 ,27.2571 ,7.5251 ,7.32605 ,0.132582
15 ,41 ,25.7503 ,7.70231 ,7.32605 ,0.140465
16 ,40 ,25.8704 ,7.4913 ,7.32605 ,0.148241
17 ,41 ,27.8307 ,7.47482 ,7.32605 ,0.156043
18 ,53 ,27.0231 ,7.29583 ,7.29583 ,0.165076
19 ,39 ,26.4699 ,7.52956 ,7.29583 ,0.17249
20 ,43 ,26.9365 ,7.42928 ,7.29583 ,0.180787
21 ,38 ,25.0501 ,7.69043 ,7.29583 ,0.187586
22 ,40 ,29.1051 ,7.70439 ,7.29583 ,0.197483
23 ,41 ,26.981 ,7.42071 ,7.29583 ,0.20609
24 ,44 ,27.8642 ,7.71407 ,7.29583 ,0.21518
25 ,46 ,27.4315 ,7.54606 ,7.29583 ,0.224444
26 ,46 ,26.7574 ,7.77959 ,7.29583 ,0.232946
27 ,35 ,25.3664 ,7.92957 ,7.29583 ,0.239263
28 ,42 ,28.1082 ,7.56205 ,7.29583 ,0.248151
29 ,45 ,27.9716 ,7.64601 ,7.29583 ,0.257926
30 ,44 ,27.6151 ,7.28663 ,7.28663 ,0.266784
31 ,40 ,25.5701 ,7.641 ,7.28663 ,0.2746
32 ,42 ,26.4461 ,7.63549 ,7.28663 ,0.282661
33 ,42 ,29.0984 ,7.66567 ,7.28663 ,0.292686
34 ,38 ,26.9363 ,7.43504 ,7.28663 ,0.301036
35 ,39 ,24.8919 ,7.33812 ,7.28663 ,0.309279
36 ,44 ,26.7757 ,7.64889 ,7.28663 ,0.318016
37 ,44 ,28.3865 ,7.31974 ,7.28663 ,0.329812
38 ,41 ,30.09 ,7.47575 ,7.28663 ,0.341138
39 ,42 ,26.7165 ,7.61841 ,7.28663 ,0.349847
40 ,44 ,27.2383 ,7.45279 ,7.28663 ,0.358521
41 ,40 ,24.2509 ,7.35767 ,7.28663 ,0.365157
42 ,46 ,28.1235 ,7.26206 ,7.26206 ,0.375477
43 ,42 ,26.7976 ,7.63272 ,7.26206 ,0.38397
44 ,41 ,25.2625 ,7.43176 ,7.26206 ,0.391468
45 ,43 ,29.1307 ,7.55987 ,7.26206 ,0.402282
46 ,43 ,26.1538 ,7.50622 ,7.26206 ,0.411107
47 ,44 ,28.5987 ,7.40253 ,7.26206 ,0.421117
48 ,43 ,27.4899 ,7.30968 ,7.26206 ,0.430046
49 ,42 ,24.8636 ,7.28371 ,7.26206 ,0.437361
50 ,41 ,26.3166 ,7.59072 ,7.26206 ,0.445813
51 ,39 ,25.895 ,7.62576 ,7.26206 ,0.453355
52 ,46 ,27.3362 ,7.37892 ,7.26206 ,0.46247
53 ,39 ,25.8876 ,7.41881 ,7.26206 ,0.469937
54 ,42 ,28.5982 ,7.47086 ,7.26206 ,0.480299
55 ,46 ,26.5015 ,7.27513 ,7.26206 ,0.489291
56 ,44 ,29.45 ,7.48537 ,7.26206 ,0.49924
57 ,43 ,24.2967 ,7.49512 ,7.26206 ,0.506603
58 ,46 ,28.0515 ,7.50992 ,7.26206 ,0.515766
59 ,40 ,28.0496 ,7.51445 ,7.26206 ,0.525066
60 ,40 ,28.0225 ,7.54295 ,7.26206 ,0.534911
61 ,42 ,27.7676 ,7.37456 ,7.26206 ,0.544421
62 ,39 ,28.1235 ,7.48749 ,7.26206 ,0.554066
63 ,44 ,27.8386 ,7.57424 ,7.26206 ,0.563138
64 ,45 ,29.3285 ,7.50484 ,7.26206 ,0.573893
65 ,45 ,26.5255 ,7.4267 ,7.26206 ,0.58167
66 ,46 ,29.0222 ,7.46754 ,7.26206 ,0.591278
67 ,41 ,26.4149 ,7.5742 ,7.26206 ,0.598639
68 ,40 ,28.8787 ,7.66212 ,7.26206 ,0.609521
69 ,48 ,27.3565 ,7.55251 ,7.26206 ,0.619057
70 ,50 ,26.5602 ,7.37481 ,7.26206 ,0.627152
71 ,38 ,25.8519 ,7.44644 ,7.26206 ,0.634787
72 ,45 ,27.8762 ,7.5024 ,7.26206 ,0.644278
73 ,43 ,25.5445 ,7.6252 ,7.26206 ,0.65211
74 ,44 ,26.0763 ,7.53314 ,7.26206 ,0.660122
75 ,43 ,28.5413 ,7.18869 ,7.18869 ,0.670005
76 ,40 ,26.7277 ,7.74046 ,7.18869 ,0.678827
77 ,44 ,26.7458 ,7.5645 ,7.18869 ,0.687746
