tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,89 ,29.5117 ,7.57797 ,7.57797 ,0.001201
2 ,76 ,26.1412 ,7.41973 ,7.41973 ,0.002105
3 ,74 ,25.7473 ,7.35784 ,7.35784 ,0.002983
4 ,83 ,26.863 ,7.36423 ,7.35784 ,0.003989
5 ,84 ,29.2048 ,7.25165 ,7.25165 ,0.005009
6 ,92 ,29.7012 ,7.37022 ,7.25165 ,0.006286
7 ,79 ,25.0726 ,7.12093 ,7.12093 ,0.007217
8 ,84 ,24.4988 ,7.2128 ,7.12093 ,0.00822
9 ,91 ,30.0123 ,7.26507 ,7.12093 ,0.0094
10 ,92 ,27.4792 ,7.24143 ,7.12093 ,0.01049
11 ,71 ,23.937 ,7.15815 ,7.12093 ,0.011332
12 ,70 ,26.3891 ,7.28771 ,7.12093 ,0.012173
13 ,72 ,27.3979 ,7.38031 ,7.12093 ,0.013034
14 ,78 ,28.3629 ,7.40481 ,7.12093 ,0.013954
15 ,78 ,28.1128 ,7.41144 ,7.12093 ,0.014919
16 ,81 ,27.2485 ,7.47208 ,7.12093 ,0.015878
17 ,63 ,28.771 ,7.48681 ,7.12093 ,0.016629
18 ,73 ,26.2373 ,7.4093 ,7.12093 ,0.017502
19 ,65 ,25.3741 ,7.55844 ,7.12093 ,0.018271
20 ,84 ,26.5924 ,7.45695 ,7.12093 ,0.019277
21 ,84 ,28.2154 ,7.25939 ,7.12093 ,0.020259
22 ,79 ,27.7428 ,7.24598 ,7.12093 ,0.021217
23 ,71 ,28.7237 ,7.23884 ,7.12093 ,0.022073
24 ,87 ,30.4626 ,7.77401 ,7.12093 ,0.023095
25 ,89 ,29.1036 ,7.43886 ,7.12093 ,0.024222
26 ,67 ,28.1912 ,7.24241 ,7.12093 ,0.025018
27 ,92 ,26.7934 ,7.40081 ,7.12093 ,0.026127
28 ,79 ,28.8932 ,7.67471 ,7.12093 ,0.027072
29 ,66 ,25.5471 ,7.39161 ,7.12093 ,0.027865
30 ,69 ,25.5548 ,7.55541 ,7.12093 ,0.028693
31 ,78 ,26.8648 ,7.19569 ,7.12093 ,0.029616
32 ,79 ,28.515 ,7.26006 ,7.12093 ,0.03055
33 ,90 ,28.286 ,7.31405 ,7.12093 ,0.031604
34 ,68 ,28.7631 ,7.59699 ,7.12093 ,0.032429
35 ,73 ,26.8316 ,7.46806 ,7.12093 ,0.033293
36 ,79 ,26.4719 ,7.35815 ,7.12093 ,0.034227
37 ,81 ,29.6155 ,7.38703 ,7.12093 ,0.035398
38 ,71 ,26.6022 ,7.2372 ,7.12093 ,0.036831
39 ,97 ,27.6982 ,7.23672 ,7.12093 ,0.038185
40 ,90 ,26.2246 ,7.30747 ,7.12093 ,0.039286
41 ,72 ,25.7192 ,7.53601 ,7.12093 ,0.040173
42 ,74 ,25.617 ,7.3751 ,7.12093 ,0.041087
43 ,80 ,28.5533 ,7.43518 ,7.12093 ,0.042126
44 ,85 ,27.5634 ,7.32875 ,7.12093 ,0.043146
45 ,68 ,25.6212 ,7.18742 ,7.12093 ,0.043962
46 ,83 ,27.3822 ,7.31783 ,7.12093 ,0.04498
47 ,78 ,24.5715 ,7.4566 ,7.12093 ,0.045931
48 ,69 ,26.3021 ,7.2978 ,7.12093 ,0.046768
49 ,86 ,26.5953 ,7.29107 ,7.12093 ,0.047797
50 ,81 ,29.5702 ,7.64631 ,7.12093 ,0.048777
51 ,82 ,27.9247 ,7.38968 ,7.12093 ,0.049763
52 ,76 ,25.8548 ,7.63252 ,7.12093 ,0.050729
53 ,96 ,27.1501 ,7.47256 ,7.12093 ,0.051901
54 ,73 ,25.8968 ,7.60941 ,7.12093 ,0.052806
55 ,91 ,29.1632 ,7.29765 ,7.12093 ,0.053916
56 ,80 ,26.3684 ,7.38051 ,7.12093 ,0.054901
57 ,76 ,27.6175 ,7.27643 ,7.12093 ,0.055951
58 ,80 ,24.001 ,7.19976 ,7.12093 ,0.056921
59 ,93 ,30.1411 ,7.44544 ,7.12093 ,0.058134
60 ,87 ,30.5447 ,7.22349 ,7.12093 ,0.059246
61 ,74 ,27.4971 ,7.21255 ,7.12093 ,0.060139
62 ,80 ,26.6083 ,7.2962 ,7.12093 ,0.061088
63 ,79 ,26.2048 ,7.49757 ,7.12093 ,0.062022
64 ,80 ,27.4256 ,7.25204 ,7.12093 ,0.06297
65 ,76 ,27.9149 ,7.29977 ,7.12093 ,0.063861
66 ,71 ,28.557 ,7.40927 ,7.12093 ,0.064732
67 ,78 ,26.7077 ,7.5212 ,7.12093 ,0.065654
68 ,71 ,27.4407 ,7.32732 ,7.12093 ,0.066504
69 ,81 ,27.4028 ,7.75725 ,7.12093 ,0.067468
70 ,75 ,28.9817 ,7.53139 ,7.12093 ,0.068359
71 ,77 ,29.4963 ,7.40724 ,7.12093 ,0.069412
72 ,84 ,26.4947 ,7.5576 ,7.12093 ,0.070403
73 ,78 ,26.9257 ,7.46452 ,7.12093 ,0.071335
74 ,88 ,28.8163 ,7.25042 ,7.12093 ,0.072384
75 ,79 ,29.7661 ,7.45366 ,7.12093 ,0.073318
76 ,85 ,27.3313 ,7.23209 ,7.12093 ,0.074429
77 ,82 ,27.6306 ,7.40398 ,7.12093 ,0.075577
78 ,75 ,24.6725 ,7.50227 ,7.12093 ,0.076481
79 ,89 ,27.8377 ,7.36904 ,7.12093 ,0.07753
80 ,79 ,28.5059 ,7.32552 ,7.12093 ,0.07847
81 ,82 ,30.1984 ,7.53111 ,7.12093 ,0.079477
82 ,63 ,27.0737 ,7.36743 ,7.12093 ,0.080237
83 ,79 ,29.9745 ,7.65759 ,7.12093 ,0.081165
84 ,78 ,30.4774 ,7.44948 ,7.12093 ,0.082101
85 ,93 ,28.2815 ,7.26986 ,7.12093 ,0.083196
