Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,139.658 ,139.658 ,0.000193
update best ,1 ,297 ,297 ,1 ,297 ,13.5229 ,13.5229 ,4.79624
local optima ,1 ,298 ,298 ,1 ,297 ,13.5229 ,13.5229 ,4.79637
new initTour ,1 ,298 ,298 ,2 ,0 ,133.752 ,13.5229 ,4.79652
update best ,1 ,608 ,608 ,2 ,311 ,13.352 ,13.352 ,9.02222
local optima ,1 ,609 ,609 ,2 ,311 ,13.352 ,13.352 ,9.02235
new initTour ,1 ,609 ,609 ,3 ,0 ,131.43 ,13.352 ,9.02251
update best ,1 ,920 ,920 ,3 ,312 ,13.0722 ,13.0722 ,13.0463
local optima ,1 ,921 ,921 ,3 ,312 ,13.0722 ,13.0722 ,13.0464
new initTour ,1 ,921 ,921 ,4 ,0 ,133.623 ,13.0722 ,13.0466
local optima ,1 ,1228 ,1228 ,4 ,307 ,13.0836 ,13.0722 ,17.5771
new initTour ,1 ,1228 ,1228 ,5 ,0 ,136.296 ,13.0722 ,17.5773
update best ,1 ,1552 ,1552 ,5 ,325 ,12.8865 ,12.8865 ,22.2509
local optima ,1 ,1553 ,1553 ,5 ,325 ,12.8865 ,12.8865 ,22.2511
new initTour ,1 ,1553 ,1553 ,6 ,0 ,129.487 ,12.8865 ,22.2512
local optima ,1 ,1859 ,1859 ,6 ,306 ,13.3244 ,12.8865 ,26.3621
new initTour ,1 ,1859 ,1859 ,7 ,0 ,130.5 ,12.8865 ,26.3623
local optima ,1 ,2162 ,2162 ,7 ,303 ,13.2036 ,12.8865 ,30.4055
new initTour ,1 ,2162 ,2162 ,8 ,0 ,136.902 ,12.8865 ,30.4056
local optima ,1 ,2464 ,2464 ,8 ,302 ,12.9606 ,12.8865 ,34.9402
new initTour ,1 ,2464 ,2464 ,9 ,0 ,135.656 ,12.8865 ,34.9403
local optima ,1 ,2764 ,2764 ,9 ,300 ,13.2832 ,12.8865 ,39.2971
new initTour ,1 ,2764 ,2764 ,10 ,0 ,134.612 ,12.8865 ,39.2973
local optima ,1 ,3060 ,3060 ,10 ,296 ,13.4829 ,12.8865 ,43.5218
new initTour ,1 ,3060 ,3060 ,11 ,0 ,131.213 ,12.8865 ,43.522
local optima ,1 ,3366 ,3366 ,11 ,306 ,13.1125 ,12.8865 ,47.5986
new initTour ,1 ,3366 ,3366 ,12 ,0 ,140.436 ,12.8865 ,47.5988
update best ,1 ,3677 ,3677 ,12 ,312 ,12.8777 ,12.8777 ,52.4276
local optima ,1 ,3678 ,3678 ,12 ,312 ,12.8777 ,12.8777 ,52.4277
new initTour ,1 ,3678 ,3678 ,13 ,0 ,135.245 ,12.8777 ,52.4279
local optima ,1 ,3969 ,3969 ,13 ,291 ,13.4485 ,12.8777 ,56.9316
new initTour ,1 ,3969 ,3969 ,14 ,0 ,137.154 ,12.8777 ,56.9318
local optima ,1 ,4273 ,4273 ,14 ,304 ,13.3134 ,12.8777 ,61.5337
new initTour ,1 ,4273 ,4273 ,15 ,0 ,130.308 ,12.8777 ,61.5339
local optima ,1 ,4579 ,4579 ,15 ,306 ,13.2379 ,12.8777 ,65.7707
new initTour ,1 ,4579 ,4579 ,16 ,0 ,136.418 ,12.8777 ,65.7708
local optima ,1 ,4884 ,4884 ,16 ,305 ,13.265 ,12.8777 ,70.1277
new initTour ,1 ,4884 ,4884 ,17 ,0 ,137.035 ,12.8777 ,70.1278
local optima ,1 ,5190 ,5190 ,17 ,306 ,13.4243 ,12.8777 ,74.5973
new initTour ,1 ,5190 ,5190 ,18 ,0 ,128.221 ,12.8777 ,74.5975
local optima ,1 ,5512 ,5512 ,18 ,322 ,12.8939 ,12.8777 ,78.5138
new initTour ,1 ,5512 ,5512 ,19 ,0 ,134.865 ,12.8777 ,78.5139
local optima ,1 ,5815 ,5815 ,19 ,303 ,13.0702 ,12.8777 ,83.1137
new initTour ,1 ,5815 ,5815 ,20 ,0 ,133.766 ,12.8777 ,83.1138
local optima ,1 ,6118 ,6118 ,20 ,303 ,13.1809 ,12.8777 ,87.4383
new initTour ,1 ,6118 ,6118 ,21 ,0 ,134.863 ,12.8777 ,87.4385
epi end ,1 ,6401 ,6401 ,21 ,283 ,13.621 ,12.8777 ,91.8614
epi begin ,2 ,1 ,6401 ,21 ,283 ,13.621 ,12.8777 ,295.189
local optima ,2 ,19 ,6419 ,21 ,301 ,13.5147 ,12.8777 ,295.193
new initTour ,2 ,19 ,6419 ,22 ,0 ,133.602 ,12.8777 ,295.193
local optima ,2 ,630 ,7030 ,22 ,611 ,13.1488 ,12.8777 ,303.699
new initTour ,2 ,630 ,7030 ,23 ,0 ,135.01 ,12.8777 ,303.7
local optima ,2 ,1242 ,7642 ,23 ,612 ,13.0139 ,12.8777 ,312.552
new initTour ,2 ,1242 ,7642 ,24 ,0 ,133.847 ,12.8777 ,312.552
local optima ,2 ,1864 ,8264 ,24 ,622 ,13.0701 ,12.8777 ,320.977
new initTour ,2 ,1864 ,8264 ,25 ,0 ,137.66 ,12.8777 ,320.977
local optima ,2 ,2478 ,8878 ,25 ,614 ,13.2047 ,12.8777 ,330.047
new initTour ,2 ,2478 ,8878 ,26 ,0 ,135.096 ,12.8777 ,330.047
local optima ,2 ,3041 ,9441 ,26 ,563 ,13.1537 ,12.8777 ,338.099
new initTour ,2 ,3041 ,9441 ,27 ,0 ,132.042 ,12.8777 ,338.099
update best ,2 ,3605 ,10005 ,27 ,565 ,12.8186 ,12.8186 ,346.59
local optima ,2 ,3606 ,10006 ,27 ,565 ,12.8186 ,12.8186 ,346.59
new initTour ,2 ,3606 ,10006 ,28 ,0 ,130.186 ,12.8186 ,346.59
local optima ,2 ,4255 ,10655 ,28 ,649 ,12.9785 ,12.8186 ,354.596
new initTour ,2 ,4255 ,10655 ,29 ,0 ,131.466 ,12.8186 ,354.596
local optima ,2 ,4836 ,11236 ,29 ,581 ,12.8881 ,12.8186 ,363.206
new initTour ,2 ,4836 ,11236 ,30 ,0 ,135.181 ,12.8186 ,363.206
local optima ,2 ,5415 ,11815 ,30 ,579 ,13.0273 ,12.8186 ,370.778
new initTour ,2 ,5415 ,11815 ,31 ,0 ,137.057 ,12.8186 ,370.778
update best ,2 ,5964 ,12364 ,31 ,550 ,12.7742 ,12.7742 ,379.212
local optima ,2 ,5965 ,12365 ,31 ,550 ,12.7742 ,12.7742 ,379.212
new initTour ,2 ,5965 ,12365 ,32 ,0 ,136.761 ,12.7742 ,379.212
epi end ,2 ,6401 ,12801 ,32 ,436 ,19.9811 ,12.7742 ,386.953
epi begin ,3 ,1 ,12801 ,32 ,436 ,19.9811 ,12.7742 ,610.995
local optima ,3 ,102 ,12902 ,32 ,537 ,13.2802 ,12.7742 ,611.056
new initTour ,3 ,102 ,12902 ,33 ,0 ,134.074 ,12.7742 ,611.056
local optima ,3 ,838 ,13638 ,33 ,736 ,13.2518 ,12.7742 ,622.401
new initTour ,3 ,838 ,13638 ,34 ,0 ,131.769 ,12.7742 ,622.401
local optima ,3 ,1488 ,14288 ,34 ,650 ,13.2331 ,12.7742 ,631.872
new initTour ,3 ,1488 ,14288 ,35 ,0 ,135.921 ,12.7742 ,631.872
local optima ,3 ,2242 ,15042 ,35 ,754 ,13.2373 ,12.7742 ,643.134
new initTour ,3 ,2242 ,15042 ,36 ,0 ,134.007 ,12.7742 ,643.134
local optima ,3 ,2973 ,15773 ,36 ,731 ,13.2146 ,12.7742 ,654.47
new initTour ,3 ,2973 ,15773 ,37 ,0 ,137.081 ,12.7742 ,654.47
local optima ,3 ,3689 ,16489 ,37 ,716 ,13.2735 ,12.7742 ,665.559
new initTour ,3 ,3689 ,16489 ,38 ,0 ,138.284 ,12.7742 ,665.559
local optima ,3 ,4361 ,17161 ,38 ,672 ,13.1122 ,12.7742 ,676.365
new initTour ,3 ,4361 ,17161 ,39 ,0 ,132.691 ,12.7742 ,676.365
local optima ,3 ,5046 ,17846 ,39 ,685 ,13.1345 ,12.7742 ,687.222
new initTour ,3 ,5046 ,17846 ,40 ,0 ,138.844 ,12.7742 ,687.222
local optima ,3 ,5717 ,18517 ,40 ,671 ,13.1679 ,12.7742 ,698.073
new initTour ,3 ,5717 ,18517 ,41 ,0 ,136.71 ,12.7742 ,698.073
local optima ,3 ,6364 ,19164 ,41 ,647 ,13.3476 ,12.7742 ,709.407
new initTour ,3 ,6364 ,19164 ,42 ,0 ,134.124 ,12.7742 ,709.407
epi end ,3 ,6401 ,19201 ,42 ,37 ,109.128 ,12.7742 ,712.527
epi begin ,4 ,1 ,19201 ,42 ,37 ,109.128 ,12.7742 ,932.104
local optima ,4 ,739 ,19939 ,42 ,775 ,13.2991 ,12.7742 ,940.462
new initTour ,4 ,739 ,19939 ,43 ,0 ,136.033 ,12.7742 ,940.462
local optima ,4 ,1463 ,20663 ,43 ,724 ,13.6112 ,12.7742 ,953.981
new initTour ,4 ,1463 ,20663 ,44 ,0 ,140.487 ,12.7742 ,953.982
local optima ,4 ,2294 ,21494 ,44 ,831 ,13.7395 ,12.7742 ,968.705
new initTour ,4 ,2294 ,21494 ,45 ,0 ,134.676 ,12.7742 ,968.705
local optima ,4 ,3030 ,22230 ,45 ,736 ,13.2568 ,12.7742 ,980.544
new initTour ,4 ,3030 ,22230 ,46 ,0 ,135.411 ,12.7742 ,980.544
local optima ,4 ,3784 ,22984 ,46 ,754 ,13.1868 ,12.7742 ,992.304
new initTour ,4 ,3784 ,22984 ,47 ,0 ,132.849 ,12.7742 ,992.304
local optima ,4 ,4520 ,23720 ,47 ,736 ,13.3873 ,12.7742 ,1003.25
new initTour ,4 ,4520 ,23720 ,48 ,0 ,138.262 ,12.7742 ,1003.25
local optima ,4 ,5352 ,24552 ,48 ,832 ,12.7923 ,12.7742 ,1017.14
