tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,544 ,131.982 ,12.8707 ,12.8707 ,0.026128
2 ,588 ,144.529 ,12.853 ,12.853 ,0.054277
3 ,545 ,135.09 ,12.9502 ,12.853 ,0.079996
4 ,581 ,131.029 ,13.1333 ,12.853 ,0.107617
5 ,577 ,138.46 ,12.6903 ,12.6903 ,0.135097
6 ,569 ,136.465 ,12.7441 ,12.6903 ,0.162507
7 ,584 ,135.174 ,12.8312 ,12.6903 ,0.189883
8 ,574 ,134.818 ,13.3234 ,12.6903 ,0.217863
9 ,631 ,138.254 ,13.0468 ,12.6903 ,0.247636
10 ,578 ,134.926 ,12.8561 ,12.6903 ,0.274389
11 ,599 ,133.783 ,12.7949 ,12.6903 ,0.302919
12 ,626 ,125.722 ,12.9361 ,12.6903 ,0.332796
13 ,638 ,145.851 ,12.9026 ,12.6903 ,0.362644
14 ,584 ,135.209 ,13.0176 ,12.6903 ,0.3906
15 ,578 ,138.156 ,12.6214 ,12.6214 ,0.418721
16 ,627 ,134.978 ,12.9692 ,12.6214 ,0.44814
17 ,616 ,135.927 ,13.1024 ,12.6214 ,0.477399
18 ,618 ,141.866 ,12.9565 ,12.6214 ,0.506864
19 ,611 ,137.666 ,12.8554 ,12.6214 ,0.53577
20 ,534 ,130.027 ,12.9345 ,12.6214 ,0.561073
21 ,640 ,134.135 ,12.8104 ,12.6214 ,0.591254
22 ,590 ,133.637 ,13.191 ,12.6214 ,0.619109
23 ,599 ,136.477 ,12.7845 ,12.6214 ,0.647765
24 ,584 ,134.107 ,12.6156 ,12.6156 ,0.675369
25 ,609 ,134.532 ,12.8957 ,12.6156 ,0.70436
26 ,608 ,133.321 ,12.6875 ,12.6156 ,0.733572
27 ,573 ,137.152 ,12.8883 ,12.6156 ,0.76133
28 ,558 ,136.812 ,12.6614 ,12.6156 ,0.787533
29 ,567 ,135.348 ,12.9266 ,12.6156 ,0.815055
30 ,568 ,132.137 ,12.8052 ,12.6156 ,0.841298
31 ,568 ,144.526 ,12.812 ,12.6156 ,0.868131
32 ,583 ,132.565 ,12.8679 ,12.6156 ,0.89583
33 ,565 ,133.437 ,13.2225 ,12.6156 ,0.922894
34 ,632 ,139.478 ,13.1657 ,12.6156 ,0.953502
35 ,618 ,135.399 ,12.7656 ,12.6156 ,0.983395
36 ,563 ,136.56 ,13.0282 ,12.6156 ,1.01068
37 ,583 ,139.016 ,12.9389 ,12.6156 ,1.03815
38 ,579 ,130.82 ,12.8261 ,12.6156 ,1.06541
39 ,577 ,135.719 ,12.8204 ,12.6156 ,1.09332
40 ,586 ,135.545 ,13.0726 ,12.6156 ,1.12124
41 ,583 ,139.222 ,12.9119 ,12.6156 ,1.14892
42 ,582 ,132.828 ,13.0823 ,12.6156 ,1.17671
43 ,575 ,134.662 ,12.9786 ,12.6156 ,1.20319
44 ,639 ,141.616 ,12.8013 ,12.6156 ,1.2336
45 ,566 ,137.616 ,13.1649 ,12.6156 ,1.26029
46 ,529 ,130.75 ,12.8004 ,12.6156 ,1.2856
47 ,579 ,131.67 ,13.3342 ,12.6156 ,1.3136
48 ,601 ,130.281 ,13.0229 ,12.6156 ,1.34233
49 ,613 ,135.298 ,12.8536 ,12.6156 ,1.37085
50 ,575 ,135.377 ,12.8185 ,12.6156 ,1.39803
51 ,592 ,138.37 ,13.0021 ,12.6156 ,1.42611
52 ,624 ,140.798 ,13.075 ,12.6156 ,1.45644
53 ,575 ,135.068 ,13.025 ,12.6156 ,1.48385
54 ,557 ,126.922 ,12.9435 ,12.6156 ,1.51091
55 ,597 ,134.524 ,12.9677 ,12.6156 ,1.53913
56 ,576 ,137.556 ,12.9482 ,12.6156 ,1.56632
57 ,592 ,139.053 ,13.0776 ,12.6156 ,1.59473
58 ,553 ,135.484 ,13.1032 ,12.6156 ,1.62119
59 ,556 ,134.257 ,12.6889 ,12.6156 ,1.64774
60 ,632 ,138.782 ,13.1255 ,12.6156 ,1.67807
61 ,582 ,135.726 ,12.9582 ,12.6156 ,1.70568
62 ,592 ,135.635 ,13.0773 ,12.6156 ,1.73329
63 ,587 ,142.827 ,12.9967 ,12.6156 ,1.76121
