tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,292 ,131.982 ,13.2828 ,13.2828 ,1.44127
2 ,308 ,144.529 ,13.1737 ,13.1737 ,3.17695
3 ,300 ,135.09 ,13.3249 ,13.1737 ,4.6886
4 ,304 ,131.029 ,13.2294 ,13.1737 ,6.12403
5 ,297 ,138.46 ,12.786 ,12.786 ,7.73832
6 ,298 ,136.465 ,13.1593 ,12.786 ,9.25204
7 ,304 ,135.174 ,13.5906 ,12.786 ,10.7623
8 ,310 ,134.818 ,12.7039 ,12.7039 ,12.2527
9 ,297 ,138.254 ,13.2944 ,12.7039 ,13.8663
10 ,304 ,134.926 ,13.2424 ,12.7039 ,15.3977
11 ,307 ,133.783 ,13.7891 ,12.7039 ,16.88
12 ,299 ,125.722 ,12.893 ,12.7039 ,18.1338
13 ,308 ,145.851 ,13.1583 ,12.7039 ,19.9653
14 ,300 ,135.209 ,13.2613 ,12.7039 ,21.4703
15 ,296 ,138.156 ,13.2951 ,12.7039 ,23.0256
16 ,291 ,134.978 ,13.3386 ,12.7039 ,24.4765
17 ,318 ,135.927 ,12.758 ,12.7039 ,25.9832
18 ,295 ,141.866 ,13.1118 ,12.7039 ,27.6778
19 ,297 ,137.666 ,13.5954 ,12.7039 ,29.2779
20 ,300 ,130.027 ,13.4114 ,12.7039 ,30.614
21 ,282 ,134.135 ,13.1281 ,12.7039 ,32.0521
22 ,311 ,133.637 ,13.3378 ,12.7039 ,33.5195
23 ,301 ,136.477 ,13.4445 ,12.7039 ,35.1035
24 ,291 ,134.107 ,13.188 ,12.7039 ,36.6058
25 ,304 ,134.532 ,13.1624 ,12.7039 ,38.0999
26 ,292 ,133.321 ,13.2198 ,12.7039 ,39.5892
27 ,304 ,137.152 ,13.159 ,12.7039 ,41.1601
28 ,288 ,136.812 ,13.1999 ,12.7039 ,42.6917
29 ,304 ,135.348 ,13.0971 ,12.7039 ,44.1809
30 ,298 ,132.137 ,13.0225 ,12.7039 ,45.5909
31 ,291 ,144.526 ,13.942 ,12.7039 ,47.3244
32 ,306 ,132.565 ,13.1034 ,12.7039 ,48.7939
33 ,294 ,133.437 ,13.0529 ,12.7039 ,50.2227
34 ,297 ,139.478 ,13.4659 ,12.7039 ,51.8602
35 ,290 ,135.399 ,13.8186 ,12.7039 ,53.401
36 ,292 ,136.56 ,13.4163 ,12.7039 ,54.9688
37 ,304 ,139.016 ,13.2659 ,12.7039 ,56.5858
38 ,300 ,130.82 ,13.2723 ,12.7039 ,57.9983
39 ,287 ,135.719 ,12.9525 ,12.7039 ,59.4917
40 ,308 ,135.545 ,13.2797 ,12.7039 ,61.0509
41 ,299 ,139.222 ,13.4282 ,12.7039 ,62.6594
42 ,304 ,132.828 ,13.4894 ,12.7039 ,64.1019
43 ,303 ,134.662 ,13.2251 ,12.7039 ,65.6074
44 ,314 ,141.616 ,12.927 ,12.7039 ,67.3009
45 ,309 ,137.616 ,12.812 ,12.7039 ,68.8781
46 ,313 ,130.75 ,12.9049 ,12.7039 ,70.3196
47 ,312 ,131.67 ,13.1444 ,12.7039 ,71.7685
48 ,293 ,130.281 ,13.5604 ,12.7039 ,73.1184
49 ,291 ,135.298 ,13.2876 ,12.7039 ,74.6203
50 ,298 ,135.377 ,13.2305 ,12.7039 ,76.167
