tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,310 ,141.169 ,13.2143 ,13.2143 ,1.55343
2 ,316 ,138.589 ,13.1864 ,13.1864 ,3.14662
3 ,301 ,130.473 ,12.8574 ,12.8574 ,4.46478
4 ,304 ,131.792 ,13.0071 ,12.8574 ,5.89247
5 ,317 ,132.353 ,12.9331 ,12.8574 ,7.27958
6 ,311 ,138.567 ,13.4813 ,12.8574 ,8.79974
7 ,301 ,129.965 ,13.28 ,12.8574 ,10.1225
8 ,329 ,136.298 ,12.7365 ,12.7365 ,11.5994
9 ,292 ,136.213 ,13.0148 ,12.7365 ,13.0339
10 ,307 ,135.835 ,13.1547 ,12.7365 ,14.5241
11 ,288 ,134.246 ,13.4473 ,12.7365 ,15.8712
12 ,314 ,136.673 ,13.0802 ,12.7365 ,17.3597
13 ,302 ,137.142 ,13.1792 ,12.7365 ,18.8941
14 ,312 ,140.023 ,13.3888 ,12.7365 ,20.4714
15 ,311 ,139.593 ,13.0533 ,12.7365 ,22.0241
16 ,314 ,136.563 ,13.3359 ,12.7365 ,23.4907
17 ,306 ,133.902 ,13.3787 ,12.7365 ,24.8815
18 ,330 ,139.616 ,13.4727 ,12.7365 ,26.4671
19 ,299 ,136.875 ,13.4722 ,12.7365 ,27.9293
20 ,301 ,131.834 ,13.2367 ,12.7365 ,29.2864
21 ,299 ,133.756 ,13.3143 ,12.7365 ,30.6153
22 ,302 ,134.166 ,13.3575 ,12.7365 ,32.0876
23 ,299 ,136.033 ,13.2224 ,12.7365 ,33.5038
24 ,306 ,129.745 ,13.1009 ,12.7365 ,34.8513
25 ,295 ,133.522 ,13.2284 ,12.7365 ,36.2858
26 ,305 ,133.966 ,13.3831 ,12.7365 ,37.8115
27 ,322 ,137.877 ,13.1113 ,12.7365 ,39.356
28 ,303 ,139.75 ,13.1325 ,12.7365 ,40.9359
29 ,313 ,134.451 ,13.1163 ,12.7365 ,42.3902
30 ,305 ,138.528 ,13.37 ,12.7365 ,43.8864
31 ,302 ,132.485 ,13.2885 ,12.7365 ,45.2396
32 ,297 ,130.22 ,13.3688 ,12.7365 ,46.5968
33 ,298 ,131.911 ,13.1348 ,12.7365 ,47.9659
34 ,323 ,139.42 ,13.6179 ,12.7365 ,49.5376
35 ,315 ,132.943 ,13.1314 ,12.7365 ,51.0059
36 ,309 ,138.014 ,13.182 ,12.7365 ,52.494
37 ,294 ,140.792 ,13.6583 ,12.7365 ,54.1524
38 ,304 ,139.171 ,13.26 ,12.7365 ,55.7326
39 ,303 ,135.404 ,12.7468 ,12.7365 ,57.1133
40 ,307 ,135.038 ,13.5995 ,12.7365 ,58.5525
41 ,307 ,135.28 ,12.964 ,12.7365 ,60.0528
42 ,301 ,134.532 ,13.3025 ,12.7365 ,61.6304
43 ,296 ,135.211 ,13.36 ,12.7365 ,63.1057
44 ,307 ,138.965 ,12.937 ,12.7365 ,64.6274
45 ,291 ,135.701 ,13.6103 ,12.7365 ,66.0724
46 ,303 ,134.976 ,12.7902 ,12.7365 ,67.5594
47 ,306 ,128.643 ,13.3838 ,12.7365 ,68.8788
48 ,318 ,139.519 ,13.13 ,12.7365 ,70.4323
49 ,316 ,137.375 ,13.2372 ,12.7365 ,71.9776
50 ,306 ,134.845 ,13.0843 ,12.7365 ,73.437
51 ,321 ,136.427 ,13.1868 ,12.7365 ,74.9161
52 ,307 ,139.969 ,13.1207 ,12.7365 ,76.4604
53 ,324 ,140.57 ,12.8513 ,12.7365 ,78.0561
54 ,304 ,139.188 ,13.3925 ,12.7365 ,79.5713
55 ,309 ,134.557 ,13.1525 ,12.7365 ,81.0084
56 ,300 ,136.053 ,12.9929 ,12.7365 ,82.4824
57 ,314 ,145.085 ,13.5148 ,12.7365 ,84.1909
58 ,310 ,133.225 ,13.0501 ,12.7365 ,85.5857
59 ,311 ,133.681 ,13.397 ,12.7365 ,86.9739
60 ,317 ,136.981 ,13.2589 ,12.7365 ,88.4943
61 ,320 ,132.913 ,13.1971 ,12.7365 ,89.9586
62 ,297 ,126.582 ,12.9209 ,12.7365 ,91.1868
63 ,302 ,138.713 ,13.4831 ,12.7365 ,92.7591
64 ,306 ,139.139 ,13.1549 ,12.7365 ,94.3321
65 ,307 ,139.09 ,13.1038 ,12.7365 ,95.8992
66 ,311 ,133.081 ,13.1881 ,12.7365 ,97.3411
67 ,312 ,133.575 ,13.103 ,12.7365 ,98.7584
68 ,310 ,133.337 ,12.9772 ,12.7365 ,100.149
69 ,303 ,136.203 ,13.7355 ,12.7365 ,101.599
70 ,307 ,136.954 ,13.1564 ,12.7365 ,103.115
71 ,305 ,136.076 ,12.9715 ,12.7365 ,104.587
72 ,306 ,132.906 ,13.0618 ,12.7365 ,105.991
73 ,305 ,137.358 ,13.1143 ,12.7365 ,107.479
74 ,298 ,136.751 ,13.2046 ,12.7365 ,108.98
75 ,294 ,134.828 ,13.2262 ,12.7365 ,110.367
76 ,308 ,130.627 ,13.0786 ,12.7365 ,111.701
77 ,320 ,134.683 ,13.1827 ,12.7365 ,113.133
78 ,301 ,139.438 ,13.0915 ,12.7365 ,114.646
79 ,313 ,140.193 ,12.9307 ,12.7365 ,116.197
80 ,325 ,134.582 ,13.0282 ,12.7365 ,117.582
81 ,297 ,137.498 ,12.9176 ,12.7365 ,119.071
82 ,299 ,136.987 ,12.9516 ,12.7365 ,120.595
83 ,329 ,133.674 ,12.9728 ,12.7365 ,122.028
84 ,318 ,140.31 ,13.0696 ,12.7365 ,123.598
85 ,289 ,140.021 ,13.215 ,12.7365 ,125.124
86 ,305 ,140.673 ,13.1547 ,12.7365 ,126.742
87 ,319 ,131.374 ,13.0054 ,12.7365 ,128.145
88 ,310 ,137.641 ,13.4818 ,12.7365 ,129.687
89 ,300 ,142.121 ,13.2024 ,12.7365 ,131.332
90 ,310 ,134.622 ,13.1731 ,12.7365 ,132.711
91 ,308 ,134.128 ,13.2412 ,12.7365 ,134.166
92 ,293 ,138.227 ,13.0658 ,12.7365 ,135.626
93 ,302 ,133.361 ,12.951 ,12.7365 ,137.017
94 ,297 ,136.804 ,13.5281 ,12.7365 ,138.543
95 ,311 ,141.374 ,13.2988 ,12.7365 ,140.226
96 ,314 ,141.704 ,13.2609 ,12.7365 ,141.9
97 ,311 ,135.904 ,13.2898 ,12.7365 ,143.447
98 ,301 ,133.592 ,12.9717 ,12.7365 ,144.869
99 ,308 ,134.15 ,12.9702 ,12.7365 ,146.262
100 ,310 ,142.686 ,12.9574 ,12.7365 ,147.916
101 ,305 ,138.147 ,13.5098 ,12.7365 ,149.441
102 ,312 ,136.604 ,13.379 ,12.7365 ,150.929
103 ,303 ,132.845 ,13.0874 ,12.7365 ,152.353
104 ,308 ,138.721 ,13.1779 ,12.7365 ,153.933
105 ,318 ,143.127 ,13.2518 ,12.7365 ,155.602
106 ,294 ,132.496 ,13.3185 ,12.7365 ,156.943
107 ,298 ,132.509 ,13.1573 ,12.7365 ,158.321
108 ,293 ,137.161 ,12.9958 ,12.7365 ,159.862
109 ,296 ,134.711 ,13.3352 ,12.7365 ,161.303
110 ,310 ,136.667 ,13.353 ,12.7365 ,162.768
111 ,306 ,138.191 ,13.2613 ,12.7365 ,164.35
112 ,314 ,142.754 ,13.095 ,12.7365 ,165.992
113 ,308 ,133.402 ,13.0768 ,12.7365 ,167.42
114 ,324 ,135.441 ,13.0757 ,12.7365 ,168.886
115 ,296 ,137.065 ,12.9667 ,12.7365 ,170.386
116 ,330 ,134.245 ,13.1114 ,12.7365 ,171.827
117 ,302 ,139.179 ,13.6039 ,12.7365 ,173.415
118 ,305 ,137.347 ,13.1746 ,12.7365 ,174.944
119 ,307 ,134.693 ,12.9387 ,12.7365 ,176.322
120 ,306 ,130.226 ,12.9458 ,12.7365 ,177.655
121 ,306 ,135.936 ,13.1702 ,12.7365 ,179.094
122 ,293 ,132.988 ,13.7019 ,12.7365 ,180.5
123 ,298 ,139.077 ,13.3086 ,12.7365 ,182.023
124 ,293 ,136.145 ,13.341 ,12.7365 ,183.485
125 ,304 ,137.563 ,13.2385 ,12.7365 ,184.994
