tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,518 ,73.4889 ,8.1535 ,8.1535 ,0.022602
2 ,500 ,73.4251 ,7.94467 ,7.94467 ,0.044064
3 ,479 ,72.8086 ,8.0985 ,7.94467 ,0.064622
4 ,551 ,70.9342 ,7.88759 ,7.88759 ,0.088368
5 ,480 ,70.4984 ,7.93362 ,7.88759 ,0.109122
6 ,527 ,70.9065 ,7.87326 ,7.87326 ,0.130932
7 ,510 ,71.1621 ,8.07357 ,7.87326 ,0.153166
8 ,536 ,73.246 ,8.0822 ,7.87326 ,0.176131
9 ,561 ,71.4522 ,7.76826 ,7.76826 ,0.19949
10 ,492 ,72.7514 ,8.0227 ,7.76826 ,0.220472
11 ,546 ,71.646 ,7.87229 ,7.76826 ,0.243844
12 ,527 ,72.3728 ,7.97922 ,7.76826 ,0.265864
13 ,513 ,70.5544 ,7.84871 ,7.76826 ,0.289069
14 ,496 ,72.2369 ,7.9148 ,7.76826 ,0.310681
15 ,523 ,71.1729 ,7.84672 ,7.76826 ,0.332328
16 ,521 ,72.2204 ,8.01993 ,7.76826 ,0.354589
17 ,500 ,71.6013 ,7.97263 ,7.76826 ,0.376027
18 ,509 ,72.9907 ,8.11208 ,7.76826 ,0.397216
19 ,534 ,71.4389 ,7.92793 ,7.76826 ,0.420355
20 ,527 ,72.5618 ,7.93549 ,7.76826 ,0.44349
21 ,564 ,71.3725 ,8.01729 ,7.76826 ,0.466839
22 ,492 ,73.8583 ,7.82536 ,7.76826 ,0.487825
23 ,520 ,70.8826 ,7.8611 ,7.76826 ,0.509772
24 ,564 ,74.3999 ,7.89674 ,7.76826 ,0.53386
25 ,503 ,73.6686 ,8.00241 ,7.76826 ,0.555288
26 ,489 ,72.761 ,8.04694 ,7.76826 ,0.576225
27 ,524 ,72.1298 ,7.73631 ,7.73631 ,0.598531
28 ,525 ,74.4174 ,8.04101 ,7.73631 ,0.621194
29 ,547 ,70.1506 ,8.01475 ,7.73631 ,0.645026
30 ,515 ,71.0728 ,8.19571 ,7.73631 ,0.666222
31 ,502 ,71.4435 ,7.87437 ,7.73631 ,0.688875
32 ,502 ,70.7482 ,7.89656 ,7.73631 ,0.710815
33 ,571 ,70.2448 ,8.01198 ,7.73631 ,0.734398
34 ,543 ,69.4007 ,7.99811 ,7.73631 ,0.757621
35 ,529 ,71.3645 ,7.84289 ,7.73631 ,0.780755
36 ,571 ,72.3853 ,7.947 ,7.73631 ,0.804636
37 ,520 ,71.2573 ,8.1294 ,7.73631 ,0.826261
38 ,521 ,73.7194 ,8.02634 ,7.73631 ,0.848438
39 ,515 ,69.9664 ,7.73231 ,7.73231 ,0.870553
40 ,484 ,72.9004 ,7.96507 ,7.73231 ,0.891131
41 ,512 ,71.4272 ,7.94781 ,7.73231 ,0.913416
42 ,532 ,70.7964 ,7.96527 ,7.73231 ,0.935771
43 ,488 ,72.6742 ,7.88099 ,7.73231 ,0.956306
44 ,540 ,66.0263 ,8.06118 ,7.73231 ,0.979852
45 ,545 ,74.2302 ,8.13257 ,7.73231 ,1.00249
46 ,490 ,72.3303 ,7.97554 ,7.73231 ,1.02334
47 ,499 ,69.7428 ,8.03135 ,7.73231 ,1.04475
48 ,581 ,76.4219 ,7.88981 ,7.73231 ,1.06947
49 ,481 ,67.8352 ,8.00587 ,7.73231 ,1.08986
