tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,255 ,73.4889 ,8.01558 ,8.01558 ,1.25252
2 ,255 ,73.4251 ,8.13735 ,8.01558 ,2.41253
3 ,251 ,72.8086 ,8.00779 ,8.00779 ,3.55945
4 ,260 ,70.9342 ,7.96772 ,7.96772 ,4.63988
5 ,265 ,70.4984 ,7.89748 ,7.89748 ,5.72597
6 ,261 ,70.9065 ,8.01607 ,7.89748 ,6.80919
7 ,259 ,71.1621 ,7.94716 ,7.89748 ,7.93145
8 ,260 ,73.246 ,7.92096 ,7.89748 ,9.10096
9 ,263 ,71.4522 ,7.99619 ,7.89748 ,10.2229
10 ,263 ,72.7514 ,8.0346 ,7.89748 ,11.3455
11 ,255 ,71.646 ,7.97737 ,7.89748 ,12.4465
12 ,248 ,72.3728 ,7.96682 ,7.89748 ,13.6029
13 ,247 ,70.5544 ,8.01949 ,7.89748 ,14.6823
14 ,258 ,72.2369 ,8.05536 ,7.89748 ,15.8402
15 ,248 ,71.1729 ,8.04599 ,7.89748 ,16.9078
16 ,261 ,72.2204 ,7.89765 ,7.89748 ,18.1057
17 ,268 ,71.6013 ,7.88999 ,7.88999 ,19.2251
18 ,255 ,72.9907 ,8.09576 ,7.88999 ,20.469
19 ,261 ,71.4389 ,8.04989 ,7.88999 ,21.5714
20 ,264 ,72.5618 ,7.80507 ,7.80507 ,22.74
21 ,248 ,71.3725 ,8.09205 ,7.80507 ,23.8019
22 ,256 ,73.8583 ,7.85684 ,7.80507 ,24.9985
23 ,248 ,70.8826 ,8.21307 ,7.80507 ,26.1019
24 ,249 ,74.3999 ,8.18023 ,7.80507 ,27.3949
25 ,251 ,73.6686 ,7.98293 ,7.80507 ,28.5616
26 ,246 ,72.761 ,7.994 ,7.80507 ,29.7125
27 ,259 ,72.1298 ,8.13844 ,7.80507 ,30.8564
28 ,254 ,74.4174 ,8.11455 ,7.80507 ,32.0762
29 ,264 ,70.1506 ,7.87575 ,7.80507 ,33.1442
30 ,275 ,71.0728 ,7.80965 ,7.80507 ,34.3066
31 ,252 ,71.4435 ,8.03347 ,7.80507 ,35.3766
32 ,261 ,70.7482 ,8.04713 ,7.80507 ,36.4677
33 ,255 ,70.2448 ,7.8008 ,7.8008 ,37.5343
34 ,264 ,69.4007 ,7.91883 ,7.8008 ,38.6369
35 ,260 ,71.3645 ,8.13121 ,7.8008 ,39.8262
36 ,249 ,72.3853 ,8.35576 ,7.8008 ,40.9459
37 ,265 ,71.2573 ,7.84758 ,7.8008 ,41.9808
38 ,248 ,73.7194 ,8.01803 ,7.8008 ,43.1722
39 ,260 ,69.9664 ,8.07109 ,7.8008 ,44.2428
40 ,259 ,72.9004 ,7.9625 ,7.8008 ,45.4681
41 ,255 ,71.4272 ,8.1054 ,7.8008 ,46.5196
42 ,251 ,70.7964 ,7.9005 ,7.8008 ,47.5953
43 ,251 ,72.6742 ,8.07804 ,7.8008 ,48.7475
44 ,250 ,66.0263 ,7.95374 ,7.8008 ,49.6828
45 ,261 ,74.2302 ,7.93827 ,7.8008 ,50.8365
46 ,259 ,72.3303 ,7.95604 ,7.8008 ,51.9939
47 ,245 ,69.7428 ,7.95526 ,7.8008 ,53.0013
48 ,247 ,76.4219 ,8.01364 ,7.8008 ,54.2496
49 ,265 ,67.8352 ,7.91497 ,7.8008 ,55.2292
50 ,257 ,71.7109 ,7.99047 ,7.8008 ,56.3201
51 ,245 ,72.3993 ,8.11787 ,7.8008 ,57.4847
52 ,253 ,71.3417 ,7.95006 ,7.8008 ,58.5452
53 ,250 ,71.1371 ,7.92168 ,7.8008 ,59.6664
54 ,249 ,70.1444 ,8.14313 ,7.8008 ,60.6794
55 ,271 ,72.8891 ,8.0832 ,7.8008 ,61.8446
56 ,255 ,72.6864 ,8.10667 ,7.8008 ,63.0341
57 ,258 ,69.6512 ,8.0303 ,7.8008 ,64.0831
58 ,257 ,70.2887 ,7.875 ,7.8008 ,65.1512
59 ,260 ,73.0873 ,7.97132 ,7.8008 ,66.3701
60 ,263 ,72.7836 ,7.92051 ,7.8008 ,67.5276
61 ,267 ,69.5054 ,7.92112 ,7.8008 ,68.6351
62 ,251 ,72.4155 ,8.1145 ,7.8008 ,69.7644
63 ,251 ,72.0929 ,7.88094 ,7.8008 ,70.8778
64 ,255 ,69.5753 ,7.96074 ,7.8008 ,71.9644
65 ,268 ,69.3278 ,8.06698 ,7.8008 ,72.993
66 ,264 ,71.0845 ,7.9324 ,7.8008 ,74.0815
67 ,253 ,70.775 ,7.87884 ,7.8008 ,75.1869
68 ,251 ,72.0864 ,8.16474 ,7.8008 ,76.287
69 ,261 ,68.4117 ,7.7521 ,7.7521 ,77.3365
70 ,261 ,72.0797 ,8.14034 ,7.7521 ,78.4265
71 ,268 ,71.9605 ,7.87341 ,7.7521 ,79.5884
72 ,252 ,68.8074 ,8.22544 ,7.7521 ,80.6259
73 ,252 ,70.704 ,7.92039 ,7.7521 ,81.6399
74 ,260 ,69.7585 ,7.79025 ,7.7521 ,82.7055
75 ,259 ,70.3485 ,8.01501 ,7.7521 ,83.8026
76 ,245 ,72.3056 ,8.2475 ,7.7521 ,85.0077
77 ,248 ,73.8068 ,8.20717 ,7.7521 ,86.1044
78 ,260 ,73.6267 ,8.05348 ,7.7521 ,87.3063
79 ,244 ,67.2762 ,7.93428 ,7.7521 ,88.2498
80 ,258 ,71.0184 ,8.03538 ,7.7521 ,89.3661
81 ,254 ,75.9279 ,7.94149 ,7.7521 ,90.5505
82 ,274 ,74.8866 ,7.73175 ,7.73175 ,91.7741
83 ,259 ,69.7745 ,7.93632 ,7.73175 ,92.8399
84 ,263 ,73.9456 ,7.90018 ,7.73175 ,94.1287
85 ,252 ,70.1732 ,7.92207 ,7.73175 ,95.1833
86 ,258 ,71.8207 ,7.89754 ,7.73175 ,96.2795
87 ,253 ,74.4577 ,8.08876 ,7.73175 ,97.5357
88 ,251 ,67.8281 ,7.99507 ,7.73175 ,98.5572
89 ,252 ,71.9681 ,8.10538 ,7.73175 ,99.6439
90 ,243 ,73.7252 ,7.88843 ,7.73175 ,100.796
91 ,261 ,74.3465 ,8.0388 ,7.73175 ,101.963
92 ,253 ,68.0036 ,7.95777 ,7.73175 ,102.961
93 ,266 ,71.9388 ,7.95522 ,7.73175 ,104.09
94 ,248 ,68.6425 ,8.10266 ,7.73175 ,105.102
95 ,271 ,73.7955 ,8.20724 ,7.73175 ,106.213
96 ,257 ,73.0446 ,7.94577 ,7.73175 ,107.38
97 ,238 ,68.3492 ,8.21267 ,7.73175 ,108.401
98 ,247 ,72.3739 ,8.05276 ,7.73175 ,109.483
99 ,257 ,65.4683 ,8.02618 ,7.73175 ,110.415
100 ,258 ,70.9498 ,8.00975 ,7.73175 ,111.51
101 ,254 ,70.4432 ,8.20548 ,7.73175 ,112.594
102 ,263 ,75.9829 ,7.99792 ,7.73175 ,113.91
103 ,261 ,74.3848 ,7.99367 ,7.73175 ,115.148
104 ,246 ,69.7842 ,8.05768 ,7.73175 ,116.25
105 ,266 ,70.2171 ,8.06567 ,7.73175 ,117.342
106 ,255 ,73.0299 ,7.8501 ,7.73175 ,118.483
107 ,254 ,74.0349 ,8.05132 ,7.73175 ,119.619
108 ,262 ,72.606 ,7.91381 ,7.73175 ,120.743
109 ,252 ,69.6304 ,8.05694 ,7.73175 ,121.816
110 ,259 ,70.5346 ,7.9145 ,7.73175 ,122.932
111 ,253 ,70.8078 ,8.02953 ,7.73175 ,124.05
112 ,253 ,72.6441 ,7.88368 ,7.73175 ,125.182
113 ,250 ,71.3425 ,8.08125 ,7.73175 ,126.345
114 ,246 ,72.2703 ,8.0018 ,7.73175 ,127.501
115 ,262 ,70.3367 ,7.93973 ,7.73175 ,128.523
116 ,259 ,73.4709 ,7.91676 ,7.73175 ,129.686
117 ,260 ,68.4886 ,7.98895 ,7.73175 ,130.722
118 ,258 ,72.0251 ,8.16416 ,7.73175 ,131.992
119 ,261 ,72.2135 ,8.06301 ,7.73175 ,133.244
120 ,255 ,69.3122 ,8.07327 ,7.73175 ,134.32
121 ,269 ,69.4614 ,7.82435 ,7.73175 ,135.408
122 ,245 ,70.0401 ,8.0082 ,7.73175 ,136.448
123 ,269 ,72.1393 ,7.9652 ,7.73175 ,137.598
124 ,252 ,72.1013 ,8.14852 ,7.73175 ,138.76
125 ,255 ,72.0366 ,7.94549 ,7.73175 ,139.875
126 ,245 ,68.5309 ,8.15924 ,7.73175 ,140.933
127 ,259 ,72.174 ,8.00262 ,7.73175 ,142.029
128 ,245 ,73.4216 ,7.95243 ,7.73175 ,143.181
129 ,245 ,66.1809 ,7.87374 ,7.73175 ,144.098
130 ,246 ,69.5908 ,7.95563 ,7.73175 ,145.131
131 ,249 ,68.4756 ,7.92272 ,7.73175 ,146.183
132 ,259 ,73.9191 ,8.00521 ,7.73175 ,147.377
133 ,265 ,71.2941 ,8.0197 ,7.73175 ,148.532
134 ,251 ,71.7721 ,7.99033 ,7.73175 ,149.668
135 ,248 ,71.5885 ,8.16176 ,7.73175 ,150.821
136 ,263 ,71.5621 ,7.98187 ,7.73175 ,151.851
137 ,250 ,72.747 ,7.98428 ,7.73175 ,153
138 ,268 ,70.9127 ,7.96094 ,7.73175 ,154.044
139 ,264 ,69.8686 ,7.96365 ,7.73175 ,155.158
140 ,257 ,70.1468 ,8.08432 ,7.73175 ,156.235
141 ,256 ,72.872 ,8.04821 ,7.73175 ,157.402
142 ,263 ,72.391 ,7.86635 ,7.73175 ,158.53
143 ,262 ,69.7834 ,8.13681 ,7.73175 ,159.571
144 ,250 ,69.6966 ,7.89323 ,7.73175 ,160.641
145 ,250 ,72.7491 ,8.09104 ,7.73175 ,161.786
