Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,72.5761 ,72.5761 ,0.000183
update best ,1 ,261 ,261 ,1 ,261 ,8.08947 ,8.08947 ,3.20265
local optima ,1 ,262 ,262 ,1 ,261 ,8.08947 ,8.08947 ,3.20279
new initTour ,1 ,262 ,262 ,2 ,0 ,68.6156 ,8.08947 ,3.20293
local optima ,1 ,518 ,518 ,2 ,256 ,8.10027 ,8.08947 ,6.11869
new initTour ,1 ,518 ,518 ,3 ,0 ,72.6312 ,8.08947 ,6.11883
update best ,1 ,790 ,790 ,3 ,273 ,8.00587 ,8.00587 ,9.48901
local optima ,1 ,791 ,791 ,3 ,273 ,8.00587 ,8.00587 ,9.48914
new initTour ,1 ,791 ,791 ,4 ,0 ,71.4625 ,8.00587 ,9.48928
update best ,1 ,1052 ,1052 ,4 ,262 ,7.92035 ,7.92035 ,12.8746
local optima ,1 ,1053 ,1053 ,4 ,262 ,7.92035 ,7.92035 ,12.8747
new initTour ,1 ,1053 ,1053 ,5 ,0 ,72.8619 ,7.92035 ,12.8749
local optima ,1 ,1320 ,1320 ,5 ,267 ,8.1374 ,7.92035 ,16.4487
new initTour ,1 ,1320 ,1320 ,6 ,0 ,73.8268 ,7.92035 ,16.4488
local optima ,1 ,1585 ,1585 ,6 ,265 ,8.03773 ,7.92035 ,19.8758
new initTour ,1 ,1585 ,1585 ,7 ,0 ,72.2879 ,7.92035 ,19.876
local optima ,1 ,1845 ,1845 ,7 ,260 ,8.10676 ,7.92035 ,23.2832
new initTour ,1 ,1845 ,1845 ,8 ,0 ,69.0362 ,7.92035 ,23.2834
local optima ,1 ,2101 ,2101 ,8 ,256 ,7.94907 ,7.92035 ,26.2927
new initTour ,1 ,2101 ,2101 ,9 ,0 ,73.0498 ,7.92035 ,26.2929
local optima ,1 ,2376 ,2376 ,9 ,275 ,7.98844 ,7.92035 ,29.8367
new initTour ,1 ,2376 ,2376 ,10 ,0 ,75.8652 ,7.92035 ,29.8368
local optima ,1 ,2632 ,2632 ,10 ,256 ,8.34951 ,7.92035 ,33.4754
new initTour ,1 ,2632 ,2632 ,11 ,0 ,69.0822 ,7.92035 ,33.4756
local optima ,1 ,2910 ,2910 ,11 ,278 ,7.97608 ,7.92035 ,36.5224
new initTour ,1 ,2910 ,2910 ,12 ,0 ,73.5281 ,7.92035 ,36.5226
local optima ,1 ,3172 ,3172 ,12 ,262 ,8.16109 ,7.92035 ,40.0896
new initTour ,1 ,3172 ,3172 ,13 ,0 ,74.626 ,7.92035 ,40.0898
local optima ,1 ,3439 ,3439 ,13 ,267 ,7.96639 ,7.92035 ,43.7223
new initTour ,1 ,3439 ,3439 ,14 ,0 ,71.9238 ,7.92035 ,43.7225
local optima ,1 ,3693 ,3693 ,14 ,254 ,8.00672 ,7.92035 ,47.1981
new initTour ,1 ,3693 ,3693 ,15 ,0 ,73.2318 ,7.92035 ,47.1982
local optima ,1 ,3962 ,3962 ,15 ,269 ,8.16876 ,7.92035 ,50.7124
new initTour ,1 ,3962 ,3962 ,16 ,0 ,73.7989 ,7.92035 ,50.7125
local optima ,1 ,4220 ,4220 ,16 ,258 ,7.97108 ,7.92035 ,54.1591
new initTour ,1 ,4220 ,4220 ,17 ,0 ,71.7296 ,7.92035 ,54.1593
local optima ,1 ,4479 ,4479 ,17 ,259 ,8.16812 ,7.92035 ,57.4389
new initTour ,1 ,4479 ,4479 ,18 ,0 ,71.005 ,7.92035 ,57.439
local optima ,1 ,4734 ,4734 ,18 ,255 ,8.07166 ,7.92035 ,61.0027
new initTour ,1 ,4734 ,4734 ,19 ,0 ,72.7966 ,7.92035 ,61.0028
update best ,1 ,4998 ,4998 ,19 ,265 ,7.80192 ,7.80192 ,64.2765
local optima ,1 ,4999 ,4999 ,19 ,265 ,7.80192 ,7.80192 ,64.2767
new initTour ,1 ,4999 ,4999 ,20 ,0 ,72.2125 ,7.80192 ,64.2768
local optima ,1 ,5264 ,5264 ,20 ,265 ,7.99719 ,7.80192 ,67.6906
new initTour ,1 ,5264 ,5264 ,21 ,0 ,68.7413 ,7.80192 ,67.6907
local optima ,1 ,5528 ,5528 ,21 ,264 ,8.1706 ,7.80192 ,70.8142
new initTour ,1 ,5528 ,5528 ,22 ,0 ,70.5417 ,7.80192 ,70.8143
local optima ,1 ,5785 ,5785 ,22 ,257 ,8.02234 ,7.80192 ,74.1798
new initTour ,1 ,5785 ,5785 ,23 ,0 ,71.6938 ,7.80192 ,74.18
local optima ,1 ,6055 ,6055 ,23 ,270 ,8.08787 ,7.80192 ,77.5522
new initTour ,1 ,6055 ,6055 ,24 ,0 ,72.816 ,7.80192 ,77.5523
local optima ,1 ,6307 ,6307 ,24 ,252 ,8.03515 ,7.80192 ,80.9066
new initTour ,1 ,6307 ,6307 ,25 ,0 ,69.289 ,7.80192 ,80.9067
epi end ,1 ,6401 ,6401 ,25 ,94 ,17.1042 ,7.80192 ,83.8441
epi begin ,2 ,1 ,6401 ,25 ,94 ,17.1042 ,7.80192 ,153.22
local optima ,2 ,184 ,6584 ,25 ,277 ,8.28809 ,7.80192 ,153.533
new initTour ,2 ,184 ,6584 ,26 ,0 ,70.4007 ,7.80192 ,153.533
local optima ,2 ,490 ,6890 ,26 ,306 ,7.96601 ,7.80192 ,157.564
