tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,275 ,73.3264 ,8.06317 ,8.06317 ,1.13418
2 ,273 ,74.436 ,8.10337 ,8.06317 ,2.30106
3 ,256 ,71.9382 ,7.94545 ,7.94545 ,3.27413
4 ,264 ,69.4697 ,8.02089 ,7.94545 ,4.23696
5 ,259 ,68.0043 ,7.88844 ,7.88844 ,5.21715
6 ,278 ,73.6959 ,7.94746 ,7.88844 ,6.47077
7 ,259 ,68.991 ,8.01458 ,7.88844 ,7.44557
8 ,260 ,70.6171 ,8.1318 ,7.88844 ,8.62986
9 ,276 ,74.1849 ,8.04965 ,7.88844 ,9.82365
10 ,257 ,72.3171 ,7.92826 ,7.88844 ,10.9461
11 ,260 ,70.6222 ,7.91414 ,7.88844 ,12.0616
12 ,270 ,71.9783 ,8.09987 ,7.88844 ,13.2189
13 ,260 ,73.8504 ,7.9122 ,7.88844 ,14.3844
14 ,256 ,69.7559 ,7.82448 ,7.82448 ,15.4644
15 ,262 ,73.2417 ,8.04265 ,7.82448 ,16.6146
16 ,272 ,72.4646 ,8.27326 ,7.82448 ,17.7573
17 ,258 ,73.0737 ,8.15547 ,7.82448 ,18.9684
18 ,247 ,73.1434 ,8.10003 ,7.82448 ,20.0817
19 ,261 ,70.2015 ,8.10953 ,7.82448 ,21.1427
20 ,265 ,67.8045 ,8.00035 ,7.82448 ,22.1616
21 ,242 ,72.3631 ,8.10737 ,7.82448 ,23.1749
22 ,271 ,72.2136 ,7.81459 ,7.81459 ,24.2381
23 ,265 ,71.6833 ,8.06855 ,7.81459 ,25.3828
24 ,263 ,73.3493 ,8.0899 ,7.81459 ,26.4733
25 ,260 ,70.1598 ,7.95985 ,7.81459 ,27.5041
26 ,271 ,71.398 ,7.92648 ,7.81459 ,28.5105
27 ,265 ,70.8145 ,7.90022 ,7.81459 ,29.659
28 ,265 ,74.8053 ,7.92982 ,7.81459 ,30.937
29 ,270 ,71.3567 ,7.94628 ,7.81459 ,32.0583
30 ,267 ,71.4817 ,8.09999 ,7.81459 ,33.043
31 ,265 ,70.4375 ,7.87876 ,7.81459 ,34.0416
32 ,243 ,72.1536 ,8.30735 ,7.81459 ,35.1643
33 ,262 ,72.623 ,8.08846 ,7.81459 ,36.2914
34 ,278 ,73.0569 ,7.99081 ,7.81459 ,37.4291
35 ,257 ,71.0177 ,7.85261 ,7.81459 ,38.4769
36 ,248 ,69.5971 ,8.15904 ,7.81459 ,39.4411
