tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,110 ,55.7263 ,8.32291 ,8.32291 ,0.074059
2 ,104 ,53.7944 ,8.33905 ,8.32291 ,0.140979
3 ,101 ,56.2873 ,8.58528 ,8.32291 ,0.214142
4 ,110 ,54.8242 ,8.68938 ,8.32291 ,0.281809
5 ,102 ,54.2654 ,8.58385 ,8.32291 ,0.3532
6 ,104 ,57.2812 ,8.78501 ,8.32291 ,0.433175
7 ,95 ,50.4468 ,8.56312 ,8.32291 ,0.495444
8 ,98 ,55.8311 ,8.42099 ,8.32291 ,0.569043
9 ,106 ,56.8473 ,8.54011 ,8.32291 ,0.645755
10 ,105 ,55.3571 ,8.94345 ,8.32291 ,0.721632
11 ,106 ,56.2218 ,8.64854 ,8.32291 ,0.798149
12 ,113 ,62.0444 ,8.28837 ,8.28837 ,0.897531
13 ,97 ,50.1975 ,8.80582 ,8.28837 ,0.958426
14 ,101 ,56.1803 ,9.04061 ,8.28837 ,1.02935
15 ,111 ,51.146 ,8.56228 ,8.28837 ,1.09032
16 ,107 ,55.8731 ,8.3788 ,8.28837 ,1.16522
17 ,111 ,53.8476 ,8.24937 ,8.24937 ,1.23222
18 ,109 ,59.7209 ,8.36778 ,8.24937 ,1.32012
19 ,110 ,58.0846 ,8.75744 ,8.24937 ,1.39548
20 ,101 ,52.7048 ,8.80269 ,8.24937 ,1.45982
21 ,106 ,58.7325 ,8.29868 ,8.24937 ,1.54461
22 ,112 ,59.7991 ,8.54085 ,8.24937 ,1.63478
23 ,106 ,59.33 ,8.39439 ,8.24937 ,1.70942
24 ,108 ,54.8926 ,8.21598 ,8.21598 ,1.78437
25 ,108 ,56.499 ,8.56326 ,8.21598 ,1.85727
26 ,110 ,56.5351 ,8.23037 ,8.21598 ,1.93249
27 ,97 ,55.9184 ,8.65798 ,8.21598 ,2.00731
28 ,104 ,58.1561 ,8.57191 ,8.21598 ,2.09224
29 ,106 ,55.8197 ,8.54743 ,8.21598 ,2.16864
30 ,112 ,56.9824 ,8.43649 ,8.21598 ,2.24866
31 ,99 ,56.9462 ,8.53861 ,8.21598 ,2.32526
32 ,108 ,53.5772 ,8.51582 ,8.21598 ,2.39385
33 ,117 ,50.5914 ,8.29507 ,8.21598 ,2.45774
34 ,114 ,54.1394 ,8.60724 ,8.21598 ,2.52509
35 ,101 ,54.9118 ,8.52576 ,8.21598 ,2.59728
36 ,112 ,58.9142 ,8.652 ,8.21598 ,2.68358
37 ,107 ,56.5537 ,8.72056 ,8.21598 ,2.75906
38 ,98 ,52.1446 ,8.32929 ,8.21598 ,2.82264
39 ,107 ,50.3696 ,8.67598 ,8.21598 ,2.88267
40 ,104 ,54.2096 ,8.98636 ,8.21598 ,2.94777
41 ,100 ,53.7706 ,8.11662 ,8.11662 ,3.01416
42 ,97 ,53.301 ,8.46374 ,8.11662 ,3.07667
43 ,113 ,60.0894 ,8.29992 ,8.11662 ,3.16274
44 ,117 ,56.9524 ,8.53744 ,8.11662 ,3.24526
45 ,113 ,60.3103 ,8.53022 ,8.11662 ,3.335
46 ,96 ,55.7526 ,8.55338 ,8.11662 ,3.40886
47 ,110 ,54.0739 ,8.28498 ,8.11662 ,3.47963
48 ,104 ,55.5191 ,8.57544 ,8.11662 ,3.55152
49 ,104 ,53.0821 ,8.1449 ,8.11662 ,3.61697
50 ,106 ,56.416 ,8.75767 ,8.11662 ,3.69247
51 ,104 ,54.2851 ,8.72755 ,8.11662 ,3.76424
52 ,103 ,59.0416 ,8.60486 ,8.11662 ,3.83948
53 ,96 ,58.2813 ,8.96973 ,8.11662 ,3.91808
54 ,101 ,54.3015 ,8.51282 ,8.11662 ,3.98671
55 ,107 ,56.8559 ,8.49955 ,8.11662 ,4.06213
56 ,104 ,54.5703 ,8.44473 ,8.11662 ,4.13306
57 ,112 ,54.5327 ,8.72363 ,8.11662 ,4.20332
58 ,109 ,60.3046 ,8.56358 ,8.11662 ,4.28963
59 ,104 ,58.0194 ,8.68809 ,8.11662 ,4.36769
60 ,98 ,54.0188 ,8.71042 ,8.11662 ,4.43939
61 ,105 ,54.7312 ,8.76609 ,8.11662 ,4.51111
62 ,105 ,57.6782 ,8.26869 ,8.11662 ,4.58852
63 ,101 ,57.1252 ,8.99856 ,8.11662 ,4.67216
64 ,112 ,58.5006 ,8.60935 ,8.11662 ,4.7579
65 ,93 ,54.4966 ,8.98267 ,8.11662 ,4.82802
66 ,90 ,57.3768 ,9.14951 ,8.11662 ,4.90575
67 ,108 ,56.7208 ,8.53744 ,8.11662 ,4.98198
68 ,105 ,55.4538 ,8.45855 ,8.11662 ,5.04822
69 ,102 ,52.203 ,8.60236 ,8.11662 ,5.11249
70 ,101 ,55.6599 ,8.54789 ,8.11662 ,5.18547
71 ,104 ,55.1372 ,8.44259 ,8.11662 ,5.25857
72 ,105 ,57.8726 ,8.50062 ,8.11662 ,5.33508
73 ,111 ,54.7091 ,8.3316 ,8.11662 ,5.4085
74 ,104 ,56.6042 ,8.70558 ,8.11662 ,5.48523
75 ,101 ,56.0446 ,8.36879 ,8.11662 ,5.55508
76 ,108 ,58.6539 ,8.41472 ,8.11662 ,5.63288
77 ,104 ,60.4937 ,9.14307 ,8.11662 ,5.71457
78 ,102 ,55.7687 ,8.44478 ,8.11662 ,5.79162
79 ,95 ,54.3447 ,8.76895 ,8.11662 ,5.85838
80 ,116 ,55.1106 ,8.28269 ,8.11662 ,5.9338
81 ,102 ,54.429 ,8.5112 ,8.11662 ,6.00587
82 ,104 ,53.3698 ,8.11693 ,8.11662 ,6.07255
83 ,108 ,54.0218 ,8.09803 ,8.09803 ,6.1402
84 ,109 ,50.713 ,8.61671 ,8.09803 ,6.20357
85 ,105 ,55.5542 ,8.63506 ,8.09803 ,6.27666
86 ,104 ,54.0334 ,8.79169 ,8.09803 ,6.34617
87 ,105 ,55.2443 ,8.46573 ,8.09803 ,6.41802
88 ,106 ,61.3343 ,8.88029 ,8.09803 ,6.50934
89 ,110 ,54.8321 ,8.72176 ,8.09803 ,6.58692
90 ,105 ,57.7423 ,8.17993 ,8.09803 ,6.66328
91 ,111 ,57.9784 ,8.94953 ,8.09803 ,6.74409
92 ,101 ,53.6508 ,8.82756 ,8.09803 ,6.80722
93 ,107 ,54.9226 ,8.70016 ,8.09803 ,6.877
94 ,102 ,53.896 ,8.73882 ,8.09803 ,6.94989
95 ,95 ,56.2103 ,8.58343 ,8.09803 ,7.02205
96 ,103 ,56.2267 ,8.74921 ,8.09803 ,7.09735
97 ,102 ,53.4654 ,8.66691 ,8.09803 ,7.16631
98 ,103 ,54.8576 ,8.39096 ,8.09803 ,7.23588
99 ,103 ,58.5114 ,8.78786 ,8.09803 ,7.31925
100 ,99 ,56.6584 ,8.63164 ,8.09803 ,7.39632
101 ,99 ,53.8341 ,8.61745 ,8.09803 ,7.46068
102 ,106 ,59.6273 ,8.31846 ,8.09803 ,7.54739
103 ,99 ,54.8605 ,8.55518 ,8.09803 ,7.61406
104 ,103 ,55.3337 ,8.51724 ,8.09803 ,7.6772
105 ,105 ,55.2 ,8.98224 ,8.09803 ,7.74723
106 ,109 ,57.2728 ,8.47214 ,8.09803 ,7.82737
107 ,102 ,60.4273 ,8.64909 ,8.09803 ,7.91319
108 ,101 ,55.014 ,8.66853 ,8.09803 ,7.98336
109 ,102 ,55.7024 ,8.52409 ,8.09803 ,8.05407
110 ,113 ,54.5652 ,8.54186 ,8.09803 ,8.12647
111 ,110 ,54.5578 ,8.68062 ,8.09803 ,8.19672
112 ,117 ,56.4391 ,8.44578 ,8.09803 ,8.27542
113 ,96 ,52.2524 ,8.81953 ,8.09803 ,8.33508
114 ,99 ,51.0197 ,8.6221 ,8.09803 ,8.39562
115 ,111 ,61.8581 ,8.37354 ,8.09803 ,8.48363
116 ,100 ,54.0475 ,8.29559 ,8.09803 ,8.54949
117 ,96 ,58.4628 ,8.75862 ,8.09803 ,8.63308
118 ,104 ,55.7213 ,8.49224 ,8.09803 ,8.69709
119 ,111 ,57.0919 ,8.69413 ,8.09803 ,8.77721
120 ,99 ,55.7855 ,8.84307 ,8.09803 ,8.85199
121 ,105 ,55.2488 ,8.58114 ,8.09803 ,8.92122
122 ,103 ,61.1757 ,8.89494 ,8.09803 ,9.01294
123 ,103 ,56.9446 ,8.83528 ,8.09803 ,9.08788
124 ,96 ,54.8118 ,8.88527 ,8.09803 ,9.15747
125 ,99 ,56.031 ,9.00457 ,8.09803 ,9.2347
126 ,103 ,57.0154 ,8.54037 ,8.09803 ,9.30915
127 ,106 ,55.5192 ,8.43757 ,8.09803 ,9.38687
128 ,110 ,58.0799 ,8.44635 ,8.09803 ,9.45668
129 ,101 ,54.77 ,8.54244 ,8.09803 ,9.52606
130 ,108 ,57.371 ,8.90215 ,8.09803 ,9.61057
131 ,114 ,59.1069 ,8.39067 ,8.09803 ,9.69185
132 ,108 ,57.1767 ,8.59117 ,8.09803 ,9.7668
133 ,99 ,52.6822 ,8.59095 ,8.09803 ,9.83367
134 ,109 ,54.0097 ,8.55599 ,8.09803 ,9.90505
135 ,116 ,57.3632 ,8.55024 ,8.09803 ,9.98649
136 ,111 ,55.6604 ,8.76415 ,8.09803 ,10.0577
137 ,106 ,54.1867 ,9.08742 ,8.09803 ,10.1251
138 ,105 ,55.5356 ,9.0458 ,8.09803 ,10.1973
139 ,103 ,53.9963 ,8.69163 ,8.09803 ,10.2643
140 ,103 ,54.3552 ,8.50221 ,8.09803 ,10.3367
141 ,91 ,56.7072 ,8.80625 ,8.09803 ,10.4093
142 ,105 ,53.1617 ,8.52087 ,8.09803 ,10.476
143 ,105 ,53.4167 ,8.47818 ,8.09803 ,10.5458
144 ,103 ,55.9075 ,8.4572 ,8.09803 ,10.6251
145 ,106 ,53.8164 ,8.7273 ,8.09803 ,10.6953
146 ,103 ,55.1567 ,8.62052 ,8.09803 ,10.772
147 ,110 ,58.881 ,8.2652 ,8.09803 ,10.8538
148 ,102 ,59.6389 ,8.58391 ,8.09803 ,10.9334
149 ,96 ,56.7694 ,8.94891 ,8.09803 ,11.0058
150 ,106 ,55.2678 ,8.73413 ,8.09803 ,11.0764
151 ,104 ,58.3348 ,8.23337 ,8.09803 ,11.1572
152 ,98 ,51.8815 ,8.62478 ,8.09803 ,11.2177
153 ,107 ,54.8655 ,8.59812 ,8.09803 ,11.2855
154 ,107 ,53.5427 ,8.3773 ,8.09803 ,11.3506
155 ,102 ,52.7994 ,8.64829 ,8.09803 ,11.419
156 ,105 ,54.8869 ,8.8502 ,8.09803 ,11.4821
157 ,105 ,52.99 ,8.77326 ,8.09803 ,11.55
158 ,102 ,56.9347 ,8.52208 ,8.09803 ,11.6246
159 ,109 ,56.8967 ,8.20113 ,8.09803 ,11.6977
160 ,109 ,54.3556 ,8.53611 ,8.09803 ,11.7688
161 ,116 ,54.0572 ,8.30512 ,8.09803 ,11.8392
162 ,106 ,53.7311 ,8.29532 ,8.09803 ,11.9042
163 ,106 ,57.6773 ,8.4978 ,8.09803 ,11.9787
164 ,101 ,56.2194 ,8.596 ,8.09803 ,12.0537
165 ,96 ,56.835 ,8.63796 ,8.09803 ,12.1307
166 ,108 ,60.0117 ,8.56229 ,8.09803 ,12.2144
167 ,111 ,56.0644 ,8.77407 ,8.09803 ,12.2922
168 ,108 ,55.1087 ,8.32654 ,8.09803 ,12.3665
169 ,107 ,56.0656 ,8.35736 ,8.09803 ,12.4379
170 ,108 ,55.0464 ,8.05655 ,8.05655 ,12.5095
