tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,100 ,59.5404 ,8.64535 ,8.64535 ,0.088592
2 ,106 ,59.8309 ,8.63561 ,8.63561 ,0.180724
3 ,93 ,52.3272 ,8.27838 ,8.27838 ,0.243051
4 ,103 ,59.0345 ,8.58221 ,8.27838 ,0.331012
5 ,113 ,60.9471 ,8.35108 ,8.27838 ,0.422908
6 ,101 ,58.786 ,8.31802 ,8.27838 ,0.505636
7 ,97 ,59.201 ,8.43864 ,8.27838 ,0.590334
8 ,110 ,55.9072 ,8.39548 ,8.27838 ,0.670865
9 ,108 ,55.7563 ,8.56094 ,8.27838 ,0.749628
10 ,101 ,55.3995 ,8.2344 ,8.2344 ,0.827336
11 ,103 ,58.7952 ,8.48236 ,8.2344 ,0.90907
12 ,104 ,55.0056 ,8.67023 ,8.2344 ,0.982938
13 ,106 ,59.6064 ,8.22337 ,8.22337 ,1.07248
14 ,103 ,55.5773 ,8.45026 ,8.22337 ,1.14707
15 ,105 ,53.7533 ,9.01649 ,8.22337 ,1.22089
16 ,108 ,58.0795 ,8.48998 ,8.22337 ,1.30365
17 ,97 ,56.1803 ,8.99702 ,8.22337 ,1.38387
18 ,109 ,55.5247 ,8.34422 ,8.22337 ,1.46356
19 ,98 ,50.9976 ,8.77503 ,8.22337 ,1.52339
20 ,109 ,55.1192 ,8.30131 ,8.22337 ,1.59895
21 ,104 ,57.2615 ,8.90163 ,8.22337 ,1.68067
22 ,105 ,53.1141 ,8.48926 ,8.22337 ,1.7508
23 ,109 ,58.6071 ,8.561 ,8.22337 ,1.83393
24 ,108 ,55.3195 ,8.51909 ,8.22337 ,1.90839
25 ,97 ,60.6402 ,8.56341 ,8.22337 ,2.00274
26 ,104 ,53.0591 ,8.75113 ,8.22337 ,2.07022
27 ,108 ,51.9735 ,8.65462 ,8.22337 ,2.13523
28 ,103 ,58.3595 ,8.37022 ,8.22337 ,2.21857
29 ,91 ,54.4434 ,9.04389 ,8.22337 ,2.28921
30 ,107 ,51.8931 ,8.44593 ,8.22337 ,2.35424
31 ,107 ,55.4744 ,8.35964 ,8.22337 ,2.43089
32 ,95 ,57.04 ,8.46164 ,8.22337 ,2.50829
33 ,106 ,57.8722 ,8.13475 ,8.13475 ,2.59249
34 ,107 ,56.492 ,8.79325 ,8.13475 ,2.67019
35 ,103 ,56.5026 ,8.28813 ,8.13475 ,2.75154
36 ,106 ,53.729 ,8.36399 ,8.13475 ,2.82359
37 ,106 ,59.3255 ,8.5635 ,8.13475 ,2.91602
38 ,99 ,56.1279 ,8.39763 ,8.13475 ,2.99347
39 ,99 ,57.8191 ,8.18364 ,8.13475 ,3.07203
40 ,105 ,59.3599 ,8.42911 ,8.13475 ,3.16181
41 ,94 ,50.6988 ,8.59822 ,8.13475 ,3.22551
42 ,106 ,56.3843 ,8.64772 ,8.13475 ,3.30509
43 ,99 ,55.0611 ,8.47024 ,8.13475 ,3.37627
44 ,107 ,51.8942 ,8.51278 ,8.13475 ,3.44288
45 ,109 ,57.1479 ,8.14711 ,8.13475 ,3.52757
46 ,101 ,56.6192 ,8.46712 ,8.13475 ,3.60603
47 ,100 ,55.1793 ,8.83367 ,8.13475 ,3.67978
48 ,92 ,59.2798 ,8.76808 ,8.13475 ,3.76322
49 ,91 ,51.9903 ,8.76836 ,8.13475 ,3.8321
50 ,105 ,54.7632 ,8.93819 ,8.13475 ,3.91239
51 ,116 ,59.2164 ,8.57852 ,8.13475 ,4.00332
52 ,108 ,55.8744 ,8.32529 ,8.13475 ,4.08162
53 ,101 ,53.0207 ,8.5379 ,8.13475 ,4.14955
54 ,108 ,52.4007 ,8.50411 ,8.13475 ,4.22053
55 ,100 ,55.6103 ,8.67308 ,8.13475 ,4.29716
56 ,108 ,56.0929 ,8.59172 ,8.13475 ,4.37766
57 ,106 ,55.3522 ,8.46813 ,8.13475 ,4.45347
58 ,94 ,53.0533 ,8.86181 ,8.13475 ,4.51975
59 ,100 ,51.31 ,8.60178 ,8.13475 ,4.58234
60 ,102 ,56.5556 ,8.89141 ,8.13475 ,4.66211
61 ,101 ,54.3035 ,8.88308 ,8.13475 ,4.73301
62 ,100 ,51.9249 ,8.69074 ,8.13475 ,4.79537
63 ,103 ,53.7182 ,8.64149 ,8.13475 ,4.86679
64 ,104 ,57.7443 ,8.59174 ,8.13475 ,4.94875
65 ,99 ,56.835 ,8.51261 ,8.13475 ,5.0293
66 ,99 ,57.2892 ,8.58978 ,8.13475 ,5.10695
67 ,90 ,54.8066 ,9.03365 ,8.13475 ,5.17803
68 ,96 ,50.817 ,8.99715 ,8.13475 ,5.24123
69 ,100 ,59.17 ,8.80124 ,8.13475 ,5.32638
70 ,99 ,50.7188 ,8.90423 ,8.13475 ,5.388
71 ,105 ,59.7969 ,8.62778 ,8.13475 ,5.48213
72 ,102 ,56.8342 ,8.34008 ,8.13475 ,5.56671
73 ,105 ,54.8927 ,8.40844 ,8.13475 ,5.64197
74 ,99 ,59.7844 ,8.88572 ,8.13475 ,5.73057
75 ,105 ,52.7961 ,8.61872 ,8.13475 ,5.8025
76 ,93 ,57.522 ,8.18728 ,8.13475 ,5.88032
77 ,109 ,60.5794 ,8.45897 ,8.13475 ,5.97586
78 ,99 ,51.5732 ,8.69129 ,8.13475 ,6.04512
79 ,109 ,56.4321 ,8.42665 ,8.13475 ,6.12448
80 ,100 ,58.873 ,8.47357 ,8.13475 ,6.2132
81 ,99 ,53.1277 ,8.45692 ,8.13475 ,6.28092
82 ,100 ,53.4421 ,8.88477 ,8.13475 ,6.35085
83 ,105 ,57.6699 ,8.53507 ,8.13475 ,6.43642
84 ,104 ,54.4067 ,8.56366 ,8.13475 ,6.50873
85 ,100 ,55.4275 ,9.03029 ,8.13475 ,6.5817
86 ,107 ,51.9559 ,8.29246 ,8.13475 ,6.64881
87 ,100 ,57.6353 ,8.83159 ,8.13475 ,6.73161
88 ,100 ,56.2103 ,8.50928 ,8.13475 ,6.81014
89 ,104 ,55.6586 ,8.47066 ,8.13475 ,6.88845
90 ,97 ,56.5091 ,9.01882 ,8.13475 ,6.96913
91 ,100 ,55.8584 ,8.5366 ,8.13475 ,7.04364
92 ,103 ,49.0818 ,8.09814 ,8.09814 ,7.10577
93 ,106 ,57.0626 ,8.15647 ,8.09814 ,7.19167
94 ,98 ,55.1673 ,8.76281 ,8.09814 ,7.26428
95 ,97 ,55.9211 ,8.95882 ,8.09814 ,7.34508
96 ,97 ,54.9269 ,8.23991 ,8.09814 ,7.41384
97 ,99 ,53.9127 ,8.64081 ,8.09814 ,7.48329
98 ,114 ,56.2625 ,8.92553 ,8.09814 ,7.56399
99 ,100 ,57.3133 ,8.56644 ,8.09814 ,7.64769
100 ,104 ,55.139 ,8.86889 ,8.09814 ,7.72308
101 ,102 ,56.8611 ,8.44449 ,8.09814 ,7.80281
102 ,104 ,51.0408 ,8.79579 ,8.09814 ,7.8707
103 ,97 ,52.5525 ,8.62274 ,8.09814 ,7.93601
104 ,103 ,57.2912 ,8.41704 ,8.09814 ,8.01991
105 ,99 ,54.2973 ,8.71423 ,8.09814 ,8.08934
106 ,100 ,53.6715 ,8.72161 ,8.09814 ,8.16088
107 ,100 ,54.4997 ,8.53842 ,8.09814 ,8.23351
108 ,114 ,59.3472 ,8.2403 ,8.09814 ,8.3278
109 ,104 ,56.7175 ,8.71482 ,8.09814 ,8.40769
110 ,99 ,54.5943 ,8.31479 ,8.09814 ,8.48117
111 ,97 ,55.8501 ,9.16853 ,8.09814 ,8.55834
112 ,104 ,58.6367 ,8.45115 ,8.09814 ,8.6437
113 ,101 ,57.4755 ,8.72162 ,8.09814 ,8.72012
114 ,96 ,56.3345 ,9.54536 ,8.09814 ,8.79427
115 ,98 ,54.4196 ,8.56466 ,8.09814 ,8.86819
116 ,96 ,53.9887 ,8.55211 ,8.09814 ,8.93734
117 ,107 ,57.4197 ,8.52635 ,8.09814 ,9.02009
118 ,106 ,54.3511 ,8.7755 ,8.09814 ,9.09416
119 ,102 ,54.548 ,8.32465 ,8.09814 ,9.1674
120 ,100 ,57.7905 ,8.75748 ,8.09814 ,9.24887
121 ,101 ,53.5781 ,8.49806 ,8.09814 ,9.31762
122 ,103 ,52.688 ,8.81759 ,8.09814 ,9.38704
123 ,102 ,58.7711 ,8.26207 ,8.09814 ,9.46726
124 ,101 ,54.2234 ,8.44753 ,8.09814 ,9.53908
