Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,109.383 ,109.383 ,0.000156
update best ,1 ,231 ,231 ,1 ,231 ,11.3369 ,11.3369 ,2.00415
local optima ,1 ,232 ,232 ,1 ,231 ,11.3369 ,11.3369 ,2.00426
new initTour ,1 ,232 ,232 ,2 ,0 ,112.673 ,11.3369 ,2.00437
local optima ,1 ,467 ,467 ,2 ,235 ,11.5792 ,11.3369 ,4.07271
new initTour ,1 ,467 ,467 ,3 ,0 ,109.281 ,11.3369 ,4.07283
local optima ,1 ,700 ,700 ,3 ,233 ,11.3637 ,11.3369 ,6.06353
new initTour ,1 ,700 ,700 ,4 ,0 ,116.458 ,11.3369 ,6.06365
local optima ,1 ,920 ,920 ,4 ,220 ,11.7351 ,11.3369 ,8.30879
new initTour ,1 ,920 ,920 ,5 ,0 ,105.039 ,11.3369 ,8.30893
update best ,1 ,1141 ,1141 ,5 ,222 ,11.3345 ,11.3345 ,10.0258
local optima ,1 ,1142 ,1142 ,5 ,222 ,11.3345 ,11.3345 ,10.0259
new initTour ,1 ,1142 ,1142 ,6 ,0 ,109.532 ,11.3345 ,10.026
update best ,1 ,1377 ,1377 ,6 ,236 ,11.3055 ,11.3055 ,11.9978
local optima ,1 ,1378 ,1378 ,6 ,236 ,11.3055 ,11.3055 ,11.9979
new initTour ,1 ,1378 ,1378 ,7 ,0 ,104.974 ,11.3055 ,11.998
update best ,1 ,1602 ,1602 ,7 ,225 ,11.1857 ,11.1857 ,13.6868
local optima ,1 ,1603 ,1603 ,7 ,225 ,11.1857 ,11.1857 ,13.6869
new initTour ,1 ,1603 ,1603 ,8 ,0 ,107.309 ,11.1857 ,13.687
local optima ,1 ,1816 ,1816 ,8 ,213 ,11.2987 ,11.1857 ,15.5922
new initTour ,1 ,1816 ,1816 ,9 ,0 ,112.262 ,11.1857 ,15.5924
local optima ,1 ,2039 ,2039 ,9 ,223 ,11.224 ,11.1857 ,17.6313
new initTour ,1 ,2039 ,2039 ,10 ,0 ,111.233 ,11.1857 ,17.6314
local optima ,1 ,2261 ,2261 ,10 ,222 ,11.3684 ,11.1857 ,19.745
new initTour ,1 ,2261 ,2261 ,11 ,0 ,114.477 ,11.1857 ,19.7451
local optima ,1 ,2485 ,2485 ,11 ,224 ,11.7302 ,11.1857 ,21.6121
new initTour ,1 ,2485 ,2485 ,12 ,0 ,110.259 ,11.1857 ,21.6122
local optima ,1 ,2722 ,2722 ,12 ,237 ,11.6533 ,11.1857 ,23.6744
new initTour ,1 ,2722 ,2722 ,13 ,0 ,113.283 ,11.1857 ,23.6746
update best ,1 ,2965 ,2965 ,13 ,244 ,11.113 ,11.113 ,25.7062
local optima ,1 ,2966 ,2966 ,13 ,244 ,11.113 ,11.113 ,25.7063
new initTour ,1 ,2966 ,2966 ,14 ,0 ,116.632 ,11.113 ,25.7065
local optima ,1 ,3202 ,3202 ,14 ,236 ,11.4082 ,11.113 ,28.0163
new initTour ,1 ,3202 ,3202 ,15 ,0 ,112.827 ,11.113 ,28.0165
local optima ,1 ,3427 ,3427 ,15 ,225 ,11.7596 ,11.113 ,30.1438
new initTour ,1 ,3427 ,3427 ,16 ,0 ,107.417 ,11.113 ,30.1439
local optima ,1 ,3648 ,3648 ,16 ,221 ,11.6578 ,11.113 ,32.0447
new initTour ,1 ,3648 ,3648 ,17 ,0 ,103.49 ,11.113 ,32.0448
local optima ,1 ,3883 ,3883 ,17 ,235 ,11.4704 ,11.113 ,33.8376
new initTour ,1 ,3883 ,3883 ,18 ,0 ,107.492 ,11.113 ,33.8379
local optima ,1 ,4101 ,4101 ,18 ,218 ,11.4746 ,11.113 ,35.7102
new initTour ,1 ,4101 ,4101 ,19 ,0 ,117.202 ,11.113 ,35.7103
local optima ,1 ,4325 ,4325 ,19 ,224 ,11.6326 ,11.113 ,38.0686
new initTour ,1 ,4325 ,4325 ,20 ,0 ,114.156 ,11.113 ,38.0687
local optima ,1 ,4554 ,4554 ,20 ,229 ,11.2853 ,11.113 ,40.2538
new initTour ,1 ,4554 ,4554 ,21 ,0 ,108.531 ,11.113 ,40.2539
local optima ,1 ,4793 ,4793 ,21 ,239 ,11.2465 ,11.113 ,42.1311
new initTour ,1 ,4793 ,4793 ,22 ,0 ,115.031 ,11.113 ,42.1312
local optima ,1 ,5029 ,5029 ,22 ,236 ,11.4359 ,11.113 ,44.3929
new initTour ,1 ,5029 ,5029 ,23 ,0 ,106.824 ,11.113 ,44.3931
local optima ,1 ,5256 ,5256 ,23 ,227 ,11.3972 ,11.113 ,46.2119
new initTour ,1 ,5256 ,5256 ,24 ,0 ,117.49 ,11.113 ,46.212
local optima ,1 ,5487 ,5487 ,24 ,231 ,11.2566 ,11.113 ,48.467
new initTour ,1 ,5487 ,5487 ,25 ,0 ,112.494 ,11.113 ,48.4671
local optima ,1 ,5713 ,5713 ,25 ,226 ,11.6289 ,11.113 ,50.5715
new initTour ,1 ,5713 ,5713 ,26 ,0 ,110.309 ,11.113 ,50.5716
local optima ,1 ,5941 ,5941 ,26 ,228 ,11.2297 ,11.113 ,52.5455
new initTour ,1 ,5941 ,5941 ,27 ,0 ,112.716 ,11.113 ,52.5456
local optima ,1 ,6173 ,6173 ,27 ,232 ,11.2587 ,11.113 ,54.6517
new initTour ,1 ,6173 ,6173 ,28 ,0 ,109.918 ,11.113 ,54.6518
local optima ,1 ,6396 ,6396 ,28 ,223 ,11.3381 ,11.113 ,56.5489
new initTour ,1 ,6396 ,6396 ,29 ,0 ,110.938 ,11.113 ,56.5491
epi end ,1 ,6401 ,6401 ,29 ,5 ,103.74 ,11.113 ,56.807
epi begin ,2 ,1 ,6401 ,29 ,5 ,103.74 ,11.113 ,231.11
local optima ,2 ,398 ,6798 ,29 ,402 ,11.4481 ,11.113 ,234.243
new initTour ,2 ,398 ,6798 ,30 ,0 ,112.855 ,11.113 ,234.243
local optima ,2 ,786 ,7186 ,30 ,388 ,11.1859 ,11.113 ,237.637
new initTour ,2 ,786 ,7186 ,31 ,0 ,105.488 ,11.113 ,237.637
local optima ,2 ,1168 ,7568 ,31 ,382 ,11.5152 ,11.113 ,240.63
new initTour ,2 ,1168 ,7568 ,32 ,0 ,112.078 ,11.113 ,240.631
local optima ,2 ,1559 ,7959 ,32 ,391 ,11.2631 ,11.113 ,244.017
new initTour ,2 ,1559 ,7959 ,33 ,0 ,107.708 ,11.113 ,244.017
local optima ,2 ,1951 ,8351 ,33 ,392 ,11.2683 ,11.113 ,247.198
new initTour ,2 ,1951 ,8351 ,34 ,0 ,112.595 ,11.113 ,247.198
local optima ,2 ,2389 ,8789 ,34 ,438 ,11.3023 ,11.113 ,250.864
new initTour ,2 ,2389 ,8789 ,35 ,0 ,114.07 ,11.113 ,250.864
local optima ,2 ,2751 ,9151 ,35 ,362 ,11.455 ,11.113 ,254.187
new initTour ,2 ,2751 ,9151 ,36 ,0 ,108.062 ,11.113 ,254.187
local optima ,2 ,3097 ,9497 ,36 ,346 ,11.6725 ,11.113 ,257.226
new initTour ,2 ,3097 ,9497 ,37 ,0 ,109.156 ,11.113 ,257.226
local optima ,2 ,3521 ,9921 ,37 ,424 ,11.2502 ,11.113 ,260.83
new initTour ,2 ,3521 ,9921 ,38 ,0 ,109.114 ,11.113 ,260.83
local optima ,2 ,3920 ,10320 ,38 ,399 ,11.5319 ,11.113 ,264.309
new initTour ,2 ,3920 ,10320 ,39 ,0 ,112.261 ,11.113 ,264.309
local optima ,2 ,4321 ,10721 ,39 ,401 ,11.7845 ,11.113 ,267.609
new initTour ,2 ,4321 ,10721 ,40 ,0 ,111.138 ,11.113 ,267.609
local optima ,2 ,4728 ,11128 ,40 ,407 ,11.5906 ,11.113 ,271.058
new initTour ,2 ,4728 ,11128 ,41 ,0 ,113.409 ,11.113 ,271.058
local optima ,2 ,5126 ,11526 ,41 ,398 ,11.45 ,11.113 ,274.701
new initTour ,2 ,5126 ,11526 ,42 ,0 ,113.548 ,11.113 ,274.701
local optima ,2 ,5560 ,11960 ,42 ,434 ,11.583 ,11.113 ,278.275
new initTour ,2 ,5560 ,11960 ,43 ,0 ,106.978 ,11.113 ,278.275
local optima ,2 ,5995 ,12395 ,43 ,435 ,11.6929 ,11.113 ,281.664
new initTour ,2 ,5995 ,12395 ,44 ,0 ,105.904 ,11.113 ,281.664
local optima ,2 ,6397 ,12797 ,44 ,402 ,11.2665 ,11.113 ,284.674
new initTour ,2 ,6397 ,12797 ,45 ,0 ,101.499 ,11.113 ,284.674
epi end ,2 ,6401 ,12801 ,45 ,4 ,97.7843 ,11.113 ,284.839
epi begin ,3 ,1 ,12801 ,45 ,4 ,97.7843 ,11.113 ,479.908
local optima ,3 ,457 ,13257 ,45 ,460 ,11.8237 ,11.113 ,483.587
new initTour ,3 ,457 ,13257 ,46 ,0 ,107.596 ,11.113 ,483.587
local optima ,3 ,913 ,13713 ,46 ,456 ,11.5137 ,11.113 ,487.863
new initTour ,3 ,913 ,13713 ,47 ,0 ,107.612 ,11.113 ,487.863
local optima ,3 ,1333 ,14133 ,47 ,420 ,11.4925 ,11.113 ,491.757
new initTour ,3 ,1333 ,14133 ,48 ,0 ,104.206 ,11.113 ,491.757
local optima ,3 ,1800 ,14600 ,48 ,467 ,11.5631 ,11.113 ,495.798
new initTour ,3 ,1800 ,14600 ,49 ,0 ,111.06 ,11.113 ,495.799
local optima ,3 ,2278 ,15078 ,49 ,478 ,11.3292 ,11.113 ,500.588
new initTour ,3 ,2278 ,15078 ,50 ,0 ,108.918 ,11.113 ,500.588
update best ,3 ,2777 ,15577 ,50 ,500 ,11.0696 ,11.0696 ,505.152
local optima ,3 ,2778 ,15578 ,50 ,500 ,11.0696 ,11.0696 ,505.152
new initTour ,3 ,2778 ,15578 ,51 ,0 ,107.427 ,11.0696 ,505.152
local optima ,3 ,3213 ,16013 ,51 ,435 ,11.6522 ,11.0696 ,509.195
new initTour ,3 ,3213 ,16013 ,52 ,0 ,109.488 ,11.0696 ,509.195
local optima ,3 ,3671 ,16471 ,52 ,458 ,11.4751 ,11.0696 ,513.315
new initTour ,3 ,3671 ,16471 ,53 ,0 ,107.338 ,11.0696 ,513.315
local optima ,3 ,4136 ,16936 ,53 ,465 ,11.6195 ,11.0696 ,517.243
new initTour ,3 ,4136 ,16936 ,54 ,0 ,106.366 ,11.0696 ,517.243
local optima ,3 ,4551 ,17351 ,54 ,415 ,11.5655 ,11.0696 ,521.21
new initTour ,3 ,4551 ,17351 ,55 ,0 ,112.181 ,11.0696 ,521.21
local optima ,3 ,4962 ,17762 ,55 ,411 ,11.5211 ,11.0696 ,525.126
new initTour ,3 ,4962 ,17762 ,56 ,0 ,107.498 ,11.0696 ,525.127
local optima ,3 ,5424 ,18224 ,56 ,462 ,11.3968 ,11.0696 ,529.299
new initTour ,3 ,5424 ,18224 ,57 ,0 ,108.723 ,11.0696 ,529.299
local optima ,3 ,5820 ,18620 ,57 ,396 ,11.3933 ,11.0696 ,532.891
new initTour ,3 ,5820 ,18620 ,58 ,0 ,107.697 ,11.0696 ,532.891
local optima ,3 ,6288 ,19088 ,58 ,468 ,11.5882 ,11.0696 ,537.037
new initTour ,3 ,6288 ,19088 ,59 ,0 ,105.992 ,11.0696 ,537.038
epi end ,3 ,6401 ,19201 ,59 ,113 ,47.1979 ,11.0696 ,540.188
epi begin ,4 ,1 ,19201 ,59 ,113 ,47.1979 ,11.0696 ,725.67
local optima ,4 ,327 ,19527 ,59 ,439 ,11.5762 ,11.0696 ,726.466
new initTour ,4 ,327 ,19527 ,60 ,0 ,112.892 ,11.0696 ,726.466
local optima ,4 ,839 ,20039 ,60 ,512 ,11.6379 ,11.0696 ,730.994
new initTour ,4 ,839 ,20039 ,61 ,0 ,104.846 ,11.0696 ,730.994
local optima ,4 ,1372 ,20572 ,61 ,533 ,12.0975 ,11.0696 ,735.517
new initTour ,4 ,1372 ,20572 ,62 ,0 ,115.867 ,11.0696 ,735.517
local optima ,4 ,1925 ,21125 ,62 ,553 ,11.0973 ,11.0696 ,740.623
new initTour ,4 ,1925 ,21125 ,63 ,0 ,111.705 ,11.0696 ,740.623
local optima ,4 ,2438 ,21638 ,63 ,513 ,11.2673 ,11.0696 ,745.397
new initTour ,4 ,2438 ,21638 ,64 ,0 ,108.548 ,11.0696 ,745.397
local optima ,4 ,2953 ,22153 ,64 ,515 ,11.436 ,11.0696 ,749.869
new initTour ,4 ,2953 ,22153 ,65 ,0 ,114.013 ,11.0696 ,749.869
local optima ,4 ,3470 ,22670 ,65 ,517 ,11.6104 ,11.0696 ,754.732
new initTour ,4 ,3470 ,22670 ,66 ,0 ,110.53 ,11.0696 ,754.732
local optima ,4 ,4038 ,23238 ,66 ,568 ,11.6603 ,11.0696 ,759.669
new initTour ,4 ,4038 ,23238 ,67 ,0 ,117.018 ,11.0696 ,759.67
local optima ,4 ,4555 ,23755 ,67 ,517 ,11.7426 ,11.0696 ,764.746
new initTour ,4 ,4555 ,23755 ,68 ,0 ,109.674 ,11.0696 ,764.746
