tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,438 ,107.837 ,11.4186 ,11.4186 ,0.017011
2 ,417 ,110.511 ,11.5129 ,11.4186 ,0.032113
3 ,394 ,105.184 ,11.4944 ,11.4186 ,0.047425
4 ,510 ,110.429 ,11.0255 ,11.0255 ,0.065879
5 ,418 ,110.291 ,11.0759 ,11.0255 ,0.082167
6 ,416 ,105.99 ,11.252 ,11.0255 ,0.097482
7 ,442 ,109.914 ,11.004 ,11.004 ,0.11476
8 ,472 ,108.157 ,11.2735 ,11.004 ,0.131791
9 ,438 ,108.065 ,11.2645 ,11.004 ,0.149323
10 ,455 ,115.479 ,11.2731 ,11.004 ,0.166012
11 ,471 ,112.582 ,10.9385 ,10.9385 ,0.184041
12 ,404 ,109.122 ,11.1828 ,10.9385 ,0.199331
13 ,426 ,107.919 ,11.171 ,10.9385 ,0.215811
14 ,423 ,109.918 ,11.1191 ,10.9385 ,0.231332
15 ,432 ,109.191 ,11.4214 ,10.9385 ,0.248056
16 ,429 ,110.867 ,11.1395 ,10.9385 ,0.263752
17 ,448 ,107.432 ,11.4169 ,10.9385 ,0.281124
18 ,445 ,110.393 ,11.2014 ,10.9385 ,0.297356
19 ,400 ,109.28 ,11.3478 ,10.9385 ,0.313004
20 ,447 ,102.635 ,11.5841 ,10.9385 ,0.329218
21 ,447 ,103.172 ,11.3388 ,10.9385 ,0.346807
22 ,411 ,105.02 ,11.4591 ,10.9385 ,0.361656
23 ,465 ,111.511 ,11.3312 ,10.9385 ,0.379668
24 ,458 ,106.343 ,11.1512 ,10.9385 ,0.39657
25 ,462 ,108.943 ,11.1096 ,10.9385 ,0.414725
26 ,447 ,111.92 ,11.5882 ,10.9385 ,0.431062
27 ,448 ,108.912 ,11.4407 ,10.9385 ,0.448643
28 ,435 ,106.856 ,11.2742 ,10.9385 ,0.464603
29 ,447 ,109.837 ,11.186 ,10.9385 ,0.481968
30 ,417 ,113.089 ,11.5855 ,10.9385 ,0.49804
31 ,421 ,107.786 ,11.2439 ,10.9385 ,0.514008
32 ,377 ,105.891 ,11.2452 ,10.9385 ,0.527565
33 ,457 ,108.796 ,11.5378 ,10.9385 ,0.545333
34 ,457 ,112.682 ,11.0565 ,10.9385 ,0.561906
35 ,427 ,112.45 ,11.5427 ,10.9385 ,0.578681
