tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,186 ,92.7743 ,6.51034 ,6.51034 ,0.299694
2 ,185 ,91.6256 ,6.52284 ,6.51034 ,0.603331
3 ,191 ,84.9112 ,6.51257 ,6.51034 ,0.858725
4 ,177 ,88.8238 ,6.98472 ,6.51034 ,1.13092
5 ,178 ,83.7058 ,6.42489 ,6.42489 ,1.37355
6 ,192 ,86.3659 ,6.58673 ,6.42489 ,1.63545
7 ,181 ,87.111 ,6.52724 ,6.42489 ,1.90797
8 ,192 ,86.1224 ,6.53593 ,6.42489 ,2.16851
9 ,190 ,89.4374 ,6.58814 ,6.42489 ,2.44032
10 ,194 ,93.3658 ,6.8348 ,6.42489 ,2.74244
11 ,171 ,91.6733 ,6.54028 ,6.42489 ,3.02807
12 ,181 ,87.1021 ,6.73181 ,6.42489 ,3.29616
13 ,178 ,92.1656 ,6.52789 ,6.42489 ,3.59076
14 ,191 ,89.4713 ,6.60503 ,6.42489 ,3.87278
15 ,185 ,88.2457 ,6.53626 ,6.42489 ,4.14533
16 ,170 ,87.8731 ,6.80866 ,6.42489 ,4.41423
17 ,200 ,90.0984 ,6.58783 ,6.42489 ,4.71292
18 ,182 ,90.0413 ,6.52288 ,6.42489 ,4.98978
19 ,190 ,89.7018 ,6.65224 ,6.42489 ,5.27419
20 ,195 ,91.2422 ,6.44131 ,6.42489 ,5.57656
21 ,196 ,89.6914 ,6.61359 ,6.42489 ,5.87467
22 ,185 ,92.4703 ,6.54043 ,6.42489 ,6.20121
23 ,186 ,91.0909 ,6.69883 ,6.42489 ,6.48213
24 ,173 ,87.0591 ,6.72301 ,6.42489 ,6.74424
25 ,183 ,90.4556 ,6.61466 ,6.42489 ,7.04417
26 ,189 ,91.5428 ,6.60972 ,6.42489 ,7.34181
27 ,196 ,89.9672 ,6.59194 ,6.42489 ,7.63587
28 ,203 ,90.8931 ,6.66257 ,6.42489 ,7.93853
29 ,177 ,84.7154 ,6.51418 ,6.42489 ,8.19008
30 ,174 ,88.1392 ,6.69625 ,6.42489 ,8.46167
31 ,189 ,84.5736 ,6.62841 ,6.42489 ,8.71478
32 ,193 ,90.9717 ,6.67188 ,6.42489 ,9.01372
33 ,193 ,85.0974 ,6.68505 ,6.42489 ,9.27444
34 ,187 ,89.7779 ,6.55507 ,6.42489 ,9.56252
35 ,184 ,92.2692 ,6.60523 ,6.42489 ,9.85456
36 ,185 ,83.3824 ,6.60327 ,6.42489 ,10.1089
37 ,175 ,90.3269 ,6.62657 ,6.42489 ,10.3942
38 ,186 ,91.5561 ,6.62867 ,6.42489 ,10.6881
39 ,182 ,91.2404 ,6.66157 ,6.42489 ,10.9623
40 ,187 ,85.2389 ,6.61302 ,6.42489 ,11.2144
41 ,187 ,90.0761 ,6.52168 ,6.42489 ,11.4997
42 ,178 ,92.1448 ,6.91317 ,6.42489 ,11.8066
43 ,196 ,92.1593 ,6.79396 ,6.42489 ,12.1162
44 ,183 ,85.4555 ,6.52921 ,6.42489 ,12.3739
45 ,182 ,88.1353 ,6.76838 ,6.42489 ,12.6534
46 ,187 ,93.0526 ,6.62049 ,6.42489 ,12.9587
47 ,186 ,88.7306 ,6.77077 ,6.42489 ,13.2411
48 ,190 ,92.8586 ,6.56339 ,6.42489 ,13.5581
49 ,177 ,90.4879 ,6.50848 ,6.42489 ,13.8177
50 ,188 ,89.9821 ,6.60723 ,6.42489 ,14.0812
51 ,183 ,84.058 ,6.66935 ,6.42489 ,14.315
52 ,175 ,86.8115 ,6.85415 ,6.42489 ,14.5766
53 ,188 ,91.7769 ,6.63404 ,6.42489 ,14.8689
54 ,196 ,85.9244 ,6.52558 ,6.42489 ,15.13
55 ,181 ,90.6756 ,6.49115 ,6.42489 ,15.4192
56 ,180 ,87.5152 ,6.61899 ,6.42489 ,15.6858
57 ,190 ,94.4898 ,6.61026 ,6.42489 ,16.0128
58 ,189 ,92.9298 ,6.53563 ,6.42489 ,16.32
59 ,187 ,95.5809 ,6.42921 ,6.42489 ,16.6251
60 ,192 ,90.5293 ,6.80094 ,6.42489 ,16.9214
61 ,189 ,87.0257 ,6.67712 ,6.42489 ,17.1994
62 ,184 ,93.3063 ,6.81549 ,6.42489 ,17.4899
63 ,184 ,84.6753 ,6.64327 ,6.42489 ,17.7431
64 ,189 ,86.0796 ,6.50863 ,6.42489 ,18.0045
65 ,174 ,86.811 ,6.6235 ,6.42489 ,18.2582
66 ,184 ,88.9552 ,6.57724 ,6.42489 ,18.5503
67 ,192 ,86.7361 ,6.60084 ,6.42489 ,18.8179
68 ,179 ,82.5843 ,6.56083 ,6.42489 ,19.0515
69 ,176 ,87.0086 ,6.80825 ,6.42489 ,19.3272
70 ,194 ,87.3589 ,6.78147 ,6.42489 ,19.6001
71 ,184 ,88.9391 ,6.6826 ,6.42489 ,19.883
72 ,197 ,87.6099 ,6.56236 ,6.42489 ,20.1523
73 ,175 ,90.3245 ,6.80687 ,6.42489 ,20.4258
74 ,172 ,88.8111 ,6.54942 ,6.42489 ,20.7014
75 ,183 ,89.1264 ,6.72968 ,6.42489 ,20.9805
76 ,191 ,88.5803 ,6.51096 ,6.42489 ,21.2655
77 ,181 ,87.9306 ,6.49664 ,6.42489 ,21.5361
78 ,201 ,90.9728 ,6.57442 ,6.42489 ,21.8295
79 ,184 ,86.4755 ,6.80864 ,6.42489 ,22.0971
80 ,178 ,88.0379 ,6.60549 ,6.42489 ,22.3676
81 ,187 ,88.6363 ,6.72415 ,6.42489 ,22.6351
82 ,188 ,86.1942 ,6.57583 ,6.42489 ,22.8872
83 ,180 ,86.4709 ,6.61161 ,6.42489 ,23.1489
