Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,89.1533 ,89.1533 ,0.000124
update best ,1 ,176 ,176 ,1 ,176 ,6.58299 ,6.58299 ,0.853486
local optima ,1 ,177 ,177 ,1 ,176 ,6.58299 ,6.58299 ,0.853579
new initTour ,1 ,177 ,177 ,2 ,0 ,89.1514 ,6.58299 ,0.85368
update best ,1 ,355 ,355 ,2 ,179 ,6.57776 ,6.57776 ,1.72581
local optima ,1 ,356 ,356 ,2 ,179 ,6.57776 ,6.57776 ,1.7259
new initTour ,1 ,356 ,356 ,3 ,0 ,84.5219 ,6.57776 ,1.726
local optima ,1 ,538 ,538 ,3 ,182 ,6.69409 ,6.57776 ,2.53045
new initTour ,1 ,538 ,538 ,4 ,0 ,89.6547 ,6.57776 ,2.53054
local optima ,1 ,724 ,724 ,4 ,186 ,6.87893 ,6.57776 ,3.41465
new initTour ,1 ,724 ,724 ,5 ,0 ,87.2535 ,6.57776 ,3.41474
local optima ,1 ,921 ,921 ,5 ,197 ,6.67375 ,6.57776 ,4.32068
new initTour ,1 ,921 ,921 ,6 ,0 ,92.7047 ,6.57776 ,4.32078
update best ,1 ,1102 ,1102 ,6 ,182 ,6.48763 ,6.48763 ,5.31078
local optima ,1 ,1103 ,1103 ,6 ,182 ,6.48763 ,6.48763 ,5.31087
new initTour ,1 ,1103 ,1103 ,7 ,0 ,91.4116 ,6.48763 ,5.31095
update best ,1 ,1297 ,1297 ,7 ,195 ,6.43572 ,6.43572 ,6.17848
local optima ,1 ,1298 ,1298 ,7 ,195 ,6.43572 ,6.43572 ,6.17856
new initTour ,1 ,1298 ,1298 ,8 ,0 ,88.9067 ,6.43572 ,6.17866
local optima ,1 ,1481 ,1481 ,8 ,183 ,7.07465 ,6.43572 ,7.03493
new initTour ,1 ,1481 ,1481 ,9 ,0 ,95.1452 ,6.43572 ,7.03502
local optima ,1 ,1689 ,1689 ,9 ,208 ,6.48624 ,6.43572 ,8.03327
new initTour ,1 ,1689 ,1689 ,10 ,0 ,84.5042 ,6.43572 ,8.03336
local optima ,1 ,1863 ,1863 ,10 ,174 ,6.50027 ,6.43572 ,8.80916
new initTour ,1 ,1863 ,1863 ,11 ,0 ,87.2675 ,6.43572 ,8.80926
local optima ,1 ,2056 ,2056 ,11 ,193 ,6.48816 ,6.43572 ,9.57941
new initTour ,1 ,2056 ,2056 ,12 ,0 ,81.1113 ,6.43572 ,9.57952
local optima ,1 ,2238 ,2238 ,12 ,182 ,6.7395 ,6.43572 ,10.3236
new initTour ,1 ,2238 ,2238 ,13 ,0 ,87.1223 ,6.43572 ,10.3237
local optima ,1 ,2428 ,2428 ,13 ,190 ,6.66953 ,6.43572 ,11.1382
new initTour ,1 ,2428 ,2428 ,14 ,0 ,90.019 ,6.43572 ,11.1382
local optima ,1 ,2613 ,2613 ,14 ,185 ,6.50842 ,6.43572 ,11.9629
new initTour ,1 ,2613 ,2613 ,15 ,0 ,87.121 ,6.43572 ,11.963
local optima ,1 ,2801 ,2801 ,15 ,188 ,6.53884 ,6.43572 ,12.7157
new initTour ,1 ,2801 ,2801 ,16 ,0 ,88.6791 ,6.43572 ,12.7158
local optima ,1 ,2988 ,2988 ,16 ,187 ,6.71248 ,6.43572 ,13.5843
new initTour ,1 ,2988 ,2988 ,17 ,0 ,92.5091 ,6.43572 ,13.5844
local optima ,1 ,3169 ,3169 ,17 ,181 ,6.5377 ,6.43572 ,14.4392
new initTour ,1 ,3169 ,3169 ,18 ,0 ,89.8689 ,6.43572 ,14.4393
local optima ,1 ,3348 ,3348 ,18 ,179 ,6.64407 ,6.43572 ,15.286
new initTour ,1 ,3348 ,3348 ,19 ,0 ,89.9123 ,6.43572 ,15.2861
local optima ,1 ,3529 ,3529 ,19 ,181 ,6.51323 ,6.43572 ,16.0961
new initTour ,1 ,3529 ,3529 ,20 ,0 ,89.7498 ,6.43572 ,16.0962
local optima ,1 ,3720 ,3720 ,20 ,191 ,6.58934 ,6.43572 ,16.8781
new initTour ,1 ,3720 ,3720 ,21 ,0 ,92.1914 ,6.43572 ,16.8782
local optima ,1 ,3902 ,3902 ,21 ,182 ,6.57166 ,6.43572 ,17.779
new initTour ,1 ,3902 ,3902 ,22 ,0 ,90.2105 ,6.43572 ,17.7791
local optima ,1 ,4081 ,4081 ,22 ,179 ,6.67153 ,6.43572 ,18.6604
new initTour ,1 ,4081 ,4081 ,23 ,0 ,87.7381 ,6.43572 ,18.6605
local optima ,1 ,4263 ,4263 ,23 ,182 ,6.55781 ,6.43572 ,19.4613
new initTour ,1 ,4263 ,4263 ,24 ,0 ,89.88 ,6.43572 ,19.4614
local optima ,1 ,4450 ,4450 ,24 ,187 ,6.50505 ,6.43572 ,20.3755
new initTour ,1 ,4450 ,4450 ,25 ,0 ,94.2454 ,6.43572 ,20.3756
update best ,1 ,4641 ,4641 ,25 ,192 ,6.43572 ,6.43572 ,21.3115
local optima ,1 ,4642 ,4642 ,25 ,192 ,6.43572 ,6.43572 ,21.3116
new initTour ,1 ,4642 ,4642 ,26 ,0 ,88.4552 ,6.43572 ,21.3117
local optima ,1 ,4820 ,4820 ,26 ,178 ,6.89324 ,6.43572 ,22.1375
new initTour ,1 ,4820 ,4820 ,27 ,0 ,95.2353 ,6.43572 ,22.1376
local optima ,1 ,4991 ,4991 ,27 ,171 ,6.88238 ,6.43572 ,23.089
new initTour ,1 ,4991 ,4991 ,28 ,0 ,89.8257 ,6.43572 ,23.0891
local optima ,1 ,5189 ,5189 ,28 ,198 ,6.7169 ,6.43572 ,23.9463
new initTour ,1 ,5189 ,5189 ,29 ,0 ,84.3156 ,6.43572 ,23.9464
local optima ,1 ,5367 ,5367 ,29 ,178 ,6.63928 ,6.43572 ,24.7261
new initTour ,1 ,5367 ,5367 ,30 ,0 ,90.6618 ,6.43572 ,24.7262
local optima ,1 ,5555 ,5555 ,30 ,188 ,6.58398 ,6.43572 ,25.5586
new initTour ,1 ,5555 ,5555 ,31 ,0 ,95.4114 ,6.43572 ,25.5587
local optima ,1 ,5742 ,5742 ,31 ,187 ,6.59999 ,6.43572 ,26.517
new initTour ,1 ,5742 ,5742 ,32 ,0 ,90.3417 ,6.43572 ,26.5171
local optima ,1 ,5913 ,5913 ,32 ,171 ,6.84887 ,6.43572 ,27.3878
new initTour ,1 ,5913 ,5913 ,33 ,0 ,90.7621 ,6.43572 ,27.3879
local optima ,1 ,6101 ,6101 ,33 ,188 ,6.51642 ,6.43572 ,28.2798
new initTour ,1 ,6101 ,6101 ,34 ,0 ,86.0801 ,6.43572 ,28.2799
local optima ,1 ,6290 ,6290 ,34 ,189 ,6.56261 ,6.43572 ,29.1742
new initTour ,1 ,6290 ,6290 ,35 ,0 ,93.091 ,6.43572 ,29.1743
epi end ,1 ,6401 ,6401 ,35 ,111 ,8.97137 ,6.43572 ,30.2167
epi begin ,2 ,1 ,6401 ,35 ,111 ,8.97137 ,6.43572 ,94.6298
local optima ,2 ,96 ,6496 ,35 ,206 ,6.74454 ,6.43572 ,94.6695
new initTour ,2 ,96 ,6496 ,36 ,0 ,93.8 ,6.43572 ,94.6696
local optima ,2 ,637 ,7037 ,36 ,541 ,6.76651 ,6.43572 ,97.785
new initTour ,2 ,637 ,7037 ,37 ,0 ,93.3114 ,6.43572 ,97.785
local optima ,2 ,1184 ,7584 ,37 ,547 ,6.70578 ,6.43572 ,100.887
new initTour ,2 ,1184 ,7584 ,38 ,0 ,89.312 ,6.43572 ,100.887
local optima ,2 ,1762 ,8162 ,38 ,578 ,6.70803 ,6.43572 ,103.503
new initTour ,2 ,1762 ,8162 ,39 ,0 ,89.0437 ,6.43572 ,103.503
local optima ,2 ,2318 ,8718 ,39 ,556 ,6.72242 ,6.43572 ,106.271
new initTour ,2 ,2318 ,8718 ,40 ,0 ,92.128 ,6.43572 ,106.271
local optima ,2 ,2781 ,9181 ,40 ,463 ,6.77653 ,6.43572 ,108.625
new initTour ,2 ,2781 ,9181 ,41 ,0 ,90.6774 ,6.43572 ,108.625
local optima ,2 ,3184 ,9584 ,41 ,403 ,7.36763 ,6.43572 ,110.556
new initTour ,2 ,3184 ,9584 ,42 ,0 ,93.6353 ,6.43572 ,110.556
local optima ,2 ,3735 ,10135 ,42 ,551 ,6.65707 ,6.43572 ,113.494
new initTour ,2 ,3735 ,10135 ,43 ,0 ,89.5533 ,6.43572 ,113.495
local optima ,2 ,4271 ,10671 ,43 ,536 ,6.52718 ,6.43572 ,116.914
new initTour ,2 ,4271 ,10671 ,44 ,0 ,90.4901 ,6.43572 ,116.914
local optima ,2 ,4904 ,11304 ,44 ,633 ,6.68425 ,6.43572 ,120.439
new initTour ,2 ,4904 ,11304 ,45 ,0 ,91.8589 ,6.43572 ,120.439
local optima ,2 ,5452 ,11852 ,45 ,548 ,6.66314 ,6.43572 ,123.432
new initTour ,2 ,5452 ,11852 ,46 ,0 ,88.1337 ,6.43572 ,123.432
local optima ,2 ,6005 ,12405 ,46 ,553 ,6.70027 ,6.43572 ,126.127
new initTour ,2 ,6005 ,12405 ,47 ,0 ,90.6833 ,6.43572 ,126.127
epi end ,2 ,6401 ,12801 ,47 ,396 ,17.1028 ,6.43572 ,128.537
epi begin ,3 ,1 ,12801 ,47 ,396 ,17.1028 ,6.43572 ,206.848
local optima ,3 ,127 ,12927 ,47 ,522 ,6.54056 ,6.43572 ,206.904
new initTour ,3 ,127 ,12927 ,48 ,0 ,91.6678 ,6.43572 ,206.904
local optima ,3 ,741 ,13541 ,48 ,614 ,6.76068 ,6.43572 ,210.3
new initTour ,3 ,741 ,13541 ,49 ,0 ,86.3141 ,6.43572 ,210.3
local optima ,3 ,1331 ,14131 ,49 ,590 ,7.3633 ,6.43572 ,213.021
new initTour ,3 ,1331 ,14131 ,50 ,0 ,86.4538 ,6.43572 ,213.021
local optima ,3 ,2017 ,14817 ,50 ,686 ,6.67548 ,6.43572 ,216.366
new initTour ,3 ,2017 ,14817 ,51 ,0 ,89.9439 ,6.43572 ,216.366
local optima ,3 ,2533 ,15333 ,51 ,516 ,6.69333 ,6.43572 ,218.888
new initTour ,3 ,2533 ,15333 ,52 ,0 ,84.9566 ,6.43572 ,218.888
local optima ,3 ,3175 ,15975 ,52 ,642 ,6.51412 ,6.43572 ,222.333
new initTour ,3 ,3175 ,15975 ,53 ,0 ,86.9115 ,6.43572 ,222.334
local optima ,3 ,3830 ,16630 ,53 ,655 ,6.70207 ,6.43572 ,225.234
new initTour ,3 ,3830 ,16630 ,54 ,0 ,87.1658 ,6.43572 ,225.234
local optima ,3 ,4445 ,17245 ,54 ,615 ,6.92123 ,6.43572 ,228.612
new initTour ,3 ,4445 ,17245 ,55 ,0 ,89.3061 ,6.43572 ,228.612
local optima ,3 ,5125 ,17925 ,55 ,680 ,6.51887 ,6.43572 ,232.009
new initTour ,3 ,5125 ,17925 ,56 ,0 ,89.5636 ,6.43572 ,232.009
local optima ,3 ,5783 ,18583 ,56 ,658 ,6.62083 ,6.43572 ,235.9
new initTour ,3 ,5783 ,18583 ,57 ,0 ,91.6683 ,6.43572 ,235.9
local optima ,3 ,6369 ,19169 ,57 ,586 ,6.66837 ,6.43572 ,239.505
new initTour ,3 ,6369 ,19169 ,58 ,0 ,84.846 ,6.43572 ,239.505
epi end ,3 ,6401 ,19201 ,58 ,32 ,62.4973 ,6.43572 ,240.17
epi begin ,4 ,1 ,19201 ,58 ,32 ,62.4973 ,6.43572 ,321.839
local optima ,4 ,508 ,19708 ,58 ,539 ,6.4737 ,6.43572 ,323.788
new initTour ,4 ,508 ,19708 ,59 ,0 ,87.8781 ,6.43572 ,323.789
local optima ,4 ,1017 ,20217 ,59 ,509 ,6.92926 ,6.43572 ,326.794
new initTour ,4 ,1017 ,20217 ,60 ,0 ,93.1301 ,6.43572 ,326.794
local optima ,4 ,1582 ,20782 ,60 ,565 ,7.69061 ,6.43572 ,329.903
new initTour ,4 ,1582 ,20782 ,61 ,0 ,88.9583 ,6.43572 ,329.903
local optima ,4 ,2118 ,21318 ,61 ,536 ,6.7122 ,6.43572 ,332.861
new initTour ,4 ,2118 ,21318 ,62 ,0 ,89.9262 ,6.43572 ,332.861
local optima ,4 ,2727 ,21927 ,62 ,609 ,6.75507 ,6.43572 ,336.229
new initTour ,4 ,2727 ,21927 ,63 ,0 ,92.853 ,6.43572 ,336.229
local optima ,4 ,3312 ,22512 ,63 ,585 ,6.91878 ,6.43572 ,340.037
new initTour ,4 ,3312 ,22512 ,64 ,0 ,85.7947 ,6.43572 ,340.037
local optima ,4 ,3936 ,23136 ,64 ,624 ,6.60306 ,6.43572 ,343.551
new initTour ,4 ,3936 ,23136 ,65 ,0 ,91.4476 ,6.43572 ,343.551
local optima ,4 ,4629 ,23829 ,65 ,693 ,6.58849 ,6.43572 ,347.29
new initTour ,4 ,4629 ,23829 ,66 ,0 ,90.5853 ,6.43572 ,347.29
local optima ,4 ,5236 ,24436 ,66 ,607 ,7.01203 ,6.43572 ,350.965
new initTour ,4 ,5236 ,24436 ,67 ,0 ,86.5846 ,6.43572 ,350.965
local optima ,4 ,5906 ,25106 ,67 ,670 ,6.90453 ,6.43572 ,354.991
new initTour ,4 ,5906 ,25106 ,68 ,0 ,87.5846 ,6.43572 ,354.991
epi end ,4 ,6401 ,25601 ,68 ,495 ,15.5647 ,6.43572 ,358.435
epi begin ,5 ,1 ,25601 ,68 ,495 ,15.5647 ,6.43572 ,436.635
local optima ,5 ,126 ,25726 ,68 ,620 ,7.19188 ,6.43572 ,436.692
new initTour ,5 ,126 ,25726 ,69 ,0 ,88.5215 ,6.43572 ,436.692
local optima ,5 ,898 ,26498 ,69 ,772 ,6.71572 ,6.43572 ,441.393
new initTour ,5 ,898 ,26498 ,70 ,0 ,91.4126 ,6.43572 ,441.393
local optima ,5 ,1746 ,27346 ,70 ,848 ,7.2647 ,6.43572 ,447.727
new initTour ,5 ,1746 ,27346 ,71 ,0 ,80.8976 ,6.43572 ,447.727
local optima ,5 ,2463 ,28063 ,71 ,717 ,6.72814 ,6.43572 ,452.257
new initTour ,5 ,2463 ,28063 ,72 ,0 ,85.0132 ,6.43572 ,452.257
local optima ,5 ,3211 ,28811 ,72 ,748 ,6.83758 ,6.43572 ,456.672
new initTour ,5 ,3211 ,28811 ,73 ,0 ,90.0831 ,6.43572 ,456.673
local optima ,5 ,3999 ,29599 ,73 ,788 ,6.61462 ,6.43572 ,462.096
new initTour ,5 ,3999 ,29599 ,74 ,0 ,90.721 ,6.43572 ,462.096
local optima ,5 ,4813 ,30413 ,74 ,814 ,7.11342 ,6.43572 ,467.519
new initTour ,5 ,4813 ,30413 ,75 ,0 ,88.8764 ,6.43572 ,467.519
local optima ,5 ,5567 ,31167 ,75 ,754 ,6.79064 ,6.43572 ,471.942
new initTour ,5 ,5567 ,31167 ,76 ,0 ,94.5243 ,6.43572 ,471.942
local optima ,5 ,6355 ,31955 ,76 ,788 ,7.43218 ,6.43572 ,476.98
new initTour ,5 ,6355 ,31955 ,77 ,0 ,90.4955 ,6.43572 ,476.98
epi end ,5 ,6401 ,32001 ,77 ,46 ,68.4912 ,6.43572 ,478.098
epi begin ,6 ,1 ,32001 ,77 ,46 ,68.4912 ,6.43572 ,571.028
local optima ,6 ,583 ,32583 ,77 ,628 ,6.63065 ,6.43572 ,573.877
new initTour ,6 ,583 ,32583 ,78 ,0 ,88.0131 ,6.43572 ,573.877
local optima ,6 ,1294 ,33294 ,78 ,711 ,6.79923 ,6.43572 ,578.245
new initTour ,6 ,1294 ,33294 ,79 ,0 ,89.3667 ,6.43572 ,578.245
local optima ,6 ,1939 ,33939 ,79 ,645 ,6.51359 ,6.43572 ,582.233
new initTour ,6 ,1939 ,33939 ,80 ,0 ,85.9711 ,6.43572 ,582.233
local optima ,6 ,2608 ,34608 ,80 ,669 ,6.69059 ,6.43572 ,586.985
new initTour ,6 ,2608 ,34608 ,81 ,0 ,90.3495 ,6.43572 ,586.985
local optima ,6 ,3330 ,35330 ,81 ,722 ,6.56695 ,6.43572 ,592.218
new initTour ,6 ,3330 ,35330 ,82 ,0 ,91.1356 ,6.43572 ,592.218
local optima ,6 ,3986 ,35986 ,82 ,656 ,6.56943 ,6.43572 ,597.036
new initTour ,6 ,3986 ,35986 ,83 ,0 ,89.565 ,6.43572 ,597.036
local optima ,6 ,4705 ,36705 ,83 ,719 ,6.64986 ,6.43572 ,602.06
new initTour ,6 ,4705 ,36705 ,84 ,0 ,87.1019 ,6.43572 ,602.06
