tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,317 ,88.9335 ,7.08284 ,7.08284 ,0.009693
2 ,351 ,84.6491 ,6.56317 ,6.56317 ,0.019977
3 ,301 ,89.3943 ,6.64183 ,6.56317 ,0.028776
4 ,301 ,86.7204 ,6.61802 ,6.56317 ,0.037372
5 ,341 ,80.1087 ,6.6581 ,6.56317 ,0.046942
6 ,311 ,87.3768 ,6.59203 ,6.56317 ,0.055542
7 ,295 ,90.241 ,6.64027 ,6.56317 ,0.063707
8 ,270 ,91.4134 ,6.55363 ,6.55363 ,0.071042
9 ,302 ,92.5165 ,6.49647 ,6.49647 ,0.07936
10 ,275 ,84.9122 ,6.69978 ,6.49647 ,0.086946
11 ,296 ,83.1182 ,6.48603 ,6.48603 ,0.0951
12 ,317 ,85.0262 ,6.69258 ,6.48603 ,0.103867
13 ,308 ,88.1773 ,6.70121 ,6.48603 ,0.112233
14 ,292 ,85.8199 ,6.66198 ,6.48603 ,0.12039
15 ,278 ,92.1599 ,6.53026 ,6.48603 ,0.128041
16 ,314 ,85.4502 ,6.59496 ,6.48603 ,0.136645
17 ,292 ,83.629 ,6.60868 ,6.48603 ,0.144615
18 ,339 ,89.7939 ,6.65261 ,6.48603 ,0.154351
19 ,297 ,90.3534 ,6.52305 ,6.48603 ,0.163299
20 ,317 ,86.8876 ,6.52428 ,6.48603 ,0.172583
21 ,296 ,91.0791 ,6.99757 ,6.48603 ,0.181052
22 ,291 ,91.2336 ,6.73143 ,6.48603 ,0.18929
23 ,279 ,89.2888 ,6.70318 ,6.48603 ,0.197032
24 ,310 ,81.0938 ,6.69389 ,6.48603 ,0.205696
25 ,306 ,91.6367 ,6.63139 ,6.48603 ,0.214258
26 ,291 ,89.2429 ,6.73083 ,6.48603 ,0.222309
27 ,285 ,85.285 ,6.61441 ,6.48603 ,0.230207
28 ,319 ,93.6404 ,6.43957 ,6.43957 ,0.238942
29 ,290 ,95.2652 ,6.59275 ,6.43957 ,0.246985
30 ,324 ,94.5317 ,7.01769 ,6.43957 ,0.256101
31 ,283 ,88.1456 ,6.58876 ,6.43957 ,0.263847
32 ,300 ,85.5773 ,6.5674 ,6.43957 ,0.272106
33 ,295 ,95.7799 ,6.58755 ,6.43957 ,0.280186
34 ,292 ,89.9786 ,6.83377 ,6.43957 ,0.288612
35 ,316 ,88.755 ,6.5235 ,6.43957 ,0.297478
36 ,298 ,87.3947 ,7.06439 ,6.43957 ,0.305647
37 ,304 ,87.171 ,6.65675 ,6.43957 ,0.31408
38 ,304 ,94.0277 ,6.59379 ,6.43957 ,0.322521
39 ,306 ,85.707 ,6.76444 ,6.43957 ,0.330987
40 ,280 ,95.1581 ,6.52714 ,6.43957 ,0.338649
41 ,314 ,92.0806 ,6.49286 ,6.43957 ,0.347178
42 ,296 ,85.1736 ,6.54172 ,6.43957 ,0.355434
43 ,290 ,86.2611 ,6.68325 ,6.43957 ,0.363512
44 ,291 ,89.9289 ,6.79701 ,6.43957 ,0.371539
45 ,312 ,87.5487 ,6.71748 ,6.43957 ,0.380426
46 ,313 ,88.9189 ,6.51229 ,6.43957 ,0.388987
47 ,332 ,88.3653 ,6.88832 ,6.43957 ,0.398139
48 ,314 ,91.7751 ,6.67484 ,6.43957 ,0.406861
49 ,301 ,91.2702 ,6.50696 ,6.43957 ,0.415338
50 ,313 ,94.6715 ,6.76657 ,6.43957 ,0.424023
51 ,266 ,90.7726 ,6.53277 ,6.43957 ,0.431401
52 ,310 ,91.5147 ,6.8798 ,6.43957 ,0.439927
53 ,292 ,86.8548 ,7.09538 ,6.43957 ,0.447929
54 ,251 ,90.3362 ,6.4374 ,6.4374 ,0.454889
55 ,289 ,90.589 ,6.71851 ,6.4374 ,0.462895
56 ,309 ,88.026 ,6.5897 ,6.4374 ,0.471407
57 ,321 ,86.0904 ,6.49031 ,6.4374 ,0.480186
58 ,308 ,90.1634 ,6.76255 ,6.4374 ,0.488767
59 ,288 ,86.0004 ,6.5493 ,6.4374 ,0.496693
60 ,273 ,86.2826 ,6.42872 ,6.42872 ,0.504168
61 ,329 ,88.585 ,6.75115 ,6.42872 ,0.513249
62 ,287 ,88.2574 ,6.46965 ,6.42872 ,0.521102
63 ,291 ,93.9193 ,6.60289 ,6.42872 ,0.529104
64 ,325 ,85.7699 ,6.49437 ,6.42872 ,0.538175
65 ,297 ,91.3119 ,6.62018 ,6.42872 ,0.546313
66 ,302 ,91.9043 ,6.7147 ,6.42872 ,0.554705
67 ,326 ,88.9905 ,6.73163 ,6.42872 ,0.563647
68 ,332 ,86.8595 ,6.49989 ,6.42872 ,0.573287
69 ,272 ,92.0789 ,6.67014 ,6.42872 ,0.581175
70 ,258 ,88.9394 ,6.64286 ,6.42872 ,0.589054
71 ,319 ,84.6987 ,6.58121 ,6.42872 ,0.599026
72 ,281 ,92.2254 ,6.78996 ,6.42872 ,0.607604
73 ,294 ,91.6924 ,6.68997 ,6.42872 ,0.616173
74 ,294 ,88.8672 ,6.5781 ,6.42872 ,0.624769
75 ,290 ,92.4842 ,6.63427 ,6.42872 ,0.632996
76 ,336 ,94.2339 ,6.48784 ,6.42872 ,0.642375
77 ,310 ,86.4804 ,6.90185 ,6.42872 ,0.651024
78 ,276 ,88.2231 ,6.72768 ,6.42872 ,0.658669
79 ,319 ,87.0545 ,6.59151 ,6.42872 ,0.667562
80 ,274 ,87.7134 ,6.53263 ,6.42872 ,0.675415
81 ,293 ,88.212 ,6.58386 ,6.42872 ,0.68365
82 ,312 ,87.9077 ,6.6312 ,6.42872 ,0.692273
83 ,298 ,92.5141 ,6.56308 ,6.42872 ,0.701113
84 ,309 ,89.1538 ,6.56262 ,6.42872 ,0.710545
85 ,259 ,85.8422 ,6.46987 ,6.42872 ,0.717974
86 ,311 ,89.2354 ,6.4668 ,6.42872 ,0.726897
87 ,288 ,87.8686 ,6.57131 ,6.42872 ,0.735084
88 ,300 ,94.4016 ,6.67647 ,6.42872 ,0.743346
89 ,316 ,89.9356 ,6.49593 ,6.42872 ,0.752278
90 ,281 ,92.9889 ,6.67036 ,6.42872 ,0.759914
91 ,281 ,93.0082 ,6.81285 ,6.42872 ,0.767572
92 ,302 ,88.0783 ,6.47101 ,6.42872 ,0.775786
93 ,293 ,84.5955 ,6.70278 ,6.42872 ,0.783809
94 ,291 ,92.9016 ,6.6622 ,6.42872 ,0.791921
95 ,341 ,92.4728 ,7.06478 ,6.42872 ,0.801515
96 ,302 ,81.2909 ,6.69528 ,6.42872 ,0.809962
97 ,306 ,92.7127 ,6.73733 ,6.42872 ,0.818618
98 ,308 ,89.0875 ,6.5563 ,6.42872 ,0.827487
99 ,293 ,88.2843 ,6.69984 ,6.42872 ,0.835668
100 ,328 ,90.5681 ,6.61822 ,6.42872 ,0.84469
101 ,318 ,92.5202 ,6.59634 ,6.42872 ,0.853626
102 ,316 ,89.8162 ,6.55871 ,6.42872 ,0.862239
103 ,336 ,88.6278 ,6.53163 ,6.42872 ,0.871398
104 ,302 ,88.8402 ,6.53381 ,6.42872 ,0.879726
105 ,338 ,91.0153 ,6.41219 ,6.41219 ,0.888963
106 ,293 ,83.8275 ,6.49229 ,6.41219 ,0.897071
107 ,295 ,88.5487 ,6.40718 ,6.40718 ,0.905147
108 ,328 ,91.7908 ,6.94678 ,6.40718 ,0.914111
109 ,270 ,86.2216 ,6.58121 ,6.40718 ,0.9219
110 ,313 ,84.7299 ,6.66074 ,6.40718 ,0.930591
111 ,300 ,93.4311 ,6.44554 ,6.40718 ,0.938987
112 ,281 ,87.1208 ,6.46739 ,6.40718 ,0.946727
113 ,318 ,88.2518 ,6.67503 ,6.40718 ,0.955529
114 ,298 ,90.5091 ,6.65283 ,6.40718 ,0.963697
115 ,326 ,88.2063 ,6.69536 ,6.40718 ,0.972539
116 ,310 ,93.4546 ,6.56984 ,6.40718 ,0.981606
117 ,316 ,89.7833 ,6.57357 ,6.40718 ,0.990627
118 ,286 ,89.4619 ,6.74533 ,6.40718 ,0.998743
119 ,309 ,89.4584 ,6.78014 ,6.40718 ,1.00736
120 ,318 ,87.6309 ,6.47495 ,6.40718 ,1.01617
121 ,340 ,87.8247 ,6.55244 ,6.40718 ,1.02549
122 ,299 ,84.3403 ,6.57165 ,6.40718 ,1.03362
123 ,279 ,88.8389 ,6.81465 ,6.40718 ,1.04149
124 ,304 ,88.2647 ,6.49663 ,6.40718 ,1.04985
125 ,340 ,91.2435 ,6.73348 ,6.40718 ,1.05916
126 ,279 ,90.1939 ,6.60148 ,6.40718 ,1.06672
127 ,285 ,88.7348 ,6.75183 ,6.40718 ,1.07453
128 ,293 ,85.9871 ,6.57524 ,6.40718 ,1.08253
129 ,324 ,88.7087 ,6.90231 ,6.40718 ,1.09142
130 ,291 ,96.0659 ,6.78413 ,6.40718 ,1.09942
131 ,337 ,88.899 ,6.46156 ,6.40718 ,1.10891
132 ,304 ,92.6935 ,6.61536 ,6.40718 ,1.11721
133 ,290 ,84.9988 ,6.5579 ,6.40718 ,1.12524
134 ,283 ,83.5799 ,6.81967 ,6.40718 ,1.13305
135 ,278 ,93.4246 ,6.6674 ,6.40718 ,1.14062
136 ,299 ,88.1151 ,6.65966 ,6.40718 ,1.14891
137 ,287 ,82.3762 ,6.57818 ,6.40718 ,1.15684
138 ,330 ,91.8401 ,6.46376 ,6.40718 ,1.16594
139 ,313 ,89.1384 ,6.67908 ,6.40718 ,1.17455
140 ,309 ,85.5791 ,6.6706 ,6.40718 ,1.183
141 ,296 ,83.4637 ,6.64629 ,6.40718 ,1.19114
142 ,301 ,88.9527 ,6.59688 ,6.40718 ,1.19938
143 ,340 ,91.2491 ,6.74078 ,6.40718 ,1.20883
144 ,320 ,82.5265 ,6.58217 ,6.40718 ,1.21775
145 ,324 ,84.3447 ,6.5915 ,6.40718 ,1.22676
146 ,331 ,86.975 ,6.70024 ,6.40718 ,1.23585
147 ,293 ,88.1238 ,6.7457 ,6.40718 ,1.24388
148 ,321 ,89.5742 ,6.68832 ,6.40718 ,1.25283
149 ,299 ,89.359 ,6.64707 ,6.40718 ,1.2611
150 ,314 ,90.4947 ,6.60905 ,6.40718 ,1.26982
151 ,281 ,88.9213 ,6.60683 ,6.40718 ,1.27753
152 ,312 ,90.9394 ,6.4501 ,6.40718 ,1.28602
153 ,294 ,93.8656 ,6.70979 ,6.40718 ,1.29437
154 ,322 ,96.8914 ,6.86177 ,6.40718 ,1.30367
155 ,306 ,87.3459 ,6.66795 ,6.40718 ,1.31365
156 ,299 ,87.5092 ,6.49992 ,6.40718 ,1.32244
157 ,329 ,90.256 ,6.77729 ,6.40718 ,1.33209
158 ,287 ,91.0252 ,6.55683 ,6.40718 ,1.34038
159 ,312 ,93.9045 ,6.60717 ,6.40718 ,1.34937
160 ,319 ,88.9423 ,6.67497 ,6.40718 ,1.35965
161 ,304 ,80.9692 ,6.61336 ,6.40718 ,1.36871
162 ,285 ,87.5098 ,6.51953 ,6.40718 ,1.37696
163 ,302 ,87.1687 ,6.7669 ,6.40718 ,1.38562
164 ,338 ,93.2845 ,6.52096 ,6.40718 ,1.39516
165 ,343 ,91.5487 ,6.55384 ,6.40718 ,1.4053
166 ,306 ,88.2535 ,6.67674 ,6.40718 ,1.41455
167 ,324 ,92.3307 ,6.7557 ,6.40718 ,1.42417
168 ,308 ,87.0592 ,6.81778 ,6.40718 ,1.43299
169 ,287 ,85.1443 ,6.58539 ,6.40718 ,1.44128
170 ,301 ,88.2829 ,6.59139 ,6.40718 ,1.44986
171 ,326 ,86.9058 ,6.48474 ,6.40718 ,1.45906
172 ,305 ,95.307 ,6.69902 ,6.40718 ,1.46739
173 ,318 ,90.1013 ,6.70699 ,6.40718 ,1.47612
174 ,277 ,94.5209 ,6.75063 ,6.40718 ,1.48359
175 ,297 ,89.385 ,6.57661 ,6.40718 ,1.49168
176 ,300 ,85.7388 ,6.74435 ,6.40718 ,1.50001
177 ,285 ,92.3809 ,6.70955 ,6.40718 ,1.50793
178 ,297 ,86.7111 ,6.42704 ,6.40718 ,1.51601
179 ,343 ,90.4399 ,6.57297 ,6.40718 ,1.52546
180 ,315 ,89.9931 ,6.45083 ,6.40718 ,1.53413
181 ,285 ,86.8983 ,6.73325 ,6.40718 ,1.54209
182 ,301 ,91.9455 ,6.47926 ,6.40718 ,1.55038
183 ,284 ,84.9864 ,6.66546 ,6.40718 ,1.55828
184 ,328 ,91.2658 ,6.72415 ,6.40718 ,1.56739
185 ,303 ,84.232 ,6.75606 ,6.40718 ,1.57564
186 ,286 ,91.3747 ,6.7788 ,6.40718 ,1.58344
187 ,291 ,84.9642 ,6.61873 ,6.40718 ,1.59158
188 ,296 ,91.914 ,6.60208 ,6.40718 ,1.60041
189 ,309 ,83.9725 ,6.54758 ,6.40718 ,1.60897
190 ,269 ,91.5993 ,6.59125 ,6.40718 ,1.61654
191 ,316 ,90.7828 ,6.76841 ,6.40718 ,1.62542
192 ,324 ,87.8388 ,6.71476 ,6.40718 ,1.63437
193 ,303 ,90.1506 ,6.47097 ,6.40718 ,1.64262
194 ,326 ,89.8631 ,6.76736 ,6.40718 ,1.6516
195 ,309 ,86.1118 ,6.51384 ,6.40718 ,1.66018
196 ,276 ,92.5042 ,6.56446 ,6.40718 ,1.66776
197 ,324 ,87.6627 ,6.51314 ,6.40718 ,1.67664
198 ,302 ,92.3404 ,6.61665 ,6.40718 ,1.68485
199 ,306 ,78.7423 ,6.60941 ,6.40718 ,1.69327
200 ,308 ,89.7698 ,6.42921 ,6.40718 ,1.70183
