tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,314 ,164.138 ,7.26936 ,7.26936 ,1.64425
2 ,322 ,164.063 ,7.78753 ,7.26936 ,3.24113
3 ,307 ,158.769 ,7.46876 ,7.26936 ,4.72285
4 ,318 ,164.024 ,7.70833 ,7.26936 ,6.2952
5 ,319 ,150.599 ,7.7815 ,7.26936 ,7.65432
6 ,316 ,158.803 ,7.40859 ,7.26936 ,9.1597
7 ,317 ,162.837 ,8.37823 ,7.26936 ,10.7625
8 ,312 ,157.205 ,7.84334 ,7.26936 ,12.1626
9 ,326 ,166.145 ,7.23707 ,7.23707 ,13.7359
10 ,316 ,163.576 ,7.72258 ,7.23707 ,15.1978
11 ,303 ,165.972 ,7.53561 ,7.23707 ,16.7476
12 ,324 ,153.864 ,7.8053 ,7.23707 ,18.0782
13 ,315 ,168.148 ,8.47242 ,7.23707 ,19.6817
14 ,317 ,171.723 ,8.51109 ,7.23707 ,21.3421
15 ,323 ,157.373 ,7.77612 ,7.23707 ,22.8601
16 ,312 ,159.227 ,7.80345 ,7.23707 ,24.3139
17 ,325 ,161.05 ,7.35029 ,7.23707 ,25.8104
18 ,320 ,156.502 ,7.61341 ,7.23707 ,27.2364
19 ,320 ,166.725 ,7.75816 ,7.23707 ,28.8089
20 ,320 ,165.683 ,7.33106 ,7.23707 ,30.3716
21 ,328 ,156.572 ,7.71254 ,7.23707 ,31.7885
22 ,315 ,160.843 ,7.44688 ,7.23707 ,33.279
23 ,319 ,171.761 ,7.25951 ,7.23707 ,34.9453
24 ,316 ,163.156 ,7.84943 ,7.23707 ,36.4004
25 ,319 ,155.182 ,7.43615 ,7.23707 ,37.7958
26 ,321 ,159.023 ,8.08365 ,7.23707 ,39.27
27 ,316 ,148.689 ,7.92517 ,7.23707 ,40.5406
28 ,312 ,158.453 ,8.341 ,7.23707 ,41.9584
29 ,321 ,160.119 ,7.30792 ,7.23707 ,43.4198
30 ,328 ,166.831 ,8.21822 ,7.23707 ,44.9951
31 ,320 ,161.961 ,8.52194 ,7.23707 ,46.5004
32 ,316 ,161.079 ,7.18815 ,7.18815 ,48.0078
33 ,314 ,153.169 ,7.40606 ,7.18815 ,49.3709
34 ,305 ,165.482 ,7.70518 ,7.18815 ,50.9163
35 ,312 ,159.417 ,7.46273 ,7.18815 ,52.3291
36 ,314 ,163.165 ,7.28402 ,7.18815 ,53.7945
37 ,309 ,162.65 ,7.40251 ,7.18815 ,55.2943
38 ,318 ,162.089 ,7.56932 ,7.18815 ,56.7709
39 ,315 ,156.084 ,7.7712 ,7.18815 ,58.1781
40 ,337 ,167.809 ,7.66189 ,7.18815 ,59.741
41 ,321 ,162.841 ,7.65636 ,7.18815 ,61.2687
42 ,307 ,155.652 ,7.93928 ,7.18815 ,62.6553
43 ,308 ,163.416 ,7.83433 ,7.18815 ,64.2213
44 ,315 ,159.252 ,7.65567 ,7.18815 ,65.6612
45 ,305 ,157.323 ,7.92769 ,7.18815 ,67.1212
46 ,303 ,163.001 ,7.8655 ,7.18815 ,68.647
47 ,323 ,155.143 ,8.0682 ,7.18815 ,70.0582
48 ,311 ,164.227 ,7.76573 ,7.18815 ,71.6004
49 ,309 ,173.066 ,8.14537 ,7.18815 ,73.1869
50 ,329 ,164.469 ,7.79705 ,7.18815 ,74.8089
51 ,310 ,172.875 ,7.68953 ,7.18815 ,76.5092
52 ,321 ,159.926 ,7.45656 ,7.18815 ,77.9965
53 ,317 ,158.715 ,8.34843 ,7.18815 ,79.5583
54 ,310 ,165.698 ,7.61495 ,7.18815 ,81.0648
55 ,313 ,158.328 ,7.30617 ,7.18815 ,82.5682
56 ,321 ,157.138 ,7.7381 ,7.18815 ,83.9816
57 ,314 ,154.987 ,8.02108 ,7.18815 ,85.3431
58 ,309 ,171.444 ,7.98907 ,7.18815 ,86.9986
59 ,308 ,160.993 ,8.38207 ,7.18815 ,88.5207
60 ,326 ,164.3 ,7.40121 ,7.18815 ,90.1366
61 ,327 ,157.767 ,7.28636 ,7.18815 ,91.6937
62 ,325 ,155.112 ,7.38049 ,7.18815 ,93.1777
63 ,325 ,163.747 ,8.3994 ,7.18815 ,94.7238
64 ,320 ,160.946 ,7.87956 ,7.18815 ,96.1977
65 ,321 ,159.992 ,8.33412 ,7.18815 ,97.6904
66 ,327 ,161.832 ,7.61617 ,7.18815 ,99.1892
67 ,321 ,162.73 ,7.48437 ,7.18815 ,100.73
68 ,317 ,164.767 ,7.77855 ,7.18815 ,102.29
69 ,322 ,163.3 ,7.67124 ,7.18815 ,103.869
70 ,318 ,160.294 ,7.87459 ,7.18815 ,105.401
71 ,325 ,151.379 ,7.29341 ,7.18815 ,106.79
72 ,305 ,169.661 ,8.43113 ,7.18815 ,108.444
73 ,308 ,162.359 ,7.69818 ,7.18815 ,109.967
74 ,329 ,164.65 ,7.19973 ,7.18815 ,111.528
75 ,317 ,153.038 ,7.38486 ,7.18815 ,112.901
76 ,323 ,164.659 ,7.7568 ,7.18815 ,114.383
77 ,311 ,162.687 ,7.74971 ,7.18815 ,115.906
78 ,316 ,161.253 ,7.359 ,7.18815 ,117.349
79 ,320 ,166.865 ,7.44317 ,7.18815 ,118.928
80 ,325 ,171.901 ,7.45639 ,7.18815 ,120.593
81 ,309 ,160.979 ,7.3503 ,7.18815 ,122.098
82 ,313 ,154.427 ,7.36253 ,7.18815 ,123.557
83 ,306 ,157.004 ,7.75184 ,7.18815 ,125.025
84 ,324 ,162.881 ,7.6843 ,7.18815 ,126.544
85 ,318 ,166.987 ,7.28993 ,7.18815 ,128.166
86 ,305 ,165.477 ,7.84618 ,7.18815 ,129.738
87 ,327 ,164.953 ,7.2314 ,7.18815 ,131.304
88 ,317 ,160.245 ,8.11789 ,7.18815 ,132.773
89 ,314 ,168.048 ,7.48484 ,7.18815 ,134.364
90 ,311 ,162.691 ,7.29259 ,7.18815 ,135.888
91 ,300 ,162.981 ,8.43385 ,7.18815 ,137.394
92 ,308 ,171.118 ,7.23646 ,7.18815 ,139.028
93 ,326 ,158.155 ,8.13457 ,7.18815 ,140.436
94 ,311 ,164.16 ,7.3049 ,7.18815 ,142.013
95 ,334 ,160.238 ,7.3269 ,7.18815 ,143.47
96 ,322 ,165.341 ,7.25745 ,7.18815 ,145.036
97 ,322 ,155.6 ,8.28732 ,7.18815 ,146.433
98 ,306 ,162.811 ,7.69095 ,7.18815 ,147.945
99 ,313 ,167.573 ,7.38311 ,7.18815 ,149.527
100 ,312 ,173.666 ,7.16258 ,7.16258 ,151.186
101 ,306 ,161.106 ,7.22297 ,7.16258 ,152.611
102 ,313 ,158.16 ,7.91296 ,7.16258 ,154
103 ,310 ,148.905 ,7.8745 ,7.16258 ,155.285
104 ,313 ,166.407 ,7.78752 ,7.16258 ,156.823
105 ,322 ,168.745 ,7.68394 ,7.16258 ,158.432
106 ,321 ,173.552 ,8.14594 ,7.16258 ,160.101
107 ,314 ,155.49 ,7.3307 ,7.16258 ,161.488
108 ,310 ,156.874 ,7.38893 ,7.16258 ,162.915
109 ,329 ,167.026 ,7.57425 ,7.16258 ,164.501
110 ,318 ,164.939 ,7.25891 ,7.16258 ,166.036
111 ,322 ,156.586 ,7.87487 ,7.16258 ,167.5
112 ,323 ,170.598 ,7.23871 ,7.16258 ,169.166
113 ,322 ,161.531 ,7.93389 ,7.16258 ,170.721
114 ,317 ,159.563 ,7.60358 ,7.16258 ,172.201
115 ,329 ,159.961 ,8.33817 ,7.16258 ,173.688
116 ,312 ,160.278 ,7.25079 ,7.16258 ,175.163
117 ,300 ,159.61 ,7.43295 ,7.16258 ,176.553
118 ,318 ,156.694 ,7.80242 ,7.16258 ,177.978
119 ,314 ,169.373 ,8.00978 ,7.16258 ,179.554
120 ,318 ,162.165 ,8.28179 ,7.16258 ,181.036
121 ,309 ,161.234 ,7.68646 ,7.16258 ,182.479
122 ,316 ,156.296 ,7.4718 ,7.16258 ,183.899
123 ,310 ,157.434 ,7.84549 ,7.16258 ,185.333
124 ,324 ,167.98 ,7.53846 ,7.16258 ,186.921
125 ,315 ,161.895 ,7.66679 ,7.16258 ,188.476
126 ,306 ,158.035 ,7.50517 ,7.16258 ,189.936
127 ,336 ,163.753 ,7.41172 ,7.16258 ,191.453
128 ,324 ,161.865 ,8.29816 ,7.16258 ,192.92
129 ,328 ,154.657 ,7.83784 ,7.16258 ,194.36
130 ,320 ,161.598 ,7.48985 ,7.16258 ,195.863
131 ,314 ,157.689 ,7.41811 ,7.16258 ,197.327
132 ,315 ,165.194 ,7.74734 ,7.16258 ,198.851
133 ,338 ,162.742 ,7.62272 ,7.16258 ,200.447
134 ,323 ,159.548 ,7.83371 ,7.16258 ,201.935
135 ,331 ,159.827 ,7.89086 ,7.16258 ,203.441
136 ,315 ,163.794 ,8.38016 ,7.16258 ,205.003
137 ,313 ,168.157 ,7.83969 ,7.16258 ,206.639
138 ,319 ,164.529 ,8.20945 ,7.16258 ,208.206
139 ,343 ,165.664 ,7.21672 ,7.16258 ,209.729
140 ,316 ,154.234 ,7.99873 ,7.16258 ,211.043
141 ,323 ,161.98 ,7.44863 ,7.16258 ,212.559
142 ,327 ,159.925 ,7.23288 ,7.16258 ,214.005
143 ,308 ,158.134 ,8.10215 ,7.16258 ,215.368
144 ,303 ,166.838 ,7.84377 ,7.16258 ,216.974
145 ,297 ,161.286 ,7.38817 ,7.16258 ,218.36
146 ,313 ,160.305 ,7.90786 ,7.16258 ,219.776
147 ,303 ,160.883 ,7.45271 ,7.16258 ,221.246
148 ,301 ,161.781 ,8.03597 ,7.16258 ,222.704
149 ,321 ,163.151 ,7.7139 ,7.16258 ,224.23
150 ,321 ,166.542 ,7.33597 ,7.16258 ,225.801
151 ,317 ,161.392 ,8.36638 ,7.16258 ,227.34
152 ,314 ,159.471 ,7.94224 ,7.16258 ,228.838
153 ,307 ,159.488 ,7.73499 ,7.16258 ,230.247
154 ,326 ,156.537 ,7.20594 ,7.16258 ,231.676
155 ,321 ,158.134 ,7.85171 ,7.16258 ,233.057
156 ,317 ,162.68 ,7.35322 ,7.16258 ,234.565
157 ,327 ,165.829 ,7.76286 ,7.16258 ,236.098
158 ,321 ,171.946 ,7.3754 ,7.16258 ,237.839
159 ,313 ,162.436 ,7.727 ,7.16258 ,239.306
160 ,325 ,161.98 ,7.49281 ,7.16258 ,240.848
161 ,324 ,158.526 ,7.43678 ,7.16258 ,242.342
162 ,304 ,164.339 ,7.56324 ,7.16258 ,243.851
163 ,314 ,168.753 ,8.32539 ,7.16258 ,245.405
164 ,337 ,158.188 ,7.62586 ,7.16258 ,246.83
165 ,314 ,163.993 ,7.68149 ,7.16258 ,248.362
166 ,323 ,152.432 ,7.65185 ,7.16258 ,249.764
167 ,330 ,161.187 ,7.28314 ,7.16258 ,251.27
168 ,311 ,171.378 ,7.48561 ,7.16258 ,252.863
169 ,306 ,164.696 ,7.48123 ,7.16258 ,254.333
170 ,322 ,162.821 ,7.79559 ,7.16258 ,255.846
171 ,322 ,155.458 ,7.33143 ,7.16258 ,257.309
172 ,335 ,163.257 ,7.22326 ,7.16258 ,258.836
173 ,311 ,158.329 ,7.75326 ,7.16258 ,260.255
174 ,323 ,162.224 ,7.74121 ,7.16258 ,261.826
175 ,310 ,165.74 ,7.8045 ,7.16258 ,263.355
176 ,315 ,158.099 ,7.91599 ,7.16258 ,264.832
177 ,313 ,163.508 ,7.47492 ,7.16258 ,266.391
178 ,317 ,150.058 ,7.7204 ,7.16258 ,267.683
179 ,324 ,167.032 ,7.84323 ,7.16258 ,269.278
180 ,307 ,160.749 ,7.44328 ,7.16258 ,270.833
181 ,321 ,153.578 ,7.74182 ,7.16258 ,272.167
182 ,315 ,161.347 ,7.32109 ,7.16258 ,273.668
183 ,327 ,159.023 ,7.55139 ,7.16258 ,275.13
184 ,311 ,164.916 ,7.59283 ,7.16258 ,276.724
185 ,305 ,166.397 ,7.85228 ,7.16258 ,278.279
186 ,313 ,162.187 ,7.93762 ,7.16258 ,279.772
187 ,301 ,158.789 ,8.11015 ,7.16258 ,281.209
188 ,307 ,159.737 ,7.77437 ,7.16258 ,282.65
189 ,321 ,158.663 ,7.62682 ,7.16258 ,284.133
190 ,331 ,165.161 ,7.70923 ,7.16258 ,285.72
191 ,319 ,166.907 ,7.34554 ,7.16258 ,287.282
192 ,319 ,152.183 ,7.7905 ,7.16258 ,288.648
193 ,328 ,157.347 ,7.24075 ,7.16258 ,290.109
194 ,315 ,160.157 ,7.19439 ,7.16258 ,291.542
195 ,317 ,161.256 ,7.33976 ,7.16258 ,293.035
196 ,324 ,157.783 ,7.48889 ,7.16258 ,294.47
197 ,307 ,156.672 ,7.52308 ,7.16258 ,295.904
198 ,308 ,150.072 ,7.48997 ,7.16258 ,297.284
199 ,330 ,166.452 ,7.26837 ,7.16258 ,298.882
200 ,309 ,151.258 ,7.74854 ,7.16258 ,300.181
