tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,86 ,49.464 ,10.0101 ,10.0101 ,0.053297
2 ,95 ,53.2831 ,9.71439 ,9.71439 ,0.115327
3 ,91 ,51.6248 ,9.86732 ,9.71439 ,0.171246
4 ,99 ,49.9639 ,10.0083 ,9.71439 ,0.226804
5 ,108 ,58.0797 ,9.58951 ,9.58951 ,0.304364
6 ,92 ,55.3377 ,9.83466 ,9.58951 ,0.374941
7 ,97 ,51.4853 ,10.0798 ,9.58951 ,0.427454
8 ,94 ,54.4632 ,9.92799 ,9.58951 ,0.491832
9 ,106 ,56.8808 ,9.87586 ,9.58951 ,0.566004
10 ,97 ,59.4182 ,9.82748 ,9.58951 ,0.643305
11 ,92 ,56.0715 ,9.81075 ,9.58951 ,0.716064
12 ,97 ,51.5346 ,9.94196 ,9.58951 ,0.775846
13 ,94 ,53.4278 ,9.68265 ,9.58951 ,0.83781
14 ,90 ,53.6567 ,9.77679 ,9.58951 ,0.896773
15 ,104 ,52.0762 ,9.8111 ,9.58951 ,0.956046
16 ,101 ,58.9761 ,10.1508 ,9.58951 ,1.03369
17 ,100 ,54.967 ,9.90072 ,9.58951 ,1.09689
18 ,86 ,54.2831 ,10.0536 ,9.58951 ,1.15677
19 ,94 ,53.4216 ,9.90952 ,9.58951 ,1.21885
20 ,100 ,51.6033 ,9.77641 ,9.58951 ,1.27515
21 ,101 ,57.3296 ,9.56678 ,9.56678 ,1.34989
22 ,86 ,55.7282 ,10.0104 ,9.56678 ,1.41918
23 ,92 ,54.1969 ,9.74383 ,9.56678 ,1.48021
24 ,104 ,52.45 ,9.68108 ,9.56678 ,1.54306
25 ,96 ,54.1689 ,9.87991 ,9.56678 ,1.61284
26 ,89 ,57.1852 ,10.0924 ,9.56678 ,1.68493
27 ,99 ,54.7324 ,9.8057 ,9.56678 ,1.75297
28 ,98 ,56.2482 ,9.88137 ,9.56678 ,1.82417
29 ,98 ,57.1194 ,10.0636 ,9.56678 ,1.89893
30 ,94 ,52.544 ,9.77768 ,9.56678 ,1.96099
31 ,98 ,56.5207 ,9.82216 ,9.56678 ,2.03196
32 ,90 ,54.589 ,10.3663 ,9.56678 ,2.09841
33 ,103 ,51.3916 ,9.97077 ,9.56678 ,2.15401
