tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,193 ,55.1912 ,9.64862 ,9.64862 ,0.003934
2 ,189 ,55.8798 ,9.53422 ,9.53422 ,0.007775
3 ,205 ,55.1785 ,9.50833 ,9.50833 ,0.011872
4 ,163 ,54.1352 ,9.60639 ,9.50833 ,0.01514
5 ,181 ,56.7973 ,9.53173 ,9.50833 ,0.018742
6 ,188 ,57.2578 ,9.6442 ,9.50833 ,0.022594
7 ,179 ,52.5212 ,9.52286 ,9.50833 ,0.026971
8 ,172 ,49.4083 ,9.64584 ,9.50833 ,0.030598
9 ,175 ,50.2692 ,9.44525 ,9.44525 ,0.034248
10 ,184 ,51.581 ,9.81006 ,9.44525 ,0.038075
11 ,176 ,55.5071 ,9.6387 ,9.44525 ,0.041781
12 ,171 ,50.3233 ,9.79122 ,9.44525 ,0.045248
13 ,154 ,53.4776 ,9.44963 ,9.44525 ,0.048382
14 ,185 ,54.6638 ,9.58708 ,9.44525 ,0.052123
15 ,164 ,53.361 ,9.44366 ,9.44366 ,0.055737
16 ,176 ,52.4009 ,9.57101 ,9.44366 ,0.059642
17 ,165 ,55.9742 ,9.47583 ,9.44366 ,0.063188
18 ,200 ,58.2286 ,9.76188 ,9.44366 ,0.067343
19 ,192 ,53.2524 ,10.0316 ,9.44366 ,0.071207
20 ,158 ,56.7868 ,9.48121 ,9.44366 ,0.074447
21 ,163 ,55.1031 ,9.47835 ,9.44366 ,0.077796
22 ,186 ,57.1558 ,9.41232 ,9.41232 ,0.081587
23 ,167 ,50.0306 ,9.51734 ,9.41232 ,0.085
24 ,181 ,57.6839 ,9.38838 ,9.38838 ,0.088978
25 ,184 ,49.3237 ,9.78108 ,9.38838 ,0.093174
26 ,197 ,56.6247 ,9.61714 ,9.38838 ,0.097413
27 ,197 ,55.3815 ,9.41883 ,9.38838 ,0.101359
28 ,179 ,56.9648 ,9.87435 ,9.38838 ,0.104971
29 ,172 ,52.4148 ,9.64828 ,9.38838 ,0.108663
30 ,158 ,55.4586 ,9.69931 ,9.38838 ,0.11185
31 ,172 ,52.9618 ,9.41582 ,9.38838 ,0.11531
32 ,157 ,55.9408 ,9.3322 ,9.3322 ,0.118451
33 ,205 ,52.6788 ,9.66118 ,9.3322 ,0.123126
34 ,191 ,53.6607 ,9.66043 ,9.3322 ,0.127148
35 ,158 ,58.0052 ,9.43883 ,9.3322 ,0.130571
36 ,185 ,54.5476 ,9.54001 ,9.3322 ,0.134245
37 ,189 ,54.2585 ,9.50222 ,9.3322 ,0.138002
38 ,188 ,57.4717 ,9.63928 ,9.3322 ,0.142131
39 ,161 ,52.3931 ,9.44818 ,9.3322 ,0.145444
40 ,200 ,54.4887 ,9.69183 ,9.3322 ,0.149535
41 ,166 ,53.2778 ,9.48186 ,9.3322 ,0.15288
42 ,178 ,55.4052 ,9.40287 ,9.3322 ,0.1568
43 ,178 ,53.9574 ,9.62126 ,9.3322 ,0.160578
44 ,183 ,55.9253 ,9.45891 ,9.3322 ,0.164466
45 ,172 ,58.9208 ,9.5334 ,9.3322 ,0.167956
46 ,175 ,57.1209 ,9.56257 ,9.3322 ,0.171511
47 ,165 ,56.6824 ,9.42957 ,9.3322 ,0.174906
48 ,165 ,55.2474 ,9.51424 ,9.3322 ,0.178193
49 ,173 ,51.9956 ,9.45746 ,9.3322 ,0.181658
50 ,173 ,58.0323 ,9.7432 ,9.3322 ,0.185114
51 ,170 ,56.1806 ,9.38563 ,9.3322 ,0.188808
52 ,207 ,55.7644 ,9.66202 ,9.3322 ,0.193324
53 ,204 ,56.0003 ,9.25656 ,9.25656 ,0.197681
54 ,159 ,55.3184 ,9.58954 ,9.25656 ,0.20092
55 ,184 ,55.3269 ,9.31372 ,9.25656 ,0.204706
56 ,190 ,58.0314 ,9.37727 ,9.25656 ,0.208606
57 ,180 ,52.952 ,9.63538 ,9.25656 ,0.212182
58 ,183 ,55.7909 ,9.60803 ,9.25656 ,0.215778
59 ,183 ,56.6049 ,9.76275 ,9.25656 ,0.219388
60 ,186 ,51.7618 ,9.58082 ,9.25656 ,0.223773
61 ,186 ,54.2987 ,9.65588 ,9.25656 ,0.227711
62 ,177 ,55.1591 ,9.87734 ,9.25656 ,0.231412
63 ,165 ,56.027 ,9.45951 ,9.25656 ,0.23469
64 ,178 ,56.7189 ,9.38645 ,9.25656 ,0.238418
65 ,165 ,52.3055 ,9.5557 ,9.25656 ,0.24176
66 ,190 ,53.5756 ,9.75842 ,9.25656 ,0.245509
67 ,181 ,53.4319 ,9.56734 ,9.25656 ,0.249065
68 ,162 ,53.149 ,9.49678 ,9.25656 ,0.252242
69 ,178 ,56.8747 ,9.38605 ,9.25656 ,0.256324
70 ,180 ,55.4183 ,9.59088 ,9.25656 ,0.260184
71 ,172 ,51.5995 ,9.63529 ,9.25656 ,0.263843
72 ,156 ,52.045 ,9.54425 ,9.25656 ,0.267013
73 ,187 ,55.4909 ,9.72773 ,9.25656 ,0.270804
74 ,192 ,54.1453 ,9.84573 ,9.25656 ,0.274743
75 ,210 ,56.2384 ,9.57818 ,9.25656 ,0.278897
76 ,176 ,54.833 ,9.5203 ,9.25656 ,0.282379
77 ,189 ,54.3964 ,9.54205 ,9.25656 ,0.286152
78 ,166 ,55.0796 ,9.72161 ,9.25656 ,0.290046
79 ,160 ,55.1848 ,9.85522 ,9.25656 ,0.293555
80 ,184 ,55.0005 ,9.71612 ,9.25656 ,0.297399
81 ,169 ,58.3284 ,9.43001 ,9.25656 ,0.300722
82 ,166 ,56.3614 ,9.59229 ,9.25656 ,0.304123
83 ,192 ,57.9283 ,9.57671 ,9.25656 ,0.308122
84 ,164 ,53.0308 ,9.69771 ,9.25656 ,0.311386
85 ,182 ,52.2388 ,9.62603 ,9.25656 ,0.314987
