Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,56.3961 ,56.3961 ,9.3e-05
update best ,1 ,94 ,94 ,1 ,94 ,9.86803 ,9.86803 ,0.243194
local optima ,1 ,95 ,95 ,1 ,94 ,9.86803 ,9.86803 ,0.24326
new initTour ,1 ,95 ,95 ,2 ,0 ,57.7898 ,9.86803 ,0.243328
update best ,1 ,184 ,184 ,2 ,90 ,9.86548 ,9.86548 ,0.510266
local optima ,1 ,185 ,185 ,2 ,90 ,9.86548 ,9.86548 ,0.510334
new initTour ,1 ,185 ,185 ,3 ,0 ,53.4466 ,9.86548 ,0.510396
update best ,1 ,280 ,280 ,3 ,96 ,9.82282 ,9.82282 ,0.726805
local optima ,1 ,281 ,281 ,3 ,96 ,9.82282 ,9.82282 ,0.726866
new initTour ,1 ,281 ,281 ,4 ,0 ,57.536 ,9.82282 ,0.726931
local optima ,1 ,380 ,380 ,4 ,99 ,9.85323 ,9.82282 ,1.02804
new initTour ,1 ,380 ,380 ,5 ,0 ,50.8037 ,9.82282 ,1.0281
local optima ,1 ,481 ,481 ,5 ,101 ,10.1085 ,9.82282 ,1.24109
new initTour ,1 ,481 ,481 ,6 ,0 ,50.3703 ,9.82282 ,1.24115
update best ,1 ,580 ,580 ,6 ,100 ,9.67196 ,9.67196 ,1.45842
local optima ,1 ,581 ,581 ,6 ,100 ,9.67196 ,9.67196 ,1.45848
new initTour ,1 ,581 ,581 ,7 ,0 ,49.69 ,9.67196 ,1.45854
update best ,1 ,679 ,679 ,7 ,99 ,9.57142 ,9.57142 ,1.65261
local optima ,1 ,680 ,680 ,7 ,99 ,9.57142 ,9.57142 ,1.65267
new initTour ,1 ,680 ,680 ,8 ,0 ,55.6008 ,9.57142 ,1.65273
local optima ,1 ,773 ,773 ,8 ,93 ,10.0792 ,9.57142 ,1.90377
new initTour ,1 ,773 ,773 ,9 ,0 ,50.6597 ,9.57142 ,1.90384
local optima ,1 ,870 ,870 ,9 ,97 ,10.0905 ,9.57142 ,2.1156
new initTour ,1 ,870 ,870 ,10 ,0 ,50.923 ,9.57142 ,2.11566
local optima ,1 ,956 ,956 ,10 ,86 ,10.1406 ,9.57142 ,2.30975
new initTour ,1 ,956 ,956 ,11 ,0 ,50.9832 ,9.57142 ,2.30982
local optima ,1 ,1051 ,1051 ,11 ,95 ,9.86813 ,9.57142 ,2.52284
new initTour ,1 ,1051 ,1051 ,12 ,0 ,54.7939 ,9.57142 ,2.52291
local optima ,1 ,1148 ,1148 ,12 ,97 ,9.8872 ,9.57142 ,2.7805
new initTour ,1 ,1148 ,1148 ,13 ,0 ,52.452 ,9.57142 ,2.78056
local optima ,1 ,1240 ,1240 ,13 ,92 ,10.0421 ,9.57142 ,3.00182
new initTour ,1 ,1240 ,1240 ,14 ,0 ,54.8288 ,9.57142 ,3.00188
local optima ,1 ,1347 ,1347 ,14 ,107 ,9.60687 ,9.57142 ,3.24459
new initTour ,1 ,1347 ,1347 ,15 ,0 ,52.4946 ,9.57142 ,3.24466
local optima ,1 ,1445 ,1445 ,15 ,98 ,9.8694 ,9.57142 ,3.4735
new initTour ,1 ,1445 ,1445 ,16 ,0 ,53.3568 ,9.57142 ,3.47356
local optima ,1 ,1541 ,1541 ,16 ,96 ,10.0107 ,9.57142 ,3.69683
new initTour ,1 ,1541 ,1541 ,17 ,0 ,53.9172 ,9.57142 ,3.6969
local optima ,1 ,1637 ,1637 ,17 ,96 ,9.78887 ,9.57142 ,3.93677
new initTour ,1 ,1637 ,1637 ,18 ,0 ,54.7564 ,9.57142 ,3.93684
local optima ,1 ,1733 ,1733 ,18 ,96 ,9.82597 ,9.57142 ,4.16369
new initTour ,1 ,1733 ,1733 ,19 ,0 ,53.1738 ,9.57142 ,4.16375
local optima ,1 ,1831 ,1831 ,19 ,98 ,9.63816 ,9.57142 ,4.40206
new initTour ,1 ,1831 ,1831 ,20 ,0 ,53.4075 ,9.57142 ,4.40213
local optima ,1 ,1929 ,1929 ,20 ,98 ,9.80898 ,9.57142 ,4.6404
new initTour ,1 ,1929 ,1929 ,21 ,0 ,54.5324 ,9.57142 ,4.64046
local optima ,1 ,2027 ,2027 ,21 ,98 ,9.93425 ,9.57142 ,4.88338
new initTour ,1 ,2027 ,2027 ,22 ,0 ,55.5863 ,9.57142 ,4.88344
local optima ,1 ,2131 ,2131 ,22 ,104 ,9.92662 ,9.57142 ,5.11865
new initTour ,1 ,2131 ,2131 ,23 ,0 ,56.865 ,9.57142 ,5.11871
local optima ,1 ,2236 ,2236 ,23 ,105 ,10.0669 ,9.57142 ,5.38504
new initTour ,1 ,2236 ,2236 ,24 ,0 ,58.9149 ,9.57142 ,5.38511
local optima ,1 ,2330 ,2330 ,24 ,94 ,9.88638 ,9.57142 ,5.67537
new initTour ,1 ,2330 ,2330 ,25 ,0 ,54.3933 ,9.57142 ,5.67544
local optima ,1 ,2428 ,2428 ,25 ,98 ,9.92485 ,9.57142 ,5.92898
new initTour ,1 ,2428 ,2428 ,26 ,0 ,53.2873 ,9.57142 ,5.92905
local optima ,1 ,2517 ,2517 ,26 ,89 ,10.2143 ,9.57142 ,6.1499
new initTour ,1 ,2517 ,2517 ,27 ,0 ,54.2823 ,9.57142 ,6.14997
local optima ,1 ,2613 ,2613 ,27 ,96 ,9.87053 ,9.57142 ,6.3836
new initTour ,1 ,2613 ,2613 ,28 ,0 ,56.9772 ,9.57142 ,6.38366
local optima ,1 ,2715 ,2715 ,28 ,102 ,9.61563 ,9.57142 ,6.65818
new initTour ,1 ,2715 ,2715 ,29 ,0 ,51.4778 ,9.57142 ,6.65824
local optima ,1 ,2813 ,2813 ,29 ,98 ,10.0944 ,9.57142 ,6.87202
new initTour ,1 ,2813 ,2813 ,30 ,0 ,54.0661 ,9.57142 ,6.87209
local optima ,1 ,2902 ,2902 ,30 ,89 ,10.068 ,9.57142 ,7.09236
new initTour ,1 ,2902 ,2902 ,31 ,0 ,56.2759 ,9.57142 ,7.09243
local optima ,1 ,2996 ,2996 ,31 ,94 ,9.73939 ,9.57142 ,7.34411
new initTour ,1 ,2996 ,2996 ,32 ,0 ,58.237 ,9.57142 ,7.34418
local optima ,1 ,3091 ,3091 ,32 ,95 ,9.82081 ,9.57142 ,7.62027
new initTour ,1 ,3091 ,3091 ,33 ,0 ,56.5214 ,9.57142 ,7.62033
local optima ,1 ,3185 ,3185 ,33 ,94 ,9.83121 ,9.57142 ,7.88215
new initTour ,1 ,3185 ,3185 ,34 ,0 ,55.4282 ,9.57142 ,7.88221
update best ,1 ,3279 ,3279 ,34 ,95 ,9.53193 ,9.53193 ,8.11236
local optima ,1 ,3280 ,3280 ,34 ,95 ,9.53193 ,9.53193 ,8.11242
new initTour ,1 ,3280 ,3280 ,35 ,0 ,54.1771 ,9.53193 ,8.11249
local optima ,1 ,3373 ,3373 ,35 ,93 ,10.1778 ,9.53193 ,8.36584
new initTour ,1 ,3373 ,3373 ,36 ,0 ,56.5559 ,9.53193 ,8.3659
local optima ,1 ,3466 ,3466 ,36 ,93 ,10.071 ,9.53193 ,8.63316
new initTour ,1 ,3466 ,3466 ,37 ,0 ,56.5804 ,9.53193 ,8.63322
local optima ,1 ,3574 ,3574 ,37 ,108 ,9.59728 ,9.53193 ,8.88828
new initTour ,1 ,3574 ,3574 ,38 ,0 ,53.7038 ,9.53193 ,8.88835
local optima ,1 ,3667 ,3667 ,38 ,93 ,10.1438 ,9.53193 ,9.13458
new initTour ,1 ,3667 ,3667 ,39 ,0 ,52.9508 ,9.53193 ,9.13464
local optima ,1 ,3760 ,3760 ,39 ,93 ,9.87205 ,9.53193 ,9.3527
new initTour ,1 ,3760 ,3760 ,40 ,0 ,57.5768 ,9.53193 ,9.35276
local optima ,1 ,3853 ,3853 ,40 ,93 ,10.1536 ,9.53193 ,9.63914
new initTour ,1 ,3853 ,3853 ,41 ,0 ,57.6066 ,9.53193 ,9.63921
local optima ,1 ,3943 ,3943 ,41 ,90 ,10.3363 ,9.53193 ,9.9085
new initTour ,1 ,3943 ,3943 ,42 ,0 ,57.3188 ,9.53193 ,9.90857
local optima ,1 ,4045 ,4045 ,42 ,102 ,10.0171 ,9.53193 ,10.1699
new initTour ,1 ,4045 ,4045 ,43 ,0 ,55.504 ,9.53193 ,10.17
local optima ,1 ,4149 ,4149 ,43 ,104 ,9.76727 ,9.53193 ,10.4055
new initTour ,1 ,4149 ,4149 ,44 ,0 ,53.37 ,9.53193 ,10.4055
local optima ,1 ,4246 ,4246 ,44 ,97 ,9.95148 ,9.53193 ,10.6453
new initTour ,1 ,4246 ,4246 ,45 ,0 ,55.3231 ,9.53193 ,10.6454
local optima ,1 ,4346 ,4346 ,45 ,100 ,9.92252 ,9.53193 ,10.8953
new initTour ,1 ,4346 ,4346 ,46 ,0 ,55.7194 ,9.53193 ,10.8954
local optima ,1 ,4432 ,4432 ,46 ,86 ,10.1641 ,9.53193 ,11.1398
new initTour ,1 ,4432 ,4432 ,47 ,0 ,54.8342 ,9.53193 ,11.1399
local optima ,1 ,4531 ,4531 ,47 ,99 ,10.3213 ,9.53193 ,11.3717
new initTour ,1 ,4531 ,4531 ,48 ,0 ,52.29 ,9.53193 ,11.3718
local optima ,1 ,4627 ,4627 ,48 ,96 ,10.0744 ,9.53193 ,11.5761
new initTour ,1 ,4627 ,4627 ,49 ,0 ,53.8748 ,9.53193 ,11.5762
local optima ,1 ,4725 ,4725 ,49 ,98 ,9.68772 ,9.53193 ,11.8235
new initTour ,1 ,4725 ,4725 ,50 ,0 ,55.7899 ,9.53193 ,11.8236
local optima ,1 ,4819 ,4819 ,50 ,94 ,9.89007 ,9.53193 ,12.0762
new initTour ,1 ,4819 ,4819 ,51 ,0 ,53.7407 ,9.53193 ,12.0763
local optima ,1 ,4908 ,4908 ,51 ,89 ,10.0605 ,9.53193 ,12.3101
new initTour ,1 ,4908 ,4908 ,52 ,0 ,52.9923 ,9.53193 ,12.3102
local optima ,1 ,5003 ,5003 ,52 ,95 ,9.87827 ,9.53193 ,12.5333
new initTour ,1 ,5003 ,5003 ,53 ,0 ,56.4977 ,9.53193 ,12.5334
local optima ,1 ,5106 ,5106 ,53 ,103 ,9.92565 ,9.53193 ,12.7809
new initTour ,1 ,5106 ,5106 ,54 ,0 ,55.3703 ,9.53193 ,12.7809
local optima ,1 ,5207 ,5207 ,54 ,101 ,10.0274 ,9.53193 ,13.0429
new initTour ,1 ,5207 ,5207 ,55 ,0 ,53.7175 ,9.53193 ,13.043
local optima ,1 ,5304 ,5304 ,55 ,97 ,9.98513 ,9.53193 ,13.2687
new initTour ,1 ,5304 ,5304 ,56 ,0 ,54.2009 ,9.53193 ,13.2688
local optima ,1 ,5399 ,5399 ,56 ,95 ,9.75372 ,9.53193 ,13.5093
new initTour ,1 ,5399 ,5399 ,57 ,0 ,54.5876 ,9.53193 ,13.5094
local optima ,1 ,5488 ,5488 ,57 ,89 ,10.1225 ,9.53193 ,13.738
new initTour ,1 ,5488 ,5488 ,58 ,0 ,58.4815 ,9.53193 ,13.7381
local optima ,1 ,5591 ,5591 ,58 ,103 ,9.67539 ,9.53193 ,14.0311
new initTour ,1 ,5591 ,5591 ,59 ,0 ,57.8509 ,9.53193 ,14.0311
local optima ,1 ,5687 ,5687 ,59 ,96 ,10.0141 ,9.53193 ,14.3098
new initTour ,1 ,5687 ,5687 ,60 ,0 ,55.4161 ,9.53193 ,14.3099
update best ,1 ,5799 ,5799 ,60 ,113 ,9.47658 ,9.47658 ,14.5745
local optima ,1 ,5800 ,5800 ,60 ,113 ,9.47658 ,9.47658 ,14.5746
new initTour ,1 ,5800 ,5800 ,61 ,0 ,59.3556 ,9.47658 ,14.5746
local optima ,1 ,5899 ,5899 ,61 ,99 ,9.63326 ,9.47658 ,14.8811
new initTour ,1 ,5899 ,5899 ,62 ,0 ,53.75 ,9.47658 ,14.8812
local optima ,1 ,6000 ,6000 ,62 ,101 ,10.0226 ,9.47658 ,15.1028
new initTour ,1 ,6000 ,6000 ,63 ,0 ,49.2368 ,9.47658 ,15.1028
local optima ,1 ,6091 ,6091 ,63 ,91 ,9.89738 ,9.47658 ,15.3011
new initTour ,1 ,6091 ,6091 ,64 ,0 ,55.1448 ,9.47658 ,15.3012
local optima ,1 ,6185 ,6185 ,64 ,94 ,9.69098 ,9.47658 ,15.5227
new initTour ,1 ,6185 ,6185 ,65 ,0 ,52.7145 ,9.47658 ,15.5228
local optima ,1 ,6286 ,6286 ,65 ,101 ,9.63392 ,9.47658 ,15.7489
new initTour ,1 ,6286 ,6286 ,66 ,0 ,56.6863 ,9.47658 ,15.7489
local optima ,1 ,6376 ,6376 ,66 ,90 ,9.98793 ,9.47658 ,15.9976
new initTour ,1 ,6376 ,6376 ,67 ,0 ,54.6548 ,9.47658 ,15.9976
epi end ,1 ,6401 ,6401 ,67 ,25 ,25.6534 ,9.47658 ,16.1923
epi begin ,2 ,1 ,6401 ,67 ,25 ,25.6534 ,9.47658 ,142.619
local optima ,2 ,86 ,6486 ,67 ,110 ,9.8822 ,9.47658 ,142.692
new initTour ,2 ,86 ,6486 ,68 ,0 ,54.5567 ,9.47658 ,142.692
local optima ,2 ,237 ,6637 ,68 ,151 ,9.68085 ,9.47658 ,143.067
new initTour ,2 ,237 ,6637 ,69 ,0 ,55.4108 ,9.47658 ,143.067
local optima ,2 ,386 ,6786 ,69 ,149 ,9.55847 ,9.47658 ,143.453
new initTour ,2 ,386 ,6786 ,70 ,0 ,58.3518 ,9.47658 ,143.453
local optima ,2 ,541 ,6941 ,70 ,155 ,9.75207 ,9.47658 ,143.901
new initTour ,2 ,541 ,6941 ,71 ,0 ,50.2436 ,9.47658 ,143.901
local optima ,2 ,699 ,7099 ,71 ,158 ,9.93776 ,9.47658 ,144.24
new initTour ,2 ,699 ,7099 ,72 ,0 ,53.5247 ,9.47658 ,144.241
local optima ,2 ,851 ,7251 ,72 ,152 ,9.66245 ,9.47658 ,144.622
new initTour ,2 ,851 ,7251 ,73 ,0 ,56.0126 ,9.47658 ,144.622
local optima ,2 ,1017 ,7417 ,73 ,166 ,9.76201 ,9.47658 ,145.032
new initTour ,2 ,1017 ,7417 ,74 ,0 ,51.2129 ,9.47658 ,145.032
local optima ,2 ,1162 ,7562 ,74 ,145 ,9.80548 ,9.47658 ,145.361
new initTour ,2 ,1162 ,7562 ,75 ,0 ,54.1222 ,9.47658 ,145.361
local optima ,2 ,1324 ,7724 ,75 ,162 ,9.81952 ,9.47658 ,145.723
new initTour ,2 ,1324 ,7724 ,76 ,0 ,56.8493 ,9.47658 ,145.723
local optima ,2 ,1491 ,7891 ,76 ,167 ,9.73057 ,9.47658 ,146.275
new initTour ,2 ,1491 ,7891 ,77 ,0 ,54.9372 ,9.47658 ,146.275
update best ,2 ,1636 ,8036 ,77 ,146 ,9.44264 ,9.44264 ,146.699
local optima ,2 ,1637 ,8037 ,77 ,146 ,9.44264 ,9.44264 ,146.699
new initTour ,2 ,1637 ,8037 ,78 ,0 ,52.0797 ,9.44264 ,146.699
local optima ,2 ,1793 ,8193 ,78 ,156 ,9.73892 ,9.44264 ,147.056
new initTour ,2 ,1793 ,8193 ,79 ,0 ,55.5131 ,9.44264 ,147.056
local optima ,2 ,1956 ,8356 ,79 ,163 ,9.52784 ,9.44264 ,147.482
new initTour ,2 ,1956 ,8356 ,80 ,0 ,56.7176 ,9.44264 ,147.482
local optima ,2 ,2104 ,8504 ,80 ,148 ,9.83674 ,9.44264 ,147.921
new initTour ,2 ,2104 ,8504 ,81 ,0 ,54.4986 ,9.44264 ,147.921
local optima ,2 ,2246 ,8646 ,81 ,142 ,9.79864 ,9.44264 ,148.236
new initTour ,2 ,2246 ,8646 ,82 ,0 ,54.4498 ,9.44264 ,148.236
update best ,2 ,2408 ,8808 ,82 ,163 ,9.35674 ,9.35674 ,148.599
local optima ,2 ,2409 ,8809 ,82 ,163 ,9.35674 ,9.35674 ,148.599
new initTour ,2 ,2409 ,8809 ,83 ,0 ,54.2667 ,9.35674 ,148.599
local optima ,2 ,2543 ,8943 ,83 ,134 ,9.60551 ,9.35674 ,148.969
new initTour ,2 ,2543 ,8943 ,84 ,0 ,50.839 ,9.35674 ,148.969
local optima ,2 ,2673 ,9073 ,84 ,130 ,9.95564 ,9.35674 ,149.271
new initTour ,2 ,2673 ,9073 ,85 ,0 ,55.0846 ,9.35674 ,149.271
local optima ,2 ,2840 ,9240 ,85 ,167 ,9.66355 ,9.35674 ,149.654
new initTour ,2 ,2840 ,9240 ,86 ,0 ,48.3147 ,9.35674 ,149.654
local optima ,2 ,3004 ,9404 ,86 ,164 ,9.58654 ,9.35674 ,149.986
new initTour ,2 ,3004 ,9404 ,87 ,0 ,52.0593 ,9.35674 ,149.986
local optima ,2 ,3155 ,9555 ,87 ,151 ,9.79533 ,9.35674 ,150.343
new initTour ,2 ,3155 ,9555 ,88 ,0 ,53.3881 ,9.35674 ,150.344
local optima ,2 ,3294 ,9694 ,88 ,139 ,9.53879 ,9.35674 ,150.665
new initTour ,2 ,3294 ,9694 ,89 ,0 ,50.9264 ,9.35674 ,150.665
local optima ,2 ,3458 ,9858 ,89 ,164 ,9.71121 ,9.35674 ,151.03
new initTour ,2 ,3458 ,9858 ,90 ,0 ,55.2162 ,9.35674 ,151.03
local optima ,2 ,3626 ,10026 ,90 ,168 ,9.75691 ,9.35674 ,151.44
new initTour ,2 ,3626 ,10026 ,91 ,0 ,53.7778 ,9.35674 ,151.44
local optima ,2 ,3776 ,10176 ,91 ,150 ,9.59528 ,9.35674 ,151.812
new initTour ,2 ,3776 ,10176 ,92 ,0 ,54.3558 ,9.35674 ,151.812
local optima ,2 ,3930 ,10330 ,92 ,154 ,9.667 ,9.35674 ,152.242
new initTour ,2 ,3930 ,10330 ,93 ,0 ,52.028 ,9.35674 ,152.242
local optima ,2 ,4087 ,10487 ,93 ,157 ,9.73311 ,9.35674 ,152.619
new initTour ,2 ,4087 ,10487 ,94 ,0 ,58.088 ,9.35674 ,152.619
local optima ,2 ,4210 ,10610 ,94 ,123 ,9.75273 ,9.35674 ,153.029
new initTour ,2 ,4210 ,10610 ,95 ,0 ,55.8675 ,9.35674 ,153.029
local optima ,2 ,4339 ,10739 ,95 ,129 ,9.73536 ,9.35674 ,153.361
new initTour ,2 ,4339 ,10739 ,96 ,0 ,54.897 ,9.35674 ,153.361
local optima ,2 ,4514 ,10914 ,96 ,175 ,9.59762 ,9.35674 ,153.816
new initTour ,2 ,4514 ,10914 ,97 ,0 ,55.0374 ,9.35674 ,153.816
local optima ,2 ,4647 ,11047 ,97 ,133 ,9.77235 ,9.35674 ,154.173
new initTour ,2 ,4647 ,11047 ,98 ,0 ,51.6532 ,9.35674 ,154.173
local optima ,2 ,4819 ,11219 ,98 ,172 ,9.58214 ,9.35674 ,154.574
new initTour ,2 ,4819 ,11219 ,99 ,0 ,53.6325 ,9.35674 ,154.574
local optima ,2 ,4986 ,11386 ,99 ,167 ,9.70823 ,9.35674 ,154.923
new initTour ,2 ,4986 ,11386 ,100 ,0 ,55.7113 ,9.35674 ,154.923
local optima ,2 ,5131 ,11531 ,100 ,145 ,9.42088 ,9.35674 ,155.304
new initTour ,2 ,5131 ,11531 ,101 ,0 ,55.1672 ,9.35674 ,155.304
local optima ,2 ,5277 ,11677 ,101 ,146 ,9.66156 ,9.35674 ,155.736
new initTour ,2 ,5277 ,11677 ,102 ,0 ,55.6319 ,9.35674 ,155.736
