tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,101 ,56.3961 ,9.63378 ,9.63378 ,0.078439
2 ,89 ,57.7898 ,9.93725 ,9.63378 ,0.158667
3 ,92 ,53.4466 ,9.59915 ,9.59915 ,0.227485
4 ,95 ,57.536 ,10.0548 ,9.59915 ,0.314451
5 ,86 ,50.8037 ,10.3657 ,9.59915 ,0.374356
6 ,99 ,50.3703 ,9.88354 ,9.59915 ,0.437192
7 ,90 ,49.69 ,9.85602 ,9.59915 ,0.493002
8 ,95 ,55.6008 ,10.185 ,9.59915 ,0.565389
9 ,92 ,50.6597 ,10.186 ,9.59915 ,0.624009
10 ,84 ,50.923 ,9.64943 ,9.59915 ,0.680708
11 ,96 ,50.9832 ,9.89534 ,9.59915 ,0.740501
12 ,98 ,54.7939 ,10.4165 ,9.59915 ,0.814375
13 ,95 ,52.452 ,10.1449 ,9.59915 ,0.879493
14 ,105 ,54.8288 ,9.64571 ,9.59915 ,0.948532
15 ,91 ,52.4946 ,9.97007 ,9.59915 ,1.01304
16 ,90 ,53.3568 ,9.67175 ,9.59915 ,1.07587
17 ,98 ,53.9172 ,9.66619 ,9.59915 ,1.14117
18 ,103 ,54.7564 ,9.60718 ,9.59915 ,1.21057
19 ,97 ,53.1738 ,10.1629 ,9.59915 ,1.2778
20 ,97 ,53.4075 ,10.2026 ,9.59915 ,1.34513
21 ,86 ,54.5324 ,9.80585 ,9.59915 ,1.4134
22 ,97 ,55.5863 ,9.9661 ,9.59915 ,1.4874
23 ,98 ,56.865 ,9.98815 ,9.59915 ,1.56394
24 ,91 ,58.9149 ,9.69641 ,9.59915 ,1.64519
25 ,97 ,54.3933 ,9.81632 ,9.59915 ,1.71742
26 ,93 ,53.2873 ,9.97262 ,9.59915 ,1.78494
27 ,94 ,54.2823 ,9.73811 ,9.59915 ,1.85478
28 ,93 ,56.9772 ,10.0665 ,9.59915 ,1.93583
29 ,97 ,51.4778 ,9.68306 ,9.59915 ,1.99746
30 ,89 ,54.0661 ,9.75636 ,9.59915 ,2.06501
31 ,98 ,56.2759 ,9.75813 ,9.59915 ,2.14025
32 ,90 ,58.237 ,10.3828 ,9.59915 ,2.22766
33 ,95 ,56.5214 ,9.68614 ,9.59915 ,2.3061
34 ,89 ,55.4282 ,9.70489 ,9.59915 ,2.38832
35 ,103 ,54.1771 ,9.78542 ,9.59915 ,2.47725
36 ,98 ,56.5559 ,9.73959 ,9.59915 ,2.56353
37 ,94 ,56.5804 ,9.99127 ,9.59915 ,2.64088
