tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,194 ,55.5223 ,8.3334 ,8.3334 ,0.0039
2 ,211 ,59.7883 ,8.42474 ,8.3334 ,0.008022
3 ,193 ,59.4409 ,8.62841 ,8.3334 ,0.011871
4 ,212 ,60.2801 ,8.64431 ,8.3334 ,0.016089
5 ,184 ,58.4259 ,8.38398 ,8.3334 ,0.019654
6 ,214 ,56.199 ,8.63617 ,8.3334 ,0.023864
7 ,174 ,59.3368 ,8.9284 ,8.3334 ,0.027223
8 ,247 ,55.0392 ,8.50137 ,8.3334 ,0.032008
9 ,182 ,54.8765 ,8.75251 ,8.3334 ,0.035511
10 ,194 ,57.5485 ,8.66904 ,8.3334 ,0.040128
11 ,225 ,53.5093 ,8.69983 ,8.3334 ,0.04465
12 ,184 ,56.779 ,8.85455 ,8.3334 ,0.048184
13 ,193 ,58.079 ,9.01565 ,8.3334 ,0.052286
14 ,190 ,54.887 ,8.29327 ,8.29327 ,0.055992
15 ,180 ,53.7094 ,9.16604 ,8.29327 ,0.059536
16 ,204 ,56.5199 ,8.47941 ,8.29327 ,0.063609
17 ,179 ,55.2774 ,8.70063 ,8.29327 ,0.067239
18 ,181 ,58.8586 ,8.89416 ,8.29327 ,0.07091
19 ,215 ,56.8414 ,8.60039 ,8.29327 ,0.075076
20 ,175 ,54.8521 ,8.70653 ,8.29327 ,0.078699
21 ,226 ,56.0537 ,8.71291 ,8.29327 ,0.083119
22 ,218 ,53.85 ,8.88007 ,8.29327 ,0.087503
23 ,192 ,55.0776 ,9.33676 ,8.29327 ,0.091226
24 ,183 ,60.6594 ,8.64446 ,8.29327 ,0.094806
25 ,194 ,59.4981 ,8.78844 ,8.29327 ,0.098586
26 ,208 ,60.4038 ,8.84423 ,8.29327 ,0.102587
27 ,169 ,55.5317 ,8.66405 ,8.29327 ,0.105854
28 ,185 ,53.8179 ,8.75428 ,8.29327 ,0.109438
29 ,202 ,56.4701 ,8.43724 ,8.29327 ,0.113425
30 ,195 ,58.4143 ,8.37171 ,8.29327 ,0.117306
31 ,219 ,56.1003 ,8.79484 ,8.29327 ,0.121525
32 ,189 ,58.6751 ,8.66754 ,8.29327 ,0.125814
33 ,196 ,55.1063 ,8.87183 ,8.29327 ,0.129825
34 ,202 ,58.3933 ,8.57166 ,8.29327 ,0.133903
35 ,186 ,54.4758 ,8.48759 ,8.29327 ,0.13782
36 ,193 ,59.5082 ,9.00747 ,8.29327 ,0.141864
37 ,196 ,56.3063 ,8.45525 ,8.29327 ,0.145719
38 ,212 ,57.3484 ,8.82334 ,8.29327 ,0.149885
39 ,184 ,54.814 ,8.70208 ,8.29327 ,0.153735
40 ,187 ,56.6025 ,8.88761 ,8.29327 ,0.1575
41 ,223 ,57.4267 ,8.28712 ,8.28712 ,0.161887
42 ,180 ,59.5994 ,8.55925 ,8.28712 ,0.165473
43 ,190 ,53.0612 ,8.34721 ,8.28712 ,0.169243
44 ,180 ,60.8134 ,8.64725 ,8.28712 ,0.172784
45 ,213 ,55.782 ,8.48298 ,8.28712 ,0.176941
46 ,176 ,55.836 ,8.48201 ,8.28712 ,0.180356
47 ,188 ,56.9945 ,8.75301 ,8.28712 ,0.184088
48 ,192 ,60.0065 ,8.65881 ,8.28712 ,0.187781
49 ,197 ,55.2449 ,8.32975 ,8.28712 ,0.191611
50 ,198 ,57.5024 ,8.3068 ,8.28712 ,0.19541
51 ,182 ,55.3562 ,8.7548 ,8.28712 ,0.198909
52 ,170 ,51.6072 ,8.62139 ,8.28712 ,0.202201
53 ,182 ,53.8238 ,8.31172 ,8.28712 ,0.205774
54 ,219 ,55.1686 ,8.81816 ,8.28712 ,0.210156
55 ,194 ,57.7348 ,8.59432 ,8.28712 ,0.213895
56 ,192 ,54.6504 ,8.69524 ,8.28712 ,0.217674
57 ,191 ,57.2073 ,8.58401 ,8.28712 ,0.221393
58 ,186 ,57.2139 ,8.66336 ,8.28712 ,0.224996
59 ,179 ,57.4242 ,8.76397 ,8.28712 ,0.22846
60 ,182 ,57.004 ,8.37955 ,8.28712 ,0.231972
61 ,196 ,57.0924 ,8.72252 ,8.28712 ,0.23585
62 ,168 ,55.1335 ,8.73474 ,8.28712 ,0.23912
63 ,175 ,59.4774 ,8.64508 ,8.28712 ,0.242512
64 ,217 ,51.8013 ,8.40739 ,8.28712 ,0.246716
65 ,207 ,57.5025 ,8.66125 ,8.28712 ,0.250751
66 ,191 ,56.8089 ,8.39009 ,8.28712 ,0.254406
67 ,233 ,58.7628 ,8.66074 ,8.28712 ,0.258878
68 ,194 ,61.7339 ,8.7869 ,8.28712 ,0.262747
69 ,208 ,56.0965 ,8.6294 ,8.28712 ,0.266897
70 ,205 ,55.2991 ,8.72953 ,8.28712 ,0.27084
71 ,186 ,61.0878 ,8.44749 ,8.28712 ,0.274441
72 ,210 ,56.5793 ,8.66693 ,8.28712 ,0.278457
73 ,215 ,59.9172 ,8.68095 ,8.28712 ,0.282615
74 ,201 ,57.3842 ,8.44336 ,8.28712 ,0.286576
75 ,192 ,55.4812 ,8.44445 ,8.28712 ,0.290316
76 ,199 ,56.14 ,8.90932 ,8.28712 ,0.294181
77 ,198 ,59.7251 ,9.04239 ,8.28712 ,0.298031
78 ,181 ,54.6962 ,8.83495 ,8.28712 ,0.301543
79 ,175 ,55.17 ,8.878 ,8.28712 ,0.304988
80 ,153 ,57.4568 ,8.78243 ,8.28712 ,0.30797
81 ,184 ,55.0871 ,8.8127 ,8.28712 ,0.31151
82 ,214 ,59.206 ,8.77697 ,8.28712 ,0.315688
83 ,201 ,53.9394 ,8.92026 ,8.28712 ,0.319629
84 ,174 ,57.3354 ,8.45021 ,8.28712 ,0.322998
85 ,171 ,59.6449 ,8.49715 ,8.28712 ,0.326461
86 ,212 ,59.8272 ,8.65329 ,8.28712 ,0.330741
87 ,184 ,55.2487 ,8.72454 ,8.28712 ,0.334491
88 ,183 ,49.4248 ,8.94032 ,8.28712 ,0.338115
89 ,192 ,53.7944 ,8.52405 ,8.28712 ,0.341957
90 ,216 ,51.5964 ,8.83169 ,8.28712 ,0.346226
91 ,182 ,55.5863 ,8.83584 ,8.28712 ,0.34977
92 ,187 ,57.9056 ,8.79348 ,8.28712 ,0.353373
93 ,207 ,55.9817 ,8.68162 ,8.28712 ,0.357363
94 ,211 ,58.0981 ,8.45757 ,8.28712 ,0.361468
95 ,193 ,54.7787 ,8.67962 ,8.28712 ,0.365191
96 ,186 ,53.1482 ,8.49271 ,8.28712 ,0.368869
97 ,204 ,55.0046 ,8.74158 ,8.28712 ,0.372809
98 ,208 ,56.458 ,8.60217 ,8.28712 ,0.376801
99 ,203 ,56.7798 ,8.6173 ,8.28712 ,0.380735
100 ,178 ,53.6657 ,8.96844 ,8.28712 ,0.384201
101 ,176 ,60.214 ,8.6583 ,8.28712 ,0.387603
102 ,199 ,55.2891 ,8.4179 ,8.28712 ,0.391454
103 ,191 ,58.8518 ,8.48895 ,8.28712 ,0.395136
104 ,193 ,58.4364 ,8.63507 ,8.28712 ,0.39885
105 ,176 ,58.7052 ,8.43026 ,8.28712 ,0.402264
106 ,163 ,53.3273 ,8.42775 ,8.28712 ,0.405418
107 ,164 ,59.6773 ,8.7268 ,8.28712 ,0.408815
108 ,188 ,59.0739 ,8.78606 ,8.28712 ,0.412458
109 ,209 ,57.8107 ,8.84953 ,8.28712 ,0.416589
110 ,189 ,53.2992 ,8.9388 ,8.28712 ,0.420623
111 ,204 ,59.6947 ,8.48231 ,8.28712 ,0.424565
112 ,200 ,57.6814 ,8.63049 ,8.28712 ,0.428483
113 ,175 ,56.0504 ,8.606 ,8.28712 ,0.431976
114 ,199 ,52.8573 ,8.76217 ,8.28712 ,0.435913
115 ,172 ,54.5465 ,8.79812 ,8.28712 ,0.43929
116 ,200 ,55.8291 ,8.76634 ,8.28712 ,0.443207
117 ,214 ,55.782 ,8.91212 ,8.28712 ,0.447322
118 ,213 ,55.8357 ,8.67159 ,8.28712 ,0.4514
119 ,192 ,51.7682 ,8.9736 ,8.28712 ,0.455121
120 ,202 ,59.2862 ,8.5982 ,8.28712 ,0.459058
121 ,188 ,55.7354 ,8.33385 ,8.28712 ,0.462696
122 ,202 ,57.9421 ,8.38498 ,8.28712 ,0.466682
123 ,203 ,56.593 ,9.02857 ,8.28712 ,0.470754
124 ,194 ,52.4782 ,8.48056 ,8.28712 ,0.474477
125 ,201 ,55.8825 ,8.63214 ,8.28712 ,0.478341
126 ,152 ,56.6236 ,8.80147 ,8.28712 ,0.481278
127 ,196 ,61.0026 ,8.4314 ,8.28712 ,0.485085
128 ,175 ,56.5025 ,8.91934 ,8.28712 ,0.488546
129 ,188 ,58.4256 ,8.43472 ,8.28712 ,0.492172
130 ,213 ,58.0483 ,8.64728 ,8.28712 ,0.496322
131 ,181 ,56.7324 ,8.40697 ,8.28712 ,0.499822
132 ,180 ,60.3467 ,8.4468 ,8.28712 ,0.503384
133 ,195 ,55.8916 ,8.73355 ,8.28712 ,0.507245
134 ,198 ,56.5546 ,8.52495 ,8.28712 ,0.511235
135 ,221 ,59.6132 ,8.60516 ,8.28712 ,0.515583
136 ,186 ,54.0737 ,8.82319 ,8.28712 ,0.519488
137 ,197 ,55.9817 ,8.52393 ,8.28712 ,0.523551
138 ,198 ,57.7688 ,8.69807 ,8.28712 ,0.527684
139 ,204 ,58.9652 ,8.76312 ,8.28712 ,0.531744
140 ,191 ,55.0904 ,8.69109 ,8.28712 ,0.535767
141 ,186 ,53.9014 ,8.56307 ,8.28712 ,0.539613
142 ,180 ,58.3942 ,8.56018 ,8.28712 ,0.543291
143 ,177 ,58.7867 ,8.72097 ,8.28712 ,0.546918
144 ,187 ,56.0771 ,8.90674 ,8.28712 ,0.550689
145 ,214 ,55.5534 ,9.01043 ,8.28712 ,0.554922
146 ,185 ,56.7135 ,8.90907 ,8.28712 ,0.5587
147 ,188 ,52.2787 ,8.64523 ,8.28712 ,0.562445
148 ,204 ,57.9072 ,8.51278 ,8.28712 ,0.566789
149 ,176 ,56.8405 ,8.70198 ,8.28712 ,0.570408
150 ,195 ,52.1568 ,8.60189 ,8.28712 ,0.574141
151 ,196 ,57.1014 ,8.52706 ,8.28712 ,0.578123
152 ,215 ,56.4465 ,8.5783 ,8.28712 ,0.582346
153 ,183 ,58.8437 ,8.30472 ,8.28712 ,0.586112
154 ,169 ,58.5518 ,8.83613 ,8.28712 ,0.589465
155 ,185 ,57.1453 ,8.69435 ,8.28712 ,0.593099
156 ,207 ,55.7412 ,8.92574 ,8.28712 ,0.597076
157 ,217 ,57.3798 ,8.37209 ,8.28712 ,0.601571
158 ,187 ,59.1955 ,8.84583 ,8.28712 ,0.605219
159 ,191 ,58.4288 ,8.88436 ,8.28712 ,0.609108
160 ,198 ,59.1511 ,8.63041 ,8.28712 ,0.613092
161 ,195 ,54.6016 ,8.6795 ,8.28712 ,0.616971
162 ,216 ,53.8613 ,8.65041 ,8.28712 ,0.62181
163 ,189 ,56.0213 ,8.33099 ,8.28712 ,0.625647
164 ,194 ,54.5246 ,8.53452 ,8.28712 ,0.629504
165 ,206 ,59.0374 ,8.6375 ,8.28712 ,0.633709
