tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,101 ,56.2675 ,8.79588 ,8.79588 ,0.079869
2 ,103 ,60.5504 ,8.77672 ,8.77672 ,0.167358
3 ,98 ,55.441 ,8.62984 ,8.62984 ,0.237558
4 ,104 ,55.1308 ,8.63589 ,8.62984 ,0.306704
5 ,99 ,51.4833 ,8.34252 ,8.34252 ,0.364695
6 ,104 ,56.3662 ,8.32689 ,8.32689 ,0.436594
7 ,94 ,51.502 ,8.6315 ,8.32689 ,0.495934
8 ,107 ,55.9284 ,8.73706 ,8.32689 ,0.569105
9 ,100 ,54.8242 ,8.85453 ,8.32689 ,0.637109
10 ,101 ,59.4046 ,9.1445 ,8.32689 ,0.715356
11 ,104 ,59.2761 ,8.53216 ,8.32689 ,0.7962
12 ,103 ,56.4195 ,8.93515 ,8.32689 ,0.867899
13 ,99 ,56.0121 ,8.63565 ,8.32689 ,0.934662
14 ,105 ,55.0826 ,8.94101 ,8.32689 ,1.00464
15 ,96 ,55.4455 ,9.03425 ,8.32689 ,1.07077
16 ,96 ,55.0339 ,8.79438 ,8.32689 ,1.13931
17 ,105 ,56.9516 ,8.33125 ,8.32689 ,1.21324
18 ,107 ,56.9679 ,8.69923 ,8.32689 ,1.29029
19 ,103 ,57.2541 ,8.46545 ,8.32689 ,1.36085
20 ,92 ,55.7619 ,9.3666 ,8.32689 ,1.4276
21 ,118 ,56.653 ,8.67172 ,8.32689 ,1.50293
22 ,96 ,57.3672 ,8.73921 ,8.32689 ,1.5749
23 ,102 ,58.8677 ,8.96534 ,8.32689 ,1.65003
24 ,114 ,54.8393 ,8.38699 ,8.32689 ,1.72397
25 ,99 ,63.0952 ,8.80636 ,8.32689 ,1.81328
26 ,94 ,52.7563 ,8.69233 ,8.32689 ,1.87559
27 ,107 ,58.9562 ,8.69723 ,8.32689 ,1.95482
28 ,98 ,60.9651 ,8.84225 ,8.32689 ,2.03849
29 ,107 ,59.3931 ,8.85022 ,8.32689 ,2.12251
30 ,109 ,58.0627 ,8.52029 ,8.32689 ,2.19824
31 ,102 ,58.4419 ,8.64467 ,8.32689 ,2.2773
32 ,98 ,56.0549 ,8.76512 ,8.32689 ,2.34738
33 ,95 ,52.513 ,9.22684 ,8.32689 ,2.41019
34 ,102 ,54.7957 ,9.09718 ,8.32689 ,2.47268
35 ,99 ,60.5696 ,8.73787 ,8.32689 ,2.55426
36 ,102 ,56.6916 ,8.75146 ,8.32689 ,2.62665
37 ,96 ,53.8686 ,8.69539 ,8.32689 ,2.69191
38 ,93 ,55.7079 ,8.47818 ,8.32689 ,2.7617
39 ,97 ,56.7747 ,8.55734 ,8.32689 ,2.83331
40 ,97 ,57.1318 ,8.90811 ,8.32689 ,2.90069
41 ,102 ,56.9914 ,8.69575 ,8.32689 ,2.97506
42 ,112 ,57.3562 ,8.29319 ,8.29319 ,3.04611
43 ,103 ,55.9943 ,9.06248 ,8.29319 ,3.11508
44 ,107 ,55.2576 ,8.6534 ,8.29319 ,3.18657
45 ,97 ,55.9574 ,8.77044 ,8.29319 ,3.25449
46 ,103 ,58.1848 ,8.71866 ,8.29319 ,3.33021
47 ,98 ,56.6177 ,8.81818 ,8.29319 ,3.39949
48 ,99 ,54.0092 ,8.70178 ,8.29319 ,3.46665
49 ,108 ,55.796 ,8.78488 ,8.29319 ,3.53698
50 ,100 ,62.4771 ,8.84152 ,8.29319 ,3.62583
51 ,105 ,54.5198 ,8.73068 ,8.29319 ,3.69339
52 ,92 ,56.7044 ,8.83768 ,8.29319 ,3.76209
53 ,103 ,59.1844 ,9.2696 ,8.29319 ,3.84578
54 ,102 ,59.1024 ,8.66836 ,8.29319 ,3.92326
55 ,103 ,58.6697 ,8.8535 ,8.29319 ,4.00213
56 ,105 ,58.8797 ,8.41114 ,8.29319 ,4.08172
57 ,103 ,56.902 ,8.41785 ,8.29319 ,4.15537
58 ,101 ,57.4468 ,8.59214 ,8.29319 ,4.22867
59 ,110 ,54.004 ,8.50573 ,8.29319 ,4.29902
60 ,103 ,57.2081 ,8.90898 ,8.29319 ,4.37275
61 ,104 ,57.1054 ,9.02908 ,8.29319 ,4.44494
62 ,108 ,59.7502 ,8.55044 ,8.29319 ,4.52815
63 ,102 ,56.7196 ,8.54943 ,8.29319 ,4.59827
64 ,106 ,55.9055 ,8.83874 ,8.29319 ,4.66791
65 ,107 ,54.8484 ,8.67647 ,8.29319 ,4.73403
66 ,101 ,61.0084 ,8.71901 ,8.29319 ,4.8177
67 ,93 ,60.3017 ,9.36663 ,8.29319 ,4.89686
68 ,100 ,60.0193 ,8.83837 ,8.29319 ,4.97729
69 ,99 ,60.9678 ,9.14871 ,8.29319 ,5.06068
70 ,105 ,54.5084 ,8.63448 ,8.29319 ,5.12833
71 ,102 ,53.2626 ,8.71819 ,8.29319 ,5.18999
72 ,103 ,56.6299 ,8.71058 ,8.29319 ,5.26339
73 ,99 ,57.045 ,9.20022 ,8.29319 ,5.33494
74 ,104 ,53.3915 ,8.68115 ,8.29319 ,5.39887
75 ,105 ,60.094 ,8.88404 ,8.29319 ,5.48277
76 ,109 ,56.8416 ,8.86522 ,8.29319 ,5.55893
77 ,108 ,56.3847 ,8.75653 ,8.29319 ,5.63163
78 ,94 ,48.514 ,9.00519 ,8.29319 ,5.68138
79 ,105 ,56.1432 ,8.87661 ,8.29319 ,5.75409
80 ,102 ,56.3228 ,8.77336 ,8.29319 ,5.82472
81 ,99 ,54.4121 ,9.11538 ,8.29319 ,5.8899
82 ,102 ,56.4448 ,8.98496 ,8.29319 ,5.96416
