tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,109 ,56.2675 ,9.08899 ,9.08899 ,0.087275
2 ,114 ,60.5504 ,9.14345 ,9.08899 ,0.16285
3 ,103 ,55.441 ,8.68303 ,8.68303 ,0.229588
4 ,107 ,55.1308 ,8.60598 ,8.60598 ,0.293991
5 ,97 ,51.4833 ,8.48293 ,8.48293 ,0.349079
6 ,106 ,56.3662 ,8.92247 ,8.48293 ,0.415552
7 ,110 ,51.502 ,8.93389 ,8.48293 ,0.471171
8 ,111 ,55.9284 ,8.75277 ,8.48293 ,0.542082
9 ,97 ,54.8242 ,8.54395 ,8.48293 ,0.609301
10 ,107 ,59.4046 ,8.99835 ,8.48293 ,0.685752
11 ,105 ,59.2761 ,8.61476 ,8.48293 ,0.761204
12 ,114 ,56.4195 ,8.4834 ,8.48293 ,0.826893
13 ,105 ,56.0121 ,8.81299 ,8.48293 ,0.884663
14 ,108 ,55.0826 ,8.6116 ,8.48293 ,0.953522
15 ,105 ,55.4455 ,8.59175 ,8.48293 ,1.01663
16 ,98 ,55.0339 ,8.93534 ,8.48293 ,1.08414
17 ,105 ,56.9516 ,8.72795 ,8.48293 ,1.15598
18 ,107 ,56.9679 ,8.86605 ,8.48293 ,1.2316
19 ,102 ,57.2541 ,8.66207 ,8.48293 ,1.29906
20 ,105 ,55.7619 ,8.89183 ,8.48293 ,1.36545
21 ,105 ,56.653 ,8.49011 ,8.48293 ,1.43598
22 ,107 ,57.3672 ,8.45649 ,8.45649 ,1.50719
23 ,107 ,58.8677 ,8.95394 ,8.45649 ,1.58101
24 ,111 ,54.8393 ,8.69726 ,8.45649 ,1.65086
25 ,103 ,63.0952 ,9.00195 ,8.45649 ,1.73934
26 ,99 ,52.7563 ,8.60614 ,8.45649 ,1.80143
27 ,104 ,58.9562 ,8.82492 ,8.45649 ,1.87406
28 ,105 ,60.9651 ,8.63153 ,8.45649 ,1.95619
29 ,112 ,59.3931 ,8.95252 ,8.45649 ,2.03407
30 ,108 ,58.0627 ,8.85284 ,8.45649 ,2.10806
31 ,103 ,58.4419 ,8.4209 ,8.4209 ,2.18377
