Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,53.6772 ,53.6772 ,0.000192
update best ,1 ,105 ,105 ,1 ,105 ,9.00602 ,9.00602 ,0.21713
local optima ,1 ,106 ,106 ,1 ,105 ,9.00602 ,9.00602 ,0.21722
new initTour ,1 ,106 ,106 ,2 ,0 ,54.6746 ,9.00602 ,0.2173
update best ,1 ,215 ,215 ,2 ,110 ,8.66327 ,8.66327 ,0.421998
local optima ,1 ,216 ,216 ,2 ,110 ,8.66327 ,8.66327 ,0.42206
new initTour ,1 ,216 ,216 ,3 ,0 ,59.1533 ,8.66327 ,0.422119
update best ,1 ,318 ,318 ,3 ,103 ,8.5631 ,8.5631 ,0.686857
local optima ,1 ,319 ,319 ,3 ,103 ,8.5631 ,8.5631 ,0.686932
new initTour ,1 ,319 ,319 ,4 ,0 ,58.3914 ,8.5631 ,0.687001
update best ,1 ,419 ,419 ,4 ,101 ,8.4473 ,8.4473 ,0.936977
local optima ,1 ,420 ,420 ,4 ,101 ,8.4473 ,8.4473 ,0.93704
new initTour ,1 ,420 ,420 ,5 ,0 ,55.8428 ,8.4473 ,0.937101
local optima ,1 ,515 ,515 ,5 ,95 ,9.07287 ,8.4473 ,1.15792
new initTour ,1 ,515 ,515 ,6 ,0 ,54.996 ,8.4473 ,1.15798
local optima ,1 ,618 ,618 ,6 ,103 ,8.52722 ,8.4473 ,1.39928
new initTour ,1 ,618 ,618 ,7 ,0 ,57.3405 ,8.4473 ,1.39934
local optima ,1 ,733 ,733 ,7 ,115 ,8.72774 ,8.4473 ,1.65231
new initTour ,1 ,733 ,733 ,8 ,0 ,55.7437 ,8.4473 ,1.65237
local optima ,1 ,839 ,839 ,8 ,106 ,8.94324 ,8.4473 ,1.88888
new initTour ,1 ,839 ,839 ,9 ,0 ,60.3518 ,8.4473 ,1.88895
local optima ,1 ,955 ,955 ,9 ,116 ,8.58104 ,8.4473 ,2.17262
new initTour ,1 ,955 ,955 ,10 ,0 ,60.2951 ,8.4473 ,2.17268
local optima ,1 ,1072 ,1072 ,10 ,117 ,8.65683 ,8.4473 ,2.45176
new initTour ,1 ,1072 ,1072 ,11 ,0 ,53.184 ,8.4473 ,2.45182
local optima ,1 ,1175 ,1175 ,11 ,103 ,8.85069 ,8.4473 ,2.66812
new initTour ,1 ,1175 ,1175 ,12 ,0 ,58.2388 ,8.4473 ,2.66819
local optima ,1 ,1272 ,1272 ,12 ,97 ,8.66071 ,8.4473 ,2.93435
new initTour ,1 ,1272 ,1272 ,13 ,0 ,58.7144 ,8.4473 ,2.93442
local optima ,1 ,1382 ,1382 ,13 ,110 ,8.75288 ,8.4473 ,3.2189
new initTour ,1 ,1382 ,1382 ,14 ,0 ,59.8954 ,8.4473 ,3.21897
local optima ,1 ,1499 ,1499 ,14 ,117 ,8.61506 ,8.4473 ,3.48417
new initTour ,1 ,1499 ,1499 ,15 ,0 ,54.5645 ,8.4473 ,3.48423
local optima ,1 ,1593 ,1593 ,15 ,94 ,9.40001 ,8.4473 ,3.69235
new initTour ,1 ,1593 ,1593 ,16 ,0 ,54.0036 ,8.4473 ,3.69242
local optima ,1 ,1698 ,1698 ,16 ,105 ,9.20976 ,8.4473 ,3.90796
new initTour ,1 ,1698 ,1698 ,17 ,0 ,57.3199 ,8.4473 ,3.90802
local optima ,1 ,1798 ,1798 ,17 ,100 ,8.80459 ,8.4473 ,4.15445
new initTour ,1 ,1798 ,1798 ,18 ,0 ,56.363 ,8.4473 ,4.15452
