tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,72 ,39.3167 ,7.53787 ,7.53787 ,0.026744
2 ,69 ,37.5726 ,7.37541 ,7.37541 ,0.05036
3 ,65 ,40.3346 ,7.61911 ,7.37541 ,0.077669
4 ,61 ,38.7185 ,7.64876 ,7.37541 ,0.103192
5 ,71 ,36.3452 ,7.23214 ,7.23214 ,0.126485
6 ,66 ,38.5911 ,7.51931 ,7.23214 ,0.153337
7 ,62 ,35.2455 ,7.47984 ,7.23214 ,0.174378
8 ,72 ,37.0779 ,7.43399 ,7.23214 ,0.198273
9 ,71 ,36.9996 ,7.51245 ,7.23214 ,0.223033
10 ,76 ,39.8096 ,7.40555 ,7.23214 ,0.250094
11 ,64 ,37.1225 ,7.55733 ,7.23214 ,0.271247
12 ,72 ,37.1077 ,7.2196 ,7.2196 ,0.294743
13 ,59 ,35.8557 ,7.43482 ,7.2196 ,0.315059
14 ,66 ,39.5529 ,7.45176 ,7.2196 ,0.341722
15 ,59 ,35.5034 ,7.52069 ,7.2196 ,0.362345
16 ,64 ,38.9111 ,7.54512 ,7.2196 ,0.388008
17 ,69 ,37.9322 ,7.56424 ,7.2196 ,0.412944
18 ,65 ,42.7386 ,7.43047 ,7.2196 ,0.445322
19 ,77 ,37.1339 ,7.20114 ,7.20114 ,0.468913
20 ,66 ,37.363 ,7.32127 ,7.20114 ,0.493018
21 ,79 ,39.3601 ,7.37874 ,7.20114 ,0.519428
22 ,69 ,38.7377 ,7.26044 ,7.20114 ,0.545496
23 ,68 ,40.2755 ,7.32098 ,7.20114 ,0.573088
24 ,62 ,37.7646 ,7.52861 ,7.20114 ,0.596447
25 ,67 ,38.9956 ,7.6208 ,7.20114 ,0.620839
26 ,64 ,35.5889 ,7.96812 ,7.20114 ,0.642897
27 ,75 ,40.6293 ,7.77325 ,7.20114 ,0.673488
28 ,64 ,40.7843 ,7.43427 ,7.20114 ,0.701683
29 ,64 ,39.7091 ,7.36483 ,7.20114 ,0.728194
30 ,73 ,39.8792 ,7.48415 ,7.20114 ,0.758574
31 ,66 ,39.0139 ,7.389 ,7.20114 ,0.784227
32 ,71 ,38.3872 ,7.42442 ,7.20114 ,0.810323
33 ,68 ,37.9817 ,8.00533 ,7.20114 ,0.835585
34 ,73 ,36.6006 ,7.46417 ,7.20114 ,0.858914
35 ,65 ,36.9692 ,7.39202 ,7.20114 ,0.879533
36 ,70 ,38.541 ,7.22115 ,7.20114 ,0.90466
37 ,72 ,39.8498 ,7.36856 ,7.20114 ,0.932659
38 ,63 ,40.1544 ,7.68722 ,7.20114 ,0.959108
39 ,70 ,40.1978 ,7.23527 ,7.20114 ,0.986227
40 ,68 ,37.3447 ,7.44353 ,7.20114 ,1.00883
41 ,74 ,41.0514 ,7.39527 ,7.20114 ,1.03694
42 ,64 ,41.3155 ,7.53888 ,7.20114 ,1.06545
43 ,65 ,35.7357 ,7.38333 ,7.20114 ,1.08597
44 ,60 ,38.6157 ,7.97501 ,7.20114 ,1.10949
45 ,66 ,38.4472 ,7.69128 ,7.20114 ,1.13553
46 ,70 ,35.8449 ,7.40011 ,7.20114 ,1.15718
47 ,65 ,36.9366 ,7.47361 ,7.20114 ,1.18131
48 ,71 ,39.0668 ,7.22397 ,7.20114 ,1.20702
49 ,68 ,36.0571 ,7.35357 ,7.20114 ,1.22802
50 ,68 ,36.7051 ,7.40527 ,7.20114 ,1.25185
51 ,66 ,37.1329 ,7.66737 ,7.20114 ,1.27434
52 ,66 ,39.1409 ,7.43781 ,7.20114 ,1.29993
53 ,66 ,38.4688 ,7.47045 ,7.20114 ,1.32477
54 ,70 ,41.3352 ,7.41987 ,7.20114 ,1.35514
55 ,61 ,39.9457 ,7.55947 ,7.20114 ,1.38132
56 ,70 ,37.2223 ,7.19296 ,7.19296 ,1.40515
57 ,69 ,40.6263 ,7.64129 ,7.19296 ,1.43213
58 ,67 ,35.7544 ,7.69121 ,7.19296 ,1.45235
59 ,70 ,36.5248 ,7.26352 ,7.19296 ,1.47413
60 ,72 ,34.3164 ,7.53544 ,7.19296 ,1.49585
61 ,66 ,38.5147 ,7.3997 ,7.19296 ,1.52043
62 ,67 ,38.6792 ,7.40299 ,7.19296 ,1.54443
63 ,60 ,33.8558 ,7.733 ,7.19296 ,1.56327
64 ,65 ,38.5628 ,7.58029 ,7.19296 ,1.5882
65 ,72 ,41.6592 ,7.49736 ,7.19296 ,1.61899
66 ,71 ,37.0708 ,7.23569 ,7.19296 ,1.64163
67 ,74 ,33.897 ,7.59998 ,7.19296 ,1.66243
68 ,67 ,36.8214 ,7.44167 ,7.19296 ,1.68518
69 ,72 ,35.6212 ,7.4246 ,7.19296 ,1.70799
70 ,71 ,38.2188 ,7.64851 ,7.19296 ,1.73218
71 ,66 ,36.4325 ,7.34269 ,7.19296 ,1.75529
72 ,70 ,35.8986 ,7.42587 ,7.19296 ,1.77638
73 ,67 ,40.058 ,7.39404 ,7.19296 ,1.80183
74 ,62 ,39.9795 ,7.52589 ,7.19296 ,1.82677
75 ,68 ,40.5342 ,7.55947 ,7.19296 ,1.85357
76 ,66 ,38.3706 ,7.39249 ,7.19296 ,1.87859
77 ,66 ,33.944 ,7.35532 ,7.19296 ,1.89796
78 ,69 ,36.7828 ,7.39601 ,7.19296 ,1.92161
79 ,70 ,36.6116 ,7.48882 ,7.19296 ,1.94528
80 ,67 ,36.6492 ,7.34107 ,7.19296 ,1.96828
81 ,69 ,40.2418 ,7.39375 ,7.19296 ,1.99517
82 ,65 ,39.7912 ,7.49387 ,7.19296 ,2.02215
83 ,73 ,37.9996 ,7.17991 ,7.17991 ,2.04607
84 ,69 ,37.3464 ,7.33119 ,7.17991 ,2.06982
85 ,65 ,39.1698 ,7.35393 ,7.17991 ,2.09457
86 ,75 ,36.3219 ,7.15441 ,7.15441 ,2.11644
87 ,62 ,39.0925 ,7.37296 ,7.15441 ,2.14124
88 ,70 ,38.5084 ,7.43044 ,7.15441 ,2.1662
89 ,66 ,35.7392 ,7.34496 ,7.15441 ,2.18714
90 ,72 ,42.4643 ,7.32519 ,7.15441 ,2.21682
91 ,65 ,36.3689 ,7.68219 ,7.15441 ,2.23696
92 ,72 ,37.637 ,7.47539 ,7.15441 ,2.26115
93 ,72 ,42.8256 ,7.73236 ,7.15441 ,2.293
94 ,67 ,40.0047 ,7.26268 ,7.15441 ,2.31985
95 ,66 ,39.2376 ,7.45578 ,7.15441 ,2.34511
96 ,69 ,39.1111 ,7.66195 ,7.15441 ,2.37092
97 ,71 ,40.8302 ,7.45674 ,7.15441 ,2.40079
98 ,63 ,39.5519 ,7.31854 ,7.15441 ,2.42645
99 ,80 ,41.6865 ,7.27465 ,7.15441 ,2.45815
100 ,62 ,39.663 ,7.37469 ,7.15441 ,2.4824
101 ,68 ,36.2253 ,7.31813 ,7.15441 ,2.50503
102 ,73 ,42.3379 ,7.21445 ,7.15441 ,2.53662
103 ,66 ,37.3704 ,7.55692 ,7.15441 ,2.56045
104 ,67 ,38.3377 ,7.49194 ,7.15441 ,2.58372
105 ,66 ,36.0549 ,7.30677 ,7.15441 ,2.60714
106 ,71 ,34.4808 ,7.35472 ,7.15441 ,2.62624
107 ,66 ,37.9484 ,7.13186 ,7.13186 ,2.64926
108 ,68 ,40.2423 ,7.29024 ,7.13186 ,2.67851
109 ,73 ,36.9793 ,7.26478 ,7.13186 ,2.70081
110 ,66 ,35.553 ,7.53665 ,7.13186 ,2.72071
111 ,67 ,37.843 ,7.38731 ,7.13186 ,2.74423
112 ,62 ,35.4604 ,7.32127 ,7.13186 ,2.76533
113 ,73 ,38.4667 ,7.73234 ,7.13186 ,2.79166
114 ,68 ,38.8096 ,7.35849 ,7.13186 ,2.81651
115 ,64 ,36.5052 ,7.51127 ,7.13186 ,2.83658
116 ,67 ,41.2601 ,7.62901 ,7.13186 ,2.86633
117 ,66 ,36.6714 ,7.39603 ,7.13186 ,2.88914
118 ,67 ,36.7513 ,7.85084 ,7.13186 ,2.91079
119 ,60 ,36.5038 ,7.49249 ,7.13186 ,2.93279
120 ,66 ,37.77 ,7.20612 ,7.13186 ,2.95652
121 ,69 ,39.3919 ,7.55187 ,7.13186 ,2.98178
122 ,69 ,40.4848 ,7.56117 ,7.13186 ,3.00975
123 ,74 ,39.1616 ,7.48838 ,7.13186 ,3.03676
124 ,69 ,38.1655 ,7.48705 ,7.13186 ,3.06142
125 ,68 ,37.1546 ,7.42118 ,7.13186 ,3.08347
126 ,64 ,39.964 ,7.48898 ,7.13186 ,3.10995
127 ,68 ,37.9024 ,7.44495 ,7.13186 ,3.13309
128 ,66 ,38.06 ,7.61985 ,7.13186 ,3.15885
129 ,64 ,35.2115 ,7.33474 ,7.13186 ,3.17887
130 ,65 ,38.8933 ,7.32297 ,7.13186 ,3.2035
131 ,71 ,39.2733 ,7.20718 ,7.13186 ,3.23089
132 ,64 ,40.1784 ,7.62671 ,7.13186 ,3.25743
133 ,66 ,38.6981 ,7.52428 ,7.13186 ,3.28062
134 ,78 ,39.5404 ,7.2853 ,7.13186 ,3.3077
135 ,63 ,38.3303 ,7.51387 ,7.13186 ,3.33137
136 ,66 ,37.0854 ,7.32245 ,7.13186 ,3.35416
137 ,70 ,39.5885 ,7.43127 ,7.13186 ,3.38062
138 ,71 ,36.7291 ,7.56141 ,7.13186 ,3.40512
139 ,69 ,38.4814 ,7.17427 ,7.13186 ,3.42945
140 ,63 ,38.1363 ,7.82061 ,7.13186 ,3.45319
141 ,67 ,36.7323 ,7.7023 ,7.13186 ,3.47569
142 ,63 ,40.3865 ,7.59683 ,7.13186 ,3.50438
143 ,65 ,37.5729 ,7.51551 ,7.13186 ,3.5269
144 ,64 ,39.0351 ,7.52436 ,7.13186 ,3.55133
145 ,70 ,37.2189 ,7.2284 ,7.13186 ,3.57392
146 ,61 ,37.9264 ,7.60112 ,7.13186 ,3.59905
147 ,68 ,38.8616 ,7.40902 ,7.13186 ,3.62538
148 ,61 ,39.7756 ,7.53067 ,7.13186 ,3.6516
149 ,65 ,37.0507 ,7.28068 ,7.13186 ,3.67292
150 ,74 ,40.6617 ,7.45012 ,7.13186 ,3.70218
151 ,69 ,40.183 ,7.59185 ,7.13186 ,3.72908
152 ,82 ,38.4086 ,7.49686 ,7.13186 ,3.75566
153 ,65 ,39.2522 ,7.81873 ,7.13186 ,3.7795
154 ,66 ,41.5996 ,7.33003 ,7.13186 ,3.80972
155 ,65 ,38.672 ,7.38787 ,7.13186 ,3.83286
156 ,70 ,37.6243 ,7.4051 ,7.13186 ,3.85835
157 ,64 ,39.7461 ,7.52509 ,7.13186 ,3.88655
158 ,71 ,41.2054 ,7.32726 ,7.13186 ,3.91567
159 ,59 ,37.1923 ,7.51898 ,7.13186 ,3.93731
160 ,82 ,37.7869 ,7.44613 ,7.13186 ,3.96221
161 ,67 ,36.8455 ,7.52378 ,7.13186 ,3.98354
162 ,68 ,36.5896 ,7.44696 ,7.13186 ,4.00467
163 ,75 ,36.1271 ,7.29337 ,7.13186 ,4.02796
164 ,66 ,36.8196 ,7.65818 ,7.13186 ,4.04938
165 ,63 ,34.6855 ,7.2871 ,7.13186 ,4.06936
166 ,72 ,42.2542 ,7.4502 ,7.13186 ,4.09975
167 ,67 ,35.7233 ,7.98776 ,7.13186 ,4.11945
168 ,71 ,37.7058 ,7.32575 ,7.13186 ,4.14438
169 ,67 ,38.0234 ,7.20378 ,7.13186 ,4.16904
170 ,63 ,39.9443 ,7.46356 ,7.13186 ,4.19454
171 ,77 ,39.6668 ,7.19467 ,7.13186 ,4.22316
172 ,70 ,39.3244 ,7.38066 ,7.13186 ,4.25108
