Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,39.1146 ,39.1146 ,0.000117
update best ,1 ,71 ,71 ,1 ,71 ,7.36804 ,7.36804 ,0.092533
local optima ,1 ,72 ,72 ,1 ,71 ,7.36804 ,7.36804 ,0.092587
new initTour ,1 ,72 ,72 ,2 ,0 ,38.8636 ,7.36804 ,0.092635
local optima ,1 ,141 ,141 ,2 ,69 ,7.42232 ,7.36804 ,0.182669
new initTour ,1 ,141 ,141 ,3 ,0 ,39.7493 ,7.36804 ,0.182718
local optima ,1 ,216 ,216 ,3 ,75 ,7.43622 ,7.36804 ,0.275629
new initTour ,1 ,216 ,216 ,4 ,0 ,34.7258 ,7.36804 ,0.275675
local optima ,1 ,280 ,280 ,4 ,64 ,7.39881 ,7.36804 ,0.338102
new initTour ,1 ,280 ,280 ,5 ,0 ,36.3959 ,7.36804 ,0.338149
update best ,1 ,348 ,348 ,5 ,69 ,7.2634 ,7.2634 ,0.421088
local optima ,1 ,349 ,349 ,5 ,69 ,7.2634 ,7.2634 ,0.421141
new initTour ,1 ,349 ,349 ,6 ,0 ,37.974 ,7.2634 ,0.421186
local optima ,1 ,412 ,412 ,6 ,63 ,7.57526 ,7.2634 ,0.509469
new initTour ,1 ,412 ,412 ,7 ,0 ,37.2972 ,7.2634 ,0.509518
local optima ,1 ,478 ,478 ,7 ,66 ,7.47208 ,7.2634 ,0.592325
new initTour ,1 ,478 ,478 ,8 ,0 ,36.1136 ,7.2634 ,0.592372
local optima ,1 ,548 ,548 ,8 ,70 ,7.38551 ,7.2634 ,0.666747
new initTour ,1 ,548 ,548 ,9 ,0 ,39.4644 ,7.2634 ,0.666793
local optima ,1 ,616 ,616 ,9 ,68 ,7.50341 ,7.2634 ,0.759656
new initTour ,1 ,616 ,616 ,10 ,0 ,39.4436 ,7.2634 ,0.759701
local optima ,1 ,692 ,692 ,10 ,76 ,7.33753 ,7.2634 ,0.859715
new initTour ,1 ,692 ,692 ,11 ,0 ,38.4932 ,7.2634 ,0.859761
local optima ,1 ,762 ,762 ,11 ,70 ,7.49213 ,7.2634 ,0.945055
new initTour ,1 ,762 ,762 ,12 ,0 ,37.5471 ,7.2634 ,0.945101
local optima ,1 ,831 ,831 ,12 ,69 ,7.46538 ,7.2634 ,1.03046
new initTour ,1 ,831 ,831 ,13 ,0 ,38.6361 ,7.2634 ,1.0305
local optima ,1 ,905 ,905 ,13 ,74 ,7.30148 ,7.2634 ,1.12321
new initTour ,1 ,905 ,905 ,14 ,0 ,36.3685 ,7.2634 ,1.12325
local optima ,1 ,981 ,981 ,14 ,76 ,7.4253 ,7.2634 ,1.20977
new initTour ,1 ,981 ,981 ,15 ,0 ,39.1178 ,7.2634 ,1.20982
local optima ,1 ,1046 ,1046 ,15 ,65 ,7.3391 ,7.2634 ,1.30034
new initTour ,1 ,1046 ,1046 ,16 ,0 ,36.9192 ,7.2634 ,1.30038
local optima ,1 ,1105 ,1105 ,16 ,59 ,7.98914 ,7.2634 ,1.37915
new initTour ,1 ,1105 ,1105 ,17 ,0 ,38.0338 ,7.2634 ,1.3792
update best ,1 ,1184 ,1184 ,17 ,80 ,7.23975 ,7.23975 ,1.46965
local optima ,1 ,1185 ,1185 ,17 ,80 ,7.23975 ,7.23975 ,1.4697
new initTour ,1 ,1185 ,1185 ,18 ,0 ,35.6306 ,7.23975 ,1.46974
local optima ,1 ,1261 ,1261 ,18 ,76 ,7.29462 ,7.23975 ,1.5477
new initTour ,1 ,1261 ,1261 ,19 ,0 ,35.2587 ,7.23975 ,1.54774
local optima ,1 ,1323 ,1323 ,19 ,62 ,7.66995 ,7.23975 ,1.61502
