tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,123 ,39.1146 ,7.69168 ,7.69168 ,0.001936
2 ,125 ,38.8636 ,7.52994 ,7.52994 ,0.003786
3 ,151 ,39.7493 ,7.37911 ,7.37911 ,0.006072
4 ,127 ,34.7258 ,7.41949 ,7.37911 ,0.008017
5 ,121 ,36.3959 ,7.67182 ,7.37911 ,0.009808
6 ,127 ,37.974 ,7.60637 ,7.37911 ,0.0117
7 ,137 ,37.2972 ,7.22109 ,7.22109 ,0.013726
8 ,135 ,36.1136 ,7.3772 ,7.22109 ,0.015731
9 ,124 ,39.4644 ,7.31003 ,7.22109 ,0.017558
10 ,125 ,39.4436 ,7.44348 ,7.22109 ,0.01939
11 ,124 ,38.4932 ,7.64654 ,7.22109 ,0.021211
12 ,127 ,37.5471 ,7.26828 ,7.22109 ,0.023065
13 ,150 ,38.6361 ,7.11378 ,7.11378 ,0.025234
14 ,103 ,36.3685 ,7.2829 ,7.11378 ,0.026745
15 ,119 ,39.1178 ,7.42596 ,7.11378 ,0.028512
16 ,124 ,36.9192 ,7.23823 ,7.11378 ,0.030431
17 ,149 ,38.0338 ,7.14597 ,7.11378 ,0.032606
18 ,114 ,35.6306 ,7.53866 ,7.11378 ,0.034291
19 ,129 ,35.2587 ,7.43683 ,7.11378 ,0.036535
20 ,116 ,36.3566 ,7.83896 ,7.11378 ,0.038818
21 ,119 ,39.7168 ,7.63211 ,7.11378 ,0.040645
22 ,116 ,41.5162 ,7.30679 ,7.11378 ,0.042397
23 ,133 ,38.3955 ,7.58765 ,7.11378 ,0.044461
24 ,106 ,35.2225 ,7.17443 ,7.11378 ,0.046028
25 ,132 ,38.1874 ,7.30729 ,7.11378 ,0.04794
26 ,129 ,40.0671 ,7.52777 ,7.11378 ,0.049829
27 ,130 ,38.8322 ,7.53401 ,7.11378 ,0.051979
28 ,135 ,41.21 ,7.20803 ,7.11378 ,0.054119
29 ,116 ,37.1579 ,7.25057 ,7.11378 ,0.055854
30 ,148 ,39.8676 ,7.33968 ,7.11378 ,0.058241
31 ,112 ,38.6224 ,7.58316 ,7.11378 ,0.059917
32 ,139 ,39.0506 ,7.5599 ,7.11378 ,0.062008
33 ,125 ,37.1643 ,7.29475 ,7.11378 ,0.063888
34 ,118 ,35.9845 ,7.30765 ,7.11378 ,0.065776
35 ,117 ,37.5164 ,7.28823 ,7.11378 ,0.067528
36 ,120 ,36.6037 ,7.85197 ,7.11378 ,0.069394
37 ,133 ,35.5828 ,7.62017 ,7.11378 ,0.071653
38 ,135 ,38.4699 ,7.46995 ,7.11378 ,0.073638
39 ,113 ,37.6203 ,7.67355 ,7.11378 ,0.075349
40 ,117 ,36.4851 ,7.21868 ,7.11378 ,0.07708
41 ,136 ,38.3737 ,7.68638 ,7.11378 ,0.079095
42 ,142 ,41.4162 ,7.70103 ,7.11378 ,0.081171
43 ,137 ,39.6615 ,7.51563 ,7.11378 ,0.083172
44 ,121 ,37.6478 ,7.14781 ,7.11378 ,0.085026
45 ,138 ,36.0631 ,7.48077 ,7.11378 ,0.087047
46 ,105 ,36.4375 ,7.53913 ,7.11378 ,0.088606
47 ,121 ,39.2407 ,7.75046 ,7.11378 ,0.090387
48 ,126 ,40.4289 ,7.63875 ,7.11378 ,0.092256
49 ,137 ,38.8626 ,7.44259 ,7.11378 ,0.094373
50 ,118 ,37.0192 ,7.3979 ,7.11378 ,0.096104
51 ,128 ,36.4762 ,7.43498 ,7.11378 ,0.097968
52 ,124 ,37.2631 ,7.43351 ,7.11378 ,0.09978
53 ,145 ,38.8686 ,7.31446 ,7.11378 ,0.101933
54 ,146 ,40.0869 ,7.19286 ,7.11378 ,0.104076
55 ,124 ,37.5495 ,7.61136 ,7.11378 ,0.105892
56 ,137 ,39.9188 ,7.6893 ,7.11378 ,0.107907
57 ,136 ,40.9452 ,7.75811 ,7.11378 ,0.109876
58 ,116 ,37.6461 ,7.53015 ,7.11378 ,0.111616
59 ,116 ,39.7934 ,7.51725 ,7.11378 ,0.11333
60 ,139 ,39.4072 ,7.24375 ,7.11378 ,0.11537
61 ,112 ,35.6386 ,7.55845 ,7.11378 ,0.117046
62 ,119 ,36.8406 ,7.176 ,7.11378 ,0.118767
63 ,124 ,40.5929 ,7.27916 ,7.11378 ,0.120587
64 ,130 ,35.0543 ,7.68114 ,7.11378 ,0.122503
65 ,117 ,36.8017 ,7.50303 ,7.11378 ,0.124297
66 ,126 ,40.3137 ,7.4353 ,7.11378 ,0.126223
67 ,126 ,39.1724 ,7.40654 ,7.11378 ,0.128108
68 ,140 ,39.0373 ,7.19742 ,7.11378 ,0.130191
69 ,145 ,39.4806 ,7.62172 ,7.11378 ,0.132301
70 ,112 ,39.486 ,7.61336 ,7.11378 ,0.133965
71 ,127 ,39.5737 ,7.32433 ,7.11378 ,0.135828
72 ,128 ,36.2715 ,7.49747 ,7.11378 ,0.137705
73 ,120 ,37.1879 ,7.68562 ,7.11378 ,0.139477
74 ,127 ,39.022 ,7.52583 ,7.11378 ,0.141383
75 ,125 ,37.7406 ,7.23181 ,7.11378 ,0.143212
76 ,116 ,41.4487 ,7.30081 ,7.11378 ,0.145146
