tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,63 ,39.1146 ,7.64526 ,7.64526 ,0.02433
2 ,68 ,38.8636 ,7.47184 ,7.47184 ,0.050282
3 ,72 ,39.7493 ,7.14897 ,7.14897 ,0.075024
4 ,61 ,34.7258 ,7.31894 ,7.14897 ,0.093027
5 ,65 ,36.3959 ,7.70652 ,7.14897 ,0.115402
6 ,68 ,37.974 ,7.37295 ,7.14897 ,0.139311
7 ,70 ,37.2972 ,7.55363 ,7.14897 ,0.16148
8 ,66 ,36.1136 ,7.59764 ,7.14897 ,0.181984
9 ,71 ,39.4644 ,7.46976 ,7.14897 ,0.206458
10 ,75 ,39.4436 ,7.54635 ,7.14897 ,0.230988
11 ,74 ,38.4932 ,7.29608 ,7.14897 ,0.254821
12 ,71 ,37.5471 ,7.41674 ,7.14897 ,0.279462
13 ,68 ,38.6361 ,7.36761 ,7.14897 ,0.304308
14 ,69 ,36.3685 ,7.33483 ,7.14897 ,0.32726
15 ,71 ,39.1178 ,7.26096 ,7.14897 ,0.351502
16 ,71 ,36.9192 ,7.40707 ,7.14897 ,0.374838
17 ,71 ,38.0338 ,7.73119 ,7.14897 ,0.40033
18 ,76 ,35.6306 ,7.28511 ,7.14897 ,0.420705
19 ,62 ,35.2587 ,7.70234 ,7.14897 ,0.43922
20 ,62 ,36.3566 ,7.57055 ,7.14897 ,0.458657
21 ,73 ,39.7168 ,7.29876 ,7.14897 ,0.484669
22 ,67 ,41.5162 ,7.23143 ,7.14897 ,0.512347
23 ,74 ,38.3955 ,7.60291 ,7.14897 ,0.53599
24 ,67 ,35.2225 ,7.35433 ,7.14897 ,0.553605
25 ,69 ,38.1874 ,7.50568 ,7.14897 ,0.57695
26 ,68 ,40.0671 ,7.46251 ,7.14897 ,0.601936
27 ,78 ,38.8322 ,7.6453 ,7.14897 ,0.62729
28 ,76 ,41.21 ,7.54843 ,7.14897 ,0.656258
29 ,72 ,37.1579 ,7.44238 ,7.14897 ,0.676807
30 ,74 ,39.8676 ,7.45867 ,7.14897 ,0.703877
