tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,177 ,86.8984 ,9.16486 ,9.16486 ,0.294362
2 ,178 ,87.8556 ,9.35278 ,9.16486 ,0.585226
3 ,183 ,90.3864 ,9.17104 ,9.16486 ,0.878905
4 ,170 ,89.79 ,9.25362 ,9.16486 ,1.18216
5 ,175 ,94.6212 ,9.43133 ,9.16486 ,1.52171
6 ,181 ,92.3489 ,10.005 ,9.16486 ,1.85252
7 ,174 ,90.278 ,9.80776 ,9.16486 ,2.16657
8 ,185 ,94.3944 ,9.44246 ,9.16486 ,2.49116
9 ,179 ,96.4256 ,9.67378 ,9.16486 ,2.81394
10 ,179 ,92.0874 ,9.35469 ,9.16486 ,3.13635
11 ,174 ,100.793 ,9.21361 ,9.16486 ,3.53295
12 ,170 ,92.56 ,9.36548 ,9.16486 ,3.85285
13 ,191 ,86.3495 ,9.3206 ,9.16486 ,4.12969
14 ,180 ,87.5073 ,9.86099 ,9.16486 ,4.42581
15 ,168 ,94.1077 ,9.15748 ,9.15748 ,4.76675
16 ,168 ,90.7838 ,9.70469 ,9.15748 ,5.06579
17 ,184 ,93.3501 ,9.71329 ,9.15748 ,5.40908
18 ,175 ,85.2426 ,9.88386 ,9.15748 ,5.66966
19 ,187 ,92.191 ,9.0582 ,9.0582 ,5.99783
20 ,178 ,94.4731 ,9.44839 ,9.0582 ,6.33371
21 ,171 ,93.1107 ,10.2308 ,9.0582 ,6.6634
22 ,184 ,90.3858 ,9.46623 ,9.0582 ,6.95553
23 ,181 ,87.2655 ,9.32429 ,9.0582 ,7.24938
24 ,177 ,87.5127 ,9.07186 ,9.0582 ,7.54917
25 ,179 ,92.8535 ,9.96468 ,9.0582 ,7.87204
26 ,179 ,89.3534 ,9.98203 ,9.0582 ,8.18046
27 ,173 ,90.5915 ,9.31305 ,9.0582 ,8.49119
28 ,180 ,93.244 ,9.24846 ,9.0582 ,8.81607
29 ,174 ,87.5275 ,9.77277 ,9.0582 ,9.1111
30 ,170 ,84.6007 ,9.40581 ,9.0582 ,9.38374
31 ,187 ,95.9 ,9.24625 ,9.0582 ,9.73659
32 ,170 ,91.1777 ,9.21475 ,9.0582 ,10.0574
33 ,171 ,91.3819 ,9.27171 ,9.0582 ,10.3785
34 ,183 ,87.6516 ,9.61099 ,9.0582 ,10.6816
35 ,183 ,90.4349 ,9.80185 ,9.0582 ,11.0017
36 ,174 ,88.8377 ,8.99295 ,8.99295 ,11.2952
37 ,175 ,88.153 ,9.2622 ,8.99295 ,11.5819
38 ,173 ,92.6408 ,9.51672 ,8.99295 ,11.9146
39 ,178 ,92.0704 ,9.37163 ,8.99295 ,12.2198
40 ,174 ,89.0963 ,9.2664 ,8.99295 ,12.5271
41 ,183 ,91.304 ,10.0546 ,8.99295 ,12.8266
42 ,175 ,89.9131 ,9.65241 ,8.99295 ,13.1163
43 ,181 ,92.7976 ,9.67638 ,8.99295 ,13.4457
44 ,183 ,87.0421 ,9.31426 ,8.99295 ,13.7275
45 ,179 ,90.4122 ,9.6018 ,8.99295 ,14.036
46 ,182 ,87.5873 ,9.0273 ,8.99295 ,14.3262
47 ,177 ,89.8507 ,9.95762 ,8.99295 ,14.6153
48 ,178 ,92.8782 ,9.96481 ,8.99295 ,14.9322
49 ,172 ,91.8248 ,9.51076 ,8.99295 ,15.2478
50 ,179 ,92.882 ,9.51346 ,8.99295 ,15.5814
51 ,187 ,92.3426 ,9.5012 ,8.99295 ,15.9241
52 ,172 ,89.508 ,9.44652 ,8.99295 ,16.2215
53 ,176 ,87.9089 ,9.6959 ,8.99295 ,16.5272
54 ,174 ,85.3558 ,9.60988 ,8.99295 ,16.8032
55 ,163 ,91.5824 ,10.4872 ,8.99295 ,17.0955
56 ,180 ,94.095 ,9.5769 ,8.99295 ,17.423
57 ,176 ,91.0001 ,9.58731 ,8.99295 ,17.7476
58 ,182 ,95.5699 ,10.1156 ,8.99295 ,18.0804
59 ,176 ,93.6091 ,9.36296 ,8.99295 ,18.3958
60 ,166 ,91.322 ,9.20007 ,8.99295 ,18.7037
61 ,178 ,91.3654 ,9.06335 ,8.99295 ,19.0221
62 ,184 ,89.3913 ,9.53062 ,8.99295 ,19.3226
63 ,187 ,96.0048 ,9.78069 ,8.99295 ,19.6832
64 ,169 ,90.1375 ,9.5836 ,8.99295 ,19.9826
65 ,170 ,86.073 ,9.85701 ,8.99295 ,20.2449
66 ,180 ,89.9183 ,9.0144 ,8.99295 ,20.5238
67 ,171 ,91.8558 ,9.32617 ,8.99295 ,20.8474
68 ,174 ,93.984 ,9.70375 ,8.99295 ,21.1586
