tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,309 ,88.4312 ,9.37405 ,9.37405 ,0.00926
2 ,296 ,88.3046 ,9.43146 ,9.37405 ,0.019012
3 ,311 ,89.5248 ,9.63857 ,9.37405 ,0.028531
4 ,299 ,92.109 ,9.01886 ,9.01886 ,0.037571
5 ,327 ,82.5378 ,9.1049 ,9.01886 ,0.048088
6 ,327 ,89.3972 ,9.29508 ,9.01886 ,0.05835
7 ,291 ,88.2298 ,8.80326 ,8.80326 ,0.067059
8 ,299 ,95.2801 ,9.27283 ,8.80326 ,0.076093
9 ,273 ,92.2803 ,9.70318 ,8.80326 ,0.085077
10 ,339 ,96.6814 ,9.25105 ,8.80326 ,0.095389
11 ,314 ,82.7632 ,9.54747 ,8.80326 ,0.104797
12 ,294 ,86.4079 ,9.45201 ,8.80326 ,0.114297
13 ,345 ,93.1588 ,9.40292 ,8.80326 ,0.125194
14 ,329 ,86.998 ,9.42164 ,8.80326 ,0.135131
15 ,318 ,92.8818 ,9.44052 ,8.80326 ,0.144861
16 ,325 ,96.1896 ,9.59524 ,8.80326 ,0.155618
17 ,306 ,99.2132 ,9.30653 ,8.80326 ,0.164722
18 ,311 ,92.8398 ,9.28198 ,8.80326 ,0.174421
19 ,307 ,90.0933 ,9.30288 ,8.80326 ,0.184754
20 ,319 ,92.1215 ,9.09518 ,8.80326 ,0.194451
21 ,303 ,85.1695 ,9.38822 ,8.80326 ,0.203684
22 ,344 ,87.1678 ,9.57954 ,8.80326 ,0.214656
23 ,322 ,91.9694 ,9.4541 ,8.80326 ,0.224798
24 ,323 ,94.4203 ,9.20742 ,8.80326 ,0.234644
25 ,292 ,92.2357 ,9.25387 ,8.80326 ,0.243921
26 ,333 ,91.7215 ,9.12293 ,8.80326 ,0.254635
27 ,292 ,88.3575 ,9.88296 ,8.80326 ,0.263604
28 ,294 ,89.9194 ,9.42321 ,8.80326 ,0.272375
29 ,312 ,96.7659 ,9.28574 ,8.80326 ,0.282624
30 ,320 ,96.5461 ,9.13959 ,8.80326 ,0.292377
31 ,317 ,92.6971 ,9.68399 ,8.80326 ,0.301878
32 ,318 ,86.5515 ,9.53087 ,8.80326 ,0.312257
33 ,337 ,86.1068 ,9.99419 ,8.80326 ,0.322969
34 ,277 ,93.6904 ,9.52611 ,8.80326 ,0.331261
35 ,319 ,87.6294 ,9.50773 ,8.80326 ,0.340824
36 ,299 ,96.2283 ,9.38461 ,8.80326 ,0.351004
37 ,297 ,89.7138 ,9.43524 ,8.80326 ,0.360171
38 ,265 ,86.8319 ,9.69904 ,8.80326 ,0.36813
39 ,322 ,88.4341 ,8.95156 ,8.80326 ,0.378825
40 ,327 ,91.2782 ,9.30743 ,8.80326 ,0.388944
41 ,285 ,89.2556 ,9.15718 ,8.80326 ,0.397537
42 ,350 ,87.32 ,9.09598 ,8.80326 ,0.408358
43 ,313 ,92.8545 ,9.1651 ,8.80326 ,0.418781
44 ,335 ,90.7594 ,8.91359 ,8.80326 ,0.428978
45 ,278 ,92.4706 ,9.04297 ,8.80326 ,0.437379
46 ,307 ,90.2997 ,9.15444 ,8.80326 ,0.447688
47 ,299 ,91.3272 ,9.38552 ,8.80326 ,0.457109
48 ,357 ,97.4858 ,9.98678 ,8.80326 ,0.46771
49 ,359 ,89.6703 ,8.88274 ,8.80326 ,0.479127
50 ,340 ,81.9138 ,9.08628 ,8.80326 ,0.489593
51 ,310 ,92.0824 ,9.25249 ,8.80326 ,0.49892
52 ,323 ,92.5815 ,9.65506 ,8.80326 ,0.509234
53 ,320 ,91.9623 ,9.03129 ,8.80326 ,0.519361
54 ,290 ,93.5051 ,9.00136 ,8.80326 ,0.528084
55 ,309 ,90.6473 ,9.4205 ,8.80326 ,0.537283
56 ,293 ,93.7352 ,9.44364 ,8.80326 ,0.546598
57 ,319 ,95.7999 ,9.16419 ,8.80326 ,0.556704
58 ,322 ,93.9911 ,9.86248 ,8.80326 ,0.566227
59 ,310 ,87.1752 ,8.98233 ,8.80326 ,0.575512
60 ,334 ,87.4763 ,8.85508 ,8.80326 ,0.586702
61 ,292 ,93.2172 ,9.30778 ,8.80326 ,0.595534
62 ,317 ,90.8386 ,9.08712 ,8.80326 ,0.605006
63 ,300 ,89.2018 ,9.42935 ,8.80326 ,0.614861
64 ,334 ,91.0655 ,9.07446 ,8.80326 ,0.625307
65 ,279 ,91.0869 ,9.11013 ,8.80326 ,0.633766
66 ,305 ,94.6452 ,9.35838 ,8.80326 ,0.64374
67 ,333 ,88.6015 ,9.73376 ,8.80326 ,0.654164
68 ,287 ,95.4849 ,9.64078 ,8.80326 ,0.662874
69 ,330 ,101.01 ,10.385 ,8.80326 ,0.673079
70 ,311 ,90.8039 ,9.60846 ,8.80326 ,0.683218
71 ,319 ,88.7081 ,9.23737 ,8.80326 ,0.692766
72 ,293 ,89.312 ,9.14501 ,8.80326 ,0.701437
73 ,324 ,92.6432 ,8.92527 ,8.80326 ,0.711932
74 ,284 ,90.5524 ,9.69661 ,8.80326 ,0.721022
75 ,319 ,89.1588 ,9.41385 ,8.80326 ,0.730585
76 ,292 ,88.1838 ,9.13406 ,8.80326 ,0.73948
77 ,312 ,86.2351 ,9.26728 ,8.80326 ,0.749849
78 ,316 ,97.2642 ,8.91643 ,8.80326 ,0.759397
79 ,291 ,90.8795 ,9.16156 ,8.80326 ,0.768192
80 ,305 ,94.7537 ,9.64902 ,8.80326 ,0.778127
81 ,322 ,88.2877 ,9.19368 ,8.80326 ,0.788308
82 ,305 ,89.4754 ,8.96857 ,8.80326 ,0.797529
83 ,312 ,95.2115 ,9.05073 ,8.80326 ,0.807263
84 ,329 ,90.1327 ,9.30473 ,8.80326 ,0.817787
85 ,321 ,94.9136 ,9.25997 ,8.80326 ,0.827453
86 ,299 ,90.731 ,9.14181 ,8.80326 ,0.836466
87 ,296 ,92.3392 ,9.59991 ,8.80326 ,0.846597
88 ,322 ,90.94 ,9.34727 ,8.80326 ,0.856747
89 ,272 ,88.7629 ,9.50322 ,8.80326 ,0.864894
90 ,294 ,89.1781 ,9.01658 ,8.80326 ,0.873945
91 ,298 ,83.9251 ,9.80561 ,8.80326 ,0.883758
92 ,306 ,86.1035 ,9.50548 ,8.80326 ,0.893346
93 ,283 ,88.3655 ,10.1614 ,8.80326 ,0.901947
94 ,331 ,86.5228 ,9.23565 ,8.80326 ,0.912277
95 ,304 ,94.0997 ,9.54919 ,8.80326 ,0.921643
96 ,285 ,87.5063 ,9.50992 ,8.80326 ,0.930267
97 ,307 ,96.9408 ,9.06869 ,8.80326 ,0.940108
98 ,327 ,93.8728 ,9.38601 ,8.80326 ,0.950336
99 ,288 ,89.4714 ,9.28842 ,8.80326 ,0.959175
100 ,304 ,94.9964 ,9.56134 ,8.80326 ,0.968476
101 ,300 ,92.1495 ,9.63529 ,8.80326 ,0.978112
102 ,315 ,91.2293 ,9.30576 ,8.80326 ,0.988561
103 ,353 ,91.6887 ,9.6937 ,8.80326 ,0.999175
104 ,333 ,87.0206 ,9.51363 ,8.80326 ,1.00962
105 ,302 ,92.6245 ,9.51941 ,8.80326 ,1.01893
106 ,282 ,87.3899 ,9.29107 ,8.80326 ,1.02741
