Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,89.6879 ,89.6879 ,0.000126
update best ,1 ,185 ,185 ,1 ,185 ,9.94384 ,9.94384 ,0.989908
local optima ,1 ,186 ,186 ,1 ,185 ,9.94384 ,9.94384 ,0.990024
new initTour ,1 ,186 ,186 ,2 ,0 ,88.8651 ,9.94384 ,0.990154
update best ,1 ,370 ,370 ,2 ,185 ,9.4208 ,9.4208 ,1.93061
local optima ,1 ,371 ,371 ,2 ,185 ,9.4208 ,9.4208 ,1.9307
new initTour ,1 ,371 ,371 ,3 ,0 ,96.8674 ,9.4208 ,1.93079
update best ,1 ,559 ,559 ,3 ,189 ,9.28426 ,9.28426 ,3.07844
local optima ,1 ,560 ,560 ,3 ,189 ,9.28426 ,9.28426 ,3.07852
new initTour ,1 ,560 ,560 ,4 ,0 ,86.7608 ,9.28426 ,3.07862
local optima ,1 ,729 ,729 ,4 ,169 ,9.87196 ,9.28426 ,3.97059
new initTour ,1 ,729 ,729 ,5 ,0 ,84.2218 ,9.28426 ,3.9707
update best ,1 ,908 ,908 ,5 ,180 ,9.17559 ,9.17559 ,4.83932
local optima ,1 ,909 ,909 ,5 ,180 ,9.17559 ,9.17559 ,4.8394
new initTour ,1 ,909 ,909 ,6 ,0 ,91.0728 ,9.17559 ,4.83951
local optima ,1 ,1087 ,1087 ,6 ,178 ,9.71822 ,9.17559 ,5.86126
new initTour ,1 ,1087 ,1087 ,7 ,0 ,91.9819 ,9.17559 ,5.86135
local optima ,1 ,1263 ,1263 ,7 ,176 ,9.34719 ,9.17559 ,6.80628
new initTour ,1 ,1263 ,1263 ,8 ,0 ,89.4849 ,9.17559 ,6.80639
local optima ,1 ,1451 ,1451 ,8 ,188 ,9.55719 ,9.17559 ,7.83224
new initTour ,1 ,1451 ,1451 ,9 ,0 ,92.2809 ,9.17559 ,7.83234
local optima ,1 ,1630 ,1630 ,9 ,179 ,9.80455 ,9.17559 ,8.89221
new initTour ,1 ,1630 ,1630 ,10 ,0 ,90.7344 ,9.17559 ,8.89231
local optima ,1 ,1793 ,1793 ,10 ,163 ,10.1136 ,9.17559 ,9.88366
new initTour ,1 ,1793 ,1793 ,11 ,0 ,86.6261 ,9.17559 ,9.88376
local optima ,1 ,1972 ,1972 ,11 ,179 ,9.79307 ,9.17559 ,10.7679
new initTour ,1 ,1972 ,1972 ,12 ,0 ,89.3535 ,9.17559 ,10.7681
update best ,1 ,2153 ,2153 ,12 ,182 ,9.02258 ,9.02258 ,11.7957
local optima ,1 ,2154 ,2154 ,12 ,182 ,9.02258 ,9.02258 ,11.7958
new initTour ,1 ,2154 ,2154 ,13 ,0 ,88.4424 ,9.02258 ,11.7959
local optima ,1 ,2330 ,2330 ,13 ,176 ,9.76751 ,9.02258 ,12.8112
new initTour ,1 ,2330 ,2330 ,14 ,0 ,92.4914 ,9.02258 ,12.8113
local optima ,1 ,2504 ,2504 ,14 ,174 ,9.04546 ,9.02258 ,13.8709
new initTour ,1 ,2504 ,2504 ,15 ,0 ,85.4485 ,9.02258 ,13.871
local optima ,1 ,2678 ,2678 ,15 ,174 ,9.37173 ,9.02258 ,14.7465
new initTour ,1 ,2678 ,2678 ,16 ,0 ,93.2718 ,9.02258 ,14.7466
local optima ,1 ,2868 ,2868 ,16 ,190 ,9.33893 ,9.02258 ,15.8421
new initTour ,1 ,2868 ,2868 ,17 ,0 ,90.3339 ,9.02258 ,15.8422
local optima ,1 ,3043 ,3043 ,17 ,175 ,9.61251 ,9.02258 ,16.8376
new initTour ,1 ,3043 ,3043 ,18 ,0 ,90.7425 ,9.02258 ,16.8377
local optima ,1 ,3229 ,3229 ,18 ,186 ,9.88062 ,9.02258 ,17.8449
new initTour ,1 ,3229 ,3229 ,19 ,0 ,92.0168 ,9.02258 ,17.845
local optima ,1 ,3415 ,3415 ,19 ,186 ,9.29301 ,9.02258 ,18.8661
new initTour ,1 ,3415 ,3415 ,20 ,0 ,97.0078 ,9.02258 ,18.8662
local optima ,1 ,3598 ,3598 ,20 ,183 ,9.53658 ,9.02258 ,20.0326
new initTour ,1 ,3598 ,3598 ,21 ,0 ,90.0302 ,9.02258 ,20.0327
local optima ,1 ,3779 ,3779 ,21 ,181 ,9.28961 ,9.02258 ,21.1112
new initTour ,1 ,3779 ,3779 ,22 ,0 ,85.7703 ,9.02258 ,21.1113
local optima ,1 ,3956 ,3956 ,22 ,177 ,9.67464 ,9.02258 ,21.9961
new initTour ,1 ,3956 ,3956 ,23 ,0 ,96.4894 ,9.02258 ,21.9962
local optima ,1 ,4129 ,4129 ,23 ,173 ,9.44005 ,9.02258 ,23.1955
new initTour ,1 ,4129 ,4129 ,24 ,0 ,93.4521 ,9.02258 ,23.1956
local optima ,1 ,4300 ,4300 ,24 ,171 ,9.54597 ,9.02258 ,24.2202
new initTour ,1 ,4300 ,4300 ,25 ,0 ,84.1756 ,9.02258 ,24.2203
local optima ,1 ,4482 ,4482 ,25 ,182 ,9.41729 ,9.02258 ,25.1174
new initTour ,1 ,4482 ,4482 ,26 ,0 ,89.2219 ,9.02258 ,25.1175
local optima ,1 ,4662 ,4662 ,26 ,180 ,9.85097 ,9.02258 ,26.1771
new initTour ,1 ,4662 ,4662 ,27 ,0 ,98.1144 ,9.02258 ,26.1772
local optima ,1 ,4842 ,4842 ,27 ,180 ,9.36371 ,9.02258 ,27.3912
new initTour ,1 ,4842 ,4842 ,28 ,0 ,90.3044 ,9.02258 ,27.3913
local optima ,1 ,5027 ,5027 ,28 ,185 ,9.19956 ,9.02258 ,28.4612
new initTour ,1 ,5027 ,5027 ,29 ,0 ,86.9514 ,9.02258 ,28.4613
local optima ,1 ,5202 ,5202 ,29 ,175 ,9.20937 ,9.02258 ,29.3819
new initTour ,1 ,5202 ,5202 ,30 ,0 ,94.3886 ,9.02258 ,29.382
local optima ,1 ,5388 ,5388 ,30 ,186 ,9.18581 ,9.02258 ,30.4997
new initTour ,1 ,5388 ,5388 ,31 ,0 ,95.9297 ,9.02258 ,30.4999
local optima ,1 ,5567 ,5567 ,31 ,179 ,9.51056 ,9.02258 ,31.5901
new initTour ,1 ,5567 ,5567 ,32 ,0 ,88.5428 ,9.02258 ,31.5902
local optima ,1 ,5749 ,5749 ,32 ,182 ,9.18134 ,9.02258 ,32.5685
new initTour ,1 ,5749 ,5749 ,33 ,0 ,90.1326 ,9.02258 ,32.5686
local optima ,1 ,5927 ,5927 ,33 ,178 ,9.54367 ,9.02258 ,33.5817
new initTour ,1 ,5927 ,5927 ,34 ,0 ,90.1265 ,9.02258 ,33.5818
local optima ,1 ,6107 ,6107 ,34 ,180 ,9.66884 ,9.02258 ,34.5391
new initTour ,1 ,6107 ,6107 ,35 ,0 ,93.0959 ,9.02258 ,34.5392
local optima ,1 ,6282 ,6282 ,35 ,175 ,9.27087 ,9.02258 ,35.641
new initTour ,1 ,6282 ,6282 ,36 ,0 ,87.6636 ,9.02258 ,35.6411
epi end ,1 ,6401 ,6401 ,36 ,119 ,11.966 ,9.02258 ,36.5822
epi begin ,2 ,1 ,6401 ,36 ,119 ,11.966 ,9.02258 ,179.089
local optima ,2 ,59 ,6459 ,36 ,177 ,9.57885 ,9.02258 ,179.11
new initTour ,2 ,59 ,6459 ,37 ,0 ,91.7895 ,9.02258 ,179.11
local optima ,2 ,371 ,6771 ,37 ,312 ,10.5409 ,9.02258 ,180.967
new initTour ,2 ,371 ,6771 ,38 ,0 ,85.4189 ,9.02258 ,180.967
local optima ,2 ,753 ,7153 ,38 ,382 ,10.3243 ,9.02258 ,183.031
new initTour ,2 ,753 ,7153 ,39 ,0 ,89.268 ,9.02258 ,183.031
local optima ,2 ,1114 ,7514 ,39 ,361 ,9.61923 ,9.02258 ,185.02
new initTour ,2 ,1114 ,7514 ,40 ,0 ,94.3072 ,9.02258 ,185.021
local optima ,2 ,1448 ,7848 ,40 ,334 ,9.79779 ,9.02258 ,187.081
new initTour ,2 ,1448 ,7848 ,41 ,0 ,93.2452 ,9.02258 ,187.081
local optima ,2 ,1778 ,8178 ,41 ,330 ,9.59059 ,9.02258 ,188.979
new initTour ,2 ,1778 ,8178 ,42 ,0 ,96.1728 ,9.02258 ,188.979
local optima ,2 ,2152 ,8552 ,42 ,374 ,10.0552 ,9.02258 ,191.117
new initTour ,2 ,2152 ,8552 ,43 ,0 ,89.1007 ,9.02258 ,191.117
