tourCount, swapNum,initScore, optScore, bestScore, sec
1 ,179 ,88.1114 ,9.41989 ,9.41989 ,0.32226
2 ,172 ,87.0585 ,9.70827 ,9.41989 ,0.614575
3 ,177 ,88.223 ,9.57867 ,9.41989 ,0.913364
4 ,170 ,87.4617 ,9.53927 ,9.41989 ,1.21504
5 ,176 ,92.3396 ,9.44717 ,9.41989 ,1.542
6 ,173 ,86.3449 ,9.28369 ,9.28369 ,1.83349
7 ,181 ,90.8458 ,9.51719 ,9.28369 ,2.15615
8 ,165 ,90.0088 ,9.88235 ,9.28369 ,2.46622
9 ,171 ,94.7234 ,9.45191 ,9.28369 ,2.81756
10 ,175 ,87.7516 ,9.9507 ,9.28369 ,3.12115
11 ,177 ,90.9099 ,9.6214 ,9.28369 ,3.45015
12 ,175 ,90.1793 ,9.85117 ,9.28369 ,3.75413
13 ,173 ,86.6678 ,9.39509 ,9.28369 ,4.03845
14 ,167 ,84.5051 ,9.48048 ,9.28369 ,4.32843
15 ,174 ,91.3506 ,9.31553 ,9.28369 ,4.64215
16 ,175 ,94.7046 ,9.29298 ,9.28369 ,5.00035
17 ,168 ,92.7397 ,9.63026 ,9.28369 ,5.33971
18 ,173 ,89.9834 ,9.55324 ,9.28369 ,5.67119
19 ,176 ,90.4251 ,9.70832 ,9.28369 ,5.97599
20 ,173 ,89.5536 ,9.55998 ,9.28369 ,6.28002
21 ,168 ,92.3541 ,9.77167 ,9.28369 ,6.62023
22 ,185 ,92.0261 ,9.14443 ,9.14443 ,6.95775
23 ,173 ,93.1126 ,9.68928 ,9.14443 ,7.277
24 ,171 ,91.6275 ,9.31678 ,9.14443 ,7.58972
25 ,172 ,90.9021 ,9.65974 ,9.14443 ,7.91767
26 ,168 ,91.9584 ,9.64735 ,9.14443 ,8.24325
27 ,177 ,90.6008 ,9.39183 ,9.14443 ,8.55539
28 ,176 ,93.1685 ,9.88107 ,9.14443 ,8.89595
29 ,175 ,96.2386 ,8.9542 ,8.9542 ,9.24646
30 ,176 ,93.8647 ,9.94567 ,8.9542 ,9.59276
31 ,169 ,87.7301 ,9.06382 ,8.9542 ,9.8952
32 ,169 ,92.1589 ,9.33739 ,8.9542 ,10.2166
33 ,165 ,96.3598 ,9.95256 ,8.9542 ,10.5663
34 ,174 ,93.9186 ,9.67668 ,8.9542 ,10.9255
35 ,181 ,87.6601 ,9.79795 ,8.9542 ,11.2278
36 ,180 ,87.2918 ,10.0844 ,8.9542 ,11.5055
37 ,170 ,90.1707 ,9.18219 ,8.9542 ,11.824
38 ,172 ,90.3904 ,9.4936 ,8.9542 ,12.1477
39 ,168 ,94.1732 ,9.38814 ,8.9542 ,12.4829
40 ,172 ,95.8189 ,9.38587 ,8.9542 ,12.8595
41 ,165 ,91.0063 ,9.79711 ,8.9542 ,13.185
42 ,162 ,92.6415 ,9.94098 ,8.9542 ,13.4958
43 ,169 ,94.7779 ,9.59501 ,8.9542 ,13.835
44 ,162 ,88.0094 ,9.90599 ,8.9542 ,14.1328
45 ,174 ,92.243 ,9.53176 ,8.9542 ,14.4516
46 ,178 ,94.5657 ,9.45642 ,8.9542 ,14.8056
47 ,168 ,87.1848 ,9.84689 ,8.9542 ,15.1165
48 ,187 ,90.5288 ,9.75863 ,8.9542 ,15.4451
49 ,173 ,97.0537 ,9.46451 ,8.9542 ,15.8024
50 ,177 ,89.4581 ,9.78113 ,8.9542 ,16.1082
