Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,123.974 ,123.974 ,0.000662
update best ,1 ,258 ,258 ,1 ,258 ,12.4623 ,12.4623 ,3.88334
local optima ,1 ,259 ,259 ,1 ,258 ,12.4623 ,12.4623 ,3.88358
new initTour ,1 ,259 ,259 ,2 ,0 ,130.043 ,12.4623 ,3.88387
update best ,1 ,516 ,516 ,2 ,258 ,12.3802 ,12.3802 ,7.9788
local optima ,1 ,517 ,517 ,2 ,258 ,12.3802 ,12.3802 ,7.97905
new initTour ,1 ,517 ,517 ,3 ,0 ,128.531 ,12.3802 ,7.97933
update best ,1 ,771 ,771 ,3 ,255 ,12.1052 ,12.1052 ,11.8588
local optima ,1 ,772 ,772 ,3 ,255 ,12.1052 ,12.1052 ,11.859
new initTour ,1 ,772 ,772 ,4 ,0 ,126.81 ,12.1052 ,11.8593
local optima ,1 ,1031 ,1031 ,4 ,259 ,12.8199 ,12.1052 ,15.5712
new initTour ,1 ,1031 ,1031 ,5 ,0 ,127.108 ,12.1052 ,15.5715
local optima ,1 ,1280 ,1280 ,5 ,249 ,12.3177 ,12.1052 ,19.3727
new initTour ,1 ,1280 ,1280 ,6 ,0 ,130.081 ,12.1052 ,19.373
learn ends ,1 ,1281 ,1281 ,6 ,1 ,128.021 ,12.1052 ,19.4846
