HMIN , T, SEED, bestScore, tourCount, ite, epi, learn, action, reward, mdp, update, reBu, state, bestInfo, feaVec, theta, dataSec, CPLEX, TimeLine 
F2OPTB ,kroA100 ,1245 ,8.01964 ,869   , , , , , , , , , , , , , , ,1 ,8.79011 ,2 ,8.55868 ,3 ,8.5064 ,5 ,8.42355 ,6 ,8.34443 ,26 ,8.25439 ,28 ,8.23721 ,57 ,8.01964 ,
F2OPTB ,kroA100 ,2316 ,8.02049 ,869   , , , , , , , , , , , , , , ,1 ,8.43137 ,4 ,8.40651 ,5 ,8.40606 ,10 ,8.25415 ,26 ,8.19716 ,113 ,8.12517 ,182 ,8.02049 ,
F2OPTB ,kroA100 ,1541 ,8.01964 ,884   , , , , , , , , , , , , , , ,1 ,8.3774 ,9 ,8.30628 ,11 ,8.23727 ,26 ,8.14397 ,51 ,8.11175 ,70 ,8.01964 ,
F2OPTB ,kroA100 ,7461 ,8.03118 ,883   , , , , , , , , , , , , , , ,1 ,8.47393 ,3 ,8.40361 ,8 ,8.23599 ,12 ,8.21515 ,41 ,8.1371 ,179 ,8.09213 ,199 ,8.08154 ,531 ,8.03118 ,
F2OPTB ,kroA100 ,8459 ,8.03374 ,881   , , , , , , , , , , , , , , ,1 ,8.20521 ,45 ,8.08679 ,223 ,8.03374 ,
HMIN , T, SEED, bestScore, tourCount, ite, epi, learn, action, reward, mdp, update, reBu, state, bestInfo, feaVec, theta, dataSec, CPLEX, TimeLine 
F2OPTB ,kroB100 ,1245 ,8.17786 ,885   , , , , , , , , , , , , , , ,1 ,9.2215 ,2 ,8.74865 ,4 ,8.52063 ,10 ,8.50912 ,16 ,8.48869 ,25 ,8.46098 ,39 ,8.45118 ,40 ,8.35007 ,53 ,8.33828 ,107 ,8.33822 ,213 ,8.32787 ,281 ,8.28612 ,408 ,8.28046 ,409 ,8.17786 ,
F2OPTB ,kroB100 ,2316 ,8.14743 ,889   , , , , , , , , , , , , , , ,1 ,8.31424 ,258 ,8.2304 ,266 ,8.14743 ,
F2OPTB ,kroB100 ,1541 ,8.23743 ,889   , , , , , , , , , , , , , , ,1 ,8.79503 ,2 ,8.77584 ,3 ,8.42934 ,45 ,8.42618 ,46 ,8.24411 ,533 ,8.23743 ,
F2OPTB ,kroB100 ,7461 ,8.21409 ,891   , , , , , , , , , , , , , , ,1 ,8.70943 ,2 ,8.65965 ,3 ,8.52266 ,5 ,8.5091 ,9 ,8.50505 ,10 ,8.50186 ,23 ,8.46139 ,28 ,8.3919 ,56 ,8.30511 ,71 ,8.28172 ,95 ,8.23802 ,535 ,8.22492 ,709 ,8.21409 ,
